ts,o,h,l,c,v
2026-07-16T14:55:00+00:00,6.02,6.02,6.02,6.02,1
2026-07-16T15:00:00+00:00,6.02,6.02,6.02,6.02,0
2026-07-16T15:05:00+00:00,6.02,6.02,6.02,6.02,0
2026-07-16T15:10:00+00:00,6.02,6.02,6.02,6.02,0
2026-07-16T15:15:00+00:00,6.02,6.02,6.02,6.02,0
2026-07-16T15:20:00+00:00,6.02,6.02,6.02,6.02,0
2026-07-16T15:25:00+00:00,6.02,6.02,6.02,6.02,0
2026-07-16T15:30:00+00:00,6.02,6.02,6.02,6.02,0
2026-07-16T15:35:00+00:00,6.02,6.02,6.02,6.02,0
2026-07-16T15:40:00+00:00,7.03,7.03,7.03,7.03,1
2026-07-16T15:45:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T15:50:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T15:55:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T16:00:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T16:05:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T16:10:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T16:15:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T16:20:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T16:25:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T16:30:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T16:35:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T16:40:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T16:45:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T16:50:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T16:55:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T17:00:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T17:05:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T17:10:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T17:15:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T17:20:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T17:25:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T17:30:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T17:35:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T17:40:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T17:45:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T17:50:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T17:55:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T18:00:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T18:05:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T18:10:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T18:15:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T18:20:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T18:25:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T18:30:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T18:35:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T18:40:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T18:45:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T18:50:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T18:55:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T19:00:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T19:05:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T19:10:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T19:15:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T19:20:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T19:25:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T19:30:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T19:35:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T19:40:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T19:45:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T19:50:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-16T19:55:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-17T13:30:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-17T13:35:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-17T13:40:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-17T13:45:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-17T13:50:00+00:00,7.03,7.03,7.03,7.03,0
2026-07-17T13:55:00+00:00,7.03,7.03,7.03,7.03,0
