ts,o,h,l,c,v
2026-07-28T13:35:00+00:00,3.2,3.2,3.2,3.2,1
2026-07-28T13:40:00+00:00,2.5,2.5,2.5,2.5,1
2026-07-28T13:45:00+00:00,2.5,2.5,2.5,2.5,0
2026-07-28T13:50:00+00:00,2.5,2.5,2.5,2.5,0
2026-07-28T13:55:00+00:00,2.5,2.5,2.5,2.5,0
2026-07-28T14:00:00+00:00,2.5,2.5,2.5,2.5,1
2026-07-28T14:05:00+00:00,2.33,2.33,2.33,2.33,15
2026-07-28T14:10:00+00:00,2.33,2.33,2.33,2.33,0
2026-07-28T14:15:00+00:00,2.33,2.33,2.33,2.33,0
2026-07-28T14:20:00+00:00,2.33,2.33,2.33,2.33,0
2026-07-28T14:25:00+00:00,2.33,2.33,2.33,2.33,0
2026-07-28T14:30:00+00:00,2.33,2.33,2.33,2.33,0
2026-07-28T14:35:00+00:00,3.35,3.35,3.35,3.35,1
2026-07-28T14:40:00+00:00,3.35,3.35,3.35,3.35,0
2026-07-28T14:45:00+00:00,3.35,3.35,3.35,3.35,0
2026-07-28T14:50:00+00:00,3.35,3.35,3.35,3.35,0
2026-07-28T14:55:00+00:00,3.35,3.35,3.35,3.35,0
2026-07-28T15:00:00+00:00,3.35,3.35,3.35,3.35,0
2026-07-28T15:05:00+00:00,2.69,2.69,2.69,2.69,2
2026-07-28T15:10:00+00:00,2.69,2.69,2.69,2.69,0
2026-07-28T15:15:00+00:00,3.23,3.23,3.23,3.23,2
2026-07-28T15:20:00+00:00,3.23,3.23,3.23,3.23,0
2026-07-28T15:25:00+00:00,3.23,3.23,3.23,3.23,0
2026-07-28T15:30:00+00:00,3.5,3.5,3.5,3.5,1
2026-07-28T15:35:00+00:00,3.5,3.5,3.5,3.5,0
2026-07-28T15:40:00+00:00,3.5,3.5,3.5,3.5,0
2026-07-28T15:45:00+00:00,3.21,3.21,3.21,3.21,1
2026-07-28T15:50:00+00:00,3.21,3.21,3.21,3.21,0
2026-07-28T15:55:00+00:00,3.21,3.21,3.21,3.21,0
2026-07-28T16:00:00+00:00,3.21,3.21,3.21,3.21,0
2026-07-28T16:05:00+00:00,3.21,3.21,3.21,3.21,0
2026-07-28T16:10:00+00:00,3.21,3.21,3.21,3.21,0
2026-07-28T16:15:00+00:00,3.21,3.21,3.21,3.21,0
2026-07-28T16:20:00+00:00,3.21,3.21,3.21,3.21,0
2026-07-28T16:25:00+00:00,3.21,3.21,3.21,3.21,0
2026-07-28T16:30:00+00:00,3.21,3.21,3.21,3.21,0
2026-07-28T16:35:00+00:00,3.21,3.21,3.21,3.21,0
2026-07-28T16:40:00+00:00,3.21,3.21,3.21,3.21,0
2026-07-28T16:45:00+00:00,3.21,3.21,3.21,3.21,0
2026-07-28T16:50:00+00:00,3.21,3.21,3.21,3.21,0
2026-07-28T16:55:00+00:00,3.21,3.21,3.21,3.21,0
2026-07-28T17:00:00+00:00,3.21,3.21,3.21,3.21,0
2026-07-28T17:05:00+00:00,3.21,3.21,3.21,3.21,0
2026-07-28T17:10:00+00:00,3.21,3.21,3.21,3.21,0
2026-07-28T17:15:00+00:00,3.21,3.21,3.21,3.21,0
2026-07-28T17:20:00+00:00,3.21,3.21,3.21,3.21,0
2026-07-28T17:25:00+00:00,3.21,3.21,3.21,3.21,0
2026-07-28T17:30:00+00:00,3.21,3.21,3.21,3.21,0
2026-07-28T17:35:00+00:00,3.46,3.46,3.46,3.46,2
2026-07-28T17:40:00+00:00,3.46,3.46,3.46,3.46,0
2026-07-28T17:45:00+00:00,3.46,3.46,3.46,3.46,0
2026-07-28T17:50:00+00:00,3.46,3.46,3.46,3.46,0
2026-07-28T17:55:00+00:00,3.46,3.46,3.46,3.46,0
2026-07-28T18:00:00+00:00,3.46,3.46,3.46,3.46,0
2026-07-28T18:05:00+00:00,3.46,3.46,3.46,3.46,0
2026-07-28T18:10:00+00:00,3.46,3.46,3.46,3.46,0
2026-07-28T18:15:00+00:00,3.46,3.46,3.46,3.46,0
2026-07-28T18:20:00+00:00,3.46,3.46,3.46,3.46,0
2026-07-28T18:25:00+00:00,3.46,3.46,3.46,3.46,0
2026-07-28T18:30:00+00:00,3.46,3.46,3.46,3.46,0
2026-07-28T18:35:00+00:00,3.46,3.46,3.46,3.46,0
2026-07-28T18:40:00+00:00,3.46,3.46,3.46,3.46,0
2026-07-28T18:45:00+00:00,3.46,3.46,3.46,3.46,0
2026-07-28T18:50:00+00:00,3.25,3.25,3.25,3.25,2
2026-07-28T18:55:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-28T19:00:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-28T19:05:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-28T19:10:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-28T19:15:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-28T19:20:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-28T19:25:00+00:00,3.25,3.25,3.25,3.25,0
