ts,o,h,l,c,v
2026-06-25T14:40:00+00:00,5.65,5.65,5.65,5.65,1
2026-06-25T14:45:00+00:00,5.65,5.65,5.65,5.65,0
2026-06-25T14:50:00+00:00,5.5,5.5,5.5,5.5,23
2026-06-25T14:55:00+00:00,5.1,5.1,5.1,5.1,1
2026-06-25T15:00:00+00:00,4.5,4.5,4.4,4.4,2
2026-06-25T15:05:00+00:00,4.1,4.1,4.1,4.1,1
2026-06-25T15:10:00+00:00,4.1,4.1,3.9,3.9,3
2026-06-25T15:15:00+00:00,3.9,3.9,3.9,3.9,0
2026-06-25T15:20:00+00:00,3.9,3.9,3.9,3.9,0
2026-06-25T15:25:00+00:00,3.9,3.9,3.9,3.9,0
2026-06-25T15:30:00+00:00,3.9,3.9,3.9,3.9,0
2026-06-25T15:35:00+00:00,3.9,3.9,3.9,3.9,0
2026-06-25T15:40:00+00:00,3.9,3.9,3.9,3.9,0
2026-06-25T15:45:00+00:00,3.9,3.9,3.9,3.9,0
2026-06-25T15:50:00+00:00,3.9,3.9,3.9,3.9,0
2026-06-25T15:55:00+00:00,3.9,3.9,3.9,3.9,0
2026-06-25T16:00:00+00:00,3.9,3.9,3.9,3.9,0
2026-06-25T16:05:00+00:00,3.8,3.85,3.8,3.85,23
2026-06-25T16:10:00+00:00,3.85,3.85,3.85,3.85,0
2026-06-25T16:15:00+00:00,3.85,3.85,3.85,3.85,0
2026-06-25T16:20:00+00:00,3.7,3.7,3.61,3.61,3
2026-06-25T16:25:00+00:00,3.5,3.5,3.4,3.47,301
2026-06-25T16:30:00+00:00,3.47,3.47,3.47,3.47,0
2026-06-25T16:35:00+00:00,3.47,3.47,3.47,3.47,0
2026-06-25T16:40:00+00:00,3.47,3.47,3.47,3.47,0
2026-06-25T16:45:00+00:00,3.47,3.47,3.47,3.47,0
2026-06-25T16:50:00+00:00,3.47,3.47,3.47,3.47,0
2026-06-25T16:55:00+00:00,3.1,3.1,3.1,3.1,1
2026-06-25T17:00:00+00:00,3.1,3.1,3.1,3.1,0
2026-06-25T17:05:00+00:00,3.0,3.0,2.96,2.96,40
2026-06-25T17:10:00+00:00,2.88,2.93,2.88,2.88,7
2026-06-25T17:15:00+00:00,2.92,3.0,2.92,3.0,44
2026-06-25T17:20:00+00:00,3.0,3.0,3.0,3.0,0
2026-06-25T17:25:00+00:00,3.0,3.0,3.0,3.0,0
2026-06-25T17:30:00+00:00,3.0,3.0,3.0,3.0,0
2026-06-25T17:35:00+00:00,2.77,2.84,2.77,2.84,200
2026-06-25T17:40:00+00:00,2.84,2.84,2.84,2.84,0
2026-06-25T17:45:00+00:00,2.84,2.84,2.84,2.84,0
2026-06-25T17:50:00+00:00,2.84,2.84,2.84,2.84,0
2026-06-25T17:55:00+00:00,2.84,2.84,2.84,2.84,0
2026-06-25T18:00:00+00:00,2.84,2.84,2.84,2.84,0
2026-06-25T18:05:00+00:00,2.84,2.84,2.84,2.84,0
2026-06-25T18:10:00+00:00,2.84,2.84,2.84,2.84,0
2026-06-25T18:15:00+00:00,2.84,2.84,2.84,2.84,0
2026-06-25T18:20:00+00:00,2.84,2.84,2.84,2.84,0
2026-06-25T18:25:00+00:00,2.84,2.84,2.84,2.84,0
2026-06-25T18:30:00+00:00,2.65,2.65,2.65,2.65,5
2026-06-25T18:35:00+00:00,2.65,2.65,2.65,2.65,0
2026-06-25T18:40:00+00:00,2.5,2.5,2.42,2.45,32
2026-06-25T18:45:00+00:00,2.45,2.45,2.45,2.45,0
2026-06-25T18:50:00+00:00,2.45,2.45,2.45,2.45,0
2026-06-25T18:55:00+00:00,2.45,2.45,2.45,2.45,0
2026-06-25T19:00:00+00:00,2.45,2.45,2.45,2.45,0
2026-06-25T19:05:00+00:00,2.43,2.43,2.43,2.43,2
2026-06-25T19:10:00+00:00,2.43,2.43,2.43,2.43,0
2026-06-25T19:15:00+00:00,2.43,2.43,2.43,2.43,0
2026-06-25T19:20:00+00:00,2.43,2.43,2.43,2.43,0
2026-06-25T19:25:00+00:00,2.43,2.43,2.43,2.43,0
2026-06-25T19:30:00+00:00,2.43,2.43,2.43,2.43,0
2026-06-25T19:35:00+00:00,2.43,2.43,2.43,2.43,0
2026-06-25T19:40:00+00:00,2.71,2.71,2.71,2.71,1
2026-06-25T19:45:00+00:00,2.67,2.67,2.67,2.67,2
2026-06-25T19:50:00+00:00,2.67,2.67,2.67,2.67,0
2026-06-25T19:55:00+00:00,2.67,2.67,2.67,2.67,0
2026-06-26T13:30:00+00:00,2.34,2.34,2.3,2.3,3
2026-06-26T13:35:00+00:00,2.3,2.3,2.3,2.3,0
2026-06-26T13:40:00+00:00,2.3,2.3,2.3,2.3,0
2026-06-26T13:45:00+00:00,2.3,2.3,2.3,2.3,0
2026-06-26T13:50:00+00:00,2.3,2.3,2.3,2.3,0
2026-06-26T13:55:00+00:00,2.3,2.3,2.3,2.3,0
2026-06-26T14:00:00+00:00,2.38,2.38,2.38,2.38,1
2026-06-26T14:05:00+00:00,2.38,2.38,2.38,2.38,0
2026-06-26T14:10:00+00:00,2.38,2.38,2.38,2.38,0
2026-06-26T14:15:00+00:00,2.38,2.38,2.38,2.38,0
2026-06-26T14:20:00+00:00,2.38,2.38,2.38,2.38,0
2026-06-26T14:25:00+00:00,2.38,2.38,2.38,2.38,0
2026-06-26T14:30:00+00:00,2.38,2.38,2.38,2.38,0
2026-06-26T14:35:00+00:00,2.38,2.38,2.38,2.38,0
2026-06-26T14:40:00+00:00,2.38,2.38,2.38,2.38,0
2026-06-26T14:45:00+00:00,2.38,2.38,2.38,2.38,0
2026-06-26T14:50:00+00:00,2.38,2.38,2.38,2.38,0
2026-06-26T14:55:00+00:00,2.38,2.38,2.38,2.38,0
2026-06-26T15:00:00+00:00,2.5,2.5,2.5,2.5,30
2026-06-26T15:05:00+00:00,2.5,2.5,2.5,2.5,0
2026-06-26T15:10:00+00:00,2.5,2.5,2.5,2.5,0
2026-06-26T15:15:00+00:00,2.32,2.32,2.32,2.32,1
2026-06-26T15:20:00+00:00,2.32,2.32,2.32,2.32,0
2026-06-26T15:25:00+00:00,2.32,2.32,2.32,2.32,0
2026-06-26T15:30:00+00:00,2.7,2.7,2.7,2.7,18
2026-06-26T15:35:00+00:00,2.7,2.7,2.7,2.7,0
2026-06-26T15:40:00+00:00,2.7,2.7,2.7,2.7,0
2026-06-26T15:45:00+00:00,2.7,2.7,2.7,2.7,0
2026-06-26T15:50:00+00:00,2.7,2.7,2.7,2.7,0
2026-06-26T15:55:00+00:00,2.7,2.7,2.7,2.7,0
2026-06-26T16:00:00+00:00,2.78,2.78,2.78,2.78,1
2026-06-26T16:05:00+00:00,2.78,2.78,2.78,2.78,0
2026-06-26T16:10:00+00:00,2.78,2.78,2.78,2.78,0
2026-06-26T16:15:00+00:00,2.7,2.7,2.56,2.56,2
2026-06-26T16:20:00+00:00,2.49,2.49,2.48,2.48,2
2026-06-26T16:25:00+00:00,2.35,2.35,2.35,2.35,1
2026-06-26T16:30:00+00:00,2.35,2.35,2.35,2.35,0
2026-06-26T16:35:00+00:00,2.35,2.35,2.35,2.35,0
2026-06-26T16:40:00+00:00,2.35,2.35,2.35,2.35,0
2026-06-26T16:45:00+00:00,2.35,2.35,2.35,2.35,0
2026-06-26T16:50:00+00:00,2.35,2.35,2.35,2.35,0
2026-06-26T16:55:00+00:00,2.35,2.35,2.35,2.35,0
2026-06-26T17:00:00+00:00,2.35,2.35,2.35,2.35,0
2026-06-26T17:05:00+00:00,2.35,2.35,2.35,2.35,0
2026-06-26T17:10:00+00:00,2.35,2.35,2.35,2.35,0
2026-06-26T17:15:00+00:00,2.35,2.35,2.35,2.35,0
2026-06-26T17:20:00+00:00,2.35,2.35,2.35,2.35,0
2026-06-26T17:25:00+00:00,2.35,2.35,2.35,2.35,0
2026-06-26T17:30:00+00:00,2.35,2.35,2.35,2.35,0
2026-06-26T17:35:00+00:00,2.35,2.35,2.35,2.35,0
2026-06-26T17:40:00+00:00,2.35,2.35,2.35,2.35,0
2026-06-26T17:45:00+00:00,2.35,2.35,2.35,2.35,0
2026-06-26T17:50:00+00:00,2.35,2.35,2.35,2.35,0
2026-06-26T17:55:00+00:00,2.35,2.35,2.35,2.35,0
2026-06-26T18:00:00+00:00,2.35,2.35,2.35,2.35,0
2026-06-26T18:05:00+00:00,2.35,2.35,2.35,2.35,0
2026-06-26T18:10:00+00:00,2.35,2.35,2.35,2.35,0
2026-06-26T18:15:00+00:00,2.23,2.23,2.23,2.23,1
2026-06-26T18:20:00+00:00,2.15,2.15,2.15,2.15,3
2026-06-26T18:25:00+00:00,2.15,2.15,2.15,2.15,0
