ts,o,h,l,c,v
2026-07-27T14:40:00+00:00,3.42,3.42,3.35,3.35,11
2026-07-27T14:45:00+00:00,3.23,3.33,3.23,3.27,15
2026-07-27T14:50:00+00:00,3.27,3.27,3.27,3.27,0
2026-07-27T14:55:00+00:00,3.27,3.27,3.27,3.27,0
2026-07-27T15:00:00+00:00,3.27,3.27,3.27,3.27,0
2026-07-27T15:05:00+00:00,3.27,3.27,3.27,3.27,0
2026-07-27T15:10:00+00:00,3.27,3.27,3.27,3.27,0
2026-07-27T15:15:00+00:00,3.37,3.37,3.37,3.37,2
2026-07-27T15:20:00+00:00,3.37,3.37,3.37,3.37,0
2026-07-27T15:25:00+00:00,3.25,3.25,3.25,3.25,2
2026-07-27T15:30:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-27T15:35:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-27T15:40:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-27T15:45:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-27T15:50:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-27T15:55:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-27T16:00:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-27T16:05:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-27T16:10:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-27T16:15:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-27T16:20:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-27T16:25:00+00:00,3.1,3.1,3.1,3.1,1
2026-07-27T16:30:00+00:00,3.1,3.1,3.1,3.1,0
2026-07-27T16:35:00+00:00,3.1,3.1,3.1,3.1,0
2026-07-27T16:40:00+00:00,3.45,3.49,3.45,3.49,14
2026-07-27T16:45:00+00:00,3.49,3.49,3.49,3.49,0
2026-07-27T16:50:00+00:00,3.49,3.49,3.49,3.49,0
2026-07-27T16:55:00+00:00,3.49,3.49,3.49,3.49,0
2026-07-27T17:00:00+00:00,3.49,3.49,3.49,3.49,0
2026-07-27T17:05:00+00:00,3.49,3.49,3.49,3.49,0
2026-07-27T17:10:00+00:00,3.16,3.16,3.16,3.16,1
2026-07-27T17:15:00+00:00,3.16,3.16,3.16,3.16,0
