ts,o,h,l,c,v
2026-07-31T14:25:00+00:00,0.26,0.26,0.26,0.26,1
2026-07-31T14:30:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T14:35:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T14:40:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T14:45:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T14:50:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T14:55:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T15:00:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T15:05:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T15:10:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T15:15:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T15:20:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T15:25:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T15:30:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T15:35:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T15:40:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T15:45:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T15:50:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T15:55:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T16:00:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T16:05:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T16:10:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T16:15:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T16:20:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T16:25:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T16:30:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T16:35:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T16:40:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T16:45:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T16:50:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T16:55:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T17:00:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T17:05:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T17:10:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T17:15:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T17:20:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T17:25:00+00:00,0.35,0.35,0.35,0.35,1
2026-07-31T17:30:00+00:00,0.35,0.35,0.35,0.35,0
2026-07-31T17:35:00+00:00,0.35,0.35,0.35,0.35,0
2026-07-31T17:40:00+00:00,0.35,0.35,0.35,0.35,0
2026-07-31T17:45:00+00:00,0.35,0.35,0.35,0.35,0
2026-07-31T17:50:00+00:00,0.35,0.35,0.35,0.35,0
2026-07-31T17:55:00+00:00,0.35,0.35,0.35,0.35,0
2026-07-31T18:00:00+00:00,0.35,0.35,0.35,0.35,0
2026-07-31T18:05:00+00:00,0.35,0.35,0.35,0.35,0
2026-07-31T18:10:00+00:00,0.35,0.35,0.35,0.35,0
2026-07-31T18:15:00+00:00,0.35,0.35,0.35,0.35,0
2026-07-31T18:20:00+00:00,0.33,0.33,0.33,0.33,1
2026-07-31T18:25:00+00:00,0.33,0.33,0.33,0.33,0
2026-07-31T18:30:00+00:00,0.33,0.33,0.33,0.33,0
2026-07-31T18:35:00+00:00,0.33,0.33,0.33,0.33,0
2026-07-31T18:40:00+00:00,0.33,0.33,0.33,0.33,0
2026-07-31T18:45:00+00:00,0.33,0.33,0.33,0.33,0
2026-07-31T18:50:00+00:00,0.33,0.33,0.33,0.33,0
2026-07-31T18:55:00+00:00,0.33,0.33,0.33,0.33,0
2026-07-31T19:00:00+00:00,0.33,0.33,0.33,0.33,0
2026-07-31T19:05:00+00:00,0.33,0.33,0.33,0.33,0
2026-07-31T19:10:00+00:00,0.33,0.33,0.33,0.33,0
2026-07-31T19:15:00+00:00,0.33,0.33,0.33,0.33,0
2026-07-31T19:20:00+00:00,0.33,0.33,0.33,0.33,0
2026-07-31T19:25:00+00:00,0.33,0.33,0.33,0.33,0
2026-07-31T19:30:00+00:00,0.33,0.33,0.33,0.33,0
2026-07-31T19:35:00+00:00,0.33,0.33,0.33,0.33,0
2026-07-31T19:40:00+00:00,0.33,0.33,0.33,0.33,0
2026-07-31T19:45:00+00:00,0.26,0.26,0.26,0.26,66
2026-07-31T19:50:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T19:55:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T20:00:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T20:05:00+00:00,0.26,0.26,0.26,0.26,0
2026-07-31T20:10:00+00:00,0.26,0.26,0.26,0.26,0
2026-08-03T13:30:00+00:00,0.36,0.36,0.33,0.33,2
2026-08-03T13:35:00+00:00,0.33,0.33,0.33,0.33,0
2026-08-03T13:40:00+00:00,0.33,0.33,0.33,0.33,0
2026-08-03T13:45:00+00:00,0.33,0.33,0.33,0.33,0
2026-08-03T13:50:00+00:00,0.33,0.33,0.33,0.33,0
2026-08-03T13:55:00+00:00,0.33,0.33,0.33,0.33,0
2026-08-03T14:00:00+00:00,0.33,0.33,0.33,0.33,0
2026-08-03T14:05:00+00:00,0.33,0.33,0.33,0.33,0
2026-08-03T14:10:00+00:00,0.33,0.33,0.33,0.33,0
