ts,o,h,l,c,v
2026-07-07T14:40:00+00:00,19.19,19.19,19.19,19.19,1
2026-07-07T14:45:00+00:00,19.19,19.19,19.19,19.19,0
2026-07-07T14:50:00+00:00,19.19,19.19,19.19,19.19,0
2026-07-07T14:55:00+00:00,19.19,19.19,19.19,19.19,0
2026-07-07T15:00:00+00:00,19.19,19.19,19.19,19.19,0
2026-07-07T15:05:00+00:00,17.27,17.27,17.27,17.27,3
2026-07-07T15:10:00+00:00,17.27,17.27,17.27,17.27,0
2026-07-07T15:15:00+00:00,17.27,17.27,17.27,17.27,0
2026-07-07T15:20:00+00:00,17.27,17.27,17.27,17.27,0
2026-07-07T15:25:00+00:00,17.27,17.27,17.27,17.27,0
2026-07-07T15:30:00+00:00,17.27,17.27,17.27,17.27,0
2026-07-07T15:35:00+00:00,17.27,17.27,17.27,17.27,0
2026-07-07T15:40:00+00:00,17.27,17.27,17.27,17.27,0
2026-07-07T15:45:00+00:00,17.27,17.27,17.27,17.27,0
2026-07-07T15:50:00+00:00,17.43,17.43,17.43,17.43,1
2026-07-07T15:55:00+00:00,17.43,17.43,17.43,17.43,0
2026-07-07T16:00:00+00:00,17.43,17.43,17.43,17.43,0
2026-07-07T16:05:00+00:00,17.43,17.43,17.43,17.43,0
2026-07-07T16:10:00+00:00,17.43,17.43,17.43,17.43,0
2026-07-07T16:15:00+00:00,16.91,16.98,16.91,16.98,3
2026-07-07T16:20:00+00:00,16.98,16.98,16.98,16.98,0
2026-07-07T16:25:00+00:00,17.19,17.19,17.19,17.19,1
2026-07-07T16:30:00+00:00,17.19,17.19,17.19,17.19,0
2026-07-07T16:35:00+00:00,17.19,17.19,17.19,17.19,0
2026-07-07T16:40:00+00:00,18.34,18.34,18.34,18.34,1
2026-07-07T16:45:00+00:00,18.26,18.26,18.26,18.26,1
2026-07-07T16:50:00+00:00,18.26,18.26,18.26,18.26,0
2026-07-07T16:55:00+00:00,18.26,18.26,18.26,18.26,0
2026-07-07T17:00:00+00:00,18.26,18.26,18.26,18.26,0
2026-07-07T17:05:00+00:00,18.26,18.26,18.26,18.26,0
2026-07-07T17:10:00+00:00,18.26,18.26,18.26,18.26,0
2026-07-07T17:15:00+00:00,18.26,18.26,18.26,18.26,0
2026-07-07T17:20:00+00:00,18.26,18.26,18.26,18.26,0
2026-07-07T17:25:00+00:00,18.01,18.03,18.01,18.03,2
2026-07-07T17:30:00+00:00,18.03,18.03,18.03,18.03,0
2026-07-07T17:35:00+00:00,18.03,18.03,18.03,18.03,0
2026-07-07T17:40:00+00:00,18.03,18.03,18.03,18.03,0
2026-07-07T17:45:00+00:00,18.03,18.03,18.03,18.03,0
2026-07-07T17:50:00+00:00,18.03,18.03,18.03,18.03,0
2026-07-07T17:55:00+00:00,18.6,19.16,18.6,19.16,4
2026-07-07T18:00:00+00:00,19.75,21.46,19.75,21.46,4
2026-07-07T18:05:00+00:00,21.46,21.46,21.46,21.46,0
2026-07-07T18:10:00+00:00,24.16,24.35,23.97,24.1,6
2026-07-07T18:15:00+00:00,25.68,26.6,25.68,26.6,2
2026-07-07T18:20:00+00:00,27.41,27.41,27.41,27.41,2
2026-07-07T18:25:00+00:00,27.47,27.53,27.47,27.53,2
2026-07-07T18:30:00+00:00,27.53,27.53,27.53,27.53,0
2026-07-07T18:35:00+00:00,27.53,27.53,27.53,27.53,0
2026-07-07T18:40:00+00:00,27.53,27.53,27.53,27.53,0
2026-07-07T18:45:00+00:00,27.53,27.53,27.53,27.53,0
2026-07-07T18:50:00+00:00,27.53,27.53,27.53,27.53,0
2026-07-07T18:55:00+00:00,27.53,27.53,27.53,27.53,0
2026-07-07T19:00:00+00:00,27.53,27.53,27.53,27.53,0
2026-07-07T19:05:00+00:00,26.5,26.5,26.5,26.5,1
2026-07-07T19:10:00+00:00,26.04,26.04,25.62,25.62,2
2026-07-07T19:15:00+00:00,23.91,24.23,23.91,24.23,2
2026-07-07T19:20:00+00:00,24.23,24.23,24.23,24.23,0
2026-07-07T19:25:00+00:00,24.23,24.23,24.23,24.23,0
2026-07-07T19:30:00+00:00,24.24,24.24,24.24,24.24,1
2026-07-07T19:35:00+00:00,24.24,24.24,24.24,24.24,0
2026-07-07T19:40:00+00:00,22.52,22.52,22.52,22.52,1
2026-07-07T19:45:00+00:00,22.87,22.87,22.87,22.87,1
2026-07-07T19:50:00+00:00,23.9,24.45,23.9,24.25,3
2026-07-07T19:55:00+00:00,24.4,24.4,23.49,23.49,2
2026-07-08T13:30:00+00:00,18.9,18.93,18.9,18.93,2
2026-07-08T13:35:00+00:00,16.64,17.75,16.64,17.69,3
2026-07-08T13:40:00+00:00,17.69,17.69,17.69,17.69,0
2026-07-08T13:45:00+00:00,17.69,17.69,17.69,17.69,0
2026-07-08T13:50:00+00:00,16.08,16.41,16.08,16.41,2
2026-07-08T13:55:00+00:00,16.41,16.41,16.41,16.41,0
2026-07-08T14:00:00+00:00,16.41,16.41,16.41,16.41,0
2026-07-08T14:05:00+00:00,16.41,16.41,16.41,16.41,0
2026-07-08T14:10:00+00:00,16.41,16.41,16.41,16.41,0
2026-07-08T14:15:00+00:00,16.41,16.41,16.41,16.41,0
2026-07-08T14:20:00+00:00,16.41,16.41,16.41,16.41,0
2026-07-08T14:25:00+00:00,16.41,16.41,16.41,16.41,0
