ts,o,h,l,c,v
2026-07-01T13:35:00+00:00,4.6,4.6,4.6,4.6,1
2026-07-01T13:40:00+00:00,3.65,3.65,3.65,3.65,1
2026-07-01T13:45:00+00:00,3.25,3.25,3.25,3.25,1
2026-07-01T13:50:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-01T13:55:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-01T14:00:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-01T14:05:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-01T14:10:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-01T14:15:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-01T14:20:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-01T14:25:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-01T14:30:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-01T14:35:00+00:00,3.25,3.25,3.25,3.25,0
2026-07-01T14:40:00+00:00,5.35,5.35,5.35,5.35,2
2026-07-01T14:45:00+00:00,5.55,5.55,5.55,5.55,3
2026-07-01T14:50:00+00:00,5.55,5.55,5.55,5.55,0
2026-07-01T14:55:00+00:00,5.55,5.55,5.55,5.55,0
2026-07-01T15:00:00+00:00,5.55,5.55,5.55,5.55,0
2026-07-01T15:05:00+00:00,5.55,5.55,5.55,5.55,0
2026-07-01T15:10:00+00:00,5.55,5.55,5.55,5.55,0
2026-07-01T15:15:00+00:00,5.55,5.55,5.55,5.55,0
2026-07-01T15:20:00+00:00,5.55,5.55,5.55,5.55,0
2026-07-01T15:25:00+00:00,5.55,5.55,5.55,5.55,0
2026-07-01T15:30:00+00:00,5.55,5.55,5.55,5.55,0
2026-07-01T15:35:00+00:00,5.55,5.55,5.55,5.55,0
2026-07-01T15:40:00+00:00,5.55,5.55,5.55,5.55,0
2026-07-01T15:45:00+00:00,5.55,5.55,5.55,5.55,0
2026-07-01T15:50:00+00:00,5.55,5.55,5.55,5.55,0
2026-07-01T15:55:00+00:00,5.55,5.55,5.55,5.55,0
2026-07-01T16:00:00+00:00,5.55,5.55,5.55,5.55,0
2026-07-01T16:05:00+00:00,5.55,5.55,5.55,5.55,0
2026-07-01T16:10:00+00:00,5.55,5.55,5.55,5.55,0
2026-07-01T16:15:00+00:00,5.55,5.55,5.55,5.55,0
2026-07-01T16:20:00+00:00,5.55,5.55,5.55,5.55,0
2026-07-01T16:25:00+00:00,5.55,5.55,5.55,5.55,0
2026-07-01T16:30:00+00:00,5.55,5.55,5.55,5.55,0
2026-07-01T16:35:00+00:00,5.55,5.55,5.55,5.55,0
2026-07-01T16:40:00+00:00,5.55,5.55,5.55,5.55,0
