ts,o,h,l,c,v
2026-07-02T14:40:00+00:00,21.52,21.52,21.52,21.52,0
2026-07-02T14:45:00+00:00,20.32,20.32,20.27,20.27,2
2026-07-02T14:50:00+00:00,19.45,19.45,19.45,19.45,1
2026-07-02T14:55:00+00:00,19.45,19.45,19.45,19.45,0
2026-07-02T15:00:00+00:00,18.6,18.6,18.6,18.6,5
2026-07-02T15:05:00+00:00,18.6,18.6,18.6,18.6,0
2026-07-02T15:10:00+00:00,18.6,18.6,18.6,18.6,0
2026-07-02T15:15:00+00:00,17.99,17.99,17.99,17.99,1
2026-07-02T15:20:00+00:00,18.32,18.32,18.32,18.32,1
2026-07-02T15:25:00+00:00,18.32,18.32,18.32,18.32,0
2026-07-02T15:30:00+00:00,19.0,19.0,18.89,18.89,3
2026-07-02T15:35:00+00:00,19.5,19.5,19.5,19.5,1
2026-07-02T15:40:00+00:00,20.0,20.0,20.0,20.0,2
2026-07-02T15:45:00+00:00,20.0,20.0,20.0,20.0,0
2026-07-02T15:50:00+00:00,20.0,20.0,20.0,20.0,0
2026-07-02T15:55:00+00:00,20.0,20.0,20.0,20.0,0
2026-07-02T16:00:00+00:00,17.95,17.95,17.9,17.9,3
2026-07-02T16:05:00+00:00,17.9,17.9,17.9,17.9,0
2026-07-02T16:10:00+00:00,18.51,18.51,18.51,18.51,1
2026-07-02T16:15:00+00:00,18.1,18.1,17.5,17.5,5
2026-07-02T16:20:00+00:00,17.35,17.35,16.45,16.45,2
2026-07-02T16:25:00+00:00,16.45,16.45,16.45,16.45,0
2026-07-02T16:30:00+00:00,16.45,16.45,16.45,16.45,0
2026-07-02T16:35:00+00:00,16.45,16.45,16.45,16.45,0
2026-07-02T16:40:00+00:00,16.45,16.45,16.45,16.45,0
2026-07-02T16:45:00+00:00,16.45,16.45,16.45,16.45,0
2026-07-02T16:50:00+00:00,17.11,17.11,17.11,17.11,3
2026-07-02T16:55:00+00:00,17.11,17.11,17.11,17.11,0
2026-07-02T17:00:00+00:00,17.11,17.11,17.11,17.11,0
2026-07-02T17:05:00+00:00,17.11,17.11,17.11,17.11,0
2026-07-02T17:10:00+00:00,17.11,17.11,17.11,17.11,0
2026-07-02T17:15:00+00:00,17.11,17.11,17.11,17.11,0
2026-07-02T17:20:00+00:00,16.5,16.5,16.5,16.5,1
2026-07-02T17:25:00+00:00,16.5,16.5,16.5,16.5,0
2026-07-02T17:30:00+00:00,16.5,16.5,16.5,16.5,0
2026-07-02T17:35:00+00:00,16.5,16.5,16.5,16.5,0
2026-07-02T17:40:00+00:00,17.09,17.09,17.09,17.09,1
2026-07-02T17:45:00+00:00,17.09,17.09,17.09,17.09,0
2026-07-02T17:50:00+00:00,17.09,17.09,17.09,17.09,0
2026-07-02T17:55:00+00:00,17.09,17.09,17.09,17.09,0
2026-07-02T18:00:00+00:00,17.09,17.09,17.09,17.09,0
2026-07-02T18:05:00+00:00,17.09,17.09,17.09,17.09,0
2026-07-02T18:10:00+00:00,17.09,17.09,17.09,17.09,0
2026-07-02T18:15:00+00:00,17.09,17.09,17.09,17.09,0
2026-07-02T18:20:00+00:00,17.09,17.09,17.09,17.09,0
2026-07-02T18:25:00+00:00,17.09,17.09,17.09,17.09,0
2026-07-02T18:30:00+00:00,17.09,17.09,17.09,17.09,0
2026-07-02T18:35:00+00:00,17.09,17.09,17.09,17.09,0
2026-07-02T18:40:00+00:00,18.6,18.6,18.6,18.6,1
2026-07-02T18:45:00+00:00,18.6,18.6,18.6,18.6,0
2026-07-02T18:50:00+00:00,18.6,18.6,18.6,18.6,0
2026-07-02T18:55:00+00:00,18.7,18.7,18.7,18.7,2
2026-07-02T19:00:00+00:00,18.7,18.7,18.7,18.7,0
2026-07-02T19:05:00+00:00,18.7,18.7,18.7,18.7,0
2026-07-02T19:10:00+00:00,18.7,18.7,18.7,18.7,0
2026-07-02T19:15:00+00:00,18.7,18.7,18.7,18.7,0
2026-07-02T19:20:00+00:00,18.7,18.7,18.7,18.7,0
2026-07-02T19:25:00+00:00,18.7,18.7,18.7,18.7,0
2026-07-02T19:30:00+00:00,18.7,18.7,18.7,18.7,0
2026-07-02T19:35:00+00:00,18.7,18.7,18.7,18.7,0
2026-07-02T19:40:00+00:00,18.7,18.7,18.7,18.7,0
2026-07-02T19:45:00+00:00,19.4,19.4,19.4,19.4,3
2026-07-02T19:50:00+00:00,19.4,19.4,19.4,19.4,0
2026-07-02T19:55:00+00:00,19.4,19.4,19.4,19.4,0
2026-07-06T13:30:00+00:00,16.29,16.29,16.29,16.29,1
2026-07-06T13:35:00+00:00,15.75,16.7,15.05,16.7,6
2026-07-06T13:40:00+00:00,19.3,19.49,19.3,19.45,9
2026-07-06T13:45:00+00:00,19.5,19.5,19.5,19.5,1
2026-07-06T13:50:00+00:00,18.0,19.2,18.0,19.2,4
2026-07-06T13:55:00+00:00,19.62,19.62,19.62,19.62,1
2026-07-06T14:00:00+00:00,19.62,19.62,19.62,19.62,0
2026-07-06T14:05:00+00:00,19.62,19.62,19.62,19.62,0
2026-07-06T14:10:00+00:00,20.48,20.48,20.48,20.48,1
2026-07-06T14:15:00+00:00,20.48,20.48,20.48,20.48,0
2026-07-06T14:20:00+00:00,20.4,20.4,20.4,20.4,1
2026-07-06T14:25:00+00:00,20.7,20.7,20.7,20.7,1
2026-07-06T14:30:00+00:00,22.81,22.81,22.81,22.81,3
2026-07-06T14:35:00+00:00,22.81,22.81,22.81,22.81,0
2026-07-06T14:40:00+00:00,22.81,22.81,22.81,22.81,0
2026-07-06T14:45:00+00:00,22.81,22.81,22.81,22.81,0
2026-07-06T14:50:00+00:00,22.81,22.81,22.81,22.81,0
2026-07-06T14:55:00+00:00,22.81,22.81,22.81,22.81,0
2026-07-06T15:00:00+00:00,22.0,22.0,22.0,22.0,1
2026-07-06T15:05:00+00:00,22.0,22.0,22.0,22.0,4
2026-07-06T15:10:00+00:00,22.0,22.0,22.0,22.0,0
2026-07-06T15:15:00+00:00,22.0,22.0,22.0,22.0,0
2026-07-06T15:20:00+00:00,22.0,22.0,22.0,22.0,0
2026-07-06T15:25:00+00:00,20.3,20.3,20.3,20.3,3
2026-07-06T15:30:00+00:00,20.3,20.3,20.3,20.3,0
2026-07-06T15:35:00+00:00,20.3,20.3,20.3,20.3,0
2026-07-06T15:40:00+00:00,20.3,20.3,20.3,20.3,0
2026-07-06T15:45:00+00:00,20.3,20.3,20.3,20.3,0
2026-07-06T15:50:00+00:00,22.15,22.15,22.15,22.15,3
2026-07-06T15:55:00+00:00,22.0,22.0,21.5,21.5,2
2026-07-06T16:00:00+00:00,21.5,21.5,21.5,21.5,0
2026-07-06T16:05:00+00:00,21.25,21.25,21.25,21.25,2
2026-07-06T16:10:00+00:00,21.2,21.32,21.2,21.32,2
2026-07-06T16:15:00+00:00,21.32,21.32,21.32,21.32,0
2026-07-06T16:20:00+00:00,21.32,21.32,21.32,21.32,0
2026-07-06T16:25:00+00:00,21.32,21.32,21.32,21.32,0
2026-07-06T16:30:00+00:00,21.32,21.32,21.32,21.32,0
2026-07-06T16:35:00+00:00,21.32,21.32,21.32,21.32,0
2026-07-06T16:40:00+00:00,21.32,21.32,21.32,21.32,0
2026-07-06T16:45:00+00:00,21.32,21.32,21.32,21.32,0
2026-07-06T16:50:00+00:00,21.32,21.32,21.32,21.32,0
2026-07-06T16:55:00+00:00,20.65,20.65,20.65,20.65,1
2026-07-06T17:00:00+00:00,20.65,20.65,20.65,20.65,0
2026-07-06T17:05:00+00:00,20.65,20.65,20.65,20.65,0
2026-07-06T17:10:00+00:00,20.65,20.65,20.65,20.65,0
2026-07-06T17:15:00+00:00,20.65,20.65,20.65,20.65,0
2026-07-06T17:20:00+00:00,20.65,20.65,20.65,20.65,0
2026-07-06T17:25:00+00:00,20.65,20.65,20.65,20.65,0
2026-07-06T17:30:00+00:00,20.65,20.65,20.65,20.65,0
2026-07-06T17:35:00+00:00,20.65,20.65,20.65,20.65,0
2026-07-06T17:40:00+00:00,20.65,20.65,20.65,20.65,0
2026-07-06T17:45:00+00:00,20.65,20.65,20.65,20.65,0
2026-07-06T17:50:00+00:00,20.65,20.65,20.65,20.65,0
2026-07-06T17:55:00+00:00,20.65,20.65,20.65,20.65,0
2026-07-06T18:00:00+00:00,20.65,20.65,20.65,20.65,0
2026-07-06T18:05:00+00:00,20.65,20.65,20.65,20.65,0
2026-07-06T18:10:00+00:00,18.9,18.9,18.9,18.9,1
2026-07-06T18:15:00+00:00,18.9,18.9,18.9,18.9,0
2026-07-06T18:20:00+00:00,18.9,18.9,18.9,18.9,0
2026-07-06T18:25:00+00:00,18.6,18.6,18.6,18.6,1
2026-07-06T18:30:00+00:00,18.6,18.6,18.6,18.6,0
2026-07-06T18:35:00+00:00,18.6,18.6,18.6,18.6,0
2026-07-06T18:40:00+00:00,18.6,18.6,18.6,18.6,0
2026-07-06T18:45:00+00:00,18.6,18.6,18.6,18.6,0
2026-07-06T18:50:00+00:00,18.6,18.6,18.6,18.6,0
2026-07-06T18:55:00+00:00,18.6,18.6,18.6,18.6,0
2026-07-06T19:00:00+00:00,18.6,18.6,18.6,18.6,0
2026-07-06T19:05:00+00:00,18.6,18.6,18.6,18.6,0
2026-07-06T19:10:00+00:00,18.6,18.6,18.6,18.6,0
2026-07-06T19:15:00+00:00,18.6,18.6,18.6,18.6,0
2026-07-06T19:20:00+00:00,18.6,18.6,18.6,18.6,0
2026-07-06T19:25:00+00:00,18.6,18.6,18.6,18.6,0
2026-07-06T19:30:00+00:00,18.6,18.6,18.6,18.6,0
2026-07-06T19:35:00+00:00,18.6,18.6,18.6,18.6,0
2026-07-06T19:40:00+00:00,19.1,19.1,19.1,19.1,1
2026-07-06T19:45:00+00:00,19.1,19.1,19.1,19.1,0
2026-07-06T19:50:00+00:00,19.1,19.1,19.1,19.1,0
2026-07-06T19:55:00+00:00,18.22,18.22,18.22,18.22,1
2026-07-07T13:30:00+00:00,18.22,18.22,18.22,18.22,0
2026-07-07T13:35:00+00:00,18.22,18.22,18.22,18.22,0
2026-07-07T13:40:00+00:00,18.22,18.22,18.22,18.22,0
2026-07-07T13:45:00+00:00,18.22,18.22,18.22,18.22,0
2026-07-07T13:50:00+00:00,18.22,18.22,18.22,18.22,0
2026-07-07T13:55:00+00:00,18.22,18.22,18.22,18.22,0
2026-07-07T14:00:00+00:00,18.22,18.22,18.22,18.22,0
2026-07-07T14:05:00+00:00,18.22,18.22,18.22,18.22,0
2026-07-07T14:10:00+00:00,18.22,18.22,18.22,18.22,0
2026-07-07T14:15:00+00:00,11.75,11.75,11.75,11.75,1
2026-07-07T14:20:00+00:00,11.75,11.75,11.75,11.75,0
2026-07-07T14:25:00+00:00,11.75,11.75,11.75,11.75,0
2026-07-07T14:30:00+00:00,10.45,10.45,10.45,10.45,5
2026-07-07T14:35:00+00:00,10.45,10.45,10.45,10.45,0
2026-07-07T14:40:00+00:00,10.45,10.45,10.45,10.45,0
2026-07-07T14:45:00+00:00,10.85,10.85,10.85,10.85,3
2026-07-07T14:50:00+00:00,10.85,10.85,10.85,10.85,0
2026-07-07T14:55:00+00:00,10.85,10.85,10.85,10.85,0
2026-07-07T15:00:00+00:00,10.85,10.85,10.85,10.85,0
2026-07-07T15:05:00+00:00,12.34,12.34,12.34,12.34,1
2026-07-07T15:10:00+00:00,12.34,12.34,12.34,12.34,0
2026-07-07T15:15:00+00:00,12.34,12.34,12.34,12.34,0
2026-07-07T15:20:00+00:00,11.6,12.05,11.6,12.05,2
2026-07-07T15:25:00+00:00,12.05,12.05,12.05,12.05,0
2026-07-07T15:30:00+00:00,12.05,12.05,12.05,12.05,0
2026-07-07T15:35:00+00:00,12.05,12.05,12.05,12.05,0
2026-07-07T15:40:00+00:00,12.05,12.05,12.05,12.05,0
2026-07-07T15:45:00+00:00,12.05,12.05,12.05,12.05,0
2026-07-07T15:50:00+00:00,12.05,12.05,12.05,12.05,0
2026-07-07T15:55:00+00:00,12.05,12.05,12.05,12.05,0
2026-07-07T16:00:00+00:00,12.05,12.05,12.05,12.05,0
2026-07-07T16:05:00+00:00,12.05,12.05,12.05,12.05,0
2026-07-07T16:10:00+00:00,12.26,12.26,11.65,11.65,3
2026-07-07T16:15:00+00:00,11.65,11.65,11.65,11.65,0
2026-07-07T16:20:00+00:00,11.65,11.65,11.65,11.65,0
2026-07-07T16:25:00+00:00,11.65,11.65,11.65,11.65,0
2026-07-07T16:30:00+00:00,11.65,11.65,11.65,11.65,0
2026-07-07T16:35:00+00:00,11.65,11.65,11.65,11.65,0
2026-07-07T16:40:00+00:00,12.6,12.6,12.6,12.6,1
2026-07-07T16:45:00+00:00,12.6,12.6,12.6,12.6,0
2026-07-07T16:50:00+00:00,12.6,12.6,12.6,12.6,0
2026-07-07T16:55:00+00:00,12.6,12.6,12.6,12.6,0
2026-07-07T17:00:00+00:00,12.6,12.6,12.6,12.6,0
2026-07-07T17:05:00+00:00,12.6,12.6,12.6,12.6,0
2026-07-07T17:10:00+00:00,12.6,12.6,12.6,12.6,0
2026-07-07T17:15:00+00:00,12.6,12.6,12.6,12.6,0
2026-07-07T17:20:00+00:00,12.6,12.6,12.6,12.6,0
2026-07-07T17:25:00+00:00,12.6,12.6,12.6,12.6,0
2026-07-07T17:30:00+00:00,12.6,12.6,12.6,12.6,0
2026-07-07T17:35:00+00:00,12.6,12.6,12.6,12.6,0
2026-07-07T17:40:00+00:00,12.6,12.6,12.6,12.6,0
