ts,o,h,l,c,v
2026-07-08T14:45:00+00:00,4.45,4.45,4.45,4.45,4
2026-07-08T14:50:00+00:00,4.45,4.45,4.45,4.45,0
2026-07-08T14:55:00+00:00,5.02,5.02,5.02,5.02,1
2026-07-08T15:00:00+00:00,4.5,4.5,4.5,4.5,2
2026-07-08T15:05:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T15:10:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T15:15:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T15:20:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T15:25:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T15:30:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T15:35:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T15:40:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T15:45:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T15:50:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T15:55:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T16:00:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T16:05:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T16:10:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T16:15:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T16:20:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T16:25:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T16:30:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T16:35:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T16:40:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T16:45:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T16:50:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T16:55:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T17:00:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T17:05:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T17:10:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T17:15:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T17:20:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T17:25:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T17:30:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T17:35:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T17:40:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T17:45:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T17:50:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T17:55:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T18:00:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T18:05:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T18:10:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T18:15:00+00:00,4.5,4.5,4.5,4.5,0
2026-07-08T18:20:00+00:00,5.65,5.65,5.65,5.65,4
2026-07-08T18:25:00+00:00,5.65,5.65,5.65,5.65,0
2026-07-08T18:30:00+00:00,5.65,5.65,5.65,5.65,0
2026-07-08T18:35:00+00:00,5.65,5.65,5.65,5.65,0
2026-07-08T18:40:00+00:00,5.65,5.65,5.65,5.65,0
2026-07-08T18:45:00+00:00,5.65,5.65,5.65,5.65,0
2026-07-08T18:50:00+00:00,5.65,5.65,5.65,5.65,0
2026-07-08T18:55:00+00:00,5.65,5.65,5.65,5.65,0
2026-07-08T19:00:00+00:00,6.6,6.6,6.6,6.6,4
2026-07-08T19:05:00+00:00,6.6,6.6,6.6,6.6,0
2026-07-08T19:10:00+00:00,6.6,6.6,6.6,6.6,0
2026-07-08T19:15:00+00:00,6.6,6.6,6.6,6.6,0
2026-07-08T19:20:00+00:00,6.6,6.6,6.6,6.6,0
2026-07-08T19:25:00+00:00,6.6,6.6,6.6,6.6,0
2026-07-08T19:30:00+00:00,6.6,6.6,6.6,6.6,0
2026-07-08T19:35:00+00:00,6.6,6.6,6.6,6.6,0
2026-07-08T19:40:00+00:00,8.0,8.0,8.0,8.0,1
2026-07-08T19:45:00+00:00,7.55,7.55,7.55,7.55,1
2026-07-08T19:50:00+00:00,7.75,7.75,7.75,7.75,2
2026-07-08T19:55:00+00:00,7.75,7.75,7.75,7.75,0
2026-07-09T13:30:00+00:00,7.75,7.75,7.75,7.75,0
2026-07-09T13:35:00+00:00,7.5,7.5,7.5,7.5,1
2026-07-09T13:40:00+00:00,9.6,9.6,9.55,9.55,18
2026-07-09T13:45:00+00:00,9.55,9.55,9.55,9.55,0
2026-07-09T13:50:00+00:00,7.66,7.66,7.66,7.66,1
2026-07-09T13:55:00+00:00,7.66,7.66,7.66,7.66,0
2026-07-09T14:00:00+00:00,7.66,7.66,7.66,7.66,0
2026-07-09T14:05:00+00:00,7.66,7.66,7.66,7.66,0
2026-07-09T14:10:00+00:00,7.66,7.66,7.66,7.66,0
2026-07-09T14:15:00+00:00,6.3,6.3,6.3,6.3,1
2026-07-09T14:20:00+00:00,6.3,6.3,6.3,6.3,0
2026-07-09T14:25:00+00:00,6.3,6.3,6.3,6.3,0
2026-07-09T14:30:00+00:00,6.3,6.3,6.3,6.3,0
2026-07-09T14:35:00+00:00,6.3,6.3,6.3,6.3,0
2026-07-09T14:40:00+00:00,6.3,6.3,6.3,6.3,0
2026-07-09T14:45:00+00:00,6.3,6.3,6.3,6.3,0
2026-07-09T14:50:00+00:00,6.5,6.6,6.4,6.4,33
2026-07-09T14:55:00+00:00,6.4,6.4,6.4,6.4,0
2026-07-09T15:00:00+00:00,6.4,6.4,6.4,6.4,0
2026-07-09T15:05:00+00:00,6.4,6.4,6.4,6.4,0
2026-07-09T15:10:00+00:00,6.4,6.4,6.4,6.4,0
2026-07-09T15:15:00+00:00,6.4,6.4,6.4,6.4,0
2026-07-09T15:20:00+00:00,6.4,6.4,6.4,6.4,0
2026-07-09T15:25:00+00:00,6.4,6.4,6.4,6.4,0
2026-07-09T15:30:00+00:00,6.4,6.4,6.4,6.4,0
2026-07-09T15:35:00+00:00,6.4,6.4,6.4,6.4,0
2026-07-09T15:40:00+00:00,6.4,6.4,6.4,6.4,0
2026-07-09T15:45:00+00:00,6.4,6.4,6.4,6.4,0
2026-07-09T15:50:00+00:00,6.4,6.4,6.4,6.4,0
2026-07-09T15:55:00+00:00,6.4,6.4,6.4,6.4,0
2026-07-09T16:00:00+00:00,6.4,6.4,6.4,6.4,0
2026-07-09T16:05:00+00:00,6.4,6.4,6.4,6.4,0
2026-07-09T16:10:00+00:00,6.4,6.4,6.4,6.4,0
2026-07-09T16:15:00+00:00,7.0,7.0,7.0,7.0,2
2026-07-09T16:20:00+00:00,7.0,7.0,7.0,7.0,0
2026-07-09T16:25:00+00:00,7.0,7.0,7.0,7.0,0
2026-07-09T16:30:00+00:00,7.0,7.0,7.0,7.0,0
2026-07-09T16:35:00+00:00,7.0,7.0,7.0,7.0,0
2026-07-09T16:40:00+00:00,7.0,7.0,7.0,7.0,0
2026-07-09T16:45:00+00:00,7.0,7.0,7.0,7.0,0
2026-07-09T16:50:00+00:00,7.0,7.0,7.0,7.0,0
2026-07-09T16:55:00+00:00,7.0,7.0,7.0,7.0,0
2026-07-09T17:00:00+00:00,6.25,6.45,6.05,6.05,4
2026-07-09T17:05:00+00:00,6.05,6.05,6.05,6.05,0
2026-07-09T17:10:00+00:00,6.05,6.05,6.05,6.05,0
2026-07-09T17:15:00+00:00,6.04,6.04,6.04,6.04,1
2026-07-09T17:20:00+00:00,6.04,6.04,6.04,6.04,0
2026-07-09T17:25:00+00:00,6.04,6.04,6.04,6.04,0
2026-07-09T17:30:00+00:00,6.04,6.04,6.04,6.04,0
2026-07-09T17:35:00+00:00,6.04,6.04,6.04,6.04,0
2026-07-09T17:40:00+00:00,6.04,6.04,6.04,6.04,0
2026-07-09T17:45:00+00:00,6.04,6.04,6.04,6.04,0
2026-07-09T17:50:00+00:00,6.45,6.45,6.45,6.45,1
2026-07-09T17:55:00+00:00,6.45,6.45,6.45,6.45,0
2026-07-09T18:00:00+00:00,6.45,6.45,6.45,6.45,0
2026-07-09T18:05:00+00:00,6.45,6.45,6.45,6.45,0
2026-07-09T18:10:00+00:00,6.45,6.45,6.45,6.45,0
2026-07-09T18:15:00+00:00,6.45,6.45,6.45,6.45,0
2026-07-09T18:20:00+00:00,6.45,6.45,6.45,6.45,0
2026-07-09T18:25:00+00:00,6.45,6.45,6.45,6.45,0
2026-07-09T18:30:00+00:00,6.45,6.45,6.45,6.45,0
2026-07-09T18:35:00+00:00,6.8,6.8,6.8,6.8,1
2026-07-09T18:40:00+00:00,6.8,6.8,6.8,6.8,0
2026-07-09T18:45:00+00:00,6.8,6.8,6.8,6.8,0
2026-07-09T18:50:00+00:00,6.8,6.8,6.8,6.8,0
2026-07-09T18:55:00+00:00,6.8,6.8,6.8,6.8,0
2026-07-09T19:00:00+00:00,6.8,6.8,6.8,6.8,0
2026-07-09T19:05:00+00:00,6.8,6.8,6.8,6.8,0
2026-07-09T19:10:00+00:00,6.8,6.8,6.8,6.8,0
2026-07-09T19:15:00+00:00,6.8,6.8,6.8,6.8,0
2026-07-09T19:20:00+00:00,6.8,6.8,6.8,6.8,0
2026-07-09T19:25:00+00:00,6.8,6.8,6.8,6.8,0
2026-07-09T19:30:00+00:00,6.8,6.8,6.8,6.8,0
2026-07-09T19:35:00+00:00,6.8,6.8,6.8,6.8,0
2026-07-09T19:40:00+00:00,6.8,6.8,6.8,6.8,0
2026-07-09T19:45:00+00:00,6.8,6.8,6.8,6.8,0
2026-07-09T19:50:00+00:00,6.8,6.8,6.8,6.8,0
2026-07-09T19:55:00+00:00,6.8,6.8,6.8,6.8,0
2026-07-10T13:30:00+00:00,6.8,6.8,6.8,6.8,0
2026-07-10T13:35:00+00:00,6.8,6.8,6.8,6.8,0
2026-07-10T13:40:00+00:00,6.3,6.5,6.3,6.5,6
2026-07-10T13:45:00+00:00,6.5,6.5,6.5,6.5,0
2026-07-10T13:50:00+00:00,6.5,6.5,6.5,6.5,0
2026-07-10T13:55:00+00:00,6.5,6.5,6.5,6.5,0
2026-07-10T14:00:00+00:00,6.5,6.5,6.5,6.5,0
2026-07-10T14:05:00+00:00,6.5,6.5,6.5,6.5,0
2026-07-10T14:10:00+00:00,6.5,6.5,6.5,6.5,0
2026-07-10T14:15:00+00:00,5.77,5.77,5.77,5.77,1
2026-07-10T14:20:00+00:00,5.77,5.77,5.77,5.77,0
2026-07-10T14:25:00+00:00,5.77,5.77,5.77,5.77,0
2026-07-10T14:30:00+00:00,5.77,5.77,5.77,5.77,0
2026-07-10T14:35:00+00:00,5.77,5.77,5.77,5.77,0
2026-07-10T14:40:00+00:00,5.77,5.77,5.77,5.77,0
2026-07-10T14:45:00+00:00,5.77,5.77,5.77,5.77,0
2026-07-10T14:50:00+00:00,5.77,5.77,5.77,5.77,0
2026-07-10T14:55:00+00:00,3.98,3.98,3.98,3.98,1
2026-07-10T15:00:00+00:00,3.98,3.98,3.98,3.98,0
2026-07-10T15:05:00+00:00,3.98,3.98,3.98,3.98,0
2026-07-10T15:10:00+00:00,3.98,3.98,3.98,3.98,0
2026-07-10T15:15:00+00:00,3.98,3.98,3.98,3.98,0
2026-07-10T15:20:00+00:00,4.1,4.1,4.1,4.1,1
2026-07-10T15:25:00+00:00,4.1,4.1,4.1,4.1,0
2026-07-10T15:30:00+00:00,4.1,4.1,4.1,4.1,0
2026-07-10T15:35:00+00:00,4.1,4.1,4.1,4.1,0
2026-07-10T15:40:00+00:00,4.1,4.1,4.1,4.1,0
2026-07-10T15:45:00+00:00,4.1,4.1,4.1,4.1,0
2026-07-10T15:50:00+00:00,4.1,4.1,4.1,4.1,0
2026-07-10T15:55:00+00:00,4.1,4.1,4.1,4.1,0
2026-07-10T16:00:00+00:00,4.1,4.1,4.1,4.1,0
2026-07-10T16:05:00+00:00,4.1,4.1,4.1,4.1,0
2026-07-10T16:10:00+00:00,4.1,4.1,4.1,4.1,0
2026-07-10T16:15:00+00:00,4.1,4.1,4.1,4.1,0
2026-07-10T16:20:00+00:00,4.1,4.1,4.1,4.1,0
2026-07-10T16:25:00+00:00,4.1,4.1,4.1,4.1,0
2026-07-10T16:30:00+00:00,4.1,4.1,4.1,4.1,0
2026-07-10T16:35:00+00:00,4.1,4.1,4.1,4.1,0
2026-07-10T16:40:00+00:00,4.1,4.1,4.1,4.1,0
2026-07-10T16:45:00+00:00,4.1,4.1,4.1,4.1,0
