ts,o,h,l,c,v
2026-07-31T14:00:00+00:00,0.63,0.63,0.63,0.63,1
2026-07-31T14:05:00+00:00,0.63,0.63,0.63,0.63,0
2026-07-31T14:10:00+00:00,0.59,0.59,0.59,0.59,1
2026-07-31T14:15:00+00:00,0.59,0.59,0.59,0.59,0
2026-07-31T14:20:00+00:00,0.59,0.59,0.59,0.59,0
2026-07-31T14:25:00+00:00,0.59,0.59,0.59,0.59,0
2026-07-31T14:30:00+00:00,0.59,0.59,0.59,0.59,0
2026-07-31T14:35:00+00:00,0.59,0.59,0.59,0.59,0
2026-07-31T14:40:00+00:00,0.59,0.59,0.59,0.59,0
2026-07-31T14:45:00+00:00,0.45,0.45,0.45,0.45,1
2026-07-31T14:50:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T14:55:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T15:00:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T15:05:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T15:10:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T15:15:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T15:20:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T15:25:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T15:30:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T15:35:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T15:40:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T15:45:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T15:50:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T15:55:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T16:00:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T16:05:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T16:10:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T16:15:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T16:20:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T16:25:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T16:30:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T16:35:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T16:40:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T16:45:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T16:50:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T16:55:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T17:00:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T17:05:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T17:10:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T17:15:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T17:20:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T17:25:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T17:30:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T17:35:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T17:40:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T17:45:00+00:00,0.45,0.45,0.45,0.45,0
2026-07-31T17:50:00+00:00,0.45,0.45,0.45,0.45,0
