ts,o,h,l,c,v
2026-06-24T18:25:00+00:00,10.8,10.8,10.8,10.8,0
2026-06-24T18:30:00+00:00,10.8,10.8,10.8,10.8,0
2026-06-24T18:35:00+00:00,10.8,10.8,10.8,10.8,0
2026-06-24T18:40:00+00:00,10.8,10.8,10.8,10.8,0
2026-06-24T18:45:00+00:00,10.8,10.8,10.8,10.8,0
2026-06-24T18:50:00+00:00,10.8,10.8,10.8,10.8,0
2026-06-24T18:55:00+00:00,10.8,10.8,10.8,10.8,0
2026-06-24T19:00:00+00:00,10.8,10.8,10.8,10.8,0
2026-06-24T19:05:00+00:00,12.18,12.18,12.18,12.18,1
2026-06-24T19:10:00+00:00,12.18,12.18,12.18,12.18,0
2026-06-24T19:15:00+00:00,12.18,12.18,12.18,12.18,0
2026-06-24T19:20:00+00:00,12.18,12.18,12.18,12.18,0
2026-06-24T19:25:00+00:00,11.91,11.91,11.91,11.91,1
2026-06-24T19:30:00+00:00,11.91,11.91,11.91,11.91,0
2026-06-24T19:35:00+00:00,11.91,11.91,11.91,11.91,0
2026-06-24T19:40:00+00:00,12.09,12.09,12.09,12.09,5
2026-06-24T19:45:00+00:00,12.09,12.09,12.09,12.09,0
2026-06-24T19:50:00+00:00,11.55,11.55,11.55,11.55,1
2026-06-24T19:55:00+00:00,11.1,11.1,11.1,11.1,13
2026-06-25T13:30:00+00:00,11.1,11.1,11.1,11.1,0
2026-06-25T13:35:00+00:00,11.1,11.1,11.1,11.1,0
2026-06-25T13:40:00+00:00,11.1,11.1,11.1,11.1,0
2026-06-25T13:45:00+00:00,14.2,14.2,14.0,14.0,37
2026-06-25T13:50:00+00:00,14.0,14.0,14.0,14.0,0
2026-06-25T13:55:00+00:00,15.15,15.6,15.15,15.6,6
2026-06-25T14:00:00+00:00,15.6,15.6,15.6,15.6,0
2026-06-25T14:05:00+00:00,15.6,15.6,15.6,15.6,0
2026-06-25T14:10:00+00:00,15.6,15.6,15.6,15.6,0
2026-06-25T14:15:00+00:00,15.6,15.6,15.6,15.6,0
2026-06-25T14:20:00+00:00,15.6,15.6,15.6,15.6,0
2026-06-25T14:25:00+00:00,15.6,15.6,15.6,15.6,0
2026-06-25T14:30:00+00:00,15.6,15.6,15.6,15.6,0
2026-06-25T14:35:00+00:00,14.05,14.07,14.05,14.05,20
2026-06-25T14:40:00+00:00,14.05,14.05,14.05,14.05,0
2026-06-25T14:45:00+00:00,14.05,14.05,14.05,14.05,0
2026-06-25T14:50:00+00:00,14.05,14.05,14.05,14.05,0
2026-06-25T14:55:00+00:00,12.85,12.85,12.85,12.85,2
2026-06-25T15:00:00+00:00,13.4,13.4,13.4,13.4,2
2026-06-25T15:05:00+00:00,13.4,13.4,13.4,13.4,0
2026-06-25T15:10:00+00:00,13.39,13.47,13.39,13.47,3
2026-06-25T15:15:00+00:00,13.47,13.47,13.47,13.47,0
2026-06-25T15:20:00+00:00,13.47,13.47,13.47,13.47,0
2026-06-25T15:25:00+00:00,13.47,13.47,13.47,13.47,0
2026-06-25T15:30:00+00:00,13.47,13.47,13.47,13.47,0
2026-06-25T15:35:00+00:00,13.47,13.47,13.47,13.47,0
