ts,o,h,l,c,v
2026-07-27T17:55:00+00:00,5.04,5.15,4.98,5.05,7
2026-07-27T18:00:00+00:00,5.08,5.22,5.08,5.1,12
2026-07-27T18:05:00+00:00,5.05,5.1,5.0,5.06,8
2026-07-27T18:10:00+00:00,5.05,5.07,5.05,5.07,3
2026-07-27T18:15:00+00:00,5.0,5.0,4.79,4.93,14
2026-07-27T18:20:00+00:00,4.94,4.94,4.86,4.86,2
2026-07-27T18:25:00+00:00,5.0,5.01,5.0,5.01,3
2026-07-27T18:30:00+00:00,4.87,4.87,4.81,4.81,3
2026-07-27T18:35:00+00:00,4.76,4.82,4.72,4.72,2002
2026-07-27T18:40:00+00:00,4.66,5.0,4.66,5.0,17
2026-07-27T18:45:00+00:00,5.0,5.0,5.0,5.0,1
2026-07-27T18:50:00+00:00,5.21,5.43,5.2,5.41,22
2026-07-27T18:55:00+00:00,5.56,5.59,5.4,5.53,11
2026-07-27T19:00:00+00:00,5.52,5.6,5.5,5.53,8
2026-07-27T19:05:00+00:00,5.57,5.81,5.57,5.81,38
2026-07-27T19:10:00+00:00,5.9,5.9,5.65,5.65,45
2026-07-27T19:15:00+00:00,5.73,5.75,5.73,5.75,16
2026-07-27T19:20:00+00:00,5.81,5.9,5.81,5.83,3
2026-07-27T19:25:00+00:00,5.85,6.0,5.85,6.0,38
2026-07-27T19:30:00+00:00,6.02,6.1,6.0,6.1,11
2026-07-27T19:35:00+00:00,5.95,5.95,5.7,5.7,12
2026-07-27T19:40:00+00:00,5.65,5.65,5.5,5.54,9
2026-07-27T19:45:00+00:00,5.53,5.53,5.4,5.4,5
2026-07-27T19:50:00+00:00,5.5,5.53,5.5,5.53,3
2026-07-27T19:55:00+00:00,5.63,5.7,5.62,5.64,106
2026-07-27T20:00:00+00:00,5.55,5.55,5.55,5.55,3
2026-07-27T20:05:00+00:00,5.65,5.65,5.5,5.54,26
2026-07-27T20:10:00+00:00,5.54,5.54,5.5,5.5,18
2026-07-28T13:30:00+00:00,3.98,3.98,3.6,3.69,18
2026-07-28T13:35:00+00:00,3.63,3.7,3.25,3.25,81
2026-07-28T13:40:00+00:00,3.19,3.4,3.05,3.11,141
2026-07-28T13:45:00+00:00,3.08,3.08,2.77,3.0,413
2026-07-28T13:50:00+00:00,3.1,3.18,2.86,2.86,235
2026-07-28T13:55:00+00:00,2.8,2.9,2.69,2.69,51
2026-07-28T14:00:00+00:00,2.76,2.92,2.76,2.8,179
2026-07-28T14:05:00+00:00,2.84,3.0,2.64,2.65,145
2026-07-28T14:10:00+00:00,2.6,2.74,2.37,2.37,70
2026-07-28T14:15:00+00:00,2.46,2.46,2.34,2.34,67
2026-07-28T14:20:00+00:00,2.38,2.58,2.3,2.58,28
2026-07-28T14:25:00+00:00,2.55,2.58,2.51,2.58,14
2026-07-28T14:30:00+00:00,2.55,2.61,2.44,2.55,39
2026-07-28T14:35:00+00:00,2.5,2.73,2.5,2.57,20
2026-07-28T14:40:00+00:00,2.72,2.82,2.72,2.78,123
2026-07-28T14:45:00+00:00,2.72,3.04,2.72,3.04,19
2026-07-28T14:50:00+00:00,3.11,3.15,3.07,3.07,43
2026-07-28T14:55:00+00:00,3.0,3.0,2.87,2.87,16
2026-07-28T15:00:00+00:00,2.89,3.01,2.89,2.95,72
2026-07-28T15:05:00+00:00,2.95,3.0,2.9,3.0,9
2026-07-28T15:10:00+00:00,3.07,3.22,3.05,3.22,20
2026-07-28T15:15:00+00:00,3.05,3.4,3.05,3.4,25
2026-07-28T15:20:00+00:00,3.43,3.61,3.43,3.6,70
2026-07-28T15:25:00+00:00,3.67,3.78,3.62,3.62,117
2026-07-28T15:30:00+00:00,3.65,3.75,3.65,3.7,25
2026-07-28T15:35:00+00:00,3.76,3.8,3.76,3.8,28
2026-07-28T15:40:00+00:00,3.8,3.94,3.8,3.94,277
2026-07-28T15:45:00+00:00,3.96,4.02,3.96,3.98,487
2026-07-28T15:50:00+00:00,3.9,3.93,3.83,3.89,117
2026-07-28T15:55:00+00:00,3.9,4.06,3.9,4.01,77
2026-07-28T16:00:00+00:00,3.93,4.07,3.93,3.99,128
2026-07-28T16:05:00+00:00,4.0,4.05,3.83,3.83,7
2026-07-28T16:10:00+00:00,3.77,3.77,3.73,3.73,51
2026-07-28T16:15:00+00:00,3.71,3.87,3.71,3.87,13
2026-07-28T16:20:00+00:00,3.92,3.92,3.81,3.81,104
2026-07-28T16:25:00+00:00,3.73,3.78,3.73,3.78,11
2026-07-28T16:30:00+00:00,3.69,3.7,3.56,3.7,79
2026-07-28T16:35:00+00:00,3.66,3.79,3.66,3.77,10
2026-07-28T16:40:00+00:00,3.88,3.95,3.87,3.95,10
2026-07-28T16:45:00+00:00,3.78,3.81,3.78,3.81,3
2026-07-28T16:50:00+00:00,4.08,4.2,4.08,4.16,6
2026-07-28T16:55:00+00:00,4.13,4.13,4.1,4.12,25
2026-07-28T17:00:00+00:00,3.94,3.94,3.87,3.87,19
2026-07-28T17:05:00+00:00,3.88,3.9,3.69,3.69,126
2026-07-28T17:10:00+00:00,3.6,3.75,3.6,3.67,261
2026-07-28T17:15:00+00:00,3.69,3.71,3.6,3.7,46
2026-07-28T17:20:00+00:00,3.68,3.83,3.66,3.73,51
2026-07-28T17:25:00+00:00,3.58,3.7,3.58,3.69,7
2026-07-28T17:30:00+00:00,3.63,3.63,3.63,3.63,1
2026-07-28T17:35:00+00:00,3.63,3.63,3.63,3.63,0
2026-07-28T17:40:00+00:00,3.5,3.5,3.46,3.47,33
2026-07-28T17:45:00+00:00,3.48,3.48,3.43,3.43,55
2026-07-28T17:50:00+00:00,3.46,3.46,3.4,3.41,10
2026-07-28T17:55:00+00:00,3.42,3.57,3.38,3.57,10
2026-07-28T18:00:00+00:00,3.69,3.69,3.55,3.55,7
2026-07-28T18:05:00+00:00,3.55,3.55,3.55,3.55,0
2026-07-28T18:10:00+00:00,3.4,3.4,3.38,3.38,6
2026-07-28T18:15:00+00:00,3.42,3.42,3.33,3.36,8
2026-07-28T18:20:00+00:00,3.38,3.38,3.33,3.35,4
2026-07-28T18:25:00+00:00,3.33,3.33,3.33,3.33,1
2026-07-28T18:30:00+00:00,3.41,3.5,3.4,3.5,8
2026-07-28T18:35:00+00:00,3.48,3.48,3.48,3.48,1
2026-07-28T18:40:00+00:00,3.36,3.36,3.36,3.36,4
2026-07-28T18:45:00+00:00,3.46,3.54,3.46,3.52,8
2026-07-28T18:50:00+00:00,3.54,3.54,3.52,3.52,2
2026-07-28T18:55:00+00:00,3.45,3.52,3.45,3.52,3
2026-07-28T19:00:00+00:00,3.56,3.8,3.56,3.8,55
2026-07-28T19:05:00+00:00,3.76,3.8,3.59,3.62,57
2026-07-28T19:10:00+00:00,3.58,3.6,3.58,3.6,2
2026-07-28T19:15:00+00:00,3.57,3.62,3.57,3.62,2
2026-07-28T19:20:00+00:00,3.74,3.77,3.74,3.77,5
2026-07-28T19:25:00+00:00,3.75,3.76,3.62,3.76,15
2026-07-28T19:30:00+00:00,3.74,3.74,3.74,3.74,2
2026-07-28T19:35:00+00:00,3.68,3.68,3.52,3.57,1080
2026-07-28T19:40:00+00:00,3.48,3.5,3.45,3.45,8
2026-07-28T19:45:00+00:00,3.48,3.48,3.4,3.43,13
2026-07-28T19:50:00+00:00,3.39,3.55,3.39,3.55,6
2026-07-28T19:55:00+00:00,3.55,3.55,3.25,3.26,385
2026-07-28T20:00:00+00:00,3.32,3.32,3.21,3.24,45
2026-07-28T20:05:00+00:00,3.4,3.4,3.12,3.2,853
2026-07-28T20:10:00+00:00,3.2,3.35,3.2,3.29,102
