ts,o,h,l,c,v
2026-07-14T13:30:00+00:00,2.5,2.5,1.16,1.2,33
2026-07-14T13:35:00+00:00,1.15,1.25,0.85,1.1,58
2026-07-14T13:40:00+00:00,0.96,1.08,0.6,0.8,83
2026-07-14T13:45:00+00:00,0.9,0.9,0.75,0.9,25
2026-07-14T13:50:00+00:00,1.0,1.15,0.9,1.1,90
2026-07-14T13:55:00+00:00,1.15,1.4,1.1,1.15,122
2026-07-14T14:00:00+00:00,1.15,1.15,0.85,0.9,32
2026-07-14T14:05:00+00:00,0.85,0.85,0.65,0.66,27
2026-07-14T14:10:00+00:00,0.6,0.85,0.6,0.83,29
2026-07-14T14:15:00+00:00,0.8,0.84,0.75,0.84,17
2026-07-14T14:20:00+00:00,0.85,0.9,0.75,0.75,65
2026-07-14T14:25:00+00:00,0.8,0.85,0.8,0.8,6
2026-07-14T14:30:00+00:00,0.85,0.9,0.81,0.85,89
2026-07-14T14:35:00+00:00,0.9,0.95,0.8,0.85,110
2026-07-14T14:40:00+00:00,0.85,0.9,0.85,0.85,13
2026-07-14T14:45:00+00:00,0.9,1.0,0.8,0.8,9
2026-07-14T14:50:00+00:00,0.85,1.0,0.8,1.0,32
2026-07-14T14:55:00+00:00,1.03,1.65,1.02,1.55,161
2026-07-14T15:00:00+00:00,1.55,1.65,1.5,1.55,494
2026-07-14T15:05:00+00:00,1.55,2.45,1.5,2.43,86
2026-07-14T15:10:00+00:00,2.45,3.1,2.35,2.9,237
2026-07-14T15:15:00+00:00,2.9,3.0,2.5,2.65,169
2026-07-14T15:20:00+00:00,2.82,3.6,2.76,3.5,288
2026-07-14T15:25:00+00:00,3.5,4.1,3.39,3.5,377
2026-07-14T15:30:00+00:00,3.5,3.5,2.91,3.2,499
2026-07-14T15:35:00+00:00,3.22,3.6,3.1,3.5,152
2026-07-14T15:40:00+00:00,3.5,3.5,2.79,2.8,502
2026-07-14T15:45:00+00:00,2.8,3.12,2.7,3.0,67
2026-07-14T15:50:00+00:00,3.1,3.1,2.5,2.7,93
2026-07-14T15:55:00+00:00,2.72,2.85,2.65,2.65,27
2026-07-14T16:00:00+00:00,2.73,2.85,2.6,2.85,54
