ts,o,h,l,c,v
2026-07-27T14:40:00+00:00,10.0,10.15,10.0,10.15,3
2026-07-27T14:45:00+00:00,9.71,9.71,9.71,9.71,2
2026-07-27T14:50:00+00:00,9.7,9.7,9.5,9.5,6
2026-07-27T14:55:00+00:00,9.27,9.27,9.27,9.27,1
2026-07-27T15:00:00+00:00,9.2,9.2,9.2,9.2,2
2026-07-27T15:05:00+00:00,9.2,9.2,9.2,9.2,0
2026-07-27T15:10:00+00:00,9.2,9.3,9.2,9.3,8
2026-07-27T15:15:00+00:00,9.3,9.3,9.3,9.3,0
2026-07-27T15:20:00+00:00,8.91,8.91,8.8,8.8,2
2026-07-27T15:25:00+00:00,8.8,8.8,8.8,8.8,0
2026-07-27T15:30:00+00:00,8.9,9.0,8.9,9.0,2
2026-07-27T15:35:00+00:00,9.03,9.03,9.03,9.03,1
2026-07-27T15:40:00+00:00,8.9,8.9,8.9,8.9,1
2026-07-27T15:45:00+00:00,8.9,8.9,8.9,8.9,0
2026-07-27T15:50:00+00:00,8.9,8.9,8.9,8.9,0
2026-07-27T15:55:00+00:00,8.9,8.9,8.9,8.9,0
2026-07-27T16:00:00+00:00,9.0,9.0,9.0,9.0,21
2026-07-27T16:05:00+00:00,9.0,9.03,9.0,9.03,51
2026-07-27T16:10:00+00:00,8.9,8.9,8.9,8.9,1
2026-07-27T16:15:00+00:00,8.9,8.9,8.9,8.9,0
2026-07-27T16:20:00+00:00,8.94,8.94,8.94,8.94,5
2026-07-27T16:25:00+00:00,8.94,8.94,8.94,8.94,0
2026-07-27T16:30:00+00:00,8.94,8.94,8.94,8.94,0
2026-07-27T16:35:00+00:00,9.1,9.1,9.1,9.1,5
2026-07-27T16:40:00+00:00,9.3,9.3,9.3,9.3,5
2026-07-27T16:45:00+00:00,9.3,9.3,9.3,9.3,0
2026-07-27T16:50:00+00:00,9.49,9.49,9.49,9.49,1
2026-07-27T16:55:00+00:00,9.55,9.6,9.55,9.6,3
2026-07-27T17:00:00+00:00,9.7,9.7,9.7,9.7,1
2026-07-27T17:05:00+00:00,9.76,9.76,9.69,9.69,2
2026-07-27T17:10:00+00:00,9.69,9.69,9.69,9.69,0
2026-07-27T17:15:00+00:00,9.7,9.7,9.7,9.7,3
2026-07-27T17:20:00+00:00,9.7,9.7,9.7,9.7,0
2026-07-27T17:25:00+00:00,9.7,9.7,9.7,9.7,0
2026-07-27T17:30:00+00:00,9.7,9.7,9.7,9.7,0
2026-07-27T17:35:00+00:00,9.7,9.7,9.7,9.7,2
2026-07-27T17:40:00+00:00,9.72,9.72,9.72,9.72,2
2026-07-27T17:45:00+00:00,9.67,9.67,9.67,9.67,3
2026-07-27T17:50:00+00:00,9.67,9.67,9.67,9.67,0
2026-07-27T17:55:00+00:00,9.67,9.67,9.67,9.67,0
2026-07-27T18:00:00+00:00,9.67,9.67,9.67,9.67,0
2026-07-27T18:05:00+00:00,9.67,9.67,9.67,9.67,0
2026-07-27T18:10:00+00:00,9.6,9.6,9.6,9.6,1
2026-07-27T18:15:00+00:00,9.6,9.6,9.6,9.6,0
2026-07-27T18:20:00+00:00,9.53,9.53,9.52,9.52,2
2026-07-27T18:25:00+00:00,9.52,9.52,9.52,9.52,0
2026-07-27T18:30:00+00:00,9.52,9.52,9.52,9.52,0
2026-07-27T18:35:00+00:00,9.52,9.52,9.52,9.52,0
2026-07-27T18:40:00+00:00,9.52,9.52,9.52,9.52,0
2026-07-27T18:45:00+00:00,9.52,9.52,9.52,9.52,0
2026-07-27T18:50:00+00:00,9.52,9.52,9.52,9.52,0
2026-07-27T18:55:00+00:00,9.22,9.22,9.22,9.22,3
2026-07-27T19:00:00+00:00,9.22,9.22,9.22,9.22,0
2026-07-27T19:05:00+00:00,9.22,9.22,9.22,9.22,0
2026-07-27T19:10:00+00:00,9.3,9.3,9.3,9.3,1
2026-07-27T19:15:00+00:00,9.3,9.3,9.3,9.3,0
2026-07-27T19:20:00+00:00,9.4,9.4,9.4,9.4,5
2026-07-27T19:25:00+00:00,9.41,9.41,9.3,9.3,12
2026-07-27T19:30:00+00:00,9.1,9.1,9.1,9.1,21
2026-07-27T19:35:00+00:00,9.0,9.0,9.0,9.0,1
2026-07-27T19:40:00+00:00,9.0,9.0,9.0,9.0,0
2026-07-27T19:45:00+00:00,9.0,9.0,9.0,9.0,1
2026-07-27T19:50:00+00:00,9.0,9.0,9.0,9.0,0
2026-07-27T19:55:00+00:00,8.93,9.0,8.82,8.82,30
2026-07-28T13:30:00+00:00,8.82,8.82,8.82,8.82,0
2026-07-28T13:35:00+00:00,10.8,10.9,10.8,10.9,2
2026-07-28T13:40:00+00:00,10.99,10.99,10.7,10.7,65
2026-07-28T13:45:00+00:00,10.8,10.95,10.78,10.83,13
2026-07-28T13:50:00+00:00,10.83,10.83,10.83,10.83,0
2026-07-28T13:55:00+00:00,10.7,10.8,10.7,10.8,23
2026-07-28T14:00:00+00:00,10.8,10.8,10.8,10.8,0
2026-07-28T14:05:00+00:00,10.32,10.38,10.32,10.38,2
2026-07-28T14:10:00+00:00,10.38,10.38,10.38,10.38,0
2026-07-28T14:15:00+00:00,10.2,10.2,10.2,10.2,12
2026-07-28T14:20:00+00:00,10.1,10.1,9.7,9.7,7
2026-07-28T14:25:00+00:00,9.7,9.7,9.7,9.7,0
2026-07-28T14:30:00+00:00,9.7,9.7,9.7,9.7,0
2026-07-28T14:35:00+00:00,9.4,9.4,9.3,9.34,11
2026-07-28T14:40:00+00:00,9.15,9.15,8.98,8.98,5
2026-07-28T14:45:00+00:00,8.8,8.8,8.7,8.7,4
2026-07-28T14:50:00+00:00,8.3,8.3,8.3,8.3,3
2026-07-28T14:55:00+00:00,8.54,8.54,8.54,8.54,1
2026-07-28T15:00:00+00:00,8.55,8.55,8.55,8.55,3
2026-07-28T15:05:00+00:00,8.34,8.4,8.3,8.4,700
2026-07-28T15:10:00+00:00,8.4,8.4,8.4,8.4,0
2026-07-28T15:15:00+00:00,8.2,8.2,8.2,8.2,2
2026-07-28T15:20:00+00:00,7.77,7.77,7.77,7.77,1
2026-07-28T15:25:00+00:00,7.7,7.7,7.65,7.65,6
2026-07-28T15:30:00+00:00,7.65,7.65,7.65,7.65,0
2026-07-28T15:35:00+00:00,7.7,7.7,7.7,7.7,1
2026-07-28T15:40:00+00:00,7.7,7.7,7.7,7.7,0
2026-07-28T15:45:00+00:00,8.0,8.0,8.0,8.0,1
2026-07-28T15:50:00+00:00,8.0,8.0,8.0,8.0,0
2026-07-28T15:55:00+00:00,7.9,7.9,7.9,7.9,2
2026-07-28T16:00:00+00:00,7.9,7.9,7.9,7.9,0
2026-07-28T16:05:00+00:00,7.77,7.98,7.77,7.98,10
2026-07-28T16:10:00+00:00,7.98,7.98,7.98,7.98,0
2026-07-28T16:15:00+00:00,7.98,7.98,7.98,7.98,0
2026-07-28T16:20:00+00:00,7.98,7.98,7.98,7.98,0
2026-07-28T16:25:00+00:00,7.97,7.97,7.97,7.97,1
2026-07-28T16:30:00+00:00,7.93,7.93,7.8,7.8,3
2026-07-28T16:35:00+00:00,7.8,7.8,7.8,7.8,0
2026-07-28T16:40:00+00:00,7.8,7.8,7.8,7.8,0
2026-07-28T16:45:00+00:00,7.8,7.8,7.8,7.8,0
2026-07-28T16:50:00+00:00,7.8,7.8,7.8,7.8,0
2026-07-28T16:55:00+00:00,7.8,7.8,7.8,7.8,0
2026-07-28T17:00:00+00:00,7.8,7.8,7.8,7.8,0
2026-07-28T17:05:00+00:00,7.8,7.8,7.8,7.8,0
2026-07-28T17:10:00+00:00,7.8,7.8,7.8,7.8,0
2026-07-28T17:15:00+00:00,7.8,7.8,7.8,7.8,0
2026-07-28T17:20:00+00:00,7.8,7.8,7.8,7.8,0
2026-07-28T17:25:00+00:00,7.8,7.8,7.8,7.8,0
2026-07-28T17:30:00+00:00,7.8,7.8,7.8,7.8,0
2026-07-28T17:35:00+00:00,7.9,7.9,7.9,7.9,2
2026-07-28T17:40:00+00:00,7.8,7.8,7.8,7.8,1
2026-07-28T17:45:00+00:00,7.78,7.78,7.78,7.78,20
2026-07-28T17:50:00+00:00,7.79,7.79,7.79,7.79,1
2026-07-28T17:55:00+00:00,7.79,7.79,7.79,7.79,0
2026-07-28T18:00:00+00:00,7.7,7.7,7.7,7.7,6
2026-07-28T18:05:00+00:00,7.7,7.7,7.7,7.7,0
2026-07-28T18:10:00+00:00,7.7,7.7,7.7,7.7,0
2026-07-28T18:15:00+00:00,7.7,7.7,7.7,7.7,0
2026-07-28T18:20:00+00:00,7.4,7.4,7.4,7.4,1
2026-07-28T18:25:00+00:00,7.4,7.4,7.4,7.4,0
2026-07-28T18:30:00+00:00,7.4,7.4,7.4,7.4,0
2026-07-28T18:35:00+00:00,7.5,7.5,7.5,7.5,2
2026-07-28T18:40:00+00:00,7.58,7.58,7.58,7.58,1
2026-07-28T18:45:00+00:00,7.58,7.58,7.58,7.58,0
2026-07-28T18:50:00+00:00,7.58,7.58,7.58,7.58,0
2026-07-28T18:55:00+00:00,7.58,7.58,7.58,7.58,0
2026-07-28T19:00:00+00:00,7.42,7.43,7.42,7.42,7
2026-07-28T19:05:00+00:00,7.3,7.3,7.3,7.3,1
2026-07-28T19:10:00+00:00,7.3,7.3,7.3,7.3,0
2026-07-28T19:15:00+00:00,7.5,7.5,7.5,7.5,151
2026-07-28T19:20:00+00:00,7.5,7.5,7.5,7.5,200
2026-07-28T19:25:00+00:00,7.4,7.4,7.4,7.4,50
2026-07-28T19:30:00+00:00,7.35,7.4,7.35,7.36,100
2026-07-28T19:35:00+00:00,7.36,7.36,7.36,7.36,0
2026-07-28T19:40:00+00:00,7.36,7.36,7.36,7.36,0
2026-07-28T19:45:00+00:00,7.6,7.6,7.6,7.6,6
2026-07-28T19:50:00+00:00,7.6,7.6,7.6,7.6,0
2026-07-28T19:55:00+00:00,7.4,7.4,7.4,7.4,1
2026-07-29T13:30:00+00:00,8.05,8.05,7.9,8.02,9
2026-07-29T13:35:00+00:00,7.9,7.9,7.7,7.7,4
2026-07-29T13:40:00+00:00,8.1,8.1,8.1,8.1,1
2026-07-29T13:45:00+00:00,8.1,8.1,8.1,8.1,0
2026-07-29T13:50:00+00:00,8.5,8.5,8.5,8.5,50
2026-07-29T13:55:00+00:00,8.68,8.68,8.68,8.68,1
2026-07-29T14:00:00+00:00,8.68,8.68,8.68,8.68,0
2026-07-29T14:05:00+00:00,8.19,8.19,8.12,8.12,11
2026-07-29T14:10:00+00:00,8.12,8.12,8.12,8.12,0
2026-07-29T14:15:00+00:00,8.05,8.05,8.05,8.05,1
2026-07-29T14:20:00+00:00,8.28,8.28,8.28,8.28,1
2026-07-29T14:25:00+00:00,8.28,8.28,8.28,8.28,0
2026-07-29T14:30:00+00:00,8.13,8.16,8.13,8.16,6
2026-07-29T14:35:00+00:00,8.24,8.3,8.24,8.3,3
2026-07-29T14:40:00+00:00,8.3,8.3,8.3,8.3,0
2026-07-29T14:45:00+00:00,8.3,8.3,8.3,8.3,0
2026-07-29T14:50:00+00:00,8.3,8.3,8.3,8.3,0
2026-07-29T14:55:00+00:00,8.47,8.47,8.47,8.47,7
2026-07-29T15:00:00+00:00,8.47,8.47,8.47,8.47,0
2026-07-29T15:05:00+00:00,8.47,8.47,8.47,8.47,0
2026-07-29T15:10:00+00:00,8.41,8.41,8.41,8.41,1
2026-07-29T15:15:00+00:00,8.41,8.41,8.41,8.41,0
2026-07-29T15:20:00+00:00,8.7,8.7,8.7,8.7,1
2026-07-29T15:25:00+00:00,8.7,8.7,8.7,8.7,0
2026-07-29T15:30:00+00:00,8.5,8.5,8.5,8.5,1
2026-07-29T15:35:00+00:00,8.5,8.5,8.5,8.5,0
2026-07-29T15:40:00+00:00,8.5,8.5,8.5,8.5,0
2026-07-29T15:45:00+00:00,8.5,8.5,8.5,8.5,0
2026-07-29T15:50:00+00:00,8.53,8.53,8.53,8.53,1
2026-07-29T15:55:00+00:00,8.78,8.78,8.7,8.7,2
2026-07-29T16:00:00+00:00,8.7,8.7,8.7,8.7,0
2026-07-29T16:05:00+00:00,8.7,8.7,8.7,8.7,0
2026-07-29T16:10:00+00:00,8.68,8.68,8.68,8.68,1
2026-07-29T16:15:00+00:00,8.68,8.68,8.68,8.68,0
2026-07-29T16:20:00+00:00,8.7,8.7,8.6,8.6,100
2026-07-29T16:25:00+00:00,8.6,8.6,8.6,8.6,0
2026-07-29T16:30:00+00:00,8.6,8.6,8.6,8.6,0
2026-07-29T16:35:00+00:00,8.19,8.19,7.94,7.94,2
2026-07-29T16:40:00+00:00,7.94,7.94,7.94,7.94,0
2026-07-29T16:45:00+00:00,7.91,7.91,7.91,7.91,1
2026-07-29T16:50:00+00:00,7.5,7.5,7.5,7.5,1
2026-07-29T16:55:00+00:00,7.3,7.4,7.2,7.2,15
2026-07-29T17:00:00+00:00,7.2,7.2,7.2,7.2,0
2026-07-29T17:05:00+00:00,7.2,7.2,7.2,7.2,0
2026-07-29T17:10:00+00:00,7.02,7.04,7.02,7.04,10
2026-07-29T17:15:00+00:00,7.0,7.0,7.0,7.0,4
2026-07-29T17:20:00+00:00,7.0,7.0,7.0,7.0,1
2026-07-29T17:25:00+00:00,7.19,7.34,7.19,7.2,15
2026-07-29T17:30:00+00:00,7.2,7.2,7.2,7.2,0
2026-07-29T17:35:00+00:00,7.5,7.5,7.5,7.5,77
2026-07-29T17:40:00+00:00,7.5,7.5,7.5,7.5,0
2026-07-29T17:45:00+00:00,7.5,7.5,7.5,7.5,0
2026-07-29T17:50:00+00:00,7.5,7.5,7.5,7.5,0
2026-07-29T17:55:00+00:00,7.5,7.5,7.5,7.5,0
2026-07-29T18:00:00+00:00,7.5,7.5,7.5,7.5,10
2026-07-29T18:05:00+00:00,7.5,7.5,7.45,7.45,4
2026-07-29T18:10:00+00:00,7.45,7.45,7.45,7.45,0
2026-07-29T18:15:00+00:00,7.45,7.45,7.45,7.45,0
2026-07-29T18:20:00+00:00,7.45,7.45,7.45,7.45,0
2026-07-29T18:25:00+00:00,7.45,7.45,7.45,7.45,0
2026-07-29T18:30:00+00:00,7.45,7.45,7.45,7.45,0
2026-07-29T18:35:00+00:00,7.45,7.45,7.45,7.45,0
2026-07-29T18:40:00+00:00,7.45,7.45,7.45,7.45,0
2026-07-29T18:45:00+00:00,7.45,7.45,7.45,7.45,0
2026-07-29T18:50:00+00:00,7.4,7.4,7.4,7.4,1
2026-07-29T18:55:00+00:00,7.3,7.3,7.3,7.3,5
2026-07-29T19:00:00+00:00,7.2,7.2,7.1,7.1,3
2026-07-29T19:05:00+00:00,7.6,7.6,7.6,7.6,25
2026-07-29T19:10:00+00:00,7.7,7.75,7.7,7.75,2
2026-07-29T19:15:00+00:00,7.75,7.75,7.75,7.75,0
2026-07-29T19:20:00+00:00,7.75,7.75,7.75,7.75,0
2026-07-29T19:25:00+00:00,8.36,8.36,8.36,8.36,1
2026-07-29T19:30:00+00:00,8.36,8.36,8.36,8.36,0
2026-07-29T19:35:00+00:00,8.36,8.36,8.36,8.36,0
2026-07-29T19:40:00+00:00,8.86,8.9,8.86,8.9,2
2026-07-29T19:45:00+00:00,8.9,9.1,8.9,9.1,4
2026-07-29T19:50:00+00:00,9.1,9.1,9.1,9.1,0
2026-07-29T19:55:00+00:00,8.5,8.5,8.5,8.5,2
2026-07-30T13:30:00+00:00,6.85,7.47,6.55,7.47,304
2026-07-30T13:35:00+00:00,7.5,7.5,7.45,7.45,2
