ts,o,h,l,c,v
2026-06-30T17:55:00+00:00,7.5,7.5,7.46,7.46,3
2026-06-30T18:00:00+00:00,7.35,7.36,7.31,7.31,4
2026-06-30T18:05:00+00:00,7.44,7.44,7.44,7.44,1
2026-06-30T18:10:00+00:00,7.35,7.35,7.35,7.35,2
2026-06-30T18:15:00+00:00,7.34,7.37,7.34,7.34,43
2026-06-30T18:20:00+00:00,7.22,7.31,7.22,7.31,17
2026-06-30T18:25:00+00:00,7.35,7.35,7.35,7.35,30
2026-06-30T18:30:00+00:00,7.44,7.47,7.44,7.45,33
2026-06-30T18:35:00+00:00,7.46,7.46,7.46,7.46,10
2026-06-30T18:40:00+00:00,7.34,7.34,7.33,7.33,6
2026-06-30T18:45:00+00:00,7.22,7.22,7.16,7.16,17
2026-06-30T18:50:00+00:00,7.16,7.16,7.16,7.16,0
2026-06-30T18:55:00+00:00,7.16,7.16,7.16,7.16,0
2026-06-30T19:00:00+00:00,7.16,7.16,7.16,7.16,0
2026-06-30T19:05:00+00:00,7.16,7.16,7.11,7.11,4
2026-06-30T19:10:00+00:00,6.9,6.92,6.9,6.92,3
2026-06-30T19:15:00+00:00,6.93,6.93,6.81,6.9,38
2026-06-30T19:20:00+00:00,6.99,6.99,6.99,6.99,2
2026-06-30T19:25:00+00:00,6.99,6.99,6.99,6.99,0
2026-06-30T19:30:00+00:00,7.0,7.0,7.0,7.0,3
2026-06-30T19:35:00+00:00,7.25,7.25,7.21,7.21,2
2026-06-30T19:40:00+00:00,7.22,7.26,7.13,7.13,38
2026-06-30T19:45:00+00:00,7.06,7.21,7.06,7.21,12
2026-06-30T19:50:00+00:00,7.3,7.3,7.23,7.23,2
2026-06-30T19:55:00+00:00,6.84,7.39,6.84,7.39,36
2026-06-30T20:00:00+00:00,7.39,7.39,7.39,7.39,0
2026-06-30T20:05:00+00:00,7.39,7.39,7.39,7.39,0
2026-06-30T20:10:00+00:00,7.39,7.39,7.39,7.39,0
2026-07-01T13:30:00+00:00,8.55,9.32,8.2,9.32,113
2026-07-01T13:35:00+00:00,9.3,9.33,8.99,8.99,10
2026-07-01T13:40:00+00:00,8.87,8.87,8.87,8.87,10
2026-07-01T13:45:00+00:00,8.57,8.73,8.45,8.62,49
2026-07-01T13:50:00+00:00,8.63,8.63,7.95,7.95,33
2026-07-01T13:55:00+00:00,7.86,8.0,7.7,7.7,6
2026-07-01T14:00:00+00:00,7.79,7.79,7.79,7.79,20
2026-07-01T14:05:00+00:00,7.4,7.4,7.16,7.2,7
2026-07-01T14:10:00+00:00,6.99,6.99,6.9,6.93,20
2026-07-01T14:15:00+00:00,7.0,7.09,6.92,6.92,5
2026-07-01T14:20:00+00:00,6.95,6.95,6.86,6.86,26
2026-07-01T14:25:00+00:00,6.92,6.95,6.81,6.85,69
2026-07-01T14:30:00+00:00,6.87,7.2,6.86,7.2,11
2026-07-01T14:35:00+00:00,7.21,7.21,6.77,6.8,32
2026-07-01T14:40:00+00:00,6.85,6.99,6.71,6.71,8
2026-07-01T14:45:00+00:00,7.0,7.26,7.0,7.16,32
2026-07-01T14:50:00+00:00,7.02,7.02,6.8,6.96,29
2026-07-01T14:55:00+00:00,6.99,6.99,6.99,6.99,2
2026-07-01T15:00:00+00:00,6.5,6.5,6.41,6.45,13
2026-07-01T15:05:00+00:00,6.33,6.6,6.33,6.57,13
2026-07-01T15:10:00+00:00,6.41,6.41,6.35,6.35,3
2026-07-01T15:15:00+00:00,6.27,6.32,6.2,6.2,5
2026-07-01T15:20:00+00:00,6.06,6.06,5.92,6.0,19
2026-07-01T15:25:00+00:00,5.96,5.96,5.87,5.87,6
2026-07-01T15:30:00+00:00,5.92,5.98,5.92,5.98,4
2026-07-01T15:35:00+00:00,6.08,6.08,6.05,6.07,20
2026-07-01T15:40:00+00:00,6.06,6.06,6.06,6.06,15
2026-07-01T15:45:00+00:00,5.97,6.02,5.96,6.02,21
2026-07-01T15:50:00+00:00,6.0,6.0,6.0,6.0,4
2026-07-01T15:55:00+00:00,6.0,6.0,6.0,6.0,0
2026-07-01T16:00:00+00:00,6.0,6.0,6.0,6.0,0
2026-07-01T16:05:00+00:00,5.88,5.88,5.88,5.88,3
2026-07-01T16:10:00+00:00,5.85,5.85,5.85,5.85,30
2026-07-01T16:15:00+00:00,5.86,5.86,5.83,5.85,4
2026-07-01T16:20:00+00:00,5.85,5.85,5.78,5.78,3
2026-07-01T16:25:00+00:00,5.78,5.78,5.78,5.78,0
2026-07-01T16:30:00+00:00,5.78,5.78,5.78,5.78,0
2026-07-01T16:35:00+00:00,5.88,5.88,5.88,5.88,10
2026-07-01T16:40:00+00:00,6.09,6.09,6.04,6.04,11
2026-07-01T16:45:00+00:00,5.9,6.04,5.88,6.04,13
2026-07-01T16:50:00+00:00,6.04,6.04,6.04,6.04,0
2026-07-01T16:55:00+00:00,6.29,6.29,6.24,6.24,11
2026-07-01T17:00:00+00:00,6.53,6.53,6.53,6.53,3
2026-07-01T17:05:00+00:00,6.53,6.53,6.53,6.53,0
2026-07-01T17:10:00+00:00,6.4,6.4,6.4,6.4,1
2026-07-01T17:15:00+00:00,6.34,6.34,6.34,6.34,1
2026-07-01T17:20:00+00:00,6.15,6.22,6.15,6.22,4
2026-07-01T17:25:00+00:00,6.22,6.22,6.22,6.22,0
2026-07-01T17:30:00+00:00,6.22,6.22,6.22,6.22,0
2026-07-01T17:35:00+00:00,6.22,6.22,6.22,6.22,1
2026-07-01T17:40:00+00:00,6.22,6.22,6.22,6.22,0
2026-07-01T17:45:00+00:00,6.42,6.42,6.42,6.42,1
2026-07-01T17:50:00+00:00,6.42,6.42,6.42,6.42,0
2026-07-01T17:55:00+00:00,6.42,6.42,6.42,6.42,0
2026-07-01T18:00:00+00:00,6.42,6.42,6.42,6.42,0
2026-07-01T18:05:00+00:00,6.42,6.44,6.42,6.44,10
2026-07-01T18:10:00+00:00,6.53,6.61,6.53,6.61,15
2026-07-01T18:15:00+00:00,6.8,6.8,6.8,6.8,1
2026-07-01T18:20:00+00:00,6.8,6.8,6.8,6.8,0
2026-07-01T18:25:00+00:00,6.8,6.8,6.8,6.8,0
2026-07-01T18:30:00+00:00,6.8,6.8,6.8,6.8,0
2026-07-01T18:35:00+00:00,6.64,6.64,6.64,6.64,1
2026-07-01T18:40:00+00:00,6.64,6.64,6.64,6.64,0
2026-07-01T18:45:00+00:00,6.64,6.64,6.64,6.64,0
2026-07-01T18:50:00+00:00,6.79,6.79,6.79,6.79,1
2026-07-01T18:55:00+00:00,6.96,6.96,6.72,6.72,52
2026-07-01T19:00:00+00:00,6.69,6.69,6.69,6.69,5
2026-07-01T19:05:00+00:00,6.48,6.48,6.41,6.41,18
2026-07-01T19:10:00+00:00,6.41,6.41,6.41,6.41,0
2026-07-01T19:15:00+00:00,6.41,6.41,6.41,6.41,0
2026-07-01T19:20:00+00:00,6.43,6.43,6.43,6.43,3
2026-07-01T19:25:00+00:00,6.43,6.43,6.43,6.43,0
2026-07-01T19:30:00+00:00,6.43,6.43,6.43,6.43,0
2026-07-01T19:35:00+00:00,6.63,6.63,6.63,6.63,10
2026-07-01T19:40:00+00:00,6.82,6.82,6.82,6.82,11
2026-07-01T19:45:00+00:00,6.79,6.79,6.78,6.78,24
2026-07-01T19:50:00+00:00,7.03,7.03,6.87,6.87,11
2026-07-01T19:55:00+00:00,6.99,7.32,6.99,7.07,21
2026-07-01T20:00:00+00:00,7.07,7.07,7.07,7.07,0
2026-07-01T20:05:00+00:00,7.07,7.07,7.07,7.07,0
2026-07-01T20:10:00+00:00,7.07,7.07,7.07,7.07,0
2026-07-02T13:30:00+00:00,6.46,6.46,5.82,5.82,10
2026-07-02T13:35:00+00:00,5.79,5.79,5.77,5.77,2
2026-07-02T13:40:00+00:00,5.6,5.62,5.43,5.43,29
2026-07-02T13:45:00+00:00,5.36,5.36,5.08,5.08,28
2026-07-02T13:50:00+00:00,5.07,5.07,4.9,4.9,18
2026-07-02T13:55:00+00:00,5.1,5.1,4.98,4.98,3
2026-07-02T14:00:00+00:00,4.87,4.97,4.87,4.97,5
2026-07-02T14:05:00+00:00,4.96,4.96,4.91,4.91,71
2026-07-02T14:10:00+00:00,5.18,5.18,4.87,4.87,9
2026-07-02T14:15:00+00:00,5.06,5.19,5.06,5.19,13
2026-07-02T14:20:00+00:00,5.1,5.25,5.1,5.25,6
2026-07-02T14:25:00+00:00,5.5,6.25,5.5,6.17,46
2026-07-02T14:30:00+00:00,6.16,6.3,5.6,5.6,104
2026-07-02T14:35:00+00:00,5.6,5.6,5.6,5.6,0
2026-07-02T14:40:00+00:00,6.3,6.84,6.3,6.66,7
2026-07-02T14:45:00+00:00,6.53,6.89,6.31,6.71,100
2026-07-02T14:50:00+00:00,6.51,6.86,6.51,6.83,12
2026-07-02T14:55:00+00:00,6.73,6.76,6.53,6.53,59
2026-07-02T15:00:00+00:00,6.4,6.4,6.4,6.4,1
2026-07-02T15:05:00+00:00,6.92,7.95,6.89,7.49,58
2026-07-02T15:10:00+00:00,7.35,7.35,7.35,7.35,1
2026-07-02T15:15:00+00:00,7.12,7.9,7.0,7.9,68
2026-07-02T15:20:00+00:00,7.77,7.84,7.55,7.55,3
2026-07-02T15:25:00+00:00,7.5,7.54,7.5,7.54,16
2026-07-02T15:30:00+00:00,7.49,7.49,7.0,7.0,71
2026-07-02T15:35:00+00:00,6.87,6.87,6.78,6.86,33
2026-07-02T15:40:00+00:00,6.91,7.2,6.91,7.2,12
