ts,o,h,l,c,v
2026-06-25T14:40:00+00:00,2.12,2.12,2.12,2.12,0
2026-06-25T14:45:00+00:00,2.2,2.2,2.2,2.2,20
2026-06-25T14:50:00+00:00,2.24,2.25,2.24,2.25,4
2026-06-25T14:55:00+00:00,2.25,2.25,2.25,2.25,0
2026-06-25T15:00:00+00:00,2.25,2.25,2.25,2.25,0
2026-06-25T15:05:00+00:00,2.25,2.25,2.25,2.25,0
2026-06-25T15:10:00+00:00,2.25,2.25,2.25,2.25,0
2026-06-25T15:15:00+00:00,2.25,2.25,2.25,2.25,0
2026-06-25T15:20:00+00:00,2.25,2.25,2.25,2.25,0
2026-06-25T15:25:00+00:00,2.25,2.25,2.25,2.25,0
2026-06-25T15:30:00+00:00,2.25,2.25,2.25,2.25,0
2026-06-25T15:35:00+00:00,2.25,2.25,2.25,2.25,0
2026-06-25T15:40:00+00:00,2.09,2.09,2.09,2.09,1
2026-06-25T15:45:00+00:00,2.09,2.09,2.09,2.09,0
2026-06-25T15:50:00+00:00,2.09,2.09,2.09,2.09,0
2026-06-25T15:55:00+00:00,2.09,2.09,2.09,2.09,0
2026-06-25T16:00:00+00:00,2.09,2.09,2.09,2.09,0
2026-06-25T16:05:00+00:00,2.09,2.09,2.09,2.09,0
2026-06-25T16:10:00+00:00,2.27,2.27,2.27,2.27,1
2026-06-25T16:15:00+00:00,2.27,2.27,2.27,2.27,0
2026-06-25T16:20:00+00:00,2.27,2.27,2.27,2.27,0
2026-06-25T16:25:00+00:00,2.27,2.27,2.27,2.27,0
2026-06-25T16:30:00+00:00,2.27,2.27,2.27,2.27,0
2026-06-25T16:35:00+00:00,2.27,2.27,2.27,2.27,0
2026-06-25T16:40:00+00:00,2.27,2.27,2.27,2.27,0
2026-06-25T16:45:00+00:00,2.27,2.27,2.27,2.27,0
2026-06-25T16:50:00+00:00,2.27,2.27,2.27,2.27,0
2026-06-25T16:55:00+00:00,2.27,2.27,2.27,2.27,0
2026-06-25T17:00:00+00:00,2.27,2.27,2.27,2.27,0
2026-06-25T17:05:00+00:00,2.27,2.27,2.27,2.27,0
2026-06-25T17:10:00+00:00,2.1,2.1,2.05,2.05,2
2026-06-25T17:15:00+00:00,2.05,2.05,2.05,2.05,0
2026-06-25T17:20:00+00:00,2.05,2.05,2.05,2.05,0
2026-06-25T17:25:00+00:00,2.05,2.05,2.05,2.05,0
2026-06-25T17:30:00+00:00,2.05,2.05,2.05,2.05,0
2026-06-25T17:35:00+00:00,2.05,2.05,2.05,2.05,0
2026-06-25T17:40:00+00:00,2.05,2.05,2.05,2.05,0
2026-06-25T17:45:00+00:00,1.88,1.88,1.84,1.84,8
2026-06-25T17:50:00+00:00,1.86,1.86,1.86,1.86,1
2026-06-25T17:55:00+00:00,1.86,1.86,1.86,1.86,0
2026-06-25T18:00:00+00:00,1.86,1.86,1.86,1.86,0
2026-06-25T18:05:00+00:00,1.86,1.86,1.86,1.86,0
2026-06-25T18:10:00+00:00,1.86,1.86,1.86,1.86,0
2026-06-25T18:15:00+00:00,1.97,1.97,1.97,1.97,1
2026-06-25T18:20:00+00:00,2.02,2.02,2.02,2.02,1
2026-06-25T18:25:00+00:00,2.02,2.02,2.02,2.02,0
2026-06-25T18:30:00+00:00,2.02,2.02,2.02,2.02,0
2026-06-25T18:35:00+00:00,2.02,2.02,2.02,2.02,0
2026-06-25T18:40:00+00:00,2.02,2.02,2.02,2.02,0
2026-06-25T18:45:00+00:00,2.02,2.02,2.02,2.02,0
