ts,o,h,l,c,v
2026-03-02T09:00:00+00:00,7.21,7.22,7.2,7.22,5157
2026-03-02T09:05:00+00:00,7.19,7.31,7.19,7.31,35049
2026-03-02T09:10:00+00:00,7.33,7.36,7.32,7.33,10365
2026-03-02T09:15:00+00:00,7.33,7.34,7.31,7.34,9528
2026-03-02T09:20:00+00:00,7.34,7.35,7.32,7.34,12445
2026-03-02T09:25:00+00:00,7.33,7.34,7.28,7.29,11488
2026-03-02T09:30:00+00:00,7.28,7.32,7.28,7.32,2562
2026-03-02T09:35:00+00:00,7.31,7.31,7.29,7.29,2456
2026-03-02T09:40:00+00:00,7.28,7.28,7.25,7.26,5284
2026-03-02T09:45:00+00:00,7.28,7.28,7.28,7.28,290
2026-03-02T09:50:00+00:00,7.26,7.26,7.21,7.215,3897
2026-03-02T09:55:00+00:00,7.215,7.23,7.215,7.22,1279
2026-03-02T10:00:00+00:00,7.23,7.31,7.23,7.29,7320
2026-03-02T10:05:00+00:00,7.295,7.31,7.29,7.3,1540
2026-03-02T10:10:00+00:00,7.3,7.3,7.27,7.27,11014
2026-03-02T10:15:00+00:00,7.27,7.27,7.27,7.27,4545
2026-03-02T10:20:00+00:00,7.27,7.29,7.27,7.27,2418
2026-03-02T10:25:00+00:00,7.26,7.28,7.25,7.28,1020
2026-03-02T10:30:00+00:00,7.28,7.28,7.28,7.28,5
2026-03-02T10:35:00+00:00,7.3,7.31,7.3,7.31,1090
2026-03-02T10:40:00+00:00,7.3,7.31,7.28,7.29,2810
2026-03-02T10:45:00+00:00,7.31,7.31,7.29,7.29,2850
2026-03-02T10:50:00+00:00,7.27,7.28,7.25,7.25,3647
2026-03-02T10:55:00+00:00,7.25,7.28,7.24,7.27,8566
2026-03-02T11:00:00+00:00,7.26,7.26,7.24,7.25,10986
2026-03-02T11:05:00+00:00,7.25,7.25,7.195,7.195,2445
2026-03-02T11:10:00+00:00,7.21,7.23,7.21,7.22,1630
2026-03-02T11:15:00+00:00,7.22,7.23,7.22,7.23,1407
2026-03-02T11:20:00+00:00,7.24,7.24,7.23,7.23,2264
2026-03-02T11:25:00+00:00,7.23,7.25,7.23,7.25,2660
2026-03-02T11:30:00+00:00,7.23,7.27,7.23,7.26,2071
2026-03-02T11:35:00+00:00,7.27,7.27,7.26,7.26,1931
2026-03-02T11:40:00+00:00,7.26,7.3,7.26,7.3,3049
2026-03-02T11:45:00+00:00,7.29,7.34,7.29,7.34,2469
2026-03-02T11:50:00+00:00,7.33,7.33,7.33,7.33,308
2026-03-02T11:55:00+00:00,7.31,7.33,7.31,7.33,3869
2026-03-02T12:00:00+00:00,7.3,7.33,7.3,7.33,2392
2026-03-02T12:05:00+00:00,7.33,7.33,7.31,7.31,223
