d,o,h,l,c
2025-06-02,24.68,25.13,23.76,24.5
2025-06-03,24.86,27.225,24.41,26.86
2025-06-04,26.56,27.44,25.95,26.23
2025-06-05,27.37,28.25,22.99,23.82
2025-06-06,25.08,26.13,24.905,25.16
2025-06-09,26.17,26.56,25.43,26.24
2025-06-10,26.7,27.4,25.21,25.88
2025-06-11,26.31,26.87,24.7,25.03
2025-06-12,24.14,24.42,22.76,23.11
2025-06-13,22.34,23.445,21.93,23.36
2025-06-16,24.32,27.3,23.85,26.96
2025-06-17,26.0,26.59,24.31,25.39
2025-06-18,25.29,34.4,24.96,33.56
2025-06-20,35.49,37.1,34.23,36.56
2025-06-23,35.01,37.93,33.28,36.31
2025-06-24,37.96,46.1,37.383,45.06
2025-06-25,49.17,51.5,44.87,47.7
2025-06-26,47.73,54.97,47.73,53.0
2025-06-27,51.45,52.38,45.01,46.95
2025-06-30,48.45,48.76,45.47,46.13
2025-07-01,43.33,46.83,41.76,42.13
2025-07-02,43.36,47.565,43.01,46.92
2025-07-03,45.79,47.764,45.28,47.05
2025-07-07,46.8,49.35,45.91,47.49
2025-07-08,49.01,50.6,45.12,46.86
2025-07-09,47.86,51.89,46.52,51.87
2025-07-10,51.49,56.05,50.53,55.98
2025-07-11,56.38,57.81,52.95,55.37
2025-07-14,56.99,58.7,55.861,57.35
2025-07-15,56.6,59.34,51.37,55.51
2025-07-16,56.975,60.73,56.77,58.45
2025-07-17,58.825,63.71,57.5,62.0
2025-07-18,64.775,72.345,60.82,64.57
2025-07-21,66.68,69.87,62.89,63.0
2025-07-22,64.5,65.1,57.041,60.13
2025-07-23,58.65,58.88,54.91,58.06
2025-07-24,60.04,60.2,56.347,57.72
2025-07-25,56.3,57.87,54.65,56.12
2025-07-28,57.035,57.11,51.502,52.68
2025-07-29,53.79,54.052,48.85,50.4
2025-07-30,53.48,55.0,50.82,52.0
2025-07-31,53.6,54.61,51.825,52.15
2025-08-01,40.23,40.99,33.556,34.79
2025-08-04,35.84,36.71,33.33,35.43
2025-08-05,32.96,34.2,30.81,30.95
2025-08-06,30.85,32.32,30.0,32.04
2025-08-07,33.66,35.08,32.78,33.57
2025-08-08,33.7,34.11,31.45,33.45
2025-08-11,36.06,38.44,35.3,35.37
2025-08-12,37.56,37.63,34.21,36.05
2025-08-13,37.25,41.095,35.82,37.06
2025-08-14,35.37,37.084,34.7,36.47
2025-08-15,36.04,36.105,34.162,34.84
2025-08-18,33.361,36.288,32.5,35.51
2025-08-19,35.44,35.86,31.23,31.35
2025-08-20,31.88,32.22,29.17,31.79
2025-08-21,31.25,31.911,30.679,30.9
2025-08-22,30.95,35.44,30.35,34.9
2025-08-25,33.29,33.979,31.728,31.89
2025-08-26,31.538,32.52,30.66,32.35
2025-08-27,32.13,33.17,31.99,32.43
2025-08-28,33.25,33.94,31.903,32.11
2025-08-29,31.85,32.247,30.87,31.51
2025-09-02,30.485,32.679,29.62,31.29
2025-09-03,31.54,32.22,30.78,30.95
2025-09-04,31.0,32.1,30.515,31.84
2025-09-05,33.33,33.66,28.928,30.23
2025-09-08,30.75,31.76,29.854,30.85
2025-09-09,31.18,34.379,31.18,34.22
2025-09-10,34.82,36.35,32.92,33.52
2025-09-11,34.13,35.753,33.576,35.32
2025-09-12,36.147,36.49,34.4,35.08
2025-09-15,34.98,36.19,34.61,35.88
2025-09-16,37.03,37.3,34.666,36.1
2025-09-17,35.69,36.199,32.42,34.47
2025-09-18,35.73,41.15,35.1,39.2
2025-09-19,39.2,40.706,37.99,39.14
2025-09-22,37.0,37.645,35.86,36.63
2025-09-23,37.02,37.49,33.55,34.05
2025-09-24,34.84,35.56,34.15,34.37
2025-09-25,32.77,33.55,30.7,31.17
2025-09-26,31.58,32.65,30.45,32.32
2025-09-29,33.5,36.78,33.07,36.66
2025-09-30,35.75,37.589,35.718,37.4
2025-10-01,38.75,40.2,38.106,39.3
2025-10-02,41.4,46.14,41.04,45.15
2025-10-03,45.52,47.96,44.7,47.09
2025-10-06,49.58,50.21,47.222,48.54
2025-10-07,48.72,49.0,42.85,45.94
2025-10-08,46.765,49.55,45.93,48.7
2025-10-09,48.13,49.98,47.44,48.58
2025-10-10,48.9,52.4,39.76,41.12
2025-10-13,42.96,42.96,38.07,41.15
2025-10-14,37.39,40.288,36.02,37.47
2025-10-15,38.39,38.9,35.71,36.38
2025-10-16,36.86,37.707,34.73,35.05
2025-10-17,32.65,36.24,32.37,36.22
2025-10-20,37.52,40.08,36.814,37.83
2025-10-21,37.57,38.09,35.96,36.71
2025-10-22,35.66,35.88,30.66,32.78
2025-10-23,33.25,34.33,32.36,33.21
2025-10-24,35.6,40.17,35.24,39.66
2025-10-27,41.68,43.83,40.29,41.19
2025-10-28,41.62,42.73,39.54,39.8
2025-10-29,40.315,40.8,37.54,38.27
2025-10-30,37.12,37.3,33.85,33.96
2025-10-31,35.44,40.56,35.11,36.92
2025-11-03,36.19,36.69,33.12,34.05
2025-11-04,31.71,33.05,29.22,29.31
2025-11-05,30.955,32.47,30.0,31.56
2025-11-06,31.04,31.04,26.69,26.79
2025-11-07,25.86,29.57,24.68,29.29
2025-11-10,31.89,32.19,29.716,30.88
2025-11-11,29.775,30.73,28.13,28.16
2025-11-12,29.22,29.56,27.72,28.19
2025-11-13,27.75,28.16,23.705,24.34
2025-11-14,21.87,25.88,21.71,24.43
2025-11-17,22.8,23.335,20.0,20.97
2025-11-18,20.53,22.05,20.5,20.6
2025-11-19,20.615,20.75,18.28,19.9
2025-11-20,20.325,20.84,16.61,16.93
2025-11-21,17.72,18.02,15.92,17.25
2025-11-24,17.83,19.695,17.58,19.42
2025-11-25,18.06,19.17,17.123,19.15
2025-11-26,19.44,21.0,19.09,20.76
