ts,o,h,l,c,v
2026-03-02T09:00:00+00:00,57.58,58.0,57.58,57.6,25699.0
2026-03-02T09:05:00+00:00,57.67,58.36,57.67,58.36,34024.0
2026-03-02T09:10:00+00:00,58.39,58.53,58.34,58.34,32139.0
2026-03-02T09:15:00+00:00,58.31,58.5,58.25,58.39,14178.0
2026-03-02T09:20:00+00:00,58.19,58.36,58.16,58.17,10784.0
2026-03-02T09:25:00+00:00,58.22,58.22,58.12,58.2,5876.0
2026-03-02T09:30:00+00:00,58.16,58.48,58.03,58.36,7517.0
2026-03-02T09:35:00+00:00,58.28,58.29,57.96,57.96,16949.0
2026-03-02T09:40:00+00:00,58.05,58.05,57.77,58.05,9243.0
2026-03-02T09:45:00+00:00,57.99,58.01,57.84,57.93,11141.0
2026-03-02T09:50:00+00:00,57.97,57.97,57.75,57.91,3911.0
2026-03-02T09:55:00+00:00,57.89,57.91,57.8,57.8,4758.0
2026-03-02T10:00:00+00:00,57.92,58.27,57.83,58.2,9198.0
2026-03-02T10:05:00+00:00,58.22,58.39,58.15,58.26,9369.0
2026-03-02T10:10:00+00:00,58.27,58.27,58.0,58.04,6341.0
2026-03-02T10:15:00+00:00,58.03,58.24,57.99,58.24,11761.0
2026-03-02T10:20:00+00:00,58.22,58.39,58.19,58.3,7800.0
2026-03-02T10:25:00+00:00,58.24,58.36,58.21,58.36,3196.0
2026-03-02T10:30:00+00:00,58.38,58.45,58.35,58.45,4701.0
2026-03-02T10:35:00+00:00,58.5,58.63,58.49,58.63,11020.0
2026-03-02T10:40:00+00:00,58.61,58.62,58.4,58.59,11082.0
2026-03-02T10:45:00+00:00,58.63,58.63,58.41,58.44,4711.0
2026-03-02T10:50:00+00:00,58.36,58.48,58.36,58.46,6005.0
2026-03-02T10:55:00+00:00,58.35,58.35,58.11,58.21,6103.0
2026-03-02T11:00:00+00:00,58.24,58.33,58.24,58.33,3167.0
2026-03-02T11:05:00+00:00,58.32,58.32,58.11,58.11,3193.0
2026-03-02T11:10:00+00:00,58.11,58.17,58.1,58.11,2734.0
2026-03-02T11:15:00+00:00,58.11,58.2,58.01,58.14,3879.0
2026-03-02T11:20:00+00:00,58.25,58.25,58.04,58.1,5025.0
2026-03-02T11:25:00+00:00,58.11,58.11,57.99,58.0,16740.0
2026-03-02T11:30:00+00:00,58.07,58.39,58.07,58.32,15214.0
2026-03-02T11:35:00+00:00,58.27,58.4,58.26,58.26,5998.0
2026-03-02T11:40:00+00:00,58.28,58.33,58.28,58.3,4369.0
