ts,o,h,l,c,v
2026-03-02T09:00:00+00:00,380.783,382.746,378.82,382.746,487.0
2026-03-02T09:05:00+00:00,382.746,382.746,376.858,376.858,795.0
2026-03-02T09:10:00+00:00,376.858,376.858,374.895,376.858,237.0
2026-03-02T09:15:00+00:00,376.858,378.82,376.858,378.82,293.0
2026-03-02T09:20:00+00:00,378.82,378.82,376.858,378.82,49.0
2026-03-02T09:25:00+00:00,376.858,378.82,376.858,376.858,140.0
2026-03-02T09:30:00+00:00,376.858,378.82,376.858,376.858,139.0
2026-03-02T09:35:00+00:00,378.82,378.82,376.858,376.858,13.0
2026-03-02T09:40:00+00:00,378.82,380.783,378.82,380.783,312.0
2026-03-02T09:45:00+00:00,380.783,380.783,380.783,380.783,2.0
2026-03-02T09:50:00+00:00,380.783,380.783,378.82,379.802,3.0
2026-03-02T09:55:00+00:00,379.802,380.783,379.802,380.783,8.0
2026-03-02T10:00:00+00:00,378.82,380.783,378.82,378.82,80.0
2026-03-02T10:05:00+00:00,376.858,378.82,376.858,377.839,74.0
2026-03-02T10:10:00+00:00,377.839,378.82,376.858,378.82,64.0
2026-03-02T10:15:00+00:00,378.82,378.82,376.858,377.839,7.0
2026-03-02T10:20:00+00:00,376.858,378.82,376.858,376.858,24.0
2026-03-02T10:25:00+00:00,378.82,378.82,376.858,376.858,7.0
2026-03-02T10:30:00+00:00,376.858,377.839,376.858,376.858,132.0
2026-03-02T10:35:00+00:00,376.858,376.858,374.895,374.895,35.0
2026-03-02T10:40:00+00:00,374.895,375.876,374.895,375.876,22.0
2026-03-02T10:45:00+00:00,375.876,375.876,374.895,374.895,12.0
2026-03-02T10:50:00+00:00,374.895,375.876,374.895,375.876,2.0
2026-03-02T10:55:00+00:00,374.895,378.82,374.895,378.82,76.0
2026-03-02T11:00:00+00:00,376.858,376.858,376.858,376.858,3.0
2026-03-02T11:05:00+00:00,378.82,378.82,376.858,376.858,26.0
2026-03-02T11:10:00+00:00,376.858,376.858,376.858,376.858,1.0
2026-03-02T11:15:00+00:00,378.82,378.82,376.858,378.82,12.0
2026-03-02T11:20:00+00:00,378.82,378.82,376.858,376.858,2.0
2026-03-02T11:25:00+00:00,376.858,378.82,376.858,376.858,55.0
2026-03-02T11:30:00+00:00,376.858,378.82,376.858,378.82,68.0
2026-03-02T11:35:00+00:00,378.82,378.82,378.82,378.82,2.0
2026-03-02T11:40:00+00:00,376.858,378.82,376.858,376.858,13.0
2026-03-02T11:45:00+00:00,376.858,376.858,374.895,374.895,371.0
2026-03-02T11:50:00+00:00,374.895,376.858,374.895,376.858,158.0
2026-03-02T11:55:00+00:00,376.858,376.858,374.895,374.895,56.0
2026-03-02T12:00:00+00:00,374.895,374.895,374.895,374.895,12.0
2026-03-02T12:05:00+00:00,376.858,376.858,376.858,376.858,246.0
2026-03-02T12:10:00+00:00,376.858,376.858,376.858,376.858,0.0
2026-03-02T12:15:00+00:00,377.839,377.839,377.839,377.839,21.0
2026-03-02T12:20:00+00:00,378.82,378.82,378.82,378.82,45.0
2026-03-02T12:25:00+00:00,378.82,378.82,377.839,378.82,145.0
2026-03-02T12:30:00+00:00,378.82,378.82,378.82,378.82,0.0
2026-03-02T12:35:00+00:00,378.82,378.82,378.82,378.82,0.0
2026-03-02T12:40:00+00:00,378.82,378.82,378.82,378.82,0.0
2026-03-02T12:45:00+00:00,378.82,378.82,378.82,378.82,0.0
