ts,o,h,l,c,v
2026-04-15T13:30:00+00:00,249.25,250.44,247.555,248.26,1205208
2026-04-15T13:35:00+00:00,248.26,248.33,247.285,247.86,275584
2026-04-15T13:40:00+00:00,247.87,248.19,247.36,247.56,208474
2026-04-15T13:45:00+00:00,247.56,248.62,247.56,248.61,233124
2026-04-15T13:50:00+00:00,248.66,249.36,248.55,248.59,165956
2026-04-15T13:55:00+00:00,248.57,248.84,248.38,248.61,85744
2026-04-15T14:00:00+00:00,248.62,248.845,248.3,248.35,107993
2026-04-15T14:05:00+00:00,248.35,248.5,247.85,248.12,117435
2026-04-15T14:10:00+00:00,248.1,248.135,247.68,248.08,92156
2026-04-15T14:15:00+00:00,248.08,248.185,247.785,247.93,57149
2026-04-15T14:20:00+00:00,247.92,248.35,247.92,248.27,64173
2026-04-15T14:25:00+00:00,248.22,248.3,247.93,247.93,73948
2026-04-15T14:30:00+00:00,247.92,248.17,247.64,247.715,76835
2026-04-15T14:35:00+00:00,247.74,247.9,247.21,247.29,105957
2026-04-15T14:40:00+00:00,247.29,247.93,247.29,247.43,85479
2026-04-15T14:45:00+00:00,247.46,247.98,247.43,247.88,64466
2026-04-15T14:50:00+00:00,247.9,248.36,247.88,248.25,101723
2026-04-15T14:55:00+00:00,248.25,248.41,247.91,247.92,72391
2026-04-15T15:00:00+00:00,247.93,248.27,247.74,247.79,84704
2026-04-15T15:05:00+00:00,247.8,247.89,247.24,247.58,104197
2026-04-15T15:10:00+00:00,247.57,247.68,247.3,247.63,75928
2026-04-15T15:15:00+00:00,247.64,248.37,247.63,248.02,96040
2026-04-15T15:20:00+00:00,248.01,248.22,247.67,247.86,111007
2026-04-15T15:25:00+00:00,247.87,247.94,247.67,247.75,69743
2026-04-15T15:30:00+00:00,247.73,247.73,247.33,247.53,93911
2026-04-15T15:35:00+00:00,247.55,247.86,247.5,247.76,65533
2026-04-15T15:40:00+00:00,247.77,248.11,247.77,247.99,71047
2026-04-15T15:45:00+00:00,248.0,248.16,247.9,248.12,52390
2026-04-15T15:50:00+00:00,248.115,248.35,247.95,248.35,49355
2026-04-15T15:55:00+00:00,248.32,248.35,247.8,247.93,85089
2026-04-15T16:00:00+00:00,247.91,248.34,247.74,248.34,63270
2026-04-15T16:05:00+00:00,248.34,248.495,248.245,248.38,63145
2026-04-15T16:10:00+00:00,248.37,248.4,248.21,248.305,47837
2026-04-15T16:15:00+00:00,248.315,248.77,248.24,248.75,84726
2026-04-15T16:20:00+00:00,248.78,249.08,248.75,248.96,101619
2026-04-15T16:25:00+00:00,248.95,249.105,248.86,248.97,64353
2026-04-15T16:30:00+00:00,248.97,248.98,248.48,248.56,66287
2026-04-15T16:35:00+00:00,248.6,248.61,248.12,248.12,37869
2026-04-15T16:40:00+00:00,248.125,248.29,247.95,248.13,56192
2026-04-15T16:45:00+00:00,248.12,248.3,248.0,248.05,74644
2026-04-15T16:50:00+00:00,248.06,248.17,247.94,248.08,62796
2026-04-15T16:55:00+00:00,248.1,248.13,247.74,248.02,52392
2026-04-15T17:00:00+00:00,248.01,248.36,247.98,248.27,39793
2026-04-15T17:05:00+00:00,248.29,248.44,248.08,248.18,71711
2026-04-15T17:10:00+00:00,248.19,248.23,247.89,248.16,49247
2026-04-15T17:15:00+00:00,248.15,248.25,248.06,248.17,30713
2026-04-15T17:20:00+00:00,248.19,248.26,248.1,248.12,39308
2026-04-15T17:25:00+00:00,248.11,248.51,248.11,248.47,37135
2026-04-15T17:30:00+00:00,248.46,248.68,248.38,248.65,31182
2026-04-15T17:35:00+00:00,248.62,248.805,248.57,248.68,45879
2026-04-15T17:40:00+00:00,248.68,248.68,248.44,248.63,39766
2026-04-15T17:45:00+00:00,248.65,248.765,248.55,248.7,27273
2026-04-15T17:50:00+00:00,248.72,248.745,248.46,248.46,29059
2026-04-15T17:55:00+00:00,248.48,248.545,248.27,248.3,56723
2026-04-15T18:00:00+00:00,248.29,249.07,248.155,248.75,134750
2026-04-15T18:05:00+00:00,248.74,248.975,248.74,248.88,61347
2026-04-15T18:10:00+00:00,248.89,248.94,248.77,248.79,35132
2026-04-15T18:15:00+00:00,248.8,248.86,248.66,248.7,57835
2026-04-15T18:20:00+00:00,248.67,248.69,248.53,248.53,43293
2026-04-15T18:25:00+00:00,248.53,248.64,248.49,248.515,29538
2026-04-15T18:30:00+00:00,248.52,248.82,248.52,248.76,49758
2026-04-15T18:35:00+00:00,248.77,248.97,248.76,248.87,50804
2026-04-15T18:40:00+00:00,248.89,248.92,248.63,248.73,61221
2026-04-15T18:45:00+00:00,248.74,248.855,248.705,248.79,44557
2026-04-15T18:50:00+00:00,248.8,248.88,248.77,248.865,49686
2026-04-15T18:55:00+00:00,248.865,248.9,248.68,248.68,60089
2026-04-15T19:00:00+00:00,248.67,248.73,248.56,248.7,44357
2026-04-15T19:05:00+00:00,248.7,248.72,248.57,248.62,53736
2026-04-15T19:10:00+00:00,248.62,248.66,248.44,248.45,71383
2026-04-15T19:15:00+00:00,248.45,248.62,248.44,248.47,45868
2026-04-15T19:20:00+00:00,248.495,248.69,248.36,248.59,70778
2026-04-15T19:25:00+00:00,248.58,248.81,248.56,248.73,61513
2026-04-15T19:30:00+00:00,248.73,248.845,248.65,248.74,65950
2026-04-15T19:35:00+00:00,248.75,248.82,248.555,248.6,58180
2026-04-15T19:40:00+00:00,248.595,248.96,248.55,248.63,99037
2026-04-15T19:45:00+00:00,248.62,248.75,248.52,248.54,104558
2026-04-15T19:50:00+00:00,248.54,249.46,248.54,249.19,343614
2026-04-15T19:55:00+00:00,249.18,249.18,248.4,248.41,850288
2026-04-16T13:30:00+00:00,249.0,250.0,246.7,247.3,1073959
2026-04-16T13:35:00+00:00,247.32,248.09,246.53,246.605,256204
2026-04-16T13:40:00+00:00,246.62,246.93,246.07,246.35,213119
2026-04-16T13:45:00+00:00,246.345,246.7,245.77,246.04,227510
2026-04-16T13:50:00+00:00,246.04,246.06,244.94,245.0,248949
2026-04-16T13:55:00+00:00,244.98,245.49,244.68,244.87,242572
2026-04-16T14:00:00+00:00,244.83,245.05,244.21,244.95,208652
2026-04-16T14:05:00+00:00,244.98,245.62,244.96,245.39,145883
2026-04-16T14:10:00+00:00,245.4,245.93,244.99,245.85,162099
2026-04-16T14:15:00+00:00,245.84,246.24,245.805,246.075,102416
2026-04-16T14:20:00+00:00,246.1,246.15,245.77,245.96,82536
2026-04-16T14:25:00+00:00,245.91,246.12,245.44,245.56,88196
2026-04-16T14:30:00+00:00,245.53,245.68,245.22,245.595,54215
2026-04-16T14:35:00+00:00,245.58,245.84,245.51,245.63,55889
2026-04-16T14:40:00+00:00,245.63,246.01,245.62,245.85,64833
2026-04-16T14:45:00+00:00,245.85,246.44,245.79,246.32,67080
2026-04-16T14:50:00+00:00,246.33,246.47,246.16,246.34,71743
2026-04-16T14:55:00+00:00,246.33,246.33,245.98,246.21,65592
2026-04-16T15:00:00+00:00,246.22,246.5,246.17,246.37,83328
2026-04-16T15:05:00+00:00,246.36,246.935,246.04,246.89,110182
2026-04-16T15:10:00+00:00,246.9,247.18,246.82,246.995,127915
2026-04-16T15:15:00+00:00,247.09,247.88,247.09,247.76,221461
2026-04-16T15:20:00+00:00,247.78,248.0,247.59,247.98,90791
2026-04-16T15:25:00+00:00,248.01,248.21,247.62,247.63,83663
2026-04-16T15:30:00+00:00,247.61,247.9,247.53,247.6,84157
2026-04-16T15:35:00+00:00,247.61,248.33,247.6,247.97,80001
2026-04-16T15:40:00+00:00,247.97,248.05,247.75,247.8,42312
2026-04-16T15:45:00+00:00,247.77,247.95,247.77,247.86,38961
2026-04-16T15:50:00+00:00,247.87,248.43,247.86,248.4,41199
2026-04-16T15:55:00+00:00,248.41,248.62,248.39,248.53,74202
2026-04-16T16:00:00+00:00,248.55,248.73,248.55,248.61,38765
2026-04-16T16:05:00+00:00,248.65,248.77,248.575,248.67,45691
2026-04-16T16:10:00+00:00,248.66,248.89,248.64,248.84,41920
2026-04-16T16:15:00+00:00,248.87,249.04,248.8,248.96,60607
2026-04-16T16:20:00+00:00,249.0,249.0,248.59,248.7,37270
2026-04-16T16:25:00+00:00,248.71,248.71,248.43,248.44,39262
2026-04-16T16:30:00+00:00,248.46,248.51,247.72,248.16,67591
2026-04-16T16:35:00+00:00,248.14,248.57,248.04,248.57,37129
2026-04-16T16:40:00+00:00,248.57,248.63,248.24,248.41,34390
2026-04-16T16:45:00+00:00,248.41,248.62,248.38,248.55,33663
2026-04-16T16:50:00+00:00,248.52,248.67,248.2,248.22,26335
2026-04-16T16:55:00+00:00,248.25,248.345,248.15,248.34,31158
2026-04-16T17:00:00+00:00,248.39,248.59,248.37,248.5,29446
2026-04-16T17:05:00+00:00,248.53,248.64,248.35,248.61,39518
2026-04-16T17:10:00+00:00,248.61,248.81,248.49,248.6,41751
2026-04-16T17:15:00+00:00,248.58,248.9,248.56,248.82,36970
2026-04-16T17:20:00+00:00,248.88,249.015,248.72,248.94,40799
2026-04-16T17:25:00+00:00,248.95,249.26,248.92,249.13,57590
2026-04-16T17:30:00+00:00,249.13,249.27,249.02,249.2,38625
2026-04-16T17:35:00+00:00,249.17,249.27,249.0,249.22,42808
2026-04-16T17:40:00+00:00,249.24,249.6,249.24,249.53,57186
2026-04-16T17:45:00+00:00,249.52,249.55,249.33,249.4,28546
2026-04-16T17:50:00+00:00,249.41,249.41,249.21,249.24,22551
2026-04-16T17:55:00+00:00,249.24,249.26,249.0,249.23,44525
2026-04-16T18:00:00+00:00,249.25,249.53,249.14,249.22,43690
2026-04-16T18:05:00+00:00,249.21,249.29,248.9,248.95,33770
2026-04-16T18:10:00+00:00,249.0,249.03,248.74,248.94,55915
2026-04-16T18:15:00+00:00,248.93,248.98,248.73,248.86,37713
2026-04-16T18:20:00+00:00,248.86,248.95,248.45,248.49,48356
2026-04-16T18:25:00+00:00,248.5,248.57,248.32,248.57,56042
2026-04-16T18:30:00+00:00,248.6,248.96,248.545,248.89,55714
2026-04-16T18:35:00+00:00,248.88,249.2,248.86,249.11,49286
2026-04-16T18:40:00+00:00,249.12,249.4,249.12,249.29,32647
2026-04-16T18:45:00+00:00,249.31,249.38,249.12,249.17,42411
2026-04-16T18:50:00+00:00,249.18,249.18,248.755,248.78,42257
2026-04-16T18:55:00+00:00,248.75,248.78,248.64,248.78,41421
2026-04-16T19:00:00+00:00,248.79,248.92,248.39,248.44,47080
2026-04-16T19:05:00+00:00,248.41,248.66,248.36,248.44,57706
2026-04-16T19:10:00+00:00,248.44,248.52,248.25,248.34,39048
2026-04-16T19:15:00+00:00,248.35,248.525,248.34,248.42,39443
2026-04-16T19:20:00+00:00,248.4,248.49,248.31,248.44,49060
2026-04-16T19:25:00+00:00,248.44,248.71,248.42,248.67,48786
2026-04-16T19:30:00+00:00,248.69,248.98,248.66,248.9,59309
2026-04-16T19:35:00+00:00,248.91,249.05,248.75,248.82,46544
