ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,249.25,249.39,248.99,249.39,4401
2026-04-15T08:05:00+00:00,249.39,249.5,249.35,249.41,1744
2026-04-15T08:10:00+00:00,249.4,249.49,249.4,249.49,1927
2026-04-15T08:15:00+00:00,249.49,249.49,249.3,249.3,1453
2026-04-15T08:20:00+00:00,249.3,249.3,249.18,249.18,595
2026-04-15T08:25:00+00:00,249.18,249.35,249.18,249.35,791
2026-04-15T08:30:00+00:00,249.35,249.56,249.35,249.56,1346
2026-04-15T08:35:00+00:00,249.5,249.5,249.45,249.45,1304
2026-04-15T08:40:00+00:00,249.44,249.47,249.44,249.47,1646
2026-04-15T08:45:00+00:00,249.31,249.47,249.31,249.47,1628
2026-04-15T08:50:00+00:00,249.45,249.45,249.44,249.44,776
2026-04-15T08:55:00+00:00,249.44,249.44,249.4,249.4,455
2026-04-15T09:00:00+00:00,249.62,249.62,249.62,249.62,490
2026-04-15T09:05:00+00:00,249.62,249.62,249.24,249.24,458
2026-04-15T09:10:00+00:00,249.24,249.24,249.05,249.05,1444
2026-04-15T09:15:00+00:00,249.05,249.05,249.05,249.05,440
2026-04-15T09:20:00+00:00,249.05,249.05,249.05,249.05,148
2026-04-15T09:25:00+00:00,249.2,249.21,248.99,248.99,1044
2026-04-15T09:30:00+00:00,248.99,249.02,248.99,249.02,667
2026-04-15T09:35:00+00:00,249.02,249.02,248.95,248.96,686
2026-04-15T09:40:00+00:00,248.96,248.96,248.96,248.96,103
2026-04-15T09:45:00+00:00,248.96,248.96,248.96,248.96,185
2026-04-15T09:50:00+00:00,248.96,249.05,248.96,249.05,461
2026-04-15T09:55:00+00:00,249.05,249.05,249.05,249.05,282
2026-04-15T10:00:00+00:00,248.83,248.83,248.7,248.7,2018
2026-04-15T10:05:00+00:00,248.7,248.7,248.56,248.56,678
2026-04-15T10:10:00+00:00,248.56,248.56,248.5,248.5,14356
2026-04-15T10:15:00+00:00,248.35,248.35,248.35,248.35,724
2026-04-15T10:20:00+00:00,248.35,248.35,248.05,248.2,4080
2026-04-15T10:25:00+00:00,248.2,248.2,247.96,248.0,3202
2026-04-15T10:30:00+00:00,248.0,248.0,247.7,247.7,4054
2026-04-15T10:35:00+00:00,247.79,247.79,247.5,247.5,1874
2026-04-15T10:40:00+00:00,247.86,248.28,247.86,248.28,2705
2026-04-15T10:45:00+00:00,248.28,248.28,248.0,248.0,1635
2026-04-15T10:50:00+00:00,248.0,248.1,248.0,248.1,1617
2026-04-15T10:55:00+00:00,248.1,248.4,248.1,248.4,1012
2026-04-15T11:00:00+00:00,248.5,248.58,248.34,248.55,5197
2026-04-15T11:05:00+00:00,248.65,248.73,248.6,248.6,2186
2026-04-15T11:10:00+00:00,248.76,248.8,248.7,248.7,2291
2026-04-15T11:15:00+00:00,248.7,248.7,248.6,248.61,1288
2026-04-15T11:20:00+00:00,248.55,248.8,248.55,248.8,1456
2026-04-15T11:25:00+00:00,248.8,249.0,248.8,248.8,5639
2026-04-15T11:30:00+00:00,248.8,248.95,248.8,248.95,1774
2026-04-15T11:35:00+00:00,249.08,249.14,249.05,249.14,11295
2026-04-15T11:40:00+00:00,249.14,249.14,249.0,249.0,772
2026-04-15T11:45:00+00:00,249.0,249.56,248.89,249.25,6187
2026-04-15T11:50:00+00:00,249.25,249.25,249.08,249.15,1049
2026-04-15T11:55:00+00:00,249.14,249.66,249.14,249.66,2761
2026-04-15T12:00:00+00:00,249.66,249.75,249.46,249.55,7482
2026-04-15T12:05:00+00:00,249.45,249.8,249.4,249.63,5714
2026-04-15T12:10:00+00:00,249.63,249.63,249.27,249.27,2140
2026-04-15T12:15:00+00:00,249.19,249.24,249.15,249.15,1739
2026-04-15T12:20:00+00:00,249.07,249.37,249.07,249.37,1937
2026-04-15T12:25:00+00:00,249.37,249.37,249.24,249.35,1385
2026-04-15T12:30:00+00:00,249.25,249.35,249.25,249.31,2037
2026-04-15T12:35:00+00:00,249.23,249.51,249.23,249.51,2489
2026-04-15T12:40:00+00:00,249.54,249.54,249.4,249.49,10957
2026-04-15T12:45:00+00:00,249.48,249.5,249.3,249.46,5548
2026-04-15T12:50:00+00:00,249.4,249.4,249.13,249.19,2920
2026-04-15T12:55:00+00:00,249.2,249.48,249.19,249.4,6469
2026-04-15T13:00:00+00:00,249.25,249.34,249.17,249.3,4567
2026-04-15T13:05:00+00:00,249.44,249.48,249.1,249.1,4567
