ts,o,h,l,c,v
2026-04-15T13:30:00+00:00,389.251,392.99,385.073,391.902,839935
2026-04-15T13:35:00+00:00,391.952,391.962,389.336,390.295,150491
2026-04-15T13:40:00+00:00,390.135,390.424,388.268,388.467,129667
2026-04-15T13:45:00+00:00,388.398,394.218,388.318,394.029,156594
2026-04-15T13:50:00+00:00,394.078,395.047,393.15,393.459,184043
2026-04-15T13:55:00+00:00,393.37,395.596,393.17,395.037,156961
2026-04-15T14:00:00+00:00,394.997,395.556,394.068,395.366,109048
2026-04-15T14:05:00+00:00,395.297,395.306,393.779,394.358,81028
2026-04-15T14:10:00+00:00,394.328,394.428,393.24,393.769,84318
2026-04-15T14:15:00+00:00,393.699,394.478,392.98,393.28,86768
2026-04-15T14:20:00+00:00,393.18,395.646,392.801,394.997,107848
2026-04-15T14:25:00+00:00,395.037,395.287,394.058,394.438,70419
2026-04-15T14:30:00+00:00,394.518,395.426,393.919,395.097,60200
2026-04-15T14:35:00+00:00,395.147,395.926,394.293,394.298,85320
2026-04-15T14:40:00+00:00,394.378,395.446,394.378,395.087,35492
2026-04-15T14:45:00+00:00,395.077,395.616,394.927,395.316,59692
2026-04-15T14:50:00+00:00,395.316,395.446,394.148,394.348,59725
2026-04-15T14:55:00+00:00,394.328,394.408,392.95,393.939,54489
2026-04-15T15:00:00+00:00,393.879,394.173,393.37,393.829,55847
2026-04-15T15:05:00+00:00,393.789,393.859,393.2,393.589,47332
2026-04-15T15:10:00+00:00,393.549,393.889,393.08,393.08,43836
2026-04-15T15:15:00+00:00,393.13,393.27,392.182,392.361,53079
2026-04-15T15:20:00+00:00,392.351,392.751,391.642,391.812,54613
2026-04-15T15:25:00+00:00,391.812,391.932,390.973,390.973,40835
2026-04-15T15:30:00+00:00,390.983,391.343,390.604,390.884,41776
2026-04-15T15:35:00+00:00,390.834,391.587,390.744,391.448,43498
2026-04-15T15:40:00+00:00,391.463,391.952,391.223,391.632,31879
2026-04-15T15:45:00+00:00,391.592,391.982,391.333,391.408,39368
2026-04-15T15:50:00+00:00,391.433,392.152,391.253,392.002,42653
2026-04-15T15:55:00+00:00,392.042,392.261,391.632,391.827,52501
2026-04-15T16:00:00+00:00,391.817,392.501,391.682,392.311,42743
2026-04-15T16:05:00+00:00,392.311,393.499,392.221,393.39,50874
2026-04-15T16:10:00+00:00,393.32,393.969,393.12,393.579,42293
2026-04-15T16:15:00+00:00,393.589,393.789,393.145,393.589,36510
2026-04-15T16:20:00+00:00,393.589,393.834,392.83,392.83,54356
2026-04-15T16:25:00+00:00,392.82,392.82,391.543,391.752,45850
2026-04-15T16:30:00+00:00,391.752,391.882,390.374,390.594,56926
2026-04-15T16:35:00+00:00,390.624,391.253,390.564,390.564,34464
2026-04-15T16:40:00+00:00,390.544,390.614,389.037,389.356,72173
2026-04-15T16:45:00+00:00,389.326,389.795,388.477,389.74,82593
2026-04-15T16:50:00+00:00,389.705,390.095,388.098,388.358,67367
2026-04-15T16:55:00+00:00,388.348,389.536,387.928,389.336,52194
2026-04-15T17:00:00+00:00,389.426,390.384,389.266,390.175,27448
2026-04-15T17:05:00+00:00,390.195,390.654,390.065,390.474,28279
2026-04-15T17:10:00+00:00,390.524,390.574,390.065,390.155,24793
2026-04-15T17:15:00+00:00,390.165,390.973,390.165,390.614,27532
2026-04-15T17:20:00+00:00,390.564,390.834,390.275,390.414,27035
2026-04-15T17:25:00+00:00,390.484,391.243,390.454,391.193,33541
2026-04-15T17:30:00+00:00,391.253,391.732,391.253,391.652,21916
2026-04-15T17:35:00+00:00,391.602,391.902,391.363,391.373,17952
2026-04-15T17:40:00+00:00,391.333,391.493,390.874,390.993,25168
2026-04-15T17:45:00+00:00,391.033,391.383,390.924,391.343,18162
2026-04-15T17:50:00+00:00,391.388,391.702,391.173,391.433,18956
2026-04-15T17:55:00+00:00,391.373,391.443,391.003,391.083,16281
2026-04-15T18:00:00+00:00,391.083,392.172,390.634,391.133,43817
2026-04-15T18:05:00+00:00,391.113,392.097,391.113,391.682,31367
2026-04-15T18:10:00+00:00,391.682,392.201,391.572,392.007,31535
2026-04-15T18:15:00+00:00,392.092,392.471,392.012,392.231,31899
2026-04-15T18:20:00+00:00,392.261,392.481,391.952,392.321,26961
2026-04-15T18:25:00+00:00,392.271,392.561,392.112,392.421,22297
2026-04-15T18:30:00+00:00,392.441,392.721,392.261,392.501,18785
2026-04-15T18:35:00+00:00,392.501,392.84,392.501,392.621,15518
2026-04-15T18:40:00+00:00,392.611,392.651,392.261,392.421,21496
2026-04-15T18:45:00+00:00,392.406,392.451,391.847,392.221,27410
2026-04-15T18:50:00+00:00,392.236,392.471,392.211,392.451,28149
2026-04-15T18:55:00+00:00,392.466,393.315,392.466,393.1,39171
2026-04-15T19:00:00+00:00,393.08,393.28,392.89,393.12,24221
2026-04-15T19:05:00+00:00,393.1,393.919,393.1,393.919,42080
2026-04-15T19:10:00+00:00,393.899,394.148,393.599,393.629,53743
2026-04-15T19:15:00+00:00,393.649,393.949,393.649,393.869,30605
2026-04-15T19:20:00+00:00,393.889,394.168,393.589,394.039,47448
2026-04-15T19:25:00+00:00,394.029,394.268,393.909,394.168,32689
2026-04-15T19:30:00+00:00,394.148,394.338,393.969,394.198,39948
2026-04-15T19:35:00+00:00,394.238,394.398,393.949,393.989,75132
2026-04-15T19:40:00+00:00,393.979,394.118,393.719,393.829,54792
2026-04-15T19:45:00+00:00,393.839,394.078,393.469,393.899,45558
2026-04-15T19:50:00+00:00,393.929,395.287,393.899,395.287,153911
2026-04-15T19:55:00+00:00,395.287,396.445,395.267,395.975,742516
2026-04-16T13:30:00+00:00,394.787,396.964,391.772,395.346,466138
2026-04-16T13:35:00+00:00,395.257,395.766,392.97,394.668,95627
2026-04-16T13:40:00+00:00,394.727,397.862,394.368,397.613,121163
2026-04-16T13:45:00+00:00,397.733,398.521,395.696,395.726,146593
2026-04-16T13:50:00+00:00,395.726,395.926,393.21,393.21,74205
2026-04-16T13:55:00+00:00,393.27,395.496,393.27,395.217,48446
2026-04-16T14:00:00+00:00,395.167,397.004,395.147,396.874,53487
2026-04-16T14:05:00+00:00,396.864,397.293,396.21,396.644,42051
2026-04-16T14:10:00+00:00,396.644,396.964,396.045,396.704,52876
2026-04-16T14:15:00+00:00,396.739,396.764,394.987,395.526,45424
2026-04-16T14:20:00+00:00,395.566,396.764,395.356,396.684,41693
2026-04-16T14:25:00+00:00,396.669,397.473,396.624,396.764,38641
2026-04-16T14:30:00+00:00,396.794,397.114,396.485,396.819,23099
2026-04-16T14:35:00+00:00,396.914,397.074,396.475,396.754,31298
2026-04-16T14:40:00+00:00,396.754,397.303,396.684,397.004,31349
2026-04-16T14:45:00+00:00,397.029,397.543,396.834,397.403,37144
2026-04-16T14:50:00+00:00,397.433,397.433,396.574,397.104,41455
2026-04-16T14:55:00+00:00,397.054,397.129,396.475,396.924,33293
2026-04-16T15:00:00+00:00,396.879,397.483,396.774,397.174,27671
2026-04-16T15:05:00+00:00,397.154,397.643,397.044,397.478,23141
2026-04-16T15:10:00+00:00,397.483,398.312,397.483,397.982,73782
2026-04-16T15:15:00+00:00,397.982,399.041,397.563,397.683,62277
2026-04-16T15:20:00+00:00,397.718,397.743,397.134,397.164,39898
2026-04-16T15:25:00+00:00,397.164,397.503,396.225,396.225,49686
2026-04-16T15:30:00+00:00,396.205,397.203,396.085,396.984,34808
2026-04-16T15:35:00+00:00,397.054,397.862,396.824,396.844,38153
2026-04-16T15:40:00+00:00,396.814,396.884,396.315,396.664,28131
2026-04-16T15:45:00+00:00,396.614,396.614,395.671,395.926,29119
2026-04-16T15:50:00+00:00,396.015,396.764,395.985,396.764,20279
2026-04-16T15:55:00+00:00,396.764,397.942,396.724,397.683,23139
2026-04-16T16:00:00+00:00,397.783,397.952,397.233,397.593,25066
