ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,389.256,390.694,389.256,390.694,826
2026-04-15T08:05:00+00:00,390.894,391.582,390.894,391.582,346
2026-04-15T08:10:00+00:00,391.413,391.443,391.363,391.363,1046
2026-04-15T08:15:00+00:00,391.363,391.423,391.133,391.423,1462
2026-04-15T08:20:00+00:00,391.423,391.752,391.423,391.752,636
2026-04-15T08:25:00+00:00,391.752,392.471,391.752,392.231,1427
2026-04-15T08:30:00+00:00,392.231,392.231,392.231,392.231,115
2026-04-15T08:35:00+00:00,392.361,392.381,392.182,392.182,468
2026-04-15T08:40:00+00:00,392.182,392.182,392.182,392.182,55
2026-04-15T08:45:00+00:00,392.182,392.182,392.072,392.072,1252
2026-04-15T08:50:00+00:00,392.072,392.072,391.972,391.972,927
2026-04-15T08:55:00+00:00,392.371,392.571,392.371,392.421,830
2026-04-15T09:00:00+00:00,392.421,392.421,391.852,391.852,411
2026-04-15T09:05:00+00:00,391.792,391.792,391.463,391.742,706
2026-04-15T09:10:00+00:00,391.742,391.742,391.173,391.173,603
2026-04-15T09:15:00+00:00,391.383,391.383,391.383,391.383,310
2026-04-15T09:20:00+00:00,391.383,391.383,391.383,391.383,55
2026-04-15T09:25:00+00:00,391.193,391.193,390.973,391.053,2289
2026-04-15T09:30:00+00:00,391.263,391.263,391.093,391.093,443
2026-04-15T09:35:00+00:00,391.093,391.093,390.604,390.604,2945
2026-04-15T09:40:00+00:00,390.604,390.844,390.604,390.844,143
2026-04-15T09:45:00+00:00,390.844,390.844,390.844,390.844,107
2026-04-15T09:50:00+00:00,390.844,390.844,390.584,390.584,373
2026-04-15T09:55:00+00:00,390.624,390.624,390.374,390.384,1034
2026-04-15T10:00:00+00:00,390.384,390.874,390.384,390.614,4540
2026-04-15T10:05:00+00:00,390.614,391.373,390.614,391.273,530
2026-04-15T10:10:00+00:00,391.273,391.672,391.243,391.672,1092
2026-04-15T10:15:00+00:00,391.413,391.513,391.413,391.483,546
2026-04-15T10:20:00+00:00,391.483,391.483,390.434,390.624,592
2026-04-15T10:25:00+00:00,390.065,390.065,389.376,389.376,2038
2026-04-15T10:30:00+00:00,389.376,390.125,389.376,389.885,944
2026-04-15T10:35:00+00:00,389.835,389.835,389.156,389.156,668
2026-04-15T10:40:00+00:00,389.156,389.965,389.156,389.965,1308
2026-04-15T10:45:00+00:00,389.875,390.175,389.875,390.175,335
2026-04-15T10:50:00+00:00,389.895,390.115,389.895,390.115,372
2026-04-15T10:55:00+00:00,390.115,390.115,390.025,390.085,265
2026-04-15T11:00:00+00:00,390.245,390.804,390.085,390.504,1442
2026-04-15T11:05:00+00:00,390.504,390.504,390.225,390.245,521
2026-04-15T11:10:00+00:00,390.404,391.173,390.404,390.973,2031
2026-04-15T11:15:00+00:00,390.824,390.824,390.684,390.684,659
2026-04-15T11:20:00+00:00,390.704,390.874,390.394,390.874,2974
2026-04-15T11:25:00+00:00,390.874,391.822,390.874,391.073,4167
2026-04-15T11:30:00+00:00,391.103,391.373,390.644,390.644,2429
2026-04-15T11:35:00+00:00,390.834,390.834,390.624,390.624,905
2026-04-15T11:40:00+00:00,390.624,390.624,390.374,390.374,2591
2026-04-15T11:45:00+00:00,390.374,390.874,390.374,390.754,1595
2026-04-15T11:50:00+00:00,390.754,390.754,390.374,390.374,1192
2026-04-15T11:55:00+00:00,390.714,390.714,390.374,390.374,1038
2026-04-15T12:00:00+00:00,390.364,390.364,389.376,389.376,2646
2026-04-15T12:05:00+00:00,389.037,389.206,387.978,388.278,3069
2026-04-15T12:10:00+00:00,388.178,388.178,386.381,387.13,4176
2026-04-15T12:15:00+00:00,387.09,388.278,386.9,388.278,2625
2026-04-15T12:20:00+00:00,388.378,388.438,387.838,387.958,1339
2026-04-15T12:25:00+00:00,387.958,387.958,387.749,387.838,984
2026-04-15T12:30:00+00:00,387.838,387.888,387.379,387.878,1055
2026-04-15T12:35:00+00:00,388.308,389.176,388.308,389.176,1907
2026-04-15T12:40:00+00:00,388.877,388.877,387.998,388.667,2293
2026-04-15T12:45:00+00:00,388.408,388.677,387.928,388.677,2246
2026-04-15T12:50:00+00:00,388.677,388.677,387.679,387.679,840
2026-04-15T12:55:00+00:00,388.058,388.108,387.15,387.15,2783
2026-04-15T13:00:00+00:00,387.15,387.15,386.68,386.94,4727
2026-04-15T13:05:00+00:00,387.13,387.13,386.531,386.9,2250
2026-04-15T13:10:00+00:00,387.15,388.228,387.15,388.228,1517
2026-04-15T13:15:00+00:00,388.058,388.258,387.379,387.379,4006
2026-04-15T13:20:00+00:00,387.629,388.078,386.231,386.231,7162
2026-04-15T13:25:00+00:00,387.489,389.366,386.68,389.366,13318
2026-04-15T13:30:00+00:00,389.251,392.99,385.073,391.902,839935
2026-04-15T13:35:00+00:00,391.952,391.962,389.336,390.295,150491
2026-04-15T13:40:00+00:00,390.135,390.424,388.268,388.467,129667
2026-04-15T13:45:00+00:00,388.398,394.218,388.318,394.029,156594
2026-04-15T13:50:00+00:00,394.078,395.047,393.15,393.459,184043
2026-04-15T13:55:00+00:00,393.37,395.596,393.17,395.037,156961
2026-04-15T14:00:00+00:00,394.997,395.556,394.068,395.366,109048
2026-04-15T14:05:00+00:00,395.297,395.306,393.779,394.358,81028
2026-04-15T14:10:00+00:00,394.328,394.428,393.24,393.769,84318
2026-04-15T14:15:00+00:00,393.699,394.478,392.98,393.28,86768
2026-04-15T14:20:00+00:00,393.18,395.646,392.801,394.997,107848
2026-04-15T14:25:00+00:00,395.037,395.287,394.058,394.438,70419
2026-04-15T14:30:00+00:00,394.518,395.426,393.919,395.097,60200
2026-04-15T14:35:00+00:00,395.147,395.926,394.293,394.298,85320
2026-04-15T14:40:00+00:00,394.378,395.446,394.378,395.087,35492
2026-04-15T14:45:00+00:00,395.077,395.616,394.927,395.316,59692
2026-04-15T14:50:00+00:00,395.316,395.446,394.148,394.348,59725
2026-04-15T14:55:00+00:00,394.328,394.408,392.95,393.939,54489
2026-04-15T15:00:00+00:00,393.879,394.173,393.37,393.829,55847
2026-04-15T15:05:00+00:00,393.789,393.859,393.2,393.589,47332
2026-04-15T15:10:00+00:00,393.549,393.889,393.08,393.08,43836
2026-04-15T15:15:00+00:00,393.13,393.27,392.182,392.361,53079
2026-04-15T15:20:00+00:00,392.351,392.751,391.642,391.812,54613
2026-04-15T15:25:00+00:00,391.812,391.932,390.973,390.973,40835
2026-04-15T15:30:00+00:00,390.983,391.343,390.604,390.884,41776
2026-04-15T15:35:00+00:00,390.834,391.587,390.744,391.448,43498
2026-04-15T15:40:00+00:00,391.463,391.952,391.223,391.632,31879
2026-04-15T15:45:00+00:00,391.592,391.982,391.333,391.408,39368
2026-04-15T15:50:00+00:00,391.433,392.152,391.253,392.002,42653
2026-04-15T15:55:00+00:00,392.042,392.261,391.632,391.827,52501
2026-04-15T16:00:00+00:00,391.817,392.501,391.682,392.311,42743
2026-04-15T16:05:00+00:00,392.311,393.499,392.221,393.39,50874
2026-04-15T16:10:00+00:00,393.32,393.969,393.12,393.579,42293
2026-04-15T16:15:00+00:00,393.589,393.789,393.145,393.589,36510
2026-04-15T16:20:00+00:00,393.589,393.834,392.83,392.83,54356
2026-04-15T16:25:00+00:00,392.82,392.82,391.543,391.752,45850
2026-04-15T16:30:00+00:00,391.752,391.882,390.374,390.594,56926
2026-04-15T16:35:00+00:00,390.624,391.253,390.564,390.564,34464
2026-04-15T16:40:00+00:00,390.544,390.614,389.037,389.356,72173
