ts,o,h,l,c,v
2026-04-15T13:30:00+00:00,21.64,21.64,21.23,21.24,173126
2026-04-15T13:35:00+00:00,21.25,21.42,21.21,21.4,145498
2026-04-15T13:40:00+00:00,21.4,21.46,21.15,21.15,129644
2026-04-15T13:45:00+00:00,21.17,21.38,21.17,21.36,103112
2026-04-15T13:50:00+00:00,21.38,21.49,21.36,21.39,185467
2026-04-15T13:55:00+00:00,21.4,21.65,21.35,21.59,84736
2026-04-15T14:00:00+00:00,21.595,21.67,21.56,21.61,71395
2026-04-15T14:05:00+00:00,21.61,21.69,21.59,21.66,60588
2026-04-15T14:10:00+00:00,21.66,21.81,21.66,21.81,72100
2026-04-15T14:15:00+00:00,21.81,21.92,21.71,21.71,97681
2026-04-15T14:20:00+00:00,21.715,21.89,21.715,21.89,84505
2026-04-15T14:25:00+00:00,21.9,21.99,21.885,21.9,93705
2026-04-15T14:30:00+00:00,21.905,21.93,21.78,21.795,52494
2026-04-15T14:35:00+00:00,21.8,21.86,21.635,21.645,41144
2026-04-15T14:40:00+00:00,21.65,21.7,21.64,21.67,35594
2026-04-15T14:45:00+00:00,21.7,21.84,21.69,21.84,25167
2026-04-15T14:50:00+00:00,21.84,21.865,21.79,21.82,31325
2026-04-15T14:55:00+00:00,21.82,21.865,21.82,21.84,24348
2026-04-15T15:00:00+00:00,21.85,21.94,21.815,21.82,45200
2026-04-15T15:05:00+00:00,21.815,21.855,21.74,21.765,62174
2026-04-15T15:10:00+00:00,21.76,21.9,21.745,21.9,31261
2026-04-15T15:15:00+00:00,21.895,21.91,21.84,21.86,38349
2026-04-15T15:20:00+00:00,21.85,21.9,21.8,21.83,33417
2026-04-15T15:25:00+00:00,21.83,21.865,21.74,21.74,31060
2026-04-15T15:30:00+00:00,21.72,21.72,21.51,21.54,110190
2026-04-15T15:35:00+00:00,21.55,21.685,21.54,21.68,22584
2026-04-15T15:40:00+00:00,21.7,21.79,21.69,21.7,40547
2026-04-15T15:45:00+00:00,21.69,21.78,21.68,21.745,28725
2026-04-15T15:50:00+00:00,21.75,21.77,21.71,21.71,25301
2026-04-15T15:55:00+00:00,21.71,21.76,21.65,21.75,35655
2026-04-15T16:00:00+00:00,21.72,21.825,21.72,21.825,18283
2026-04-15T16:05:00+00:00,21.82,21.87,21.795,21.815,29091
2026-04-15T16:10:00+00:00,21.81,21.83,21.775,21.8,27036
2026-04-15T16:15:00+00:00,21.82,21.865,21.815,21.855,16847
2026-04-15T16:20:00+00:00,21.86,21.91,21.85,21.86,19823
2026-04-15T16:25:00+00:00,21.845,21.855,21.78,21.78,14857
2026-04-15T16:30:00+00:00,21.79,21.8,21.655,21.68,32219
2026-04-15T16:35:00+00:00,21.68,21.74,21.67,21.67,20689
2026-04-15T16:40:00+00:00,21.67,21.67,21.49,21.5,61725
2026-04-15T16:45:00+00:00,21.505,21.53,21.41,21.52,51975
2026-04-15T16:50:00+00:00,21.525,21.555,21.39,21.405,45921
2026-04-15T16:55:00+00:00,21.4,21.455,21.35,21.455,36164
2026-04-15T17:00:00+00:00,21.46,21.57,21.45,21.57,24797
2026-04-15T17:05:00+00:00,21.58,21.74,21.58,21.715,53972
2026-04-15T17:10:00+00:00,21.725,21.74,21.66,21.68,27045
2026-04-15T17:15:00+00:00,21.675,21.715,21.67,21.68,20625
2026-04-15T17:20:00+00:00,21.68,21.7,21.66,21.7,11183
2026-04-15T17:25:00+00:00,21.72,21.83,21.72,21.8,38085
2026-04-15T17:30:00+00:00,21.8,21.83,21.785,21.805,28740
2026-04-15T17:35:00+00:00,21.8,21.82,21.765,21.77,13949
2026-04-15T17:40:00+00:00,21.75,21.77,21.7,21.7,14677
2026-04-15T17:45:00+00:00,21.71,21.735,21.71,21.725,8482
2026-04-15T17:50:00+00:00,21.74,21.755,21.71,21.74,12888
2026-04-15T17:55:00+00:00,21.73,21.73,21.68,21.68,6339
2026-04-15T18:00:00+00:00,21.68,21.795,21.605,21.76,48374
2026-04-15T18:05:00+00:00,21.75,21.79,21.74,21.75,16645
2026-04-15T18:10:00+00:00,21.76,21.82,21.75,21.81,18053
2026-04-15T18:15:00+00:00,21.81,21.845,21.79,21.8,16893
2026-04-15T18:20:00+00:00,21.8,21.83,21.785,21.8,23857
2026-04-15T18:25:00+00:00,21.8,21.835,21.75,21.79,19334
2026-04-15T18:30:00+00:00,21.8,21.865,21.8,21.855,21541
