ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,21.5,21.53,21.41,21.53,3813
2026-04-15T08:05:00+00:00,21.54,21.55,21.5,21.5,2094
2026-04-15T08:10:00+00:00,21.5,21.55,21.5,21.55,627
2026-04-15T08:15:00+00:00,21.55,21.55,21.54,21.54,864
2026-04-15T08:20:00+00:00,21.54,21.54,21.54,21.54,206
2026-04-15T08:25:00+00:00,21.54,21.68,21.54,21.68,629
2026-04-15T08:30:00+00:00,21.68,21.68,21.65,21.67,1224
2026-04-15T08:35:00+00:00,21.67,21.72,21.67,21.72,3978
2026-04-15T08:40:00+00:00,21.72,21.72,21.7,21.7,1342
2026-04-15T08:45:00+00:00,21.69,21.69,21.67,21.69,4948
2026-04-15T08:50:00+00:00,21.69,21.69,21.68,21.69,1795
2026-04-15T08:55:00+00:00,21.72,21.73,21.72,21.73,3565
2026-04-15T09:00:00+00:00,21.73,21.73,21.73,21.73,206
2026-04-15T09:05:00+00:00,21.65,21.65,21.62,21.62,2128
2026-04-15T09:10:00+00:00,21.62,21.62,21.62,21.62,5662
2026-04-15T09:15:00+00:00,21.61,21.61,21.61,21.61,2280
2026-04-15T09:20:00+00:00,21.62,21.62,21.62,21.62,1112
2026-04-15T09:25:00+00:00,21.62,21.62,21.56,21.56,750
2026-04-15T09:30:00+00:00,21.56,21.6,21.56,21.6,679
2026-04-15T09:35:00+00:00,21.6,21.6,21.55,21.55,787
2026-04-15T09:40:00+00:00,21.55,21.55,21.55,21.55,400
2026-04-15T09:45:00+00:00,21.55,21.55,21.55,21.55,35
2026-04-15T09:50:00+00:00,21.55,21.55,21.53,21.53,518
2026-04-15T09:55:00+00:00,21.55,21.55,21.55,21.55,730
2026-04-15T10:00:00+00:00,21.55,21.56,21.53,21.53,11105
2026-04-15T10:05:00+00:00,21.53,21.54,21.53,21.54,159
2026-04-15T10:10:00+00:00,21.54,21.54,21.54,21.54,70
2026-04-15T10:15:00+00:00,21.53,21.53,21.5,21.5,2826
2026-04-15T10:20:00+00:00,21.5,21.5,21.5,21.5,172
2026-04-15T10:25:00+00:00,21.5,21.5,21.45,21.45,867
2026-04-15T10:30:00+00:00,21.45,21.45,21.43,21.43,365
2026-04-15T10:35:00+00:00,21.43,21.43,21.4,21.41,2575
2026-04-15T10:40:00+00:00,21.41,21.48,21.41,21.48,2621
2026-04-15T10:45:00+00:00,21.52,21.52,21.52,21.52,207
