ts,o,h,l,c,v
2026-05-14T17:00:00+00:00,385.0,385.0,385.0,385.0,3223
2026-05-14T17:05:00+00:00,370.0,379.81,325.0,369.99,3378048
2026-05-14T17:10:00+00:00,370.0,374.0,350.0,364.53,1036616
2026-05-14T17:15:00+00:00,363.28,365.26,335.99,343.19,948531
2026-05-14T17:20:00+00:00,343.44,344.54,325.98,326.825,881561
2026-05-14T17:25:00+00:00,326.12,335.0,321.0,327.185,927012
2026-05-14T17:30:00+00:00,326.94,337.5,324.0,330.77,506129
2026-05-14T17:35:00+00:00,330.13,343.0,330.13,335.0,416259
2026-05-14T17:40:00+00:00,335.0,336.587,326.5,329.38,291509
2026-05-14T17:45:00+00:00,328.73,331.0,322.16,325.81,366869
2026-05-14T17:50:00+00:00,325.815,328.0,307.029,307.03,635142
2026-05-14T17:55:00+00:00,307.01,312.0,302.357,303.29,604230
2026-05-14T18:00:00+00:00,303.275,306.69,300.0,301.18,617024
2026-05-14T18:05:00+00:00,300.48,309.45,300.0,309.44,374131
2026-05-14T18:10:00+00:00,309.0,316.64,306.0,308.36,366503
2026-05-14T18:15:00+00:00,308.12,311.89,304.0,311.0,229753
2026-05-14T18:20:00+00:00,311.99,318.85,309.61,317.5,281822
2026-05-14T18:25:00+00:00,317.5,319.5,311.0,313.09,187218
2026-05-14T18:30:00+00:00,313.285,322.0,311.25,321.165,226245
2026-05-14T18:35:00+00:00,321.762,324.0,317.21,322.15,220764
2026-05-14T18:40:00+00:00,322.02,325.0,318.75,324.845,228742
2026-05-14T18:45:00+00:00,325.0,327.765,322.02,323.48,226468
2026-05-14T18:50:00+00:00,323.61,325.0,320.31,322.44,153112
2026-05-14T18:55:00+00:00,322.603,326.98,317.03,318.495,256464
2026-05-14T19:00:00+00:00,317.63,325.0,315.301,324.5,192069
2026-05-14T19:05:00+00:00,324.735,328.9,320.4,328.45,208383
2026-05-14T19:10:00+00:00,328.16,330.0,326.6,327.66,221244
2026-05-14T19:15:00+00:00,327.66,329.99,325.0,329.78,194318
2026-05-14T19:20:00+00:00,329.31,329.92,324.5,325.555,162185
2026-05-14T19:25:00+00:00,325.555,326.5,320.0,320.4,202122
2026-05-14T19:30:00+00:00,320.03,321.28,312.32,318.735,300405
2026-05-14T19:35:00+00:00,318.98,322.0,316.51,319.73,184958
2026-05-14T19:40:00+00:00,319.55,321.73,315.52,316.25,188375
2026-05-14T19:45:00+00:00,316.26,319.25,311.0,311.0,250982
2026-05-14T19:50:00+00:00,311.0,317.98,305.16,317.5,292456
2026-05-14T19:55:00+00:00,317.25,317.5,309.1,311.07,569385
2026-05-15T13:30:00+00:00,298.49,300.0,291.3,298.505,484804
2026-05-15T13:35:00+00:00,298.26,305.0,294.6,294.92,531583
2026-05-15T13:40:00+00:00,295.27,302.0,294.41,300.515,281539
2026-05-15T13:45:00+00:00,300.5,301.75,292.0,292.74,349011
2026-05-15T13:50:00+00:00,292.66,292.91,275.0,278.48,884315
2026-05-15T13:55:00+00:00,278.48,287.5,275.0,287.5,577787
2026-05-15T14:00:00+00:00,287.83,296.62,287.18,289.97,343371
2026-05-15T14:05:00+00:00,289.65,291.0,286.005,288.04,134396
2026-05-15T14:10:00+00:00,288.0,296.0,287.431,292.39,193190
2026-05-15T14:15:00+00:00,292.0,299.5,290.55,293.47,233612
2026-05-15T14:20:00+00:00,293.82,299.0,293.695,296.59,143722
2026-05-15T14:25:00+00:00,296.75,299.9,295.0,296.518,100613
2026-05-15T14:30:00+00:00,296.53,299.0,293.2,295.301,217506
2026-05-15T14:35:00+00:00,295.399,296.5,294.15,296.07,63505
2026-05-15T14:40:00+00:00,296.13,299.0,295.12,297.63,95623
2026-05-15T14:45:00+00:00,297.79,298.01,294.0,295.11,154051
2026-05-15T14:50:00+00:00,295.17,296.68,294.0,296.42,124907
2026-05-15T14:55:00+00:00,296.42,297.79,295.0,296.7,68736
2026-05-15T15:00:00+00:00,296.7,298.0,294.0,295.0,154943
2026-05-15T15:05:00+00:00,294.855,296.94,294.27,296.713,66414
2026-05-15T15:10:00+00:00,296.46,296.96,295.0,296.5,52517
2026-05-15T15:15:00+00:00,296.66,301.78,296.4,299.44,244985
2026-05-15T15:20:00+00:00,299.44,306.78,299.0,304.53,263385
2026-05-15T15:25:00+00:00,304.53,304.94,301.0,304.89,96574
2026-05-15T15:30:00+00:00,305.0,305.46,300.0,300.49,104030
2026-05-15T15:35:00+00:00,300.49,301.16,298.0,298.975,113539
2026-05-15T15:40:00+00:00,299.015,300.34,297.39,297.545,102941
2026-05-15T15:45:00+00:00,297.545,298.15,294.0,295.43,129594
2026-05-15T15:50:00+00:00,295.23,295.23,289.0,291.475,171401
2026-05-15T15:55:00+00:00,291.316,294.8,288.5,294.505,84158
2026-05-15T16:00:00+00:00,294.41,297.785,292.97,297.72,64876
2026-05-15T16:05:00+00:00,297.44,300.46,297.44,299.35,80924
2026-05-15T16:10:00+00:00,299.4,299.8,298.65,299.59,54653
2026-05-15T16:15:00+00:00,299.59,299.69,298.265,298.66,47796
2026-05-15T16:20:00+00:00,298.578,299.11,297.0,298.755,66974
2026-05-15T16:25:00+00:00,298.69,298.69,297.0,297.05,47665
2026-05-15T16:30:00+00:00,297.15,298.96,297.0,298.005,42366
2026-05-15T16:35:00+00:00,297.88,299.51,297.36,299.09,36199
2026-05-15T16:40:00+00:00,299.0,299.907,298.85,299.36,37199
2026-05-15T16:45:00+00:00,299.736,300.0,299.0,299.81,32115
2026-05-15T16:50:00+00:00,299.73,299.99,299.0,299.0,32460
2026-05-15T16:55:00+00:00,299.02,299.77,299.0,299.005,31224
2026-05-15T17:00:00+00:00,299.005,299.7,298.55,298.61,69369
2026-05-15T17:05:00+00:00,298.76,299.92,298.31,299.38,50226
2026-05-15T17:10:00+00:00,299.3,299.69,298.5,298.66,41195
2026-05-15T17:15:00+00:00,298.655,299.6,298.51,298.61,35975
2026-05-15T17:20:00+00:00,298.625,299.11,298.252,298.81,24153
2026-05-15T17:25:00+00:00,298.76,299.4,297.91,299.12,42069
2026-05-15T17:30:00+00:00,299.148,300.5,295.59,297.45,54946
2026-05-15T17:35:00+00:00,297.505,302.0,297.48,300.625,64926
2026-05-15T17:40:00+00:00,300.68,301.188,297.74,299.68,46938
