ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,18.4,18.4,18.4,18.4,0
2026-04-15T08:05:00+00:00,18.2,18.28,18.2,18.27,346
2026-04-15T08:10:00+00:00,18.29,18.45,18.29,18.45,10302
2026-04-15T08:15:00+00:00,18.45,18.45,18.45,18.45,0
2026-04-15T08:20:00+00:00,18.36,18.36,18.35,18.35,432
2026-04-15T08:25:00+00:00,18.35,18.35,18.32,18.32,396
2026-04-15T08:30:00+00:00,18.32,18.32,18.32,18.32,260
2026-04-15T08:35:00+00:00,18.44,18.53,18.44,18.53,2331
2026-04-15T08:40:00+00:00,18.53,18.53,18.53,18.53,20
2026-04-15T08:45:00+00:00,18.5,18.5,18.44,18.44,2402
2026-04-15T08:50:00+00:00,18.44,18.44,18.44,18.44,0
2026-04-15T08:55:00+00:00,18.44,18.44,18.44,18.44,151
2026-04-15T09:00:00+00:00,18.44,18.44,18.39,18.39,453
2026-04-15T09:05:00+00:00,18.39,18.39,18.39,18.39,12
2026-04-15T09:10:00+00:00,18.44,18.44,18.43,18.43,208
2026-04-15T09:15:00+00:00,18.36,18.36,18.36,18.36,1378
2026-04-15T09:20:00+00:00,18.36,18.36,18.36,18.36,120
2026-04-15T09:25:00+00:00,18.35,18.35,18.35,18.35,163
2026-04-15T09:30:00+00:00,18.35,18.35,18.35,18.35,83
2026-04-15T09:35:00+00:00,18.35,18.35,18.35,18.35,199
2026-04-15T09:40:00+00:00,18.35,18.35,18.35,18.35,0
2026-04-15T09:45:00+00:00,18.29,18.29,18.2,18.2,2402
2026-04-15T09:50:00+00:00,18.2,18.2,18.2,18.2,0
2026-04-15T09:55:00+00:00,18.2,18.2,18.2,18.2,1
2026-04-15T10:00:00+00:00,18.2,18.2,18.2,18.2,1930
2026-04-15T10:05:00+00:00,18.17,18.17,18.17,18.17,9270
2026-04-15T10:10:00+00:00,18.22,18.23,18.22,18.23,1097
2026-04-15T10:15:00+00:00,18.22,18.23,18.17,18.2,2522
2026-04-15T10:20:00+00:00,18.16,18.19,18.16,18.19,992
2026-04-15T10:25:00+00:00,18.19,18.19,18.19,18.19,139
2026-04-15T10:30:00+00:00,18.1,18.1,18.1,18.1,100
2026-04-15T10:35:00+00:00,18.1,18.1,18.1,18.1,0
2026-04-15T10:40:00+00:00,18.18,18.23,18.18,18.22,7893
2026-04-15T10:45:00+00:00,18.22,18.22,18.22,18.22,0
2026-04-15T10:50:00+00:00,18.22,18.22,18.22,18.22,3
2026-04-15T10:55:00+00:00,18.22,18.22,18.22,18.22,0
2026-04-15T11:00:00+00:00,18.2,18.27,18.2,18.25,1367
2026-04-15T11:05:00+00:00,18.27,18.31,18.26,18.28,5278
2026-04-15T11:10:00+00:00,18.29,18.3,18.28,18.3,1967
2026-04-15T11:15:00+00:00,18.3,18.3,18.3,18.3,134
2026-04-15T11:20:00+00:00,18.31,18.31,18.28,18.28,514
2026-04-15T11:25:00+00:00,18.29,18.33,18.29,18.3,2567
2026-04-15T11:30:00+00:00,18.3,18.33,18.3,18.33,5983
2026-04-15T11:35:00+00:00,18.31,18.31,18.3,18.3,2487
2026-04-15T11:40:00+00:00,18.29,18.3,18.29,18.29,565
2026-04-15T11:45:00+00:00,18.29,18.29,18.29,18.29,8
2026-04-15T11:50:00+00:00,18.31,18.31,18.31,18.31,3405
2026-04-15T11:55:00+00:00,18.31,18.31,18.31,18.31,352
2026-04-15T12:00:00+00:00,18.31,18.35,18.29,18.29,5144
2026-04-15T12:05:00+00:00,18.29,18.3,18.29,18.3,880
2026-04-15T12:10:00+00:00,18.29,18.35,18.29,18.35,4910
2026-04-15T12:15:00+00:00,18.3,18.3,18.26,18.26,1540
2026-04-15T12:20:00+00:00,18.26,18.26,18.26,18.26,0
2026-04-15T12:25:00+00:00,18.28,18.3,18.28,18.3,2645
2026-04-15T12:30:00+00:00,18.3,18.3,18.22,18.22,1085
2026-04-15T12:35:00+00:00,18.28,18.33,18.28,18.33,5855
2026-04-15T12:40:00+00:00,18.32,18.32,18.32,18.32,390
2026-04-15T12:45:00+00:00,18.32,18.32,18.3,18.3,366
2026-04-15T12:50:00+00:00,18.3,18.3,18.3,18.3,13
2026-04-15T12:55:00+00:00,18.3,18.3,18.27,18.27,5487
2026-04-15T13:00:00+00:00,18.27,18.27,18.27,18.27,5
2026-04-15T13:05:00+00:00,18.28,18.32,18.28,18.32,423
2026-04-15T13:10:00+00:00,18.32,18.34,18.32,18.34,472
2026-04-15T13:15:00+00:00,18.28,18.35,18.28,18.35,1855
2026-04-15T13:20:00+00:00,18.35,18.4,18.32,18.36,5230
2026-04-15T13:25:00+00:00,18.36,18.39,18.12,18.17,18891
2026-04-15T13:30:00+00:00,18.2,18.22,17.72,17.94,407966
2026-04-15T13:35:00+00:00,17.96,18.19,17.96,18.08,155924
2026-04-15T13:40:00+00:00,18.07,18.1,17.91,17.98,108023
2026-04-15T13:45:00+00:00,17.98,18.255,17.97,18.13,98718
2026-04-15T13:50:00+00:00,18.12,18.27,18.09,18.19,60093
2026-04-15T13:55:00+00:00,18.21,18.38,18.195,18.28,57040
2026-04-15T14:00:00+00:00,18.28,18.305,18.15,18.185,54513
2026-04-15T14:05:00+00:00,18.195,18.25,18.05,18.12,46340
2026-04-15T14:10:00+00:00,18.11,18.12,18.03,18.105,42782
2026-04-15T14:15:00+00:00,18.095,18.11,17.96,17.97,91248
2026-04-15T14:20:00+00:00,17.97,18.11,17.95,18.08,57135
2026-04-15T14:25:00+00:00,18.095,18.095,18.005,18.06,34502
2026-04-15T14:30:00+00:00,18.05,18.1,17.92,17.96,86744
2026-04-15T14:35:00+00:00,17.955,18.04,17.92,17.94,61238
2026-04-15T14:40:00+00:00,17.96,18.02,17.94,17.96,31954
2026-04-15T14:45:00+00:00,17.96,18.09,17.94,18.05,44074
2026-04-15T14:50:00+00:00,18.05,18.09,17.97,18.045,35379
2026-04-15T14:55:00+00:00,18.05,18.155,18.03,18.03,101337
2026-04-15T15:00:00+00:00,18.035,18.125,18.035,18.05,37943
2026-04-15T15:05:00+00:00,18.05,18.06,17.955,17.99,29526
2026-04-15T15:10:00+00:00,17.99,18.055,17.99,18.04,27132
2026-04-15T15:15:00+00:00,18.04,18.05,17.98,17.98,28886
2026-04-15T15:20:00+00:00,17.98,17.985,17.795,17.835,79786
2026-04-15T15:25:00+00:00,17.83,17.855,17.77,17.77,39351
2026-04-15T15:30:00+00:00,17.77,17.78,17.54,17.54,122033
2026-04-15T15:35:00+00:00,17.53,17.7,17.51,17.69,83833
2026-04-15T15:40:00+00:00,17.685,17.74,17.685,17.73,37677
2026-04-15T15:45:00+00:00,17.725,17.74,17.69,17.69,29509
2026-04-15T15:50:00+00:00,17.7,17.715,17.625,17.63,40817
2026-04-15T15:55:00+00:00,17.64,17.695,17.585,17.695,21604
2026-04-15T16:00:00+00:00,17.68,17.82,17.66,17.82,55580
2026-04-15T16:05:00+00:00,17.81,17.9,17.8,17.88,42479
2026-04-15T16:10:00+00:00,17.89,17.895,17.81,17.84,21927
2026-04-15T16:15:00+00:00,17.86,17.905,17.845,17.895,18833
2026-04-15T16:20:00+00:00,17.895,17.955,17.895,17.91,33371
2026-04-15T16:25:00+00:00,17.9,17.945,17.885,17.91,24990
2026-04-15T16:30:00+00:00,17.91,17.91,17.805,17.84,30326
2026-04-15T16:35:00+00:00,17.86,17.88,17.795,17.805,17159
2026-04-15T16:40:00+00:00,17.8,17.8,17.645,17.655,40717
2026-04-15T16:45:00+00:00,17.655,17.695,17.555,17.63,47027
2026-04-15T16:50:00+00:00,17.64,17.68,17.49,17.505,66490
2026-04-15T16:55:00+00:00,17.51,17.555,17.435,17.555,44017
2026-04-15T17:00:00+00:00,17.565,17.66,17.56,17.65,40382
2026-04-15T17:05:00+00:00,17.64,17.71,17.64,17.68,33274
2026-04-15T17:10:00+00:00,17.68,17.69,17.625,17.65,29671
2026-04-15T17:15:00+00:00,17.64,17.675,17.615,17.63,22073
2026-04-15T17:20:00+00:00,17.64,17.65,17.575,17.61,13552
2026-04-15T17:25:00+00:00,17.62,17.715,17.605,17.7,23239
2026-04-15T17:30:00+00:00,17.7,17.745,17.7,17.735,16976
2026-04-15T17:35:00+00:00,17.735,17.735,17.7,17.7,14175
2026-04-15T17:40:00+00:00,17.69,17.705,17.62,17.63,50361
2026-04-15T17:45:00+00:00,17.64,17.725,17.64,17.71,19323
2026-04-15T17:50:00+00:00,17.71,17.75,17.705,17.705,28901
2026-04-15T17:55:00+00:00,17.705,17.73,17.675,17.68,16915
2026-04-15T18:00:00+00:00,17.68,17.78,17.64,17.76,67337
2026-04-15T18:05:00+00:00,17.765,17.845,17.765,17.83,39065
2026-04-15T18:10:00+00:00,17.835,17.88,17.805,17.84,32498
2026-04-15T18:15:00+00:00,17.835,17.845,17.76,17.79,44879
2026-04-15T18:20:00+00:00,17.795,17.815,17.755,17.78,20792
2026-04-15T18:25:00+00:00,17.77,17.8,17.765,17.775,18681
2026-04-15T18:30:00+00:00,17.79,17.845,17.785,17.8,24749
2026-04-15T18:35:00+00:00,17.8,17.825,17.775,17.8,30478
2026-04-15T18:40:00+00:00,17.8,17.8,17.725,17.735,13789
2026-04-15T18:45:00+00:00,17.74,17.77,17.725,17.77,18544
2026-04-15T18:50:00+00:00,17.765,17.83,17.765,17.805,38282
2026-04-15T18:55:00+00:00,17.81,17.85,17.785,17.825,26332
2026-04-15T19:00:00+00:00,17.835,17.86,17.785,17.86,57653
2026-04-15T19:05:00+00:00,17.87,17.92,17.855,17.91,19628
2026-04-15T19:10:00+00:00,17.91,17.945,17.89,17.92,31068
2026-04-15T19:15:00+00:00,17.925,17.975,17.905,17.96,36268
2026-04-15T19:20:00+00:00,17.96,17.975,17.915,17.92,22674
2026-04-15T19:25:00+00:00,17.92,17.925,17.835,17.905,53766
2026-04-15T19:30:00+00:00,17.915,17.965,17.89,17.955,37205
2026-04-15T19:35:00+00:00,17.96,18.015,17.955,17.965,85146
2026-04-15T19:40:00+00:00,17.96,18.015,17.91,17.96,96242
2026-04-15T19:45:00+00:00,17.96,18.005,17.94,17.99,67982
2026-04-15T19:50:00+00:00,17.985,18.06,17.905,18.01,105430
2026-04-15T19:55:00+00:00,18.02,18.025,17.955,17.995,256579
2026-04-15T20:00:00+00:00,17.95,17.99,17.95,17.99,464
2026-04-15T20:05:00+00:00,18.0,18.01,18.0,18.01,2150
2026-04-15T20:10:00+00:00,18.0,18.08,18.0,18.08,3497
2026-04-15T20:15:00+00:00,17.98,18.06,17.97,18.06,1244
2026-04-15T20:20:00+00:00,18.02,18.03,18.01,18.01,2087
2026-04-15T20:25:00+00:00,18.01,18.01,18.01,18.01,0
2026-04-15T20:30:00+00:00,18.01,18.01,18.01,18.01,0
2026-04-15T20:35:00+00:00,18.01,18.01,18.01,18.01,31
2026-04-15T20:40:00+00:00,18.01,18.04,18.01,18.04,2150
2026-04-15T20:45:00+00:00,18.01,18.01,18.01,18.01,405
2026-04-15T20:50:00+00:00,18.03,18.03,18.03,18.03,211
