ts,o,h,l,c,v
2026-04-15T13:30:00+00:00,7.83,7.83,7.65,7.79,149776
2026-04-15T13:35:00+00:00,7.78,7.88,7.74,7.86,71737
2026-04-15T13:40:00+00:00,7.85,7.88,7.64,7.64,93684
2026-04-15T13:45:00+00:00,7.65,7.935,7.65,7.93,93707
2026-04-15T13:50:00+00:00,7.94,8.02,7.93,7.97,102886
2026-04-15T13:55:00+00:00,7.99,8.005,7.95,8.0,46989
2026-04-15T14:00:00+00:00,8.0,8.075,7.97,8.02,96026
2026-04-15T14:05:00+00:00,8.02,8.225,8.02,8.22,137986
2026-04-15T14:10:00+00:00,8.22,8.37,8.22,8.37,154859
2026-04-15T14:15:00+00:00,8.37,8.475,8.29,8.29,96355
2026-04-15T14:20:00+00:00,8.29,8.36,8.27,8.35,51792
2026-04-15T14:25:00+00:00,8.34,8.4,8.34,8.38,61688
2026-04-15T14:30:00+00:00,8.38,8.42,8.36,8.4,39959
2026-04-15T14:35:00+00:00,8.4,8.43,8.29,8.29,51551
2026-04-15T14:40:00+00:00,8.3,8.32,8.26,8.26,36524
2026-04-15T14:45:00+00:00,8.27,8.27,8.22,8.26,22176
2026-04-15T14:50:00+00:00,8.28,8.3,8.25,8.28,48758
2026-04-15T14:55:00+00:00,8.29,8.3,8.26,8.27,12246
2026-04-15T15:00:00+00:00,8.29,8.29,8.25,8.25,11849
2026-04-15T15:05:00+00:00,8.25,8.265,8.17,8.18,36504
2026-04-15T15:10:00+00:00,8.19,8.285,8.19,8.28,15043
2026-04-15T15:15:00+00:00,8.28,8.3,8.28,8.29,11593
2026-04-15T15:20:00+00:00,8.29,8.3,8.28,8.285,14420
2026-04-15T15:25:00+00:00,8.3,8.32,8.25,8.26,18483
2026-04-15T15:30:00+00:00,8.24,8.24,8.15,8.16,35251
2026-04-15T15:35:00+00:00,8.16,8.19,8.1,8.18,45133
2026-04-15T15:40:00+00:00,8.175,8.195,8.175,8.18,22635
2026-04-15T15:45:00+00:00,8.17,8.19,8.16,8.17,9035
2026-04-15T15:50:00+00:00,8.16,8.2,8.16,8.17,16131
2026-04-15T15:55:00+00:00,8.16,8.18,8.16,8.16,19330
2026-04-15T16:00:00+00:00,8.15,8.24,8.15,8.24,8742
2026-04-15T16:05:00+00:00,8.23,8.24,8.2,8.21,6529
2026-04-15T16:10:00+00:00,8.21,8.22,8.21,8.22,5063
2026-04-15T16:15:00+00:00,8.23,8.26,8.23,8.26,4833
2026-04-15T16:20:00+00:00,8.265,8.34,8.265,8.32,37598
2026-04-15T16:25:00+00:00,8.32,8.34,8.31,8.32,34673
2026-04-15T16:30:00+00:00,8.32,8.32,8.23,8.23,20502
2026-04-15T16:35:00+00:00,8.24,8.27,8.24,8.24,10397
2026-04-15T16:40:00+00:00,8.22,8.22,8.13,8.13,19990
2026-04-15T16:45:00+00:00,8.13,8.13,8.05,8.12,45726
2026-04-15T16:50:00+00:00,8.13,8.14,8.07,8.07,11554
2026-04-15T16:55:00+00:00,8.05,8.07,8.01,8.06,30006
2026-04-15T17:00:00+00:00,8.08,8.11,8.07,8.11,28914
2026-04-15T17:05:00+00:00,8.12,8.15,8.12,8.135,22265
2026-04-15T17:10:00+00:00,8.14,8.14,8.1,8.1,14170
2026-04-15T17:15:00+00:00,8.1,8.1,8.1,8.1,6112
2026-04-15T17:20:00+00:00,8.12,8.13,8.1,8.11,3959
2026-04-15T17:25:00+00:00,8.12,8.15,8.12,8.15,5866
2026-04-15T17:30:00+00:00,8.15,8.19,8.15,8.19,9055
2026-04-15T17:35:00+00:00,8.195,8.22,8.19,8.19,5427
2026-04-15T17:40:00+00:00,8.18,8.19,8.14,8.17,17990
2026-04-15T17:45:00+00:00,8.17,8.18,8.17,8.175,3798
2026-04-15T17:50:00+00:00,8.175,8.18,8.175,8.18,673
2026-04-15T17:55:00+00:00,8.165,8.165,8.14,8.15,6533
2026-04-15T18:00:00+00:00,8.14,8.23,8.14,8.23,16053
2026-04-15T18:05:00+00:00,8.24,8.28,8.24,8.28,5775
2026-04-15T18:10:00+00:00,8.29,8.3,8.26,8.28,7232
2026-04-15T18:15:00+00:00,8.3,8.31,8.3,8.31,9572
2026-04-15T18:20:00+00:00,8.3,8.33,8.3,8.32,19798
2026-04-15T18:25:00+00:00,8.32,8.32,8.32,8.32,2566
2026-04-15T18:30:00+00:00,8.325,8.42,8.325,8.39,79238
2026-04-15T18:35:00+00:00,8.39,8.39,8.37,8.37,8594
2026-04-15T18:40:00+00:00,8.38,8.41,8.37,8.4,11351
2026-04-15T18:45:00+00:00,8.41,8.415,8.39,8.41,15052
