ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,7.62,7.68,7.61,7.67,9097
2026-04-15T08:05:00+00:00,7.67,7.69,7.66,7.68,4402
2026-04-15T08:10:00+00:00,7.67,7.71,7.67,7.71,4740
2026-04-15T08:15:00+00:00,7.71,7.71,7.71,7.71,498
2026-04-15T08:20:00+00:00,7.72,7.77,7.72,7.77,8571
2026-04-15T08:25:00+00:00,7.79,7.83,7.79,7.83,4412
2026-04-15T08:30:00+00:00,7.83,7.83,7.81,7.82,17287
2026-04-15T08:35:00+00:00,7.83,7.87,7.83,7.87,5344
2026-04-15T08:40:00+00:00,7.88,7.91,7.87,7.9,14441
2026-04-15T08:45:00+00:00,7.9,7.9,7.87,7.87,3094
2026-04-15T08:50:00+00:00,7.87,7.87,7.86,7.87,4586
2026-04-15T08:55:00+00:00,7.87,7.885,7.87,7.88,3652
2026-04-15T09:00:00+00:00,7.88,7.88,7.85,7.86,1182
2026-04-15T09:05:00+00:00,7.84,7.84,7.795,7.81,5988
2026-04-15T09:10:00+00:00,7.81,7.82,7.8,7.8,2201
2026-04-15T09:15:00+00:00,7.8,7.8,7.79,7.8,1088
2026-04-15T09:20:00+00:00,7.8,7.81,7.8,7.81,1632
2026-04-15T09:25:00+00:00,7.81,7.81,7.79,7.8,4518
2026-04-15T09:30:00+00:00,7.8,7.8,7.78,7.78,1173
2026-04-15T09:35:00+00:00,7.78,7.78,7.74,7.75,8077
2026-04-15T09:40:00+00:00,7.75,7.76,7.73,7.76,1921
2026-04-15T09:45:00+00:00,7.76,7.76,7.75,7.75,699
2026-04-15T09:50:00+00:00,7.74,7.74,7.74,7.74,830
2026-04-15T09:55:00+00:00,7.74,7.74,7.73,7.74,1690
2026-04-15T10:00:00+00:00,7.75,7.77,7.75,7.77,2128
2026-04-15T10:05:00+00:00,7.77,7.81,7.77,7.81,3836
2026-04-15T10:10:00+00:00,7.82,7.82,7.79,7.8,1305
2026-04-15T10:15:00+00:00,7.8,7.8,7.75,7.75,1554
2026-04-15T10:20:00+00:00,7.74,7.75,7.7,7.7,3118
2026-04-15T10:25:00+00:00,7.69,7.7,7.66,7.67,8434
2026-04-15T10:30:00+00:00,7.66,7.67,7.63,7.63,2967
2026-04-15T10:35:00+00:00,7.62,7.65,7.62,7.65,3215
2026-04-15T10:40:00+00:00,7.66,7.68,7.66,7.68,6905
2026-04-15T10:45:00+00:00,7.68,7.72,7.68,7.7,5629
2026-04-15T10:50:00+00:00,7.69,7.7,7.675,7.7,1979
2026-04-15T10:55:00+00:00,7.69,7.69,7.675,7.675,4762
2026-04-15T11:00:00+00:00,7.68,7.69,7.68,7.69,1542
2026-04-15T11:05:00+00:00,7.69,7.7,7.69,7.7,1082
2026-04-15T11:10:00+00:00,7.7,7.74,7.7,7.74,4100
2026-04-15T11:15:00+00:00,7.73,7.73,7.71,7.71,2690
2026-04-15T11:20:00+00:00,7.71,7.72,7.71,7.72,870
2026-04-15T11:25:00+00:00,7.72,7.72,7.71,7.71,1609
2026-04-15T11:30:00+00:00,7.71,7.73,7.71,7.73,1575
2026-04-15T11:35:00+00:00,7.73,7.76,7.73,7.76,2891
2026-04-15T11:40:00+00:00,7.76,7.77,7.76,7.77,1218
2026-04-15T11:45:00+00:00,7.77,7.85,7.76,7.79,18733
2026-04-15T11:50:00+00:00,7.799,7.81,7.799,7.81,1482
