ts,o,h,l,c,v
2026-04-15T13:30:00+00:00,119.905,121.36,118.1,120.01,909394
2026-04-15T13:35:00+00:00,119.94,120.29,117.65,118.84,310293
2026-04-15T13:40:00+00:00,118.91,119.06,116.61,116.81,254150
2026-04-15T13:45:00+00:00,116.84,117.72,116.07,116.26,206693
2026-04-15T13:50:00+00:00,116.27,116.85,115.67,116.6,201737
2026-04-15T13:55:00+00:00,116.6,116.69,115.88,116.48,149117
2026-04-15T14:00:00+00:00,116.52,116.63,115.15,115.53,130001
2026-04-15T14:05:00+00:00,115.52,115.55,114.35,114.85,350356
2026-04-15T14:10:00+00:00,114.86,115.53,114.54,115.42,119433
2026-04-15T14:15:00+00:00,115.42,115.47,114.13,114.18,133187
2026-04-15T14:20:00+00:00,114.11,115.0,113.87,114.89,245917
2026-04-15T14:25:00+00:00,114.88,116.51,114.87,116.4,206001
2026-04-15T14:30:00+00:00,116.37,117.16,115.79,117.16,200932
2026-04-15T14:35:00+00:00,117.17,117.86,116.17,116.24,117718
2026-04-15T14:40:00+00:00,116.28,116.96,116.19,116.33,59409
2026-04-15T14:45:00+00:00,116.38,116.9,116.1,116.83,68792
2026-04-15T14:50:00+00:00,116.85,117.45,116.71,117.43,107945
2026-04-15T14:55:00+00:00,117.4,118.17,117.4,117.82,133151
2026-04-15T15:00:00+00:00,117.83,118.42,117.8,118.4,129397
2026-04-15T15:05:00+00:00,118.395,118.5,117.95,118.17,119201
2026-04-15T15:10:00+00:00,118.15,118.75,118.05,118.65,111219
2026-04-15T15:15:00+00:00,118.64,118.665,118.04,118.09,53099
2026-04-15T15:20:00+00:00,118.09,118.105,117.38,117.38,84333
2026-04-15T15:25:00+00:00,117.35,117.62,116.76,116.76,81307
2026-04-15T15:30:00+00:00,116.76,116.76,115.98,116.15,104595
2026-04-15T15:35:00+00:00,116.17,116.72,116.14,116.67,47727
2026-04-15T15:40:00+00:00,116.71,117.059,116.64,116.69,49899
2026-04-15T15:45:00+00:00,116.7,117.19,116.69,117.05,60961
