ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,116.0,116.0,114.3,114.76,11015
2026-04-15T08:05:00+00:00,114.66,114.88,114.53,114.53,4035
2026-04-15T08:10:00+00:00,114.53,114.53,113.96,113.96,5141
2026-04-15T08:15:00+00:00,113.96,113.96,113.76,113.9,5629
2026-04-15T08:20:00+00:00,114.0,114.14,114.0,114.14,1832
2026-04-15T08:25:00+00:00,114.14,114.39,114.14,114.39,2898
2026-04-15T08:30:00+00:00,114.2,114.4,114.2,114.4,3235
2026-04-15T08:35:00+00:00,114.46,114.55,114.36,114.55,1732
2026-04-15T08:40:00+00:00,114.55,114.63,114.25,114.35,3312
2026-04-15T08:45:00+00:00,114.35,114.35,114.25,114.25,965
2026-04-15T08:50:00+00:00,114.25,114.25,114.06,114.06,404
2026-04-15T08:55:00+00:00,114.06,114.36,114.06,114.28,1930
2026-04-15T09:00:00+00:00,114.28,114.28,114.0,114.0,2114
2026-04-15T09:05:00+00:00,113.97,113.97,113.72,113.72,2868
2026-04-15T09:10:00+00:00,113.72,113.72,113.58,113.7,1654
2026-04-15T09:15:00+00:00,113.52,113.62,113.52,113.62,1321
2026-04-15T09:20:00+00:00,113.62,113.9,113.62,113.9,677
2026-04-15T09:25:00+00:00,113.85,113.85,113.7,113.7,2307
2026-04-15T09:30:00+00:00,113.7,113.7,113.59,113.59,738
2026-04-15T09:35:00+00:00,113.59,113.62,113.52,113.52,2041
2026-04-15T09:40:00+00:00,113.5,113.5,112.72,112.96,7549
2026-04-15T09:45:00+00:00,112.96,112.96,112.56,112.56,3614
2026-04-15T09:50:00+00:00,112.56,112.75,112.51,112.75,5462
2026-04-15T09:55:00+00:00,112.97,113.08,112.85,112.99,5980
2026-04-15T10:00:00+00:00,113.15,113.3,113.15,113.19,1675
2026-04-15T10:05:00+00:00,113.4,113.77,113.4,113.77,5069
2026-04-15T10:10:00+00:00,113.77,113.77,113.68,113.7,1732
2026-04-15T10:15:00+00:00,113.7,113.7,113.7,113.7,640
2026-04-15T10:20:00+00:00,113.55,113.55,113.26,113.5,7961
2026-04-15T10:25:00+00:00,113.5,113.5,113.21,113.21,2568
2026-04-15T10:30:00+00:00,113.13,113.2,112.62,112.62,6783
2026-04-15T10:35:00+00:00,113.07,113.34,113.07,113.3,9350
2026-04-15T10:40:00+00:00,113.3,113.5,113.3,113.5,12352
2026-04-15T10:45:00+00:00,113.5,113.5,113.5,113.5,4205
2026-04-15T10:50:00+00:00,113.5,113.79,113.5,113.79,1894
2026-04-15T10:55:00+00:00,113.79,113.79,113.65,113.65,880
2026-04-15T11:00:00+00:00,113.57,113.8,113.3,113.47,10131
2026-04-15T11:05:00+00:00,113.45,113.8,113.45,113.65,6198
2026-04-15T11:10:00+00:00,113.68,114.2,113.68,113.86,16906
2026-04-15T11:15:00+00:00,113.6,113.7,113.51,113.6,5743
2026-04-15T11:20:00+00:00,113.61,113.85,113.4,113.7,17403
