ts,o,h,l,c,v
2026-04-15T13:30:00+00:00,34.629,34.67,34.52,34.595,11928
2026-04-15T13:35:00+00:00,34.56,34.56,34.3,34.45,11249
2026-04-15T13:40:00+00:00,34.43,34.43,34.29,34.3,21191
2026-04-15T13:45:00+00:00,34.27,34.38,34.25,34.25,4066
2026-04-15T13:50:00+00:00,34.3,34.33,34.18,34.26,13406
2026-04-15T13:55:00+00:00,34.37,34.37,34.27,34.32,10009
2026-04-15T14:00:00+00:00,34.31,34.31,34.26,34.3,2016
2026-04-15T14:05:00+00:00,34.32,34.34,34.09,34.095,9339
2026-04-15T14:10:00+00:00,34.1,34.1,34.03,34.04,4056
2026-04-15T14:15:00+00:00,34.015,34.02,33.92,33.92,17276
2026-04-15T14:20:00+00:00,33.92,34.14,33.92,34.12,8198
2026-04-15T14:25:00+00:00,34.15,34.3,34.13,34.26,19300
2026-04-15T14:30:00+00:00,34.255,34.255,34.17,34.17,3201
2026-04-15T14:35:00+00:00,34.155,34.285,34.155,34.28,4277
2026-04-15T14:40:00+00:00,34.23,34.41,34.23,34.39,6158
2026-04-15T14:45:00+00:00,34.38,34.39,34.365,34.39,2153
2026-04-15T14:50:00+00:00,34.39,34.45,34.375,34.375,10115
2026-04-15T14:55:00+00:00,34.375,34.375,34.36,34.36,1244
2026-04-15T15:00:00+00:00,34.34,34.34,34.24,34.27,2823
2026-04-15T15:05:00+00:00,34.27,34.31,34.27,34.31,292
2026-04-15T15:10:00+00:00,34.31,34.33,34.29,34.33,1121
2026-04-15T15:15:00+00:00,34.36,34.36,34.3,34.3,6733
2026-04-15T15:20:00+00:00,34.3,34.33,34.3,34.31,2944
2026-04-15T15:25:00+00:00,34.32,34.33,34.32,34.33,1421
2026-04-15T15:30:00+00:00,34.33,34.33,34.245,34.245,2960
2026-04-15T15:35:00+00:00,34.235,34.235,34.165,34.185,2991
2026-04-15T15:40:00+00:00,34.18,34.23,34.18,34.22,2262
2026-04-15T15:45:00+00:00,34.22,34.28,34.2,34.24,1879
2026-04-15T15:50:00+00:00,34.24,34.24,34.1,34.16,25514
2026-04-15T15:55:00+00:00,34.12,34.12,34.04,34.075,11345
2026-04-15T16:00:00+00:00,34.075,34.12,34.065,34.11,15401
2026-04-15T16:05:00+00:00,34.11,34.2,34.11,34.17,1459
2026-04-15T16:10:00+00:00,34.17,34.18,34.155,34.18,1783
2026-04-15T16:15:00+00:00,34.185,34.185,34.185,34.185,985
2026-04-15T16:20:00+00:00,34.2,34.21,34.2,34.21,640
2026-04-15T16:25:00+00:00,34.21,34.21,34.17,34.17,3309
2026-04-15T16:30:00+00:00,34.17,34.17,34.07,34.07,1610
2026-04-15T16:35:00+00:00,34.08,34.12,34.08,34.08,2344
2026-04-15T16:40:00+00:00,34.075,34.075,33.95,33.95,11765
2026-04-15T16:45:00+00:00,33.95,33.95,33.84,33.845,10543
2026-04-15T16:50:00+00:00,33.86,33.87,33.695,33.75,13424
2026-04-15T16:55:00+00:00,33.71,33.88,33.71,33.87,3743
2026-04-15T17:00:00+00:00,33.87,33.99,33.86,33.99,1996
2026-04-15T17:05:00+00:00,33.985,34.04,33.985,34.03,1423
2026-04-15T17:10:00+00:00,34.005,34.005,33.98,33.98,816
2026-04-15T17:15:00+00:00,33.98,34.0,33.98,34.0,642
2026-04-15T17:20:00+00:00,34.0,34.0,34.0,34.0,278
2026-04-15T17:25:00+00:00,33.99,34.02,33.99,34.02,1175
2026-04-15T17:30:00+00:00,34.03,34.07,34.03,34.07,587
2026-04-15T17:35:00+00:00,34.07,34.085,34.07,34.07,704
2026-04-15T17:40:00+00:00,34.07,34.07,34.01,34.01,700
2026-04-15T17:45:00+00:00,34.01,34.01,34.01,34.01,183
2026-04-15T17:50:00+00:00,34.01,34.12,34.01,34.12,1407
2026-04-15T17:55:00+00:00,34.12,34.13,34.1,34.12,1450
2026-04-15T18:00:00+00:00,34.095,34.15,34.08,34.15,606
2026-04-15T18:05:00+00:00,34.16,34.195,34.16,34.195,3735
2026-04-15T18:10:00+00:00,34.2,34.25,34.16,34.25,443
2026-04-15T18:15:00+00:00,34.28,34.29,34.24,34.24,1852
2026-04-15T18:20:00+00:00,34.24,34.34,34.24,34.34,3324
2026-04-15T18:25:00+00:00,34.34,34.35,34.26,34.26,9617
2026-04-15T18:30:00+00:00,34.3,34.31,34.29,34.31,775
2026-04-15T18:35:00+00:00,34.31,34.34,34.31,34.34,1799
2026-04-15T18:40:00+00:00,34.34,34.34,34.285,34.3,18812
2026-04-15T18:45:00+00:00,34.31,34.315,34.275,34.315,4360
2026-04-15T18:50:00+00:00,34.35,34.39,34.35,34.35,8492
2026-04-15T18:55:00+00:00,34.37,34.39,34.37,34.39,11407
2026-04-15T19:00:00+00:00,34.385,34.385,34.33,34.379,1534
2026-04-15T19:05:00+00:00,34.38,34.41,34.38,34.41,3777
2026-04-15T19:10:00+00:00,34.42,34.435,34.39,34.43,13163
2026-04-15T19:15:00+00:00,34.42,34.45,34.29,34.35,13494
2026-04-15T19:20:00+00:00,34.385,34.43,34.35,34.38,4775
2026-04-15T19:25:00+00:00,34.4,34.4,34.35,34.38,1919
2026-04-15T19:30:00+00:00,34.39,34.5,34.39,34.41,17080
2026-04-15T19:35:00+00:00,34.49,34.49,34.41,34.41,4617
2026-04-15T19:40:00+00:00,34.4,34.5,34.36,34.36,8922
2026-04-15T19:45:00+00:00,34.35,34.42,34.35,34.37,3678
2026-04-15T19:50:00+00:00,34.4,34.47,34.385,34.42,19068
2026-04-15T19:55:00+00:00,34.46,34.46,34.39,34.44,4928
2026-04-16T13:30:00+00:00,34.84,34.99,34.66,34.78,51269
2026-04-16T13:35:00+00:00,34.82,34.87,34.68,34.79,13574
2026-04-16T13:40:00+00:00,34.78,34.94,34.76,34.81,15573
2026-04-16T13:45:00+00:00,34.81,34.81,34.77,34.79,16091
2026-04-16T13:50:00+00:00,34.8,34.8,34.665,34.665,154390
2026-04-16T13:55:00+00:00,34.62,34.68,34.535,34.68,11756
2026-04-16T14:00:00+00:00,34.795,34.96,34.75,34.95,11113
2026-04-16T14:05:00+00:00,34.985,35.05,34.98,35.029,14548
2026-04-16T14:10:00+00:00,35.025,35.19,35.025,35.155,21374
2026-04-16T14:15:00+00:00,35.155,35.155,34.92,34.97,4667
2026-04-16T14:20:00+00:00,34.97,35.005,34.945,35.005,10900
2026-04-16T14:25:00+00:00,35.0,35.195,34.99,35.195,12894
2026-04-16T14:30:00+00:00,35.16,35.16,35.05,35.05,9273
2026-04-16T14:35:00+00:00,35.05,35.109,35.05,35.09,5685
