ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,34.88,34.88,34.88,34.88,2222
2026-04-15T08:05:00+00:00,34.88,34.88,34.58,34.58,547
2026-04-15T08:10:00+00:00,34.58,34.58,34.58,34.58,84
2026-04-15T08:15:00+00:00,34.58,34.58,34.58,34.58,86
2026-04-15T08:20:00+00:00,34.58,34.58,34.5,34.5,282
2026-04-15T08:25:00+00:00,34.5,34.5,34.5,34.5,1
2026-04-15T08:30:00+00:00,34.5,34.5,34.5,34.5,13
2026-04-15T08:35:00+00:00,34.5,34.5,34.5,34.5,0
2026-04-15T08:40:00+00:00,34.68,34.68,34.68,34.68,100
2026-04-15T08:45:00+00:00,34.68,34.68,34.68,34.68,2
2026-04-15T08:50:00+00:00,34.68,34.68,34.68,34.68,19
2026-04-15T08:55:00+00:00,34.68,34.68,34.68,34.68,3
2026-04-15T09:00:00+00:00,34.68,34.68,34.68,34.68,63
2026-04-15T09:05:00+00:00,34.68,34.68,34.68,34.68,58
2026-04-15T09:10:00+00:00,34.68,34.7,34.68,34.7,450
2026-04-15T09:15:00+00:00,34.7,34.7,34.7,34.7,33
2026-04-15T09:20:00+00:00,34.7,34.7,34.7,34.7,0
2026-04-15T09:25:00+00:00,34.73,34.73,34.73,34.73,819
2026-04-15T09:30:00+00:00,34.73,34.73,34.73,34.73,4
2026-04-15T09:35:00+00:00,34.73,34.73,34.73,34.73,0
2026-04-15T09:40:00+00:00,34.73,34.73,34.73,34.73,0
2026-04-15T09:45:00+00:00,34.73,34.73,34.73,34.73,396
2026-04-15T09:50:00+00:00,34.73,34.73,34.73,34.73,114
2026-04-15T09:55:00+00:00,34.73,34.73,34.73,34.73,49
2026-04-15T10:00:00+00:00,34.73,34.73,34.73,34.73,0
2026-04-15T10:05:00+00:00,34.4,34.4,34.4,34.4,100
2026-04-15T10:10:00+00:00,34.4,34.4,34.4,34.4,1
2026-04-15T10:15:00+00:00,34.4,34.4,34.4,34.4,9
2026-04-15T10:20:00+00:00,34.4,34.4,34.4,34.4,33
2026-04-15T10:25:00+00:00,34.4,34.45,34.4,34.45,106
2026-04-15T10:30:00+00:00,34.4,34.4,34.25,34.25,2855
2026-04-15T10:35:00+00:00,34.25,34.28,34.25,34.28,175
2026-04-15T10:40:00+00:00,34.28,34.28,34.28,34.28,0
2026-04-15T10:45:00+00:00,34.28,34.28,34.28,34.28,21
2026-04-15T10:50:00+00:00,34.28,34.28,34.28,34.28,3
2026-04-15T10:55:00+00:00,34.28,34.28,34.28,34.28,111
2026-04-15T11:00:00+00:00,34.6,34.6,34.5,34.6,2156
2026-04-15T11:05:00+00:00,34.59,34.59,34.59,34.59,867
2026-04-15T11:10:00+00:00,34.59,34.59,34.58,34.58,298
2026-04-15T11:15:00+00:00,34.58,34.63,34.58,34.59,701
2026-04-15T11:20:00+00:00,34.59,34.59,34.59,34.59,262
2026-04-15T11:25:00+00:00,34.59,34.59,34.59,34.59,100
2026-04-15T11:30:00+00:00,34.5,34.5,34.5,34.5,364
2026-04-15T11:35:00+00:00,34.65,34.65,34.65,34.65,1070
2026-04-15T11:40:00+00:00,34.65,34.65,34.65,34.65,78
2026-04-15T11:45:00+00:00,34.65,34.65,34.65,34.65,39
2026-04-15T11:50:00+00:00,34.67,34.67,34.66,34.66,869
2026-04-15T11:55:00+00:00,34.67,34.67,34.66,34.66,478
2026-04-15T12:00:00+00:00,34.66,34.66,34.58,34.58,900
2026-04-15T12:05:00+00:00,34.59,34.59,34.54,34.54,594
2026-04-15T12:10:00+00:00,34.5,34.5,34.5,34.5,623
2026-04-15T12:15:00+00:00,34.5,34.5,34.48,34.5,1642
