ts,o,h,l,c,v
2026-04-15T13:30:00+00:00,170.674,173.15,170.584,170.943,15989
2026-04-15T13:35:00+00:00,170.494,171.442,168.747,169.485,23889
2026-04-15T13:40:00+00:00,169.755,169.755,166.545,167.369,33040
2026-04-15T13:45:00+00:00,167.309,167.958,166.43,167.139,19555
2026-04-15T13:50:00+00:00,166.959,167.553,165.641,167.319,36388
2026-04-15T13:55:00+00:00,167.379,168.177,167.089,168.102,29032
2026-04-15T14:00:00+00:00,168.247,168.287,166.75,167.828,24586
2026-04-15T14:05:00+00:00,167.718,167.918,166.75,167.079,14937
2026-04-15T14:10:00+00:00,166.849,166.869,166.23,166.4,22968
2026-04-15T14:15:00+00:00,166.28,166.405,165.971,166.051,18062
2026-04-15T14:20:00+00:00,166.14,167.648,166.09,167.648,9835
2026-04-15T14:25:00+00:00,167.448,167.918,167.259,167.918,15702
2026-04-15T14:30:00+00:00,167.858,168.038,167.608,167.878,16344
2026-04-15T14:35:00+00:00,168.137,168.737,168.137,168.577,8619
2026-04-15T14:40:00+00:00,168.687,169.435,168.687,169.196,8855
2026-04-15T14:45:00+00:00,169.156,169.186,168.697,168.816,18580
2026-04-15T14:50:00+00:00,168.996,169.066,168.018,168.068,10896
2026-04-15T14:55:00+00:00,167.998,168.267,167.678,167.678,13150
2026-04-15T15:00:00+00:00,167.548,167.828,167.019,167.828,15472
2026-04-15T15:05:00+00:00,168.038,168.327,167.918,168.257,11577
2026-04-15T15:10:00+00:00,168.217,168.217,167.928,168.157,8849
2026-04-15T15:15:00+00:00,168.048,168.048,167.788,167.978,3916
2026-04-15T15:20:00+00:00,167.868,168.048,167.643,167.778,9057
2026-04-15T15:25:00+00:00,167.798,167.798,166.999,167.004,5004
2026-04-15T15:30:00+00:00,166.919,167.069,166.19,166.37,12807
2026-04-15T15:35:00+00:00,166.42,166.69,166.34,166.57,5679
2026-04-15T15:40:00+00:00,166.66,167.079,166.66,166.999,8415
2026-04-15T15:45:00+00:00,167.089,167.179,166.939,167.009,13135
