ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,172.261,172.261,172.261,172.261,0
2026-04-15T08:05:00+00:00,171.363,171.363,171.363,171.363,1
2026-04-15T08:10:00+00:00,171.363,171.363,171.363,171.363,0
2026-04-15T08:15:00+00:00,171.363,171.363,171.363,171.363,22
2026-04-15T08:20:00+00:00,171.363,171.363,171.363,171.363,0
2026-04-15T08:25:00+00:00,171.762,171.762,171.762,171.762,150
2026-04-15T08:30:00+00:00,171.932,171.932,171.932,171.932,106
2026-04-15T08:35:00+00:00,171.932,172.141,171.932,172.141,210
2026-04-15T08:40:00+00:00,172.141,172.141,171.982,171.982,760
2026-04-15T08:45:00+00:00,171.982,171.982,171.982,171.982,2
2026-04-15T08:50:00+00:00,171.982,171.982,171.982,171.982,4
2026-04-15T08:55:00+00:00,171.982,171.982,171.982,171.982,30
2026-04-15T09:00:00+00:00,171.982,171.982,171.982,171.982,190
2026-04-15T09:05:00+00:00,171.982,171.982,171.982,171.982,66
2026-04-15T09:10:00+00:00,171.982,171.982,171.982,171.982,1
2026-04-15T09:15:00+00:00,171.722,171.722,171.722,171.722,160
2026-04-15T09:20:00+00:00,171.722,171.722,171.722,171.722,0
2026-04-15T09:25:00+00:00,171.722,171.722,171.722,171.722,0
2026-04-15T09:30:00+00:00,171.722,171.722,171.722,171.722,0
2026-04-15T09:35:00+00:00,171.722,171.722,171.722,171.722,0
2026-04-15T09:40:00+00:00,171.722,171.722,171.722,171.722,0
2026-04-15T09:45:00+00:00,171.722,171.722,171.722,171.722,108
2026-04-15T09:50:00+00:00,171.722,171.722,171.722,171.722,10
2026-04-15T09:55:00+00:00,171.462,171.492,171.462,171.462,1989
2026-04-15T10:00:00+00:00,171.462,171.462,171.462,171.462,3
2026-04-15T10:05:00+00:00,171.462,171.462,171.462,171.462,106
2026-04-15T10:10:00+00:00,171.462,171.462,171.462,171.462,0
2026-04-15T10:15:00+00:00,171.462,171.462,171.462,171.462,0
2026-04-15T10:20:00+00:00,171.462,171.462,171.462,171.462,10
2026-04-15T10:25:00+00:00,170.913,170.913,170.763,170.763,594
2026-04-15T10:30:00+00:00,170.763,170.763,170.763,170.763,41
2026-04-15T10:35:00+00:00,170.763,170.763,170.763,170.763,0
2026-04-15T10:40:00+00:00,170.763,170.763,170.763,170.763,40
2026-04-15T10:45:00+00:00,170.763,170.763,170.763,170.763,0
2026-04-15T10:50:00+00:00,170.763,170.763,170.763,170.763,5
2026-04-15T10:55:00+00:00,170.763,170.763,170.763,170.763,1
2026-04-15T11:00:00+00:00,170.763,171.183,170.763,171.183,169
2026-04-15T11:05:00+00:00,171.183,171.183,171.183,171.183,6
2026-04-15T11:10:00+00:00,171.183,171.243,171.183,171.243,1264
2026-04-15T11:15:00+00:00,171.462,171.462,171.462,171.462,498
2026-04-15T11:20:00+00:00,171.462,171.462,171.462,171.462,52
2026-04-15T11:25:00+00:00,171.462,171.462,171.462,171.462,69
2026-04-15T11:30:00+00:00,171.462,171.462,171.462,171.462,5
2026-04-15T11:35:00+00:00,171.462,171.462,171.462,171.462,45
2026-04-15T11:40:00+00:00,171.712,171.712,171.712,171.712,165
2026-04-15T11:45:00+00:00,171.712,171.742,171.712,171.722,789
2026-04-15T11:50:00+00:00,171.722,171.722,171.722,171.722,5
2026-04-15T11:55:00+00:00,171.722,171.722,171.722,171.722,0
2026-04-15T12:00:00+00:00,171.722,171.722,171.722,171.722,230
2026-04-15T12:05:00+00:00,171.722,171.722,171.722,171.722,33
2026-04-15T12:10:00+00:00,171.472,171.472,171.442,171.442,777
2026-04-15T12:15:00+00:00,171.243,171.243,171.243,171.243,118
2026-04-15T12:20:00+00:00,171.243,171.243,171.243,171.243,0
2026-04-15T12:25:00+00:00,171.243,171.243,171.243,171.243,150
2026-04-15T12:30:00+00:00,171.103,171.103,170.993,171.013,2790
2026-04-15T12:35:00+00:00,171.013,171.013,171.013,171.013,5
2026-04-15T12:40:00+00:00,171.013,171.013,171.013,171.013,21
2026-04-15T12:45:00+00:00,171.013,171.013,171.013,171.013,165
2026-04-15T12:50:00+00:00,171.013,171.013,171.013,171.013,0
2026-04-15T12:55:00+00:00,171.013,171.013,171.013,171.013,6
2026-04-15T13:00:00+00:00,171.013,171.013,171.013,171.013,292
2026-04-15T13:05:00+00:00,171.013,171.013,171.013,171.013,72
2026-04-15T13:10:00+00:00,171.013,171.163,171.013,171.163,158
2026-04-15T13:15:00+00:00,170.823,170.823,170.823,170.823,106
2026-04-15T13:20:00+00:00,170.823,170.823,170.823,170.823,39
2026-04-15T13:25:00+00:00,170.823,170.823,170.823,170.823,33
2026-04-15T13:30:00+00:00,170.674,173.15,170.584,170.943,15989
2026-04-15T13:35:00+00:00,170.494,171.442,168.747,169.485,23889
2026-04-15T13:40:00+00:00,169.755,169.755,166.545,167.369,33040
2026-04-15T13:45:00+00:00,167.309,167.958,166.43,167.139,19555
2026-04-15T13:50:00+00:00,166.959,167.553,165.641,167.319,36388
2026-04-15T13:55:00+00:00,167.379,168.177,167.089,168.102,29032
2026-04-15T14:00:00+00:00,168.247,168.287,166.75,167.828,24586
2026-04-15T14:05:00+00:00,167.718,167.918,166.75,167.079,14937
2026-04-15T14:10:00+00:00,166.849,166.869,166.23,166.4,22968
2026-04-15T14:15:00+00:00,166.28,166.405,165.971,166.051,18062
2026-04-15T14:20:00+00:00,166.14,167.648,166.09,167.648,9835
2026-04-15T14:25:00+00:00,167.448,167.918,167.259,167.918,15702
2026-04-15T14:30:00+00:00,167.858,168.038,167.608,167.878,16344
2026-04-15T14:35:00+00:00,168.137,168.737,168.137,168.577,8619
2026-04-15T14:40:00+00:00,168.687,169.435,168.687,169.196,8855
2026-04-15T14:45:00+00:00,169.156,169.186,168.697,168.816,18580
2026-04-15T14:50:00+00:00,168.996,169.066,168.018,168.068,10896
2026-04-15T14:55:00+00:00,167.998,168.267,167.678,167.678,13150
2026-04-15T15:00:00+00:00,167.548,167.828,167.019,167.828,15472
2026-04-15T15:05:00+00:00,168.038,168.327,167.918,168.257,11577
2026-04-15T15:10:00+00:00,168.217,168.217,167.928,168.157,8849
2026-04-15T15:15:00+00:00,168.048,168.048,167.788,167.978,3916
2026-04-15T15:20:00+00:00,167.868,168.048,167.643,167.778,9057
2026-04-15T15:25:00+00:00,167.798,167.798,166.999,167.004,5004
2026-04-15T15:30:00+00:00,166.919,167.069,166.19,166.37,12807
2026-04-15T15:35:00+00:00,166.42,166.69,166.34,166.57,5679
2026-04-15T15:40:00+00:00,166.66,167.079,166.66,166.999,8415
2026-04-15T15:45:00+00:00,167.089,167.179,166.939,167.009,13135
2026-04-15T15:50:00+00:00,166.939,166.949,166.61,166.65,14964
2026-04-15T15:55:00+00:00,166.62,166.62,166.3,166.57,21393
2026-04-15T16:00:00+00:00,166.55,166.61,166.22,166.55,9395
2026-04-15T16:05:00+00:00,166.45,166.58,166.37,166.53,8205
2026-04-15T16:10:00+00:00,166.48,166.789,166.39,166.73,10148
2026-04-15T16:15:00+00:00,166.799,166.969,166.66,166.66,6861
2026-04-15T16:20:00+00:00,166.65,166.769,166.58,166.68,4848
2026-04-15T16:25:00+00:00,166.5,166.56,166.1,166.24,5527
2026-04-15T16:30:00+00:00,166.23,166.31,165.976,165.976,11369
2026-04-15T16:35:00+00:00,166.021,166.09,165.741,165.801,7986
2026-04-15T16:40:00+00:00,165.651,165.651,164.553,164.862,39397
