ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,332.69,332.69,332.141,332.141,515
2026-04-15T08:05:00+00:00,332.141,332.141,331.801,331.981,845
2026-04-15T08:10:00+00:00,331.811,331.811,331.811,331.811,111
2026-04-15T08:15:00+00:00,331.811,331.811,331.811,331.811,73
2026-04-15T08:20:00+00:00,331.811,331.811,331.811,331.811,21
2026-04-15T08:25:00+00:00,331.811,331.811,331.791,331.801,1028
2026-04-15T08:30:00+00:00,331.801,331.801,331.801,331.801,398
2026-04-15T08:35:00+00:00,331.801,331.801,331.801,331.801,479
2026-04-15T08:40:00+00:00,331.801,331.801,331.801,331.801,364
2026-04-15T08:45:00+00:00,331.801,331.951,331.801,331.951,4404
2026-04-15T08:50:00+00:00,331.951,331.951,331.951,331.951,223
2026-04-15T08:55:00+00:00,331.951,331.951,331.951,331.951,2
2026-04-15T09:00:00+00:00,331.951,331.951,331.951,331.951,381
2026-04-15T09:05:00+00:00,331.951,331.951,331.881,331.881,768
2026-04-15T09:10:00+00:00,331.801,331.801,331.741,331.741,1486
2026-04-15T09:15:00+00:00,331.741,331.741,331.741,331.741,51
2026-04-15T09:20:00+00:00,331.741,331.741,331.741,331.741,79
2026-04-15T09:25:00+00:00,331.741,331.741,331.461,331.461,826
2026-04-15T09:30:00+00:00,331.461,331.461,331.461,331.461,194
2026-04-15T09:35:00+00:00,331.461,331.461,331.461,331.461,484
2026-04-15T09:40:00+00:00,331.461,331.461,331.461,331.461,50
2026-04-15T09:45:00+00:00,331.461,331.601,331.461,331.601,632
2026-04-15T09:50:00+00:00,331.391,331.391,331.301,331.301,824
2026-04-15T09:55:00+00:00,331.301,331.301,331.301,331.301,40
2026-04-15T10:00:00+00:00,331.301,331.301,331.301,331.301,118
2026-04-15T10:05:00+00:00,331.301,331.561,331.301,331.561,573
2026-04-15T10:10:00+00:00,331.561,331.561,331.561,331.561,663
2026-04-15T10:15:00+00:00,331.561,331.561,331.561,331.561,233
2026-04-15T10:20:00+00:00,331.381,331.401,331.351,331.401,1960
2026-04-15T10:25:00+00:00,331.251,331.261,331.251,331.251,5510
2026-04-15T10:30:00+00:00,331.251,331.251,330.891,330.901,893
2026-04-15T10:35:00+00:00,330.951,331.031,330.951,331.031,667
2026-04-15T10:40:00+00:00,331.031,331.301,331.031,331.281,491
2026-04-15T10:45:00+00:00,331.281,331.701,331.281,331.701,1468
2026-04-15T10:50:00+00:00,331.701,331.701,331.701,331.701,564
2026-04-15T10:55:00+00:00,331.701,331.891,331.701,331.891,357
2026-04-15T11:00:00+00:00,332.021,332.021,332.021,332.021,946
2026-04-15T11:05:00+00:00,332.021,332.39,332.021,332.31,1444
2026-04-15T11:10:00+00:00,332.31,332.31,332.31,332.31,478
2026-04-15T11:15:00+00:00,332.111,332.111,332.111,332.111,320
2026-04-15T11:20:00+00:00,332.111,332.111,332.111,332.111,477
2026-04-15T11:25:00+00:00,332.111,332.111,332.111,332.111,3
2026-04-15T11:30:00+00:00,332.33,332.4,332.291,332.31,3358
2026-04-15T11:35:00+00:00,332.31,332.31,332.31,332.31,104
2026-04-15T11:40:00+00:00,332.31,332.31,332.31,332.31,300
2026-04-15T11:45:00+00:00,332.301,332.4,332.201,332.201,3190
2026-04-15T11:50:00+00:00,332.201,332.4,332.201,332.4,399
2026-04-15T11:55:00+00:00,332.4,332.4,332.37,332.37,760
2026-04-15T12:00:00+00:00,332.37,332.37,332.37,332.37,163
2026-04-15T12:05:00+00:00,332.061,332.111,331.931,332.111,1839
2026-04-15T12:10:00+00:00,332.111,332.121,332.111,332.121,256
2026-04-15T12:15:00+00:00,331.871,331.951,331.871,331.951,553
2026-04-15T12:20:00+00:00,332.011,332.011,332.011,332.011,272
2026-04-15T12:25:00+00:00,332.011,332.011,331.771,331.791,2613
2026-04-15T12:30:00+00:00,331.791,331.791,331.791,331.791,192
2026-04-15T12:35:00+00:00,331.791,332.121,331.791,332.061,796
2026-04-15T12:40:00+00:00,332.061,332.061,331.881,331.881,2149
2026-04-15T12:45:00+00:00,331.881,332.041,331.881,332.041,433
2026-04-15T12:50:00+00:00,331.931,331.931,331.931,331.931,468
2026-04-15T12:55:00+00:00,332.001,332.001,332.001,332.001,466
2026-04-15T13:00:00+00:00,332.041,332.171,332.041,332.171,1968
2026-04-15T13:05:00+00:00,332.171,332.241,332.151,332.151,2171
2026-04-15T13:10:00+00:00,332.111,332.201,332.111,332.181,1817
2026-04-15T13:15:00+00:00,332.181,332.4,332.181,332.301,1178
2026-04-15T13:20:00+00:00,332.39,332.39,332.181,332.181,2725
2026-04-15T13:25:00+00:00,332.31,333.3,332.31,332.74,11246
2026-04-15T13:30:00+00:00,332.69,333.8,331.941,332.63,725398
2026-04-15T13:35:00+00:00,332.64,332.64,330.731,331.441,189241
2026-04-15T13:40:00+00:00,331.451,331.731,330.871,330.911,168334
2026-04-15T13:45:00+00:00,330.901,331.901,330.901,331.441,136491
2026-04-15T13:50:00+00:00,331.451,332.021,331.061,331.941,90771
2026-04-15T13:55:00+00:00,332.001,332.59,331.941,332.59,58427
2026-04-15T14:00:00+00:00,332.665,333.46,332.61,333.03,80035
2026-04-15T14:05:00+00:00,333.0,333.08,332.57,332.73,50121
2026-04-15T14:10:00+00:00,332.72,332.85,332.46,332.73,52476
2026-04-15T14:15:00+00:00,332.74,333.29,332.64,333.18,100298
2026-04-15T14:20:00+00:00,333.16,334.209,333.16,334.179,98862
2026-04-15T14:25:00+00:00,334.159,334.629,334.119,334.369,66283
2026-04-15T14:30:00+00:00,334.389,334.459,333.8,333.93,55549
2026-04-15T14:35:00+00:00,333.88,334.059,333.37,333.37,57519
2026-04-15T14:40:00+00:00,333.41,333.76,333.41,333.74,36946
2026-04-15T14:45:00+00:00,333.77,334.009,333.77,333.999,40636
2026-04-15T14:50:00+00:00,334.009,334.164,333.8,333.91,60802
2026-04-15T14:55:00+00:00,333.94,334.254,333.73,333.77,46976
2026-04-15T15:00:00+00:00,333.75,333.75,333.04,333.17,64202
2026-04-15T15:05:00+00:00,333.22,333.3,332.61,333.23,76755
2026-04-15T15:10:00+00:00,333.27,333.42,333.05,333.05,42989
2026-04-15T15:15:00+00:00,333.06,333.09,332.71,332.95,32597
2026-04-15T15:20:00+00:00,332.955,333.06,332.51,332.61,56035
2026-04-15T15:25:00+00:00,332.59,332.71,332.45,332.67,54507
2026-04-15T15:30:00+00:00,332.67,332.71,332.46,332.51,36885
2026-04-15T15:35:00+00:00,332.45,332.75,332.45,332.7,25335
2026-04-15T15:40:00+00:00,332.68,333.24,332.66,333.15,47841
2026-04-15T15:45:00+00:00,333.13,333.27,333.06,333.185,37860
2026-04-15T15:50:00+00:00,333.19,333.44,333.19,333.23,26452
2026-04-15T15:55:00+00:00,333.25,333.31,332.95,333.06,41886
2026-04-15T16:00:00+00:00,333.06,333.2,332.915,333.13,32387
2026-04-15T16:05:00+00:00,333.2,333.4,333.09,333.355,32433
2026-04-15T16:10:00+00:00,333.36,333.984,333.305,333.96,39813
2026-04-15T16:15:00+00:00,333.94,334.709,333.94,334.689,60988
2026-04-15T16:20:00+00:00,334.704,334.789,334.449,334.669,34655
2026-04-15T16:25:00+00:00,334.699,334.999,334.619,334.799,74848
2026-04-15T16:30:00+00:00,334.819,334.819,334.499,334.689,30105
2026-04-15T16:35:00+00:00,334.729,334.789,334.279,334.279,32947
2026-04-15T16:40:00+00:00,334.269,334.269,333.8,334.139,75256
2026-04-15T16:45:00+00:00,334.109,334.669,334.094,334.539,49748
2026-04-15T16:50:00+00:00,334.559,334.559,334.239,334.439,54166
2026-04-15T16:55:00+00:00,334.439,334.579,334.129,334.149,38037
2026-04-15T17:00:00+00:00,334.094,334.219,333.89,334.159,23532
2026-04-15T17:05:00+00:00,334.189,334.569,334.154,334.154,18111
2026-04-15T17:10:00+00:00,334.179,334.329,334.159,334.289,20570
2026-04-15T17:15:00+00:00,334.289,334.579,334.289,334.539,19305
2026-04-15T17:20:00+00:00,334.539,334.629,334.439,334.609,18431
2026-04-15T17:25:00+00:00,334.679,335.179,334.659,335.049,42628
2026-04-15T17:30:00+00:00,335.149,335.529,335.124,335.459,40545
2026-04-15T17:35:00+00:00,335.429,335.698,335.399,335.454,37808
2026-04-15T17:40:00+00:00,335.399,335.409,335.079,335.129,18803
2026-04-15T17:45:00+00:00,335.169,335.409,335.169,335.319,21029
2026-04-15T17:50:00+00:00,335.319,335.579,335.319,335.419,35972
2026-04-15T17:55:00+00:00,335.429,335.549,335.309,335.309,18621
2026-04-15T18:00:00+00:00,335.249,335.748,335.059,335.409,50173
2026-04-15T18:05:00+00:00,335.439,335.698,335.429,335.569,28098
2026-04-15T18:10:00+00:00,335.469,335.698,335.429,335.559,38798
2026-04-15T18:15:00+00:00,335.579,335.803,335.489,335.509,53621
2026-04-15T18:20:00+00:00,335.519,335.549,335.229,335.239,37330
2026-04-15T18:25:00+00:00,335.249,335.299,335.054,335.079,66653
2026-04-15T18:30:00+00:00,335.099,336.648,335.099,335.838,227782
2026-04-15T18:35:00+00:00,335.868,336.298,335.818,336.078,83925
2026-04-15T18:40:00+00:00,336.128,336.198,335.688,336.198,46722
2026-04-15T18:45:00+00:00,336.218,336.848,336.158,336.838,73456
2026-04-15T18:50:00+00:00,336.838,337.238,336.838,337.238,71768
2026-04-15T18:55:00+00:00,337.238,337.278,336.888,336.908,44145
2026-04-15T19:00:00+00:00,336.918,336.938,336.258,336.328,66192
2026-04-15T19:05:00+00:00,336.368,336.608,336.338,336.478,55947
2026-04-15T19:10:00+00:00,336.478,336.478,335.599,335.609,67421
2026-04-15T19:15:00+00:00,335.609,335.693,335.469,335.658,61448
2026-04-15T19:20:00+00:00,335.678,335.698,335.489,335.549,38586
2026-04-15T19:25:00+00:00,335.559,335.698,335.489,335.609,60885
2026-04-15T19:30:00+00:00,335.599,335.998,335.459,335.958,59079
2026-04-15T19:35:00+00:00,335.948,336.328,335.948,336.058,66096
2026-04-15T19:40:00+00:00,336.078,336.208,335.938,336.068,64509
2026-04-15T19:45:00+00:00,336.048,336.278,335.958,336.168,80826
2026-04-15T19:50:00+00:00,336.188,337.068,336.178,336.898,227317
2026-04-15T19:55:00+00:00,336.908,337.188,336.778,336.948,798420
2026-04-15T20:00:00+00:00,336.918,337.098,336.668,336.928,4111
2026-04-15T20:05:00+00:00,336.758,336.838,336.468,336.598,3965
2026-04-15T20:10:00+00:00,336.598,336.598,336.458,336.458,1294
2026-04-15T20:15:00+00:00,336.458,336.458,336.388,336.398,7132
2026-04-15T20:20:00+00:00,336.218,336.218,336.218,336.218,928
2026-04-15T20:25:00+00:00,336.218,336.218,336.198,336.198,514
2026-04-15T20:30:00+00:00,336.198,336.198,336.198,336.198,339
2026-04-15T20:35:00+00:00,336.398,336.398,336.398,336.398,594
2026-04-15T20:40:00+00:00,336.398,336.398,336.398,336.398,1033
2026-04-15T20:45:00+00:00,336.398,336.398,336.198,336.198,1508
2026-04-15T20:50:00+00:00,336.078,336.078,335.998,335.998,1877
2026-04-15T20:55:00+00:00,335.998,335.998,335.998,335.998,41
2026-04-15T21:00:00+00:00,335.998,335.998,335.998,335.998,100
2026-04-15T21:05:00+00:00,335.998,335.998,335.998,335.998,88
2026-04-15T21:10:00+00:00,335.998,335.998,335.998,335.998,51
2026-04-15T21:15:00+00:00,336.348,336.348,336.348,336.348,186
2026-04-15T21:20:00+00:00,336.348,336.348,336.348,336.348,162
2026-04-15T21:25:00+00:00,336.348,336.348,336.348,336.348,45
2026-04-15T21:30:00+00:00,336.398,336.398,336.398,336.398,714
2026-04-15T21:35:00+00:00,336.398,336.398,336.398,336.398,33
2026-04-15T21:40:00+00:00,336.398,336.398,336.398,336.398,88
2026-04-15T21:45:00+00:00,336.398,336.398,336.398,336.398,82
2026-04-15T21:50:00+00:00,336.398,336.548,336.398,336.548,164
2026-04-15T21:55:00+00:00,336.548,336.548,336.548,336.548,30
2026-04-15T22:00:00+00:00,336.548,336.548,336.548,336.548,291
2026-04-15T22:05:00+00:00,336.548,336.548,336.548,336.548,70
2026-04-15T22:10:00+00:00,336.548,336.548,336.548,336.548,83
2026-04-15T22:15:00+00:00,336.548,336.548,336.548,336.548,129
2026-04-15T22:20:00+00:00,336.548,336.888,336.548,336.718,805
2026-04-15T22:25:00+00:00,336.718,336.718,336.718,336.718,144
2026-04-15T22:30:00+00:00,336.718,336.718,336.718,336.718,1873
2026-04-15T22:35:00+00:00,336.718,336.718,336.718,336.718,216
