ts,o,h,l,c,v
2026-04-15T13:30:00+00:00,21.69,21.76,21.38,21.48,51581
2026-04-15T13:35:00+00:00,21.49,21.82,21.48,21.73,92767
2026-04-15T13:40:00+00:00,21.74,21.8,21.32,21.32,74862
2026-04-15T13:45:00+00:00,21.32,21.52,21.29,21.48,46881
2026-04-15T13:50:00+00:00,21.46,21.69,21.46,21.53,47571
2026-04-15T13:55:00+00:00,21.57,21.58,21.48,21.58,51099
2026-04-15T14:00:00+00:00,21.55,21.7,21.55,21.64,41102
2026-04-15T14:05:00+00:00,21.64,21.68,21.6,21.6,38706
2026-04-15T14:10:00+00:00,21.61,21.71,21.585,21.71,28760
2026-04-15T14:15:00+00:00,21.72,21.9,21.715,21.78,72267
2026-04-15T14:20:00+00:00,21.775,21.84,21.76,21.78,13076
2026-04-15T14:25:00+00:00,21.78,21.86,21.77,21.85,50084
2026-04-15T14:30:00+00:00,21.86,22.05,21.86,21.97,54997
2026-04-15T14:35:00+00:00,21.96,22.09,21.94,21.94,54349
2026-04-15T14:40:00+00:00,21.91,21.95,21.83,21.86,26456
2026-04-15T14:45:00+00:00,21.855,21.86,21.71,21.85,34204
2026-04-15T14:50:00+00:00,21.86,21.915,21.8,21.82,26241
2026-04-15T14:55:00+00:00,21.83,21.915,21.8,21.88,27018
2026-04-15T15:00:00+00:00,21.875,21.9,21.835,21.835,13772
2026-04-15T15:05:00+00:00,21.845,21.9,21.8,21.815,23901
2026-04-15T15:10:00+00:00,21.81,21.9,21.79,21.9,13754
2026-04-15T15:15:00+00:00,21.9,21.95,21.885,21.89,12483
2026-04-15T15:20:00+00:00,21.89,21.935,21.88,21.91,10461
2026-04-15T15:25:00+00:00,21.915,21.97,21.915,21.945,17667
2026-04-15T15:30:00+00:00,21.92,21.92,21.77,21.77,31467
2026-04-15T15:35:00+00:00,21.765,21.895,21.765,21.89,24417
2026-04-15T15:40:00+00:00,21.88,21.92,21.795,21.88,35373
2026-04-15T15:45:00+00:00,21.87,21.92,21.86,21.91,16904
2026-04-15T15:50:00+00:00,21.91,21.91,21.83,21.9,20465
2026-04-15T15:55:00+00:00,21.89,21.895,21.85,21.88,20709
2026-04-15T16:00:00+00:00,21.88,21.905,21.86,21.89,14702
2026-04-15T16:05:00+00:00,21.895,21.895,21.71,21.745,38079
2026-04-15T16:10:00+00:00,21.74,21.77,21.68,21.77,16231
2026-04-15T16:15:00+00:00,21.81,21.81,21.745,21.775,8389
2026-04-15T16:20:00+00:00,21.775,21.795,21.68,21.68,9788
2026-04-15T16:25:00+00:00,21.67,21.69,21.6,21.6,8565
2026-04-15T16:30:00+00:00,21.59,21.63,21.54,21.6,11637
2026-04-15T16:35:00+00:00,21.63,21.63,21.55,21.58,10474
2026-04-15T16:40:00+00:00,21.57,21.57,21.46,21.5,21337
2026-04-15T16:45:00+00:00,21.48,21.495,21.42,21.495,9914
2026-04-15T16:50:00+00:00,21.5,21.52,21.445,21.49,10104
2026-04-15T16:55:00+00:00,21.46,21.46,21.365,21.44,14140
2026-04-15T17:00:00+00:00,21.45,21.49,21.41,21.47,5151
2026-04-15T17:05:00+00:00,21.48,21.52,21.47,21.52,16474
