ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,21.4,21.45,21.4,21.45,2811
2026-04-15T08:05:00+00:00,21.45,21.45,21.45,21.45,5
2026-04-15T08:10:00+00:00,21.45,21.45,21.45,21.45,1
2026-04-15T08:15:00+00:00,21.45,21.45,21.45,21.45,0
2026-04-15T08:20:00+00:00,21.45,21.45,21.45,21.45,59
2026-04-15T08:25:00+00:00,21.39,21.39,21.39,21.39,110
2026-04-15T08:30:00+00:00,21.38,21.38,21.38,21.38,116
2026-04-15T08:35:00+00:00,21.38,21.38,21.38,21.38,0
2026-04-15T08:40:00+00:00,21.44,21.44,21.42,21.42,1309
2026-04-15T08:45:00+00:00,21.42,21.42,21.42,21.42,100
2026-04-15T08:50:00+00:00,21.4,21.4,21.39,21.39,927
2026-04-15T08:55:00+00:00,21.39,21.42,21.39,21.42,577
2026-04-15T09:00:00+00:00,21.44,21.44,21.44,21.44,199
2026-04-15T09:05:00+00:00,21.44,21.44,21.42,21.44,2606
2026-04-15T09:10:00+00:00,21.44,21.44,21.44,21.44,205
2026-04-15T09:15:00+00:00,21.44,21.44,21.44,21.44,0
2026-04-15T09:20:00+00:00,21.44,21.44,21.44,21.44,1
2026-04-15T09:25:00+00:00,21.44,21.44,21.44,21.44,4
2026-04-15T09:30:00+00:00,21.44,21.44,21.44,21.44,4
2026-04-15T09:35:00+00:00,21.43,21.43,21.43,21.43,200
2026-04-15T09:40:00+00:00,21.43,21.43,21.43,21.43,1
2026-04-15T09:45:00+00:00,21.43,21.43,21.43,21.43,51
2026-04-15T09:50:00+00:00,21.43,21.43,21.41,21.41,547
2026-04-15T09:55:00+00:00,21.41,21.41,21.41,21.41,105
2026-04-15T10:00:00+00:00,21.41,21.41,21.41,21.41,1
2026-04-15T10:05:00+00:00,21.41,21.42,21.41,21.42,1049
2026-04-15T10:10:00+00:00,21.42,21.42,21.42,21.42,52
2026-04-15T10:15:00+00:00,21.42,21.42,21.4,21.4,829
2026-04-15T10:20:00+00:00,21.4,21.4,21.4,21.4,27
2026-04-15T10:25:00+00:00,21.4,21.4,21.4,21.4,246
2026-04-15T10:30:00+00:00,21.4,21.4,21.32,21.32,1080
2026-04-15T10:35:00+00:00,21.33,21.33,21.32,21.32,251
2026-04-15T10:40:00+00:00,21.32,21.36,21.32,21.35,834
2026-04-15T10:45:00+00:00,21.35,21.35,21.35,21.35,29
2026-04-15T10:50:00+00:00,21.35,21.35,21.35,21.35,142
2026-04-15T10:55:00+00:00,21.35,21.35,21.35,21.35,4
2026-04-15T11:00:00+00:00,21.35,21.42,21.35,21.42,6885
2026-04-15T11:05:00+00:00,21.42,21.42,21.42,21.42,0
2026-04-15T11:10:00+00:00,21.43,21.48,21.43,21.48,2612
2026-04-15T11:15:00+00:00,21.48,21.48,21.45,21.45,120
2026-04-15T11:20:00+00:00,21.48,21.48,21.48,21.48,1387
2026-04-15T11:25:00+00:00,21.51,21.51,21.51,21.51,685
2026-04-15T11:30:00+00:00,21.47,21.49,21.47,21.49,953
2026-04-15T11:35:00+00:00,21.49,21.52,21.49,21.52,325
2026-04-15T11:40:00+00:00,21.51,21.51,21.51,21.51,200
2026-04-15T11:45:00+00:00,21.51,21.51,21.5,21.51,504
2026-04-15T11:50:00+00:00,21.51,21.51,21.51,21.51,128
2026-04-15T11:55:00+00:00,21.51,21.51,21.5,21.5,299
2026-04-15T12:00:00+00:00,21.5,21.52,21.47,21.48,7226
2026-04-15T12:05:00+00:00,21.48,21.48,21.47,21.47,230
2026-04-15T12:10:00+00:00,21.47,21.47,21.47,21.47,0
2026-04-15T12:15:00+00:00,21.48,21.48,21.48,21.48,500
2026-04-15T12:20:00+00:00,21.506,21.506,21.506,21.506,351
2026-04-15T12:25:00+00:00,21.506,21.52,21.5,21.5,1104
2026-04-15T12:30:00+00:00,21.49,21.49,21.47,21.47,2084
2026-04-15T12:35:00+00:00,21.5,21.51,21.461,21.51,6354
2026-04-15T12:40:00+00:00,21.53,21.55,21.53,21.55,1009
2026-04-15T12:45:00+00:00,21.55,21.55,21.55,21.55,965
2026-04-15T12:50:00+00:00,21.55,21.576,21.504,21.504,740
2026-04-15T12:55:00+00:00,21.504,21.56,21.504,21.56,290
2026-04-15T13:00:00+00:00,21.55,21.55,21.55,21.55,534
2026-04-15T13:05:00+00:00,21.55,21.59,21.55,21.58,3026
2026-04-15T13:10:00+00:00,21.58,21.59,21.58,21.58,597
2026-04-15T13:15:00+00:00,21.6,21.6,21.54,21.54,2065
2026-04-15T13:20:00+00:00,21.51,21.51,21.46,21.48,1366
2026-04-15T13:25:00+00:00,21.485,21.65,21.44,21.65,6294
2026-04-15T13:30:00+00:00,21.69,21.76,21.38,21.48,51581
2026-04-15T13:35:00+00:00,21.49,21.82,21.48,21.73,92767
2026-04-15T13:40:00+00:00,21.74,21.8,21.32,21.32,74862
2026-04-15T13:45:00+00:00,21.32,21.52,21.29,21.48,46881
2026-04-15T13:50:00+00:00,21.46,21.69,21.46,21.53,47571
2026-04-15T13:55:00+00:00,21.57,21.58,21.48,21.58,51099
2026-04-15T14:00:00+00:00,21.55,21.7,21.55,21.64,41102
2026-04-15T14:05:00+00:00,21.64,21.68,21.6,21.6,38706
2026-04-15T14:10:00+00:00,21.61,21.71,21.585,21.71,28760
2026-04-15T14:15:00+00:00,21.72,21.9,21.715,21.78,72267
2026-04-15T14:20:00+00:00,21.775,21.84,21.76,21.78,13076
