ts,o,h,l,c,v
2026-04-15T13:30:00+00:00,83.55,83.88,81.5,82.68,1814707
2026-04-15T13:35:00+00:00,82.66,83.73,82.52,83.46,829248
2026-04-15T13:40:00+00:00,83.44,84.21,83.15,83.18,748025
2026-04-15T13:45:00+00:00,83.26,84.49,83.26,84.42,403365
2026-04-15T13:50:00+00:00,84.42,85.455,84.42,85.36,513340
2026-04-15T13:55:00+00:00,85.36,85.47,84.75,85.37,386092
2026-04-15T14:00:00+00:00,85.36,85.38,84.26,84.54,350366
2026-04-15T14:05:00+00:00,84.51,85.55,84.5,85.53,340298
2026-04-15T14:10:00+00:00,85.52,85.87,85.145,85.49,247726
2026-04-15T14:15:00+00:00,85.52,85.64,84.96,85.05,164201
2026-04-15T14:20:00+00:00,85.08,85.32,85.05,85.19,153903
2026-04-15T14:25:00+00:00,85.165,85.975,85.09,85.81,166810
2026-04-15T14:30:00+00:00,85.81,85.99,84.68,84.78,206563
2026-04-15T14:35:00+00:00,84.77,85.12,84.49,84.61,162793
2026-04-15T14:40:00+00:00,84.63,84.93,84.54,84.89,97448
2026-04-15T14:45:00+00:00,84.91,85.01,84.64,84.935,118173
2026-04-15T14:50:00+00:00,84.93,85.18,84.78,85.13,123521
2026-04-15T14:55:00+00:00,85.13,85.425,84.88,85.05,149337
2026-04-15T15:00:00+00:00,85.04,85.36,84.97,85.19,111127
2026-04-15T15:05:00+00:00,85.17,85.37,85.04,85.29,136729
2026-04-15T15:10:00+00:00,85.27,85.81,85.17,85.8,141026
2026-04-15T15:15:00+00:00,85.79,86.19,85.75,85.88,155308
2026-04-15T15:20:00+00:00,85.88,86.38,85.88,86.27,178644
2026-04-15T15:25:00+00:00,86.295,86.46,86.18,86.26,138366
2026-04-15T15:30:00+00:00,86.27,86.35,85.92,85.97,129494
2026-04-15T15:35:00+00:00,85.95,86.08,85.71,85.97,107267
2026-04-15T15:40:00+00:00,85.98,86.17,85.84,86.01,85930
2026-04-15T15:45:00+00:00,86.01,86.27,85.92,86.18,100936
2026-04-15T15:50:00+00:00,86.17,86.37,86.15,86.16,98675
2026-04-15T15:55:00+00:00,86.16,86.22,85.97,86.12,91625
2026-04-15T16:00:00+00:00,86.13,86.49,86.03,86.39,100953
2026-04-15T16:05:00+00:00,86.4,86.53,86.25,86.29,86231
