ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,82.44,82.78,82.44,82.77,5415
2026-04-15T08:05:00+00:00,82.88,83.05,82.79,83.0,7266
2026-04-15T08:10:00+00:00,82.85,83.03,82.84,83.03,3829
2026-04-15T08:15:00+00:00,83.03,83.74,83.03,83.73,9820
2026-04-15T08:20:00+00:00,83.68,83.7,83.5,83.7,9287
2026-04-15T08:25:00+00:00,83.7,84.0,83.7,83.84,4961
2026-04-15T08:30:00+00:00,83.89,83.98,83.75,83.78,5953
2026-04-15T08:35:00+00:00,83.74,83.8,83.7,83.73,3302
2026-04-15T08:40:00+00:00,83.6,83.68,83.56,83.65,3524
2026-04-15T08:45:00+00:00,83.56,83.69,83.52,83.63,2726
2026-04-15T08:50:00+00:00,83.63,83.86,83.63,83.83,1143
2026-04-15T08:55:00+00:00,83.94,84.08,83.86,83.98,31142
2026-04-15T09:00:00+00:00,84.09,84.22,83.97,84.12,6123
2026-04-15T09:05:00+00:00,84.12,84.15,83.63,83.63,5494
2026-04-15T09:10:00+00:00,83.61,83.69,83.49,83.5,4207
2026-04-15T09:15:00+00:00,83.52,83.53,83.41,83.51,3655
2026-04-15T09:20:00+00:00,83.5,83.85,83.5,83.65,8913
2026-04-15T09:25:00+00:00,83.65,83.76,83.65,83.7,2075
2026-04-15T09:30:00+00:00,83.7,83.88,83.7,83.865,262
2026-04-15T09:35:00+00:00,83.75,83.75,83.59,83.65,1910
2026-04-15T09:40:00+00:00,83.65,83.75,83.65,83.66,2027
2026-04-15T09:45:00+00:00,83.66,83.74,83.66,83.67,771
2026-04-15T09:50:00+00:00,83.6,83.6,83.2,83.32,12859
2026-04-15T09:55:00+00:00,83.32,83.32,83.31,83.31,1327
2026-04-15T10:00:00+00:00,83.41,83.66,83.41,83.6,1354
2026-04-15T10:05:00+00:00,83.6,83.65,83.6,83.65,903
2026-04-15T10:10:00+00:00,83.65,83.65,83.5,83.5,684
2026-04-15T10:15:00+00:00,83.46,83.46,82.83,82.85,13894
2026-04-15T10:20:00+00:00,82.89,83.21,82.76,82.76,8770
2026-04-15T10:25:00+00:00,82.75,82.76,82.44,82.44,5553
2026-04-15T10:30:00+00:00,82.48,82.5,82.32,82.45,3313
2026-04-15T10:35:00+00:00,82.3,82.54,82.1,82.25,11996
2026-04-15T10:40:00+00:00,82.31,82.78,82.31,82.78,2316
2026-04-15T10:45:00+00:00,82.82,82.98,82.79,82.79,6457
2026-04-15T10:50:00+00:00,82.74,82.8,82.74,82.8,1104
2026-04-15T10:55:00+00:00,82.93,83.18,82.685,82.71,11492
2026-04-15T11:00:00+00:00,82.5,83.08,82.5,83.07,3909
2026-04-15T11:05:00+00:00,83.06,83.19,82.99,83.19,5014
2026-04-15T11:10:00+00:00,83.2,83.6,83.2,83.6,6311
