ts,o,h,l,c,v
2026-04-15T13:30:00+00:00,240.889,242.507,239.241,242.338,8319
2026-04-15T13:35:00+00:00,242.249,243.39,242.189,242.874,9230
2026-04-15T13:40:00+00:00,242.775,243.817,242.566,242.566,11746
2026-04-15T13:45:00+00:00,242.596,242.963,242.11,242.963,8594
2026-04-15T13:50:00+00:00,243.053,243.47,242.785,243.043,12516
2026-04-15T13:55:00+00:00,242.983,243.053,241.981,242.02,7624
2026-04-15T14:00:00+00:00,242.06,242.139,240.908,240.908,5340
2026-04-15T14:05:00+00:00,240.948,241.345,240.859,241.345,6638
2026-04-15T14:10:00+00:00,241.276,242.179,241.276,242.179,6904
2026-04-15T14:15:00+00:00,242.368,242.606,242.219,242.249,7444
2026-04-15T14:20:00+00:00,242.219,242.378,241.961,242.02,4058
2026-04-15T14:25:00+00:00,242.129,242.159,241.832,242.08,2208
2026-04-15T14:30:00+00:00,242.11,242.139,241.802,241.971,3645
2026-04-15T14:35:00+00:00,241.881,242.05,241.633,241.673,3504
2026-04-15T14:40:00+00:00,241.693,241.822,241.534,241.722,3260
2026-04-15T14:45:00+00:00,241.713,241.742,241.405,241.703,2472
2026-04-15T14:50:00+00:00,241.722,241.901,241.683,241.802,4437
2026-04-15T14:55:00+00:00,241.802,241.931,241.802,241.881,3498
2026-04-15T15:00:00+00:00,241.971,242.288,241.971,242.288,3569
2026-04-15T15:05:00+00:00,242.378,242.536,242.219,242.308,3264
2026-04-15T15:10:00+00:00,242.397,242.546,242.199,242.487,3615
2026-04-15T15:15:00+00:00,242.497,242.715,242.447,242.606,3392
2026-04-15T15:20:00+00:00,242.546,242.77,242.546,242.666,8031
2026-04-15T15:25:00+00:00,242.765,242.914,242.661,242.735,3241
2026-04-15T15:30:00+00:00,242.745,242.854,242.576,242.576,4808
2026-04-15T15:35:00+00:00,242.616,242.785,242.358,242.417,5115
2026-04-15T15:40:00+00:00,242.338,242.338,242.08,242.08,5189
2026-04-15T15:45:00+00:00,242.065,242.219,241.941,242.149,5130
2026-04-15T15:50:00+00:00,242.209,242.467,242.209,242.288,2661
2026-04-15T15:55:00+00:00,242.288,242.407,242.209,242.328,3615
2026-04-15T16:00:00+00:00,242.11,242.457,242.11,242.437,1769
2026-04-15T16:05:00+00:00,242.472,242.527,242.298,242.348,2224
2026-04-15T16:10:00+00:00,242.447,242.447,242.338,242.427,1171
2026-04-15T16:15:00+00:00,242.536,242.675,242.427,242.675,3507
2026-04-15T16:20:00+00:00,242.695,242.914,242.695,242.755,3591
