ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,240.482,240.482,240.482,240.482,2
2026-04-15T08:05:00+00:00,240.482,240.482,240.482,240.482,0
2026-04-15T08:10:00+00:00,240.482,240.482,240.482,240.482,0
2026-04-15T08:15:00+00:00,240.482,240.482,240.482,240.482,5
2026-04-15T08:20:00+00:00,240.482,240.482,240.482,240.482,5
2026-04-15T08:25:00+00:00,240.482,240.482,240.482,240.482,0
2026-04-15T08:30:00+00:00,240.482,240.482,240.482,240.482,3
2026-04-15T08:35:00+00:00,240.482,240.482,240.482,240.482,0
2026-04-15T08:40:00+00:00,240.482,240.482,240.482,240.482,0
2026-04-15T08:45:00+00:00,240.482,240.482,240.482,240.482,0
2026-04-15T08:50:00+00:00,240.482,240.482,240.482,240.482,0
2026-04-15T08:55:00+00:00,240.482,240.482,240.482,240.482,0
2026-04-15T09:00:00+00:00,240.482,240.482,240.482,240.482,0
2026-04-15T09:05:00+00:00,240.482,240.482,240.482,240.482,9
2026-04-15T09:10:00+00:00,240.482,240.482,240.482,240.482,6
2026-04-15T09:15:00+00:00,240.482,240.482,240.482,240.482,0
2026-04-15T09:20:00+00:00,240.482,240.482,240.482,240.482,6
2026-04-15T09:25:00+00:00,240.482,240.482,240.482,240.482,0
2026-04-15T09:30:00+00:00,240.482,240.482,240.482,240.482,0
2026-04-15T09:35:00+00:00,240.482,240.482,240.482,240.482,20
2026-04-15T09:40:00+00:00,240.482,240.482,240.482,240.482,0
2026-04-15T09:45:00+00:00,240.482,240.482,240.482,240.482,5
2026-04-15T09:50:00+00:00,240.482,240.482,240.482,240.482,0
2026-04-15T09:55:00+00:00,240.482,240.482,240.482,240.482,0
2026-04-15T10:00:00+00:00,239.588,241.286,239.588,241.286,2156
2026-04-15T10:05:00+00:00,241.286,241.286,241.286,241.286,0
2026-04-15T10:10:00+00:00,241.286,243.221,240.76,243.221,1043
2026-04-15T10:15:00+00:00,243.221,243.221,243.221,243.221,14
2026-04-15T10:20:00+00:00,242.219,242.219,241.335,241.335,486
2026-04-15T10:25:00+00:00,241.335,241.335,241.335,241.335,78
2026-04-15T10:30:00+00:00,241.335,241.335,241.335,241.335,0
2026-04-15T10:35:00+00:00,241.335,241.335,241.335,241.335,0
2026-04-15T10:40:00+00:00,241.335,241.335,241.335,241.335,0
2026-04-15T10:45:00+00:00,241.335,241.335,240.74,240.74,307
2026-04-15T10:50:00+00:00,240.73,240.73,240.73,240.73,222
2026-04-15T10:55:00+00:00,240.73,240.73,240.73,240.73,0
2026-04-15T11:00:00+00:00,240.73,240.73,240.73,240.73,23
2026-04-15T11:05:00+00:00,240.73,240.73,240.73,240.73,5
2026-04-15T11:10:00+00:00,240.73,240.73,240.73,240.73,0
