ts,o,h,l,c,v
2026-04-15T13:30:00+00:00,47.55,47.77,46.61,47.15,387708
2026-04-15T13:35:00+00:00,47.13,47.72,47.12,47.64,177702
2026-04-15T13:40:00+00:00,47.61,47.66,47.18,47.3,186589
2026-04-15T13:45:00+00:00,47.3,47.57,47.16,47.27,131292
2026-04-15T13:50:00+00:00,47.265,47.55,47.24,47.45,101996
2026-04-15T13:55:00+00:00,47.45,47.81,47.37,47.57,107383
2026-04-15T14:00:00+00:00,47.58,47.58,47.11,47.11,105918
2026-04-15T14:05:00+00:00,47.15,47.36,46.8,46.9,113833
2026-04-15T14:10:00+00:00,46.89,47.2,46.84,47.2,87992
2026-04-15T14:15:00+00:00,47.21,47.4,47.05,47.05,59770
2026-04-15T14:20:00+00:00,47.05,47.35,46.96,47.34,59433
2026-04-15T14:25:00+00:00,47.32,47.35,47.11,47.34,62173
2026-04-15T14:30:00+00:00,47.345,47.44,47.07,47.09,69165
2026-04-15T14:35:00+00:00,47.11,47.32,47.045,47.17,77988
2026-04-15T14:40:00+00:00,47.19,47.38,47.19,47.26,56218
2026-04-15T14:45:00+00:00,47.3,47.48,47.25,47.475,75538
2026-04-15T14:50:00+00:00,47.46,47.52,47.305,47.465,48768
2026-04-15T14:55:00+00:00,47.46,47.6,47.37,47.39,61340
2026-04-15T15:00:00+00:00,47.4,47.7,47.37,47.59,83080
2026-04-15T15:05:00+00:00,47.57,47.63,47.33,47.425,60586
2026-04-15T15:10:00+00:00,47.42,47.6,47.4,47.58,54611
2026-04-15T15:15:00+00:00,47.59,47.63,47.31,47.31,52728
2026-04-15T15:20:00+00:00,47.32,47.37,47.05,47.14,63718
2026-04-15T15:25:00+00:00,47.13,47.17,46.93,46.93,56136
2026-04-15T15:30:00+00:00,46.92,46.92,46.57,46.61,103220
2026-04-15T15:35:00+00:00,46.6,46.95,46.59,46.94,75345
2026-04-15T15:40:00+00:00,46.95,47.12,46.87,46.99,50105
2026-04-15T15:45:00+00:00,46.94,47.07,46.88,46.88,55448
2026-04-15T15:50:00+00:00,46.87,46.89,46.73,46.78,50759
2026-04-15T15:55:00+00:00,46.79,46.94,46.7,46.93,33817
2026-04-15T16:00:00+00:00,46.91,47.24,46.89,47.23,32051
2026-04-15T16:05:00+00:00,47.22,47.29,47.12,47.21,50612
2026-04-15T16:10:00+00:00,47.21,47.24,47.13,47.24,28382
2026-04-15T16:15:00+00:00,47.24,47.33,47.22,47.22,44424
2026-04-15T16:20:00+00:00,47.23,47.34,47.14,47.17,48732
2026-04-15T16:25:00+00:00,47.15,47.15,46.93,46.93,41306
2026-04-15T16:30:00+00:00,46.93,46.93,46.75,46.81,55642
2026-04-15T16:35:00+00:00,46.86,47.02,46.835,47.0,42388
2026-04-15T16:40:00+00:00,46.99,47.0,46.77,46.775,50518
2026-04-15T16:45:00+00:00,46.81,46.865,46.31,46.56,117499
2026-04-15T16:50:00+00:00,46.57,46.77,46.3,46.46,106702
2026-04-15T16:55:00+00:00,46.49,46.6,46.24,46.51,81504
2026-04-15T17:00:00+00:00,46.51,46.7,46.5,46.61,38813
2026-04-15T17:05:00+00:00,46.61,46.735,46.57,46.61,70868
2026-04-15T17:10:00+00:00,46.675,46.675,46.37,46.42,71996
2026-04-15T17:15:00+00:00,46.42,46.46,46.25,46.25,53517
2026-04-15T17:20:00+00:00,46.26,46.43,46.25,46.41,33946
2026-04-15T17:25:00+00:00,46.43,46.75,46.42,46.69,43445
2026-04-15T17:30:00+00:00,46.72,46.905,46.72,46.87,60503
2026-04-15T17:35:00+00:00,46.85,46.92,46.79,46.82,49167
2026-04-15T17:40:00+00:00,46.81,46.82,46.57,46.62,32221
2026-04-15T17:45:00+00:00,46.62,46.79,46.58,46.76,34202
2026-04-15T17:50:00+00:00,46.78,46.87,46.59,46.59,40370
2026-04-15T17:55:00+00:00,46.6,46.68,46.35,46.42,59794
2026-04-15T18:00:00+00:00,46.44,46.77,46.29,46.675,90466
2026-04-15T18:05:00+00:00,46.68,46.85,46.68,46.8,36386
2026-04-15T18:10:00+00:00,46.81,47.04,46.76,46.93,58935
2026-04-15T18:15:00+00:00,46.92,47.02,46.865,46.97,33406
2026-04-15T18:20:00+00:00,46.97,46.975,46.82,46.83,25777
2026-04-15T18:25:00+00:00,46.83,46.85,46.76,46.815,36061
2026-04-15T18:30:00+00:00,46.85,47.06,46.85,47.0,39535
2026-04-15T18:35:00+00:00,47.0,47.08,46.97,47.02,30524
2026-04-15T18:40:00+00:00,47.03,47.12,46.93,47.04,35500
2026-04-15T18:45:00+00:00,47.03,47.22,47.02,47.21,36777
2026-04-15T18:50:00+00:00,47.22,47.36,47.19,47.31,69107
2026-04-15T18:55:00+00:00,47.31,47.37,47.25,47.25,26940
2026-04-15T19:00:00+00:00,47.26,47.33,47.18,47.28,31851
2026-04-15T19:05:00+00:00,47.3,47.49,47.29,47.49,47730
2026-04-15T19:10:00+00:00,47.495,47.645,47.34,47.38,80320
2026-04-15T19:15:00+00:00,47.35,47.4,47.26,47.38,45264
2026-04-15T19:20:00+00:00,47.38,47.445,47.32,47.44,35215
2026-04-15T19:25:00+00:00,47.445,47.61,47.35,47.6,69690
2026-04-15T19:30:00+00:00,47.59,48.055,47.57,47.9,144810
2026-04-15T19:35:00+00:00,47.92,48.28,47.875,48.22,126806
2026-04-15T19:40:00+00:00,48.21,48.41,48.12,48.36,113742
2026-04-15T19:45:00+00:00,48.35,48.495,48.28,48.495,98263
2026-04-15T19:50:00+00:00,48.5,48.79,48.5,48.65,197870
2026-04-15T19:55:00+00:00,48.65,48.86,48.58,48.83,584399
2026-04-16T13:30:00+00:00,49.695,49.79,47.27,47.72,634331
2026-04-16T13:35:00+00:00,47.8,47.8,46.76,46.8,248025
2026-04-16T13:40:00+00:00,46.81,47.69,46.81,47.69,178010
2026-04-16T13:45:00+00:00,47.7,47.85,47.35,47.55,104854
2026-04-16T13:50:00+00:00,47.53,47.55,46.35,46.36,181367
2026-04-16T13:55:00+00:00,46.33,46.5,46.06,46.495,205655
2026-04-16T14:00:00+00:00,46.5,46.57,46.23,46.48,105358
2026-04-16T14:05:00+00:00,46.48,46.76,46.43,46.55,145073
2026-04-16T14:10:00+00:00,46.545,46.63,46.42,46.49,92736
2026-04-16T14:15:00+00:00,46.49,46.51,45.78,45.79,240305
2026-04-16T14:20:00+00:00,45.79,45.85,45.55,45.58,156778
2026-04-16T14:25:00+00:00,45.58,45.77,45.465,45.67,162031
2026-04-16T14:30:00+00:00,45.66,45.68,45.33,45.5,145897
2026-04-16T14:35:00+00:00,45.49,45.53,45.07,45.13,151165
2026-04-16T14:40:00+00:00,45.11,45.47,45.11,45.45,113261
2026-04-16T14:45:00+00:00,45.45,45.62,45.29,45.54,109179
2026-04-16T14:50:00+00:00,45.55,45.77,45.43,45.63,123706
2026-04-16T14:55:00+00:00,45.63,45.63,45.35,45.55,96681
2026-04-16T15:00:00+00:00,45.53,45.86,45.49,45.77,109358
