ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,46.7,46.74,46.58,46.67,2997
2026-04-15T08:05:00+00:00,46.67,47.0,46.67,47.0,2338
2026-04-15T08:10:00+00:00,47.0,47.0,47.0,47.0,800
2026-04-15T08:15:00+00:00,47.0,47.0,46.9,46.91,781
2026-04-15T08:20:00+00:00,46.91,46.91,46.9,46.9,1228
2026-04-15T08:25:00+00:00,47.08,47.14,47.08,47.14,1927
2026-04-15T08:30:00+00:00,47.15,47.29,47.15,47.29,3695
2026-04-15T08:35:00+00:00,47.31,47.4,47.31,47.4,5044
2026-04-15T08:40:00+00:00,47.41,47.47,47.34,47.34,2441
2026-04-15T08:45:00+00:00,47.36,47.36,47.21,47.21,3396
2026-04-15T08:50:00+00:00,47.19,47.23,47.17,47.23,1414
2026-04-15T08:55:00+00:00,47.33,47.33,47.33,47.33,305
2026-04-15T09:00:00+00:00,47.33,47.33,47.08,47.08,1113
2026-04-15T09:05:00+00:00,47.08,47.15,47.08,47.15,1299
2026-04-15T09:10:00+00:00,47.17,47.18,46.86,46.86,5019
2026-04-15T09:15:00+00:00,46.86,47.0,46.85,47.0,1839
2026-04-15T09:20:00+00:00,47.0,47.01,46.99,46.99,1058
2026-04-15T09:25:00+00:00,46.99,46.99,46.85,46.85,433
2026-04-15T09:30:00+00:00,46.85,46.85,46.85,46.85,392
2026-04-15T09:35:00+00:00,46.91,46.91,46.81,46.81,1069
2026-04-15T09:40:00+00:00,46.8,46.8,46.69,46.69,2334
2026-04-15T09:45:00+00:00,46.6,46.69,46.41,46.41,7583
2026-04-15T09:50:00+00:00,46.47,46.49,46.37,46.49,6742
2026-04-15T09:55:00+00:00,46.54,46.59,46.48,46.48,2261
2026-04-15T10:00:00+00:00,46.52,46.58,46.48,46.48,2849
2026-04-15T10:05:00+00:00,46.48,46.75,46.48,46.73,21313
2026-04-15T10:10:00+00:00,46.73,46.73,46.73,46.73,584
2026-04-15T10:15:00+00:00,46.73,46.73,46.57,46.57,384
2026-04-15T10:20:00+00:00,46.57,46.57,46.37,46.4,11537
2026-04-15T10:25:00+00:00,46.4,46.41,46.3,46.3,2495
2026-04-15T10:30:00+00:00,46.3,46.34,46.29,46.29,3368
2026-04-15T10:35:00+00:00,46.29,46.29,46.21,46.27,981
2026-04-15T10:40:00+00:00,46.27,46.57,46.27,46.57,4844
2026-04-15T10:45:00+00:00,46.57,46.6,46.52,46.52,1812
2026-04-15T10:50:00+00:00,46.52,46.52,46.52,46.52,241
2026-04-15T10:55:00+00:00,46.52,46.6,46.52,46.6,314
2026-04-15T11:00:00+00:00,46.53,46.6,46.29,46.44,20668
2026-04-15T11:05:00+00:00,46.44,46.44,46.37,46.44,5800
2026-04-15T11:10:00+00:00,46.44,46.65,46.44,46.65,2686
2026-04-15T11:15:00+00:00,46.65,46.7,46.6,46.6,15406
2026-04-15T11:20:00+00:00,46.6,46.6,46.6,46.6,2934
2026-04-15T11:25:00+00:00,46.71,46.89,46.7,46.8,5921
2026-04-15T11:30:00+00:00,46.8,46.94,46.8,46.87,2637
2026-04-15T11:35:00+00:00,46.82,46.82,46.7,46.7,6777
2026-04-15T11:40:00+00:00,46.78,46.81,46.73,46.73,2248
2026-04-15T11:45:00+00:00,46.73,46.99,46.73,46.97,10195
2026-04-15T11:50:00+00:00,46.97,47.17,46.97,47.16,14256
2026-04-15T11:55:00+00:00,47.2,47.2,47.13,47.14,12299
2026-04-15T12:00:00+00:00,47.15,47.18,47.13,47.18,2523
2026-04-15T12:05:00+00:00,47.1,47.1,46.97,46.97,3043
2026-04-15T12:10:00+00:00,46.97,46.99,46.92,46.95,2145
2026-04-15T12:15:00+00:00,46.85,46.93,46.85,46.93,1998
2026-04-15T12:20:00+00:00,46.93,46.93,46.86,46.86,5486
