ts,o,h,l,c,v
2026-04-15T13:30:00+00:00,856.86,859.0,833.0,851.0,101697
2026-04-15T13:35:00+00:00,850.0,857.99,837.94,840.72,42284
2026-04-15T13:40:00+00:00,839.98,840.01,823.0,834.04,86946
2026-04-15T13:45:00+00:00,832.01,841.82,830.93,835.0,38095
2026-04-15T13:50:00+00:00,835.0,838.12,826.12,833.635,33370
2026-04-15T13:55:00+00:00,834.48,840.695,832.04,834.58,29391
2026-04-15T14:00:00+00:00,835.0,838.0,831.99,838.0,14961
2026-04-15T14:05:00+00:00,838.59,838.94,828.59,829.59,21753
2026-04-15T14:10:00+00:00,830.97,834.41,829.18,831.15,17060
2026-04-15T14:15:00+00:00,829.98,830.74,826.5,827.35,16144
2026-04-15T14:20:00+00:00,827.0,836.45,826.0,836.45,17990
2026-04-15T14:25:00+00:00,838.0,842.03,837.51,841.0,20943
2026-04-15T14:30:00+00:00,841.0,846.01,840.0,844.0,16448
2026-04-15T14:35:00+00:00,844.0,850.0,843.98,845.6,16324
2026-04-15T14:40:00+00:00,845.24,855.1,845.0,854.56,18919
2026-04-15T14:45:00+00:00,853.11,853.99,849.0,851.78,11525
2026-04-15T14:50:00+00:00,851.84,855.0,848.0,848.0,13644
2026-04-15T14:55:00+00:00,846.22,847.275,844.23,845.35,11004
2026-04-15T15:00:00+00:00,844.5,845.96,840.59,845.96,13565
2026-04-15T15:05:00+00:00,846.0,849.5,845.02,848.79,9900
2026-04-15T15:10:00+00:00,848.79,848.79,838.92,842.44,17272
2026-04-15T15:15:00+00:00,842.1,844.0,841.03,844.0,7912
2026-04-15T15:20:00+00:00,843.41,843.41,838.8,840.5,4736
2026-04-15T15:25:00+00:00,840.6,840.81,838.635,839.23,3978
2026-04-15T15:30:00+00:00,839.0,839.0,833.505,835.17,11618
2026-04-15T15:35:00+00:00,836.31,837.37,834.62,834.63,9042
2026-04-15T15:40:00+00:00,834.61,839.4,834.15,839.4,6492
2026-04-15T15:45:00+00:00,839.97,841.38,836.44,836.44,6215
2026-04-15T15:50:00+00:00,836.97,836.98,831.59,832.01,19885
2026-04-15T15:55:00+00:00,832.0,832.61,829.27,831.37,43424
2026-04-15T16:00:00+00:00,830.56,830.73,825.975,825.975,80097
2026-04-15T16:05:00+00:00,825.26,827.41,822.26,822.585,58068
2026-04-15T16:10:00+00:00,821.68,825.0,820.29,824.3,59800
2026-04-15T16:15:00+00:00,824.3,825.82,823.77,823.77,8354
2026-04-15T16:20:00+00:00,824.03,825.42,822.59,824.76,9680
2026-04-15T16:25:00+00:00,825.01,825.41,821.5,821.5,7399
2026-04-15T16:30:00+00:00,821.69,823.9,819.34,821.33,15856
2026-04-15T16:35:00+00:00,821.06,821.13,816.92,818.037,15183
2026-04-15T16:40:00+00:00,818.01,818.01,804.78,804.78,63127
2026-04-15T16:45:00+00:00,806.24,806.69,802.53,805.22,28129
2026-04-15T16:50:00+00:00,805.02,807.33,801.23,803.0,19216
2026-04-15T16:55:00+00:00,801.2,809.41,801.0,808.685,12547
2026-04-15T17:00:00+00:00,808.35,811.57,806.1,810.99,15424
2026-04-15T17:05:00+00:00,810.3,813.99,810.0,812.47,13964
2026-04-15T17:10:00+00:00,813.14,813.94,811.745,812.01,9256
2026-04-15T17:15:00+00:00,812.15,812.5,811.01,811.02,5797
2026-04-15T17:20:00+00:00,810.68,810.87,809.75,810.255,6743
2026-04-15T17:25:00+00:00,810.0,812.9,809.81,811.93,8441
2026-04-15T17:30:00+00:00,811.245,812.32,810.3,812.31,5434
2026-04-15T17:35:00+00:00,812.1,812.52,810.87,811.21,7028
2026-04-15T17:40:00+00:00,811.0,812.93,810.46,812.61,7146
2026-04-15T17:45:00+00:00,812.62,813.24,811.83,813.1,8146
2026-04-15T17:50:00+00:00,813.87,816.61,813.65,816.01,12153
2026-04-15T17:55:00+00:00,815.7,815.72,814.28,815.59,12370
2026-04-15T18:00:00+00:00,815.5,818.5,814.33,816.64,11695
2026-04-15T18:05:00+00:00,816.87,818.39,813.83,814.95,7958
2026-04-15T18:10:00+00:00,815.05,818.18,814.27,816.0,8587
2026-04-15T18:15:00+00:00,816.0,818.0,815.6,815.93,5901
2026-04-15T18:20:00+00:00,817.0,817.01,815.64,816.46,6371
2026-04-15T18:25:00+00:00,817.32,817.32,814.02,815.21,6592
2026-04-15T18:30:00+00:00,816.05,816.4,815.0,815.27,5686
2026-04-15T18:35:00+00:00,815.16,815.51,813.62,813.62,7341
2026-04-15T18:40:00+00:00,813.51,813.51,812.53,813.17,4998
2026-04-15T18:45:00+00:00,812.45,813.01,811.36,811.69,7544
2026-04-15T18:50:00+00:00,812.65,813.43,811.83,813.1,5987
2026-04-15T18:55:00+00:00,813.1,813.86,812.22,812.22,4086
2026-04-15T19:00:00+00:00,813.05,815.0,811.51,814.48,11056
2026-04-15T19:05:00+00:00,815.23,818.19,814.32,818.19,7513
2026-04-15T19:10:00+00:00,818.0,818.77,816.83,817.17,5632
2026-04-15T19:15:00+00:00,817.93,817.93,816.83,817.92,5221
2026-04-15T19:20:00+00:00,818.0,818.45,817.06,817.53,5408
2026-04-15T19:25:00+00:00,817.53,819.31,817.53,819.31,8631
2026-04-15T19:30:00+00:00,819.55,822.29,819.55,819.94,13890
2026-04-15T19:35:00+00:00,819.91,821.6,819.91,820.17,7986
2026-04-15T19:40:00+00:00,820.17,821.49,819.64,820.56,11809
2026-04-15T19:45:00+00:00,820.5,823.93,819.66,823.89,10767
2026-04-15T19:50:00+00:00,823.36,825.5,819.65,820.86,24484
