ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,856.885,856.885,856.885,856.885,392
2026-04-15T08:05:00+00:00,856.885,856.885,856.885,856.885,202
2026-04-15T08:10:00+00:00,856.885,856.885,856.885,856.885,563
2026-04-15T08:15:00+00:00,856.885,856.885,856.885,856.885,105
2026-04-15T08:20:00+00:00,856.885,856.885,856.885,856.885,143
2026-04-15T08:25:00+00:00,856.885,867.0,856.885,867.0,1124
2026-04-15T08:30:00+00:00,867.0,868.0,867.0,868.0,779
2026-04-15T08:35:00+00:00,868.0,868.0,866.88,866.88,239
2026-04-15T08:40:00+00:00,866.88,867.54,866.88,867.54,660
2026-04-15T08:45:00+00:00,867.54,867.54,867.54,867.54,192
2026-04-15T08:50:00+00:00,867.54,867.54,867.54,867.54,256
2026-04-15T08:55:00+00:00,867.54,867.54,867.54,867.54,115
2026-04-15T09:00:00+00:00,867.54,867.54,867.54,867.54,25
2026-04-15T09:05:00+00:00,867.54,867.54,867.54,867.54,168
2026-04-15T09:10:00+00:00,867.54,867.54,867.54,867.54,354
2026-04-15T09:15:00+00:00,867.54,867.54,867.54,867.54,108
2026-04-15T09:20:00+00:00,867.54,867.54,867.54,867.54,31
2026-04-15T09:25:00+00:00,867.54,867.54,867.54,867.54,43
2026-04-15T09:30:00+00:00,867.54,867.54,867.54,867.54,74
2026-04-15T09:35:00+00:00,867.54,867.54,867.54,867.54,180
2026-04-15T09:40:00+00:00,867.54,867.54,867.54,867.54,2
2026-04-15T09:45:00+00:00,867.54,867.54,867.54,867.54,218
2026-04-15T09:50:00+00:00,867.54,867.54,867.54,867.54,8
2026-04-15T09:55:00+00:00,867.54,867.54,856.52,856.52,331
2026-04-15T10:00:00+00:00,856.52,856.52,856.52,856.52,95
2026-04-15T10:05:00+00:00,856.52,856.52,856.52,856.52,26
2026-04-15T10:10:00+00:00,858.3,858.3,858.3,858.3,332
2026-04-15T10:15:00+00:00,858.3,858.3,858.3,858.3,410
2026-04-15T10:20:00+00:00,858.3,858.3,854.0,854.0,670
2026-04-15T10:25:00+00:00,854.0,854.0,854.0,854.0,369
2026-04-15T10:30:00+00:00,854.0,854.0,850.0,850.0,672
2026-04-15T10:35:00+00:00,850.0,850.0,850.0,850.0,150
2026-04-15T10:40:00+00:00,850.0,850.0,850.0,850.0,484
2026-04-15T10:45:00+00:00,850.0,850.0,850.0,850.0,155
2026-04-15T10:50:00+00:00,850.0,852.02,850.0,852.02,304
2026-04-15T10:55:00+00:00,852.02,852.02,852.02,852.02,76
2026-04-15T11:00:00+00:00,852.02,852.02,852.02,852.02,238
2026-04-15T11:05:00+00:00,852.02,852.02,852.02,852.02,74
2026-04-15T11:10:00+00:00,852.02,855.0,852.02,855.0,253
2026-04-15T11:15:00+00:00,855.0,855.0,855.0,855.0,86
2026-04-15T11:20:00+00:00,855.0,855.0,855.0,855.0,100
2026-04-15T11:25:00+00:00,855.0,855.0,855.0,855.0,306
2026-04-15T11:30:00+00:00,855.0,859.99,855.0,858.98,437
2026-04-15T11:35:00+00:00,858.98,858.98,858.98,858.98,179
2026-04-15T11:40:00+00:00,858.98,858.98,858.06,858.06,306
2026-04-15T11:45:00+00:00,858.06,860.0,858.06,860.0,436
2026-04-15T11:50:00+00:00,860.0,860.0,860.0,860.0,114
2026-04-15T11:55:00+00:00,859.0,859.0,859.0,859.0,492
2026-04-15T12:00:00+00:00,859.0,859.0,859.0,859.0,125
2026-04-15T12:05:00+00:00,859.0,859.0,859.0,859.0,535
2026-04-15T12:10:00+00:00,859.0,859.0,854.01,854.03,1008
2026-04-15T12:15:00+00:00,854.03,854.03,854.03,854.03,515
2026-04-15T12:20:00+00:00,854.03,854.99,854.03,854.99,252
2026-04-15T12:25:00+00:00,854.99,854.99,854.99,854.99,54
2026-04-15T12:30:00+00:00,854.99,854.99,854.99,854.99,21
2026-04-15T12:35:00+00:00,854.99,854.99,854.99,854.99,188
2026-04-15T12:40:00+00:00,854.99,856.0,854.99,856.0,250
2026-04-15T12:45:00+00:00,856.0,856.0,856.0,856.0,175
2026-04-15T12:50:00+00:00,856.0,856.0,856.0,856.0,607
2026-04-15T12:55:00+00:00,856.0,856.0,856.0,856.0,192
2026-04-15T13:00:00+00:00,856.0,856.0,852.3,852.3,921
2026-04-15T13:05:00+00:00,852.3,852.3,850.0,850.0,631
2026-04-15T13:10:00+00:00,850.0,850.6,850.0,850.6,582
2026-04-15T13:15:00+00:00,850.6,850.6,850.6,850.6,267
2026-04-15T13:20:00+00:00,850.6,850.6,850.6,850.6,92
2026-04-15T13:25:00+00:00,850.6,860.0,850.6,858.98,3117
2026-04-15T13:30:00+00:00,856.86,859.0,833.0,851.0,101697
2026-04-15T13:35:00+00:00,850.0,857.99,837.94,840.72,42284
2026-04-15T13:40:00+00:00,839.98,840.01,823.0,834.04,86946
2026-04-15T13:45:00+00:00,832.01,841.82,830.93,835.0,38095
2026-04-15T13:50:00+00:00,835.0,838.12,826.12,833.635,33370
2026-04-15T13:55:00+00:00,834.48,840.695,832.04,834.58,29391
2026-04-15T14:00:00+00:00,835.0,838.0,831.99,838.0,14961
2026-04-15T14:05:00+00:00,838.59,838.94,828.59,829.59,21753
2026-04-15T14:10:00+00:00,830.97,834.41,829.18,831.15,17060
2026-04-15T14:15:00+00:00,829.98,830.74,826.5,827.35,16144
2026-04-15T14:20:00+00:00,827.0,836.45,826.0,836.45,17990
2026-04-15T14:25:00+00:00,838.0,842.03,837.51,841.0,20943
2026-04-15T14:30:00+00:00,841.0,846.01,840.0,844.0,16448
2026-04-15T14:35:00+00:00,844.0,850.0,843.98,845.6,16324
2026-04-15T14:40:00+00:00,845.24,855.1,845.0,854.56,18919
2026-04-15T14:45:00+00:00,853.11,853.99,849.0,851.78,11525
2026-04-15T14:50:00+00:00,851.84,855.0,848.0,848.0,13644
2026-04-15T14:55:00+00:00,846.22,847.275,844.23,845.35,11004
2026-04-15T15:00:00+00:00,844.5,845.96,840.59,845.96,13565
2026-04-15T15:05:00+00:00,846.0,849.5,845.02,848.79,9900
2026-04-15T15:10:00+00:00,848.79,848.79,838.92,842.44,17272
2026-04-15T15:15:00+00:00,842.1,844.0,841.03,844.0,7912
2026-04-15T15:20:00+00:00,843.41,843.41,838.8,840.5,4736
2026-04-15T15:25:00+00:00,840.6,840.81,838.635,839.23,3978
2026-04-15T15:30:00+00:00,839.0,839.0,833.505,835.17,11618
2026-04-15T15:35:00+00:00,836.31,837.37,834.62,834.63,9042
2026-04-15T15:40:00+00:00,834.61,839.4,834.15,839.4,6492
2026-04-15T15:45:00+00:00,839.97,841.38,836.44,836.44,6215
