ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,57.5,57.5,57.5,57.5,0
2026-04-15T08:05:00+00:00,57.94,57.94,57.94,57.94,18
2026-04-15T08:10:00+00:00,57.94,57.94,57.94,57.94,0
2026-04-15T08:15:00+00:00,57.94,57.94,57.94,57.94,11
2026-04-15T08:20:00+00:00,57.94,57.94,57.94,57.94,50
2026-04-15T08:25:00+00:00,57.94,57.94,57.94,57.94,26
2026-04-15T08:30:00+00:00,57.94,57.94,57.94,57.94,3
2026-04-15T08:35:00+00:00,57.94,57.94,57.94,57.94,0
2026-04-15T08:40:00+00:00,57.94,57.94,57.94,57.94,0
2026-04-15T08:45:00+00:00,57.94,57.94,57.94,57.94,0
2026-04-15T08:50:00+00:00,57.94,57.94,57.94,57.94,4
2026-04-15T08:55:00+00:00,57.94,57.94,57.94,57.94,111
2026-04-15T09:00:00+00:00,57.94,57.94,57.94,57.94,80
2026-04-15T09:05:00+00:00,57.94,57.94,57.94,57.94,0
2026-04-15T09:10:00+00:00,57.94,57.94,57.94,57.94,0
2026-04-15T09:15:00+00:00,57.94,57.94,57.94,57.94,0
2026-04-15T09:20:00+00:00,57.94,57.94,57.94,57.94,0
2026-04-15T09:25:00+00:00,57.45,57.58,57.42,57.5,2746
2026-04-15T09:30:00+00:00,57.72,57.74,57.72,57.74,620
2026-04-15T09:35:00+00:00,57.74,57.74,57.74,57.74,40
2026-04-15T09:40:00+00:00,57.75,57.75,57.75,57.75,185
2026-04-15T09:45:00+00:00,57.75,57.75,57.75,57.75,0
2026-04-15T09:50:00+00:00,57.7,57.7,57.7,57.7,165
2026-04-15T09:55:00+00:00,57.7,57.77,57.7,57.77,888
2026-04-15T10:00:00+00:00,57.77,57.77,57.77,57.77,35
2026-04-15T10:05:00+00:00,57.77,57.77,57.77,57.77,1
2026-04-15T10:10:00+00:00,57.77,57.77,57.77,57.77,0
2026-04-15T10:15:00+00:00,57.77,57.77,57.77,57.77,0
2026-04-15T10:20:00+00:00,57.77,57.77,57.77,57.77,0
2026-04-15T10:25:00+00:00,57.77,57.77,57.77,57.77,0
2026-04-15T10:30:00+00:00,57.77,57.77,57.77,57.77,10
2026-04-15T10:35:00+00:00,57.77,57.77,57.77,57.77,0
2026-04-15T10:40:00+00:00,57.77,57.77,57.77,57.77,0
2026-04-15T10:45:00+00:00,57.77,57.77,57.77,57.77,0
2026-04-15T10:50:00+00:00,57.77,57.77,57.77,57.77,0
2026-04-15T10:55:00+00:00,57.77,57.77,57.77,57.77,1
2026-04-15T11:00:00+00:00,57.77,57.77,57.77,57.77,40
2026-04-15T11:05:00+00:00,57.77,57.77,57.77,57.77,0
2026-04-15T11:10:00+00:00,57.77,57.77,57.77,57.77,0
2026-04-15T11:15:00+00:00,57.77,57.77,57.77,57.77,0
2026-04-15T11:20:00+00:00,57.77,57.77,57.76,57.77,415
2026-04-15T11:25:00+00:00,57.77,57.77,57.77,57.77,0
2026-04-15T11:30:00+00:00,57.77,57.77,57.77,57.77,3
2026-04-15T11:35:00+00:00,57.77,57.77,57.77,57.77,84
2026-04-15T11:40:00+00:00,57.77,57.77,57.76,57.76,561
2026-04-15T11:45:00+00:00,57.76,57.76,57.76,57.76,30
2026-04-15T11:50:00+00:00,57.76,57.76,57.76,57.76,51
2026-04-15T11:55:00+00:00,57.76,57.76,57.76,57.76,6
2026-04-15T12:00:00+00:00,57.76,57.76,57.76,57.76,0
2026-04-15T12:05:00+00:00,57.76,57.76,57.76,57.76,20
2026-04-15T12:10:00+00:00,57.78,57.78,57.78,57.78,128
2026-04-15T12:15:00+00:00,57.78,57.86,57.78,57.86,387
2026-04-15T12:20:00+00:00,57.86,57.86,57.86,57.86,0
2026-04-15T12:25:00+00:00,57.86,57.86,57.86,57.86,127
2026-04-15T12:30:00+00:00,57.86,57.86,57.86,57.86,0
2026-04-15T12:35:00+00:00,57.86,57.86,57.86,57.86,38
2026-04-15T12:40:00+00:00,57.86,57.86,57.86,57.86,0
2026-04-15T12:45:00+00:00,57.86,57.86,57.86,57.86,150
2026-04-15T12:50:00+00:00,57.86,57.86,57.86,57.86,0
2026-04-15T12:55:00+00:00,57.86,57.86,57.86,57.86,45
2026-04-15T13:00:00+00:00,57.86,57.86,57.8,57.8,260
2026-04-15T13:05:00+00:00,57.8,57.8,57.8,57.8,111
2026-04-15T13:10:00+00:00,57.85,57.85,57.72,57.72,956
2026-04-15T13:15:00+00:00,57.72,57.72,57.72,57.72,12
2026-04-15T13:20:00+00:00,57.76,57.76,57.71,57.71,1195
2026-04-15T13:25:00+00:00,57.71,57.81,57.71,57.81,358
2026-04-15T13:30:00+00:00,57.92,58.05,57.55,57.81,9983
2026-04-15T13:35:00+00:00,57.73,58.31,57.49,58.2,13940
2026-04-15T13:40:00+00:00,58.2,58.51,58.13,58.14,14623
2026-04-15T13:45:00+00:00,58.19,58.55,57.93,58.395,19862
2026-04-15T13:50:00+00:00,58.43,58.8,58.26,58.56,14433
2026-04-15T13:55:00+00:00,58.56,59.05,58.5,59.03,11614
2026-04-15T14:00:00+00:00,59.01,59.14,58.85,58.85,16224
2026-04-15T14:05:00+00:00,58.92,59.5,58.92,59.32,7057
2026-04-15T14:10:00+00:00,59.32,59.87,59.32,59.85,12318
2026-04-15T14:15:00+00:00,59.88,60.12,59.45,59.45,17174
2026-04-15T14:20:00+00:00,59.49,59.85,59.48,59.82,4111
2026-04-15T14:25:00+00:00,59.85,60.1,59.84,60.1,8892
