ts,o,h,l,c,v
2026-04-15T13:30:00+00:00,17.49,17.72,17.42,17.72,15786
2026-04-15T13:35:00+00:00,17.7,17.81,17.64,17.78,11356
2026-04-15T13:40:00+00:00,17.76,17.97,17.745,17.86,9504
2026-04-15T13:45:00+00:00,17.87,17.9,17.83,17.88,3005
2026-04-15T13:50:00+00:00,17.89,18.0,17.89,17.945,6650
2026-04-15T13:55:00+00:00,17.92,17.92,17.84,17.919,8986
2026-04-15T14:00:00+00:00,17.91,18.0,17.91,18.0,3592
2026-04-15T14:05:00+00:00,18.0,18.13,17.98,18.13,2420
2026-04-15T14:10:00+00:00,18.15,18.18,18.13,18.18,6081
2026-04-15T14:15:00+00:00,18.2,18.27,18.16,18.16,3066
2026-04-15T14:20:00+00:00,18.16,18.21,18.16,18.21,6012
2026-04-15T14:25:00+00:00,18.235,18.265,18.2,18.2,20877
2026-04-15T14:30:00+00:00,18.22,18.26,18.2,18.25,3612
2026-04-15T14:35:00+00:00,18.25,18.25,18.2,18.23,3566
2026-04-15T14:40:00+00:00,18.18,18.2,18.17,18.17,1681
2026-04-15T14:45:00+00:00,18.17,18.23,18.17,18.23,1542
2026-04-15T14:50:00+00:00,18.23,18.25,18.23,18.24,3004
2026-04-15T14:55:00+00:00,18.24,18.355,18.24,18.355,2890
2026-04-15T15:00:00+00:00,18.35,18.44,18.35,18.44,7772
2026-04-15T15:05:00+00:00,18.44,18.44,18.27,18.28,3338
2026-04-15T15:10:00+00:00,18.29,18.33,18.28,18.33,3211
2026-04-15T15:15:00+00:00,18.31,18.36,18.31,18.36,7002
2026-04-15T15:20:00+00:00,18.39,18.41,18.37,18.405,4700
2026-04-15T15:25:00+00:00,18.41,18.41,18.375,18.38,2586
2026-04-15T15:30:00+00:00,18.34,18.34,18.33,18.33,2216
2026-04-15T15:35:00+00:00,18.32,18.32,18.29,18.29,1254
2026-04-15T15:40:00+00:00,18.28,18.28,18.26,18.28,1937
2026-04-15T15:45:00+00:00,18.28,18.31,18.28,18.31,594
2026-04-15T15:50:00+00:00,18.31,18.32,18.29,18.29,844
2026-04-15T15:55:00+00:00,18.3,18.305,18.3,18.305,700
2026-04-15T16:00:00+00:00,18.28,18.33,18.28,18.33,1302
2026-04-15T16:05:00+00:00,18.33,18.36,18.33,18.36,625
2026-04-15T16:10:00+00:00,18.34,18.36,18.34,18.36,1586
2026-04-15T16:15:00+00:00,18.38,18.45,18.38,18.45,2359
2026-04-15T16:20:00+00:00,18.46,18.475,18.46,18.465,1100
2026-04-15T16:25:00+00:00,18.45,18.485,18.45,18.485,5421
2026-04-15T16:30:00+00:00,18.48,18.48,18.42,18.42,1275
2026-04-15T16:35:00+00:00,18.42,18.425,18.42,18.425,3072
2026-04-15T16:40:00+00:00,18.4,18.4,18.38,18.38,3170
2026-04-15T16:45:00+00:00,18.36,18.37,18.35,18.36,6488
2026-04-15T16:50:00+00:00,18.4,18.42,18.4,18.41,1590
2026-04-15T16:55:00+00:00,18.41,18.41,18.36,18.36,2881
2026-04-15T17:00:00+00:00,18.4,18.4,18.4,18.4,1100
2026-04-15T17:05:00+00:00,18.44,18.45,18.44,18.45,421
2026-04-15T17:10:00+00:00,18.45,18.45,18.45,18.45,0
2026-04-15T17:15:00+00:00,18.45,18.45,18.43,18.43,2911
2026-04-15T17:20:00+00:00,18.44,18.45,18.44,18.45,678
2026-04-15T17:25:00+00:00,18.49,18.54,18.49,18.54,18214
2026-04-15T17:30:00+00:00,18.54,18.54,18.49,18.54,2026
2026-04-15T17:35:00+00:00,18.56,18.56,18.55,18.55,862
2026-04-15T17:40:00+00:00,18.53,18.53,18.52,18.52,1604
2026-04-15T17:45:00+00:00,18.54,18.54,18.52,18.535,860
2026-04-15T17:50:00+00:00,18.535,18.57,18.53,18.57,400
2026-04-15T17:55:00+00:00,18.57,18.57,18.57,18.57,0
2026-04-15T18:00:00+00:00,18.55,18.58,18.54,18.58,2868
2026-04-15T18:05:00+00:00,18.56,18.6,18.56,18.6,1056
2026-04-15T18:10:00+00:00,18.6,18.66,18.6,18.66,586
2026-04-15T18:15:00+00:00,18.695,18.71,18.69,18.69,16547
2026-04-15T18:20:00+00:00,18.67,18.69,18.67,18.69,690
2026-04-15T18:25:00+00:00,18.69,18.77,18.69,18.75,6735
