ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,17.21,17.21,17.21,17.21,0
2026-04-15T08:05:00+00:00,17.45,17.45,17.31,17.31,184
2026-04-15T08:10:00+00:00,17.3,17.36,17.3,17.34,1053
2026-04-15T08:15:00+00:00,17.34,17.34,17.34,17.34,0
2026-04-15T08:20:00+00:00,17.33,17.34,17.33,17.34,800
2026-04-15T08:25:00+00:00,17.34,17.34,17.34,17.34,0
2026-04-15T08:30:00+00:00,17.34,17.35,17.34,17.35,883
2026-04-15T08:35:00+00:00,17.35,17.35,17.35,17.35,0
2026-04-15T08:40:00+00:00,17.35,17.41,17.35,17.41,1790
2026-04-15T08:45:00+00:00,17.36,17.36,17.36,17.36,125
2026-04-15T08:50:00+00:00,17.36,17.36,17.36,17.36,8528
2026-04-15T08:55:00+00:00,17.36,17.36,17.36,17.36,0
2026-04-15T09:00:00+00:00,17.36,17.36,17.36,17.36,3762
2026-04-15T09:05:00+00:00,17.36,17.38,17.36,17.38,13288
2026-04-15T09:10:00+00:00,17.38,17.38,17.36,17.36,3442
2026-04-15T09:15:00+00:00,17.36,17.36,17.36,17.36,3180
2026-04-15T09:20:00+00:00,17.36,17.36,17.36,17.36,3616
2026-04-15T09:25:00+00:00,17.36,17.36,17.36,17.36,2800
2026-04-15T09:30:00+00:00,17.36,17.37,17.36,17.37,915
2026-04-15T09:35:00+00:00,17.37,17.37,17.36,17.36,5150
2026-04-15T09:40:00+00:00,17.36,17.37,17.36,17.36,3400
2026-04-15T09:45:00+00:00,17.36,17.36,17.36,17.36,15900
2026-04-15T09:50:00+00:00,17.36,17.36,17.35,17.36,25225
2026-04-15T09:55:00+00:00,17.33,17.35,17.33,17.35,1927
2026-04-15T10:00:00+00:00,17.35,17.35,17.35,17.35,171
2026-04-15T10:05:00+00:00,17.35,17.35,17.35,17.35,81
2026-04-15T10:10:00+00:00,17.35,17.35,17.35,17.35,0
2026-04-15T10:15:00+00:00,17.35,17.35,17.35,17.35,0
2026-04-15T10:20:00+00:00,17.36,17.36,17.36,17.36,1209
2026-04-15T10:25:00+00:00,17.36,17.36,17.36,17.36,26
2026-04-15T10:30:00+00:00,17.32,17.32,17.31,17.31,405
2026-04-15T10:35:00+00:00,17.31,17.31,17.31,17.31,0
2026-04-15T10:40:00+00:00,17.31,17.31,17.31,17.31,0
2026-04-15T10:45:00+00:00,17.31,17.31,17.31,17.31,0
2026-04-15T10:50:00+00:00,17.31,17.31,17.31,17.31,33
2026-04-15T10:55:00+00:00,17.31,17.31,17.3,17.3,1105
2026-04-15T11:00:00+00:00,17.3,17.3,17.3,17.3,0
