ts,o,h,l,c,v
2026-04-15T13:30:00+00:00,457.019,463.837,455.909,459.908,853405
2026-04-15T13:35:00+00:00,459.898,461.228,457.139,459.218,268779
2026-04-15T13:40:00+00:00,459.358,460.408,455.889,456.184,226343
2026-04-15T13:45:00+00:00,456.219,459.698,452.689,453.909,258372
2026-04-15T13:50:00+00:00,454.179,456.499,453.959,455.389,197714
2026-04-15T13:55:00+00:00,455.384,456.219,452.16,452.489,193613
2026-04-15T14:00:00+00:00,452.41,453.929,450.56,453.929,217942
2026-04-15T14:05:00+00:00,454.209,454.599,447.48,449.4,269710
2026-04-15T14:10:00+00:00,449.55,449.78,447.51,447.51,133571
2026-04-15T14:15:00+00:00,447.51,448.01,444.211,444.911,181123
2026-04-15T14:20:00+00:00,445.011,450.21,445.011,449.98,200264
2026-04-15T14:25:00+00:00,450.13,451.43,449.53,449.85,116728
2026-04-15T14:30:00+00:00,449.83,450.02,447.99,449.41,107000
2026-04-15T14:35:00+00:00,449.63,451.83,449.34,450.27,110843
2026-04-15T14:40:00+00:00,450.39,453.039,450.39,452.15,119911
2026-04-15T14:45:00+00:00,452.35,453.399,451.67,452.709,124117
2026-04-15T14:50:00+00:00,452.839,453.719,451.97,452.375,105964
2026-04-15T14:55:00+00:00,452.38,452.739,450.53,450.95,88403
2026-04-15T15:00:00+00:00,450.83,450.83,449.31,450.63,100581
2026-04-15T15:05:00+00:00,450.645,452.15,449.91,451.53,74209
2026-04-15T15:10:00+00:00,451.43,453.219,451.34,452.919,67452
2026-04-15T15:15:00+00:00,452.844,452.979,451.2,451.8,44290
2026-04-15T15:20:00+00:00,451.61,451.61,450.69,451.06,51466
2026-04-15T15:25:00+00:00,451.03,451.68,450.28,450.55,60200
2026-04-15T15:30:00+00:00,450.55,450.55,448.11,448.5,68552
2026-04-15T15:35:00+00:00,448.64,449.22,448.21,448.71,51485
2026-04-15T15:40:00+00:00,448.71,449.99,448.71,449.63,64332
2026-04-15T15:45:00+00:00,449.75,450.14,448.91,448.91,48483
2026-04-15T15:50:00+00:00,448.97,448.97,447.51,447.64,59704
2026-04-15T15:55:00+00:00,447.55,447.55,446.246,446.511,67560
2026-04-15T16:00:00+00:00,446.561,447.485,445.091,446.181,83397
2026-04-15T16:05:00+00:00,446.161,447.61,445.331,447.5,60235
2026-04-15T16:10:00+00:00,447.281,447.8,447.016,447.425,38168
2026-04-15T16:15:00+00:00,447.71,448.09,446.601,447.73,48793
2026-04-15T16:20:00+00:00,447.81,448.22,447.191,447.191,39772
2026-04-15T16:25:00+00:00,446.991,446.991,445.491,445.721,69420
2026-04-15T16:30:00+00:00,445.731,445.951,444.581,445.221,116744
2026-04-15T16:35:00+00:00,445.371,445.971,445.161,445.161,41064
2026-04-15T16:40:00+00:00,445.111,445.111,441.912,442.312,158088
2026-04-15T16:45:00+00:00,442.501,442.921,441.362,442.197,105152
2026-04-15T16:50:00+00:00,442.242,442.801,439.512,439.912,158362
2026-04-15T16:55:00+00:00,440.012,442.691,439.232,442.521,110674
2026-04-15T17:00:00+00:00,442.501,443.491,442.052,443.391,72679
2026-04-15T17:05:00+00:00,443.291,444.831,443.291,443.981,75061
2026-04-15T17:10:00+00:00,444.111,444.161,442.961,443.611,44702
2026-04-15T17:15:00+00:00,443.791,444.411,443.311,443.861,38535
2026-04-15T17:20:00+00:00,444.021,444.751,443.861,444.401,27416
2026-04-15T17:25:00+00:00,444.481,445.581,444.341,445.051,59835
2026-04-15T17:30:00+00:00,445.131,446.561,444.981,446.461,44379
2026-04-15T17:35:00+00:00,446.421,446.756,446.151,446.321,30334
2026-04-15T17:40:00+00:00,446.311,446.541,445.566,445.741,43259
2026-04-15T17:45:00+00:00,445.791,447.241,445.791,447.221,35871
2026-04-15T17:50:00+00:00,447.171,448.21,447.171,447.99,45115
2026-04-15T17:55:00+00:00,448.12,448.39,447.411,447.66,45560
2026-04-15T18:00:00+00:00,447.665,449.03,447.001,447.85,93575
2026-04-15T18:05:00+00:00,447.68,448.66,447.53,448.47,31131
2026-04-15T18:10:00+00:00,448.41,449.54,448.11,449.085,39386
2026-04-15T18:15:00+00:00,449.09,450.17,449.09,449.44,70103
2026-04-15T18:20:00+00:00,449.61,450.41,449.22,450.21,32412
2026-04-15T18:25:00+00:00,450.41,450.41,449.6,449.66,22436
2026-04-15T18:30:00+00:00,449.52,450.31,449.41,450.08,29592
2026-04-15T18:35:00+00:00,450.06,450.71,449.8,450.16,29435
2026-04-15T18:40:00+00:00,450.16,450.34,449.01,449.31,27598
2026-04-15T18:45:00+00:00,449.28,449.57,448.91,449.49,34247
2026-04-15T18:50:00+00:00,449.48,450.495,449.48,450.27,32830
2026-04-15T18:55:00+00:00,450.33,450.73,450.02,450.55,40009
2026-04-15T19:00:00+00:00,450.53,451.12,450.06,450.86,50997
2026-04-15T19:05:00+00:00,450.91,452.01,450.91,451.76,54102
2026-04-15T19:10:00+00:00,451.82,452.509,451.46,451.935,72714
2026-04-15T19:15:00+00:00,452.06,452.564,451.89,452.32,41924
2026-04-15T19:20:00+00:00,452.4,453.329,452.4,453.009,71842
2026-04-15T19:25:00+00:00,452.979,454.409,452.879,454.399,86855
2026-04-15T19:30:00+00:00,454.444,455.459,454.419,455.259,121780
2026-04-15T19:35:00+00:00,455.259,455.919,454.799,454.869,80364
2026-04-15T19:40:00+00:00,454.789,455.159,453.939,454.109,86726
2026-04-15T19:45:00+00:00,453.999,454.298,452.909,453.499,94631
2026-04-15T19:50:00+00:00,453.529,454.349,453.299,454.019,101816
2026-04-15T19:55:00+00:00,454.109,456.269,454.109,456.149,580072
2026-04-16T13:30:00+00:00,452.909,452.909,444.651,450.84,596883
2026-04-16T13:35:00+00:00,450.44,451.08,445.631,448.35,215343
2026-04-16T13:40:00+00:00,448.54,454.679,448.34,450.75,162587
2026-04-16T13:45:00+00:00,450.62,453.179,449.29,452.749,120948
2026-04-16T13:50:00+00:00,452.06,452.34,446.571,446.571,160963
2026-04-16T13:55:00+00:00,446.721,454.839,446.496,454.679,223620
2026-04-16T14:00:00+00:00,454.749,458.538,453.109,458.508,231368
2026-04-16T14:05:00+00:00,458.378,460.208,457.239,458.028,233876
2026-04-16T14:10:00+00:00,457.788,460.008,457.598,458.158,90868
2026-04-16T14:15:00+00:00,458.408,458.808,454.499,455.429,129460
2026-04-16T14:20:00+00:00,455.469,459.008,454.129,458.918,120795
2026-04-16T14:25:00+00:00,458.768,462.248,457.868,460.468,184316
2026-04-16T14:30:00+00:00,460.308,460.748,458.438,459.678,93415
2026-04-16T14:35:00+00:00,459.878,460.138,458.788,459.408,73705
2026-04-16T14:40:00+00:00,459.298,460.298,458.208,459.768,76193
2026-04-16T14:45:00+00:00,459.868,460.588,458.298,459.338,64715
2026-04-16T14:50:00+00:00,459.478,459.508,456.089,457.538,102841
2026-04-16T14:55:00+00:00,457.359,458.908,456.609,458.318,56687
2026-04-16T15:00:00+00:00,458.308,461.083,457.848,459.888,97652
2026-04-16T15:05:00+00:00,459.818,460.108,458.328,458.328,56661
2026-04-16T15:10:00+00:00,458.418,458.908,457.568,458.008,51801
2026-04-16T15:15:00+00:00,458.018,458.578,455.609,455.999,81794
2026-04-16T15:20:00+00:00,456.009,456.699,455.529,455.929,47011
2026-04-16T15:25:00+00:00,455.799,456.669,454.709,456.329,83893
2026-04-16T15:30:00+00:00,456.329,458.528,456.179,458.288,77356
2026-04-16T15:35:00+00:00,458.268,460.448,458.268,460.448,126171
2026-04-16T15:40:00+00:00,460.258,460.898,459.678,460.008,72498
2026-04-16T15:45:00+00:00,460.078,460.408,457.329,457.668,79283
2026-04-16T15:50:00+00:00,457.708,458.668,457.528,457.908,53895
2026-04-16T15:55:00+00:00,457.968,460.178,457.968,460.118,56964
2026-04-16T16:00:00+00:00,460.128,460.508,457.633,458.878,73479
2026-04-16T16:05:00+00:00,458.898,459.288,457.968,459.208,43340
2026-04-16T16:10:00+00:00,459.358,460.408,458.708,460.358,59702
2026-04-16T16:15:00+00:00,460.208,461.497,459.908,460.998,93904
2026-04-16T16:20:00+00:00,461.298,461.448,458.408,458.468,105250
2026-04-16T16:25:00+00:00,458.618,459.493,458.008,458.318,55470
2026-04-16T16:30:00+00:00,458.318,458.618,453.509,454.419,147983
2026-04-16T16:35:00+00:00,454.419,456.509,454.249,456.399,42788
2026-04-16T16:40:00+00:00,456.399,456.999,455.609,456.109,48630
2026-04-16T16:45:00+00:00,456.389,458.218,456.019,458.018,43695
2026-04-16T16:50:00+00:00,458.158,459.208,457.658,457.908,59839
2026-04-16T16:55:00+00:00,457.908,458.808,457.718,457.983,42134
2026-04-16T17:00:00+00:00,458.098,458.438,457.359,457.578,36340
2026-04-16T17:05:00+00:00,457.528,458.408,456.709,458.158,40407
2026-04-16T17:10:00+00:00,458.298,458.398,456.729,456.814,37840
2026-04-16T17:15:00+00:00,456.709,457.189,456.409,457.129,38328
2026-04-16T17:20:00+00:00,457.159,458.658,456.989,458.508,27930
2026-04-16T17:25:00+00:00,458.658,459.128,458.388,459.078,30775
2026-04-16T17:30:00+00:00,459.158,460.218,459.008,459.088,81564
2026-04-16T17:35:00+00:00,459.068,459.258,458.248,458.718,26224
2026-04-16T17:40:00+00:00,458.828,459.208,458.228,458.228,24820
2026-04-16T17:45:00+00:00,458.078,458.078,456.849,457.678,34492
2026-04-16T17:50:00+00:00,457.678,457.678,455.729,455.909,36331
2026-04-16T17:55:00+00:00,455.809,455.899,454.499,455.159,50882
2026-04-16T18:00:00+00:00,455.079,455.349,454.389,454.389,40969
2026-04-16T18:05:00+00:00,454.469,454.869,452.12,452.549,69193
2026-04-16T18:10:00+00:00,452.669,453.569,451.96,453.469,41648
2026-04-16T18:15:00+00:00,453.474,453.579,452.609,453.309,30423
2026-04-16T18:20:00+00:00,453.249,453.509,451.92,452.27,66774
2026-04-16T18:25:00+00:00,452.41,452.569,451.45,452.429,43492
2026-04-16T18:30:00+00:00,452.345,453.629,452.345,453.029,38273
2026-04-16T18:35:00+00:00,452.899,453.789,452.809,453.289,35288
2026-04-16T18:40:00+00:00,453.249,453.939,453.169,453.809,32229
2026-04-16T18:45:00+00:00,453.909,454.489,453.599,453.889,30407
2026-04-16T18:50:00+00:00,453.539,453.999,453.134,453.809,24133
2026-04-16T18:55:00+00:00,453.529,454.109,453.049,453.999,30810
2026-04-16T19:00:00+00:00,454.209,456.109,454.169,455.549,67371
2026-04-16T19:05:00+00:00,455.609,456.409,455.479,455.594,36674
2026-04-16T19:10:00+00:00,455.709,456.409,455.679,456.339,38432
2026-04-16T19:15:00+00:00,456.379,457.508,456.379,456.849,56390
2026-04-16T19:20:00+00:00,456.859,457.309,456.289,456.359,33810
2026-04-16T19:25:00+00:00,456.429,456.579,455.889,456.309,28992
2026-04-16T19:30:00+00:00,456.409,457.558,456.209,457.209,37614
2026-04-16T19:35:00+00:00,457.259,457.808,456.859,457.069,43431
2026-04-16T19:40:00+00:00,456.909,456.909,455.609,455.609,45470
2026-04-16T19:45:00+00:00,455.459,455.759,454.839,455.489,45415
2026-04-16T19:50:00+00:00,455.289,456.339,455.189,455.699,85449
2026-04-16T19:55:00+00:00,455.889,457.349,455.209,457.319,425461
2026-04-17T13:30:00+00:00,466.687,469.906,462.557,467.147,899109
2026-04-17T13:35:00+00:00,467.407,470.776,467.407,468.316,253214
2026-04-17T13:40:00+00:00,468.136,468.396,463.707,465.907,199936
2026-04-17T13:45:00+00:00,465.767,465.767,461.588,463.507,156591
2026-04-17T13:50:00+00:00,463.397,465.247,459.018,459.268,176293
2026-04-17T13:55:00+00:00,459.008,459.418,454.549,458.318,273508
2026-04-17T14:00:00+00:00,458.578,459.208,456.369,457.059,127052
2026-04-17T14:05:00+00:00,457.099,461.708,456.709,460.918,132113
2026-04-17T14:10:00+00:00,460.768,462.408,459.178,459.468,108310
2026-04-17T14:15:00+00:00,459.118,459.118,457.409,457.538,90811
2026-04-17T14:20:00+00:00,457.418,458.548,455.459,458.378,129921
2026-04-17T14:25:00+00:00,458.408,459.298,457.409,457.548,61902
2026-04-17T14:30:00+00:00,457.618,458.648,457.119,458.318,50337
2026-04-17T14:35:00+00:00,458.148,458.208,456.849,458.208,63515
2026-04-17T14:40:00+00:00,458.268,459.948,458.268,459.808,82302
2026-04-17T14:45:00+00:00,459.588,462.048,459.108,461.308,89312
2026-04-17T14:50:00+00:00,461.208,461.238,458.408,459.128,68676
2026-04-17T14:55:00+00:00,459.028,459.178,457.129,458.638,83713
2026-04-17T15:00:00+00:00,458.338,460.158,457.608,459.298,84478
2026-04-17T15:05:00+00:00,459.238,460.248,459.048,459.998,51485
2026-04-17T15:10:00+00:00,460.068,460.068,458.188,458.858,36240
2026-04-17T15:15:00+00:00,458.758,460.708,458.758,459.628,55637
2026-04-17T15:20:00+00:00,459.448,459.908,458.098,458.608,54005
2026-04-17T15:25:00+00:00,458.898,459.208,458.468,459.208,44120
2026-04-17T15:30:00+00:00,459.148,460.248,458.938,459.988,51708
