ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,456.559,457.968,456.559,457.898,9593
2026-04-15T08:05:00+00:00,457.898,457.908,457.109,457.109,3084
2026-04-15T08:10:00+00:00,457.109,457.109,456.799,456.969,2325
2026-04-15T08:15:00+00:00,456.909,457.149,456.759,456.959,3072
2026-04-15T08:20:00+00:00,456.939,456.939,456.839,456.839,2069
2026-04-15T08:25:00+00:00,457.359,457.708,457.359,457.359,3055
2026-04-15T08:30:00+00:00,457.199,457.199,456.909,456.909,2327
2026-04-15T08:35:00+00:00,456.909,457.059,456.899,456.899,1705
2026-04-15T08:40:00+00:00,457.438,457.788,457.438,457.568,2911
2026-04-15T08:45:00+00:00,457.568,457.908,457.079,457.908,2258
2026-04-15T08:50:00+00:00,457.608,457.608,457.568,457.608,1051
2026-04-15T08:55:00+00:00,457.708,458.108,457.708,457.908,2764
2026-04-15T09:00:00+00:00,457.908,457.908,456.649,456.649,1871
2026-04-15T09:05:00+00:00,456.649,456.649,456.649,456.649,640
2026-04-15T09:10:00+00:00,456.479,456.629,454.909,454.909,5223
2026-04-15T09:15:00+00:00,454.909,455.159,454.909,455.159,869
2026-04-15T09:20:00+00:00,455.159,455.909,455.159,455.869,2021
2026-04-15T09:25:00+00:00,455.869,455.869,455.229,455.399,1204
2026-04-15T09:30:00+00:00,455.909,455.909,455.909,455.909,881
2026-04-15T09:35:00+00:00,455.909,455.909,454.709,454.709,5893
2026-04-15T09:40:00+00:00,454.909,454.909,454.119,454.119,1873
2026-04-15T09:45:00+00:00,454.119,454.259,453.949,454.139,1913
2026-04-15T09:50:00+00:00,454.139,454.669,454.009,454.409,4469
2026-04-15T09:55:00+00:00,454.409,454.409,454.409,454.409,1065
2026-04-15T10:00:00+00:00,454.349,454.909,454.349,454.909,1370
2026-04-15T10:05:00+00:00,454.909,455.799,454.909,455.709,1255
2026-04-15T10:10:00+00:00,455.709,455.809,455.709,455.809,1343
2026-04-15T10:15:00+00:00,455.809,455.809,454.309,454.309,2659
2026-04-15T10:20:00+00:00,454.309,454.309,454.149,454.149,2103
2026-04-15T10:25:00+00:00,454.109,454.109,452.38,452.41,14316
2026-04-15T10:30:00+00:00,452.19,452.19,450.83,450.91,6572
2026-04-15T10:35:00+00:00,450.91,452.679,450.91,452.679,9954
2026-04-15T10:40:00+00:00,452.799,453.909,452.679,453.249,4802
2026-04-15T10:45:00+00:00,453.089,453.469,453.089,453.189,2718
2026-04-15T10:50:00+00:00,453.189,453.419,453.189,453.409,1200
2026-04-15T10:55:00+00:00,453.219,454.259,452.709,454.259,7046
2026-04-15T11:00:00+00:00,454.249,454.409,452.909,453.399,24517
2026-04-15T11:05:00+00:00,453.119,453.399,452.909,453.359,4126
2026-04-15T11:10:00+00:00,453.549,454.479,453.549,454.479,6777
2026-04-15T11:15:00+00:00,454.319,454.409,453.659,453.659,4872
2026-04-15T11:20:00+00:00,453.479,454.149,453.319,454.149,3412
2026-04-15T11:25:00+00:00,454.319,454.659,454.059,454.059,4321
2026-04-15T11:30:00+00:00,454.089,454.689,454.089,454.509,6622
2026-04-15T11:35:00+00:00,454.499,455.479,454.499,455.409,9974
2026-04-15T11:40:00+00:00,455.309,455.309,454.699,454.749,8876
2026-04-15T11:45:00+00:00,454.769,456.809,454.689,456.809,15664
2026-04-15T11:50:00+00:00,456.789,456.909,455.889,456.409,8778
2026-04-15T11:55:00+00:00,456.409,456.529,455.929,456.059,4662
2026-04-15T12:00:00+00:00,455.909,456.219,454.909,454.909,20868
2026-04-15T12:05:00+00:00,454.909,455.109,454.409,455.109,6932
2026-04-15T12:10:00+00:00,454.909,454.909,453.709,453.869,9435
2026-04-15T12:15:00+00:00,453.809,454.259,453.569,454.259,7897
2026-04-15T12:20:00+00:00,454.009,454.909,453.629,454.209,8772
2026-04-15T12:25:00+00:00,454.209,454.209,453.549,453.909,3543
2026-04-15T12:30:00+00:00,453.909,455.109,453.609,454.909,7662
