ts,o,h,l,c,v
2026-04-15T13:30:00+00:00,36.234,36.413,35.503,35.588,31429
2026-04-15T13:35:00+00:00,35.617,35.986,35.617,35.946,3731
2026-04-15T13:40:00+00:00,36.075,36.324,36.075,36.314,1244
2026-04-15T13:45:00+00:00,36.314,36.324,36.314,36.324,311
2026-04-15T13:50:00+00:00,36.324,36.463,36.324,36.354,1080
2026-04-15T13:55:00+00:00,36.354,36.354,36.354,36.354,27
2026-04-15T14:00:00+00:00,36.354,36.374,36.294,36.294,1597
2026-04-15T14:05:00+00:00,36.284,36.284,36.284,36.284,191
2026-04-15T14:10:00+00:00,36.284,36.284,36.264,36.264,141
2026-04-15T14:15:00+00:00,36.299,36.299,36.185,36.185,1152
2026-04-15T14:20:00+00:00,35.966,35.966,35.886,35.886,2392
2026-04-15T14:25:00+00:00,35.921,36.145,35.921,36.125,834
2026-04-15T14:30:00+00:00,36.125,36.125,36.125,36.125,175
2026-04-15T14:35:00+00:00,36.125,36.125,36.115,36.115,750
2026-04-15T14:40:00+00:00,36.105,36.105,36.105,36.105,195
2026-04-15T14:45:00+00:00,35.947,35.947,35.947,35.947,353
2026-04-15T14:50:00+00:00,35.947,35.995,35.936,35.995,1185
2026-04-15T14:55:00+00:00,35.995,35.995,35.995,35.995,35
2026-04-15T15:00:00+00:00,35.995,35.995,35.995,35.995,0
2026-04-15T15:05:00+00:00,35.995,36.09,35.995,36.09,200
2026-04-15T15:10:00+00:00,36.09,36.09,36.09,36.09,50
2026-04-15T15:15:00+00:00,36.085,36.115,36.085,36.115,1700
2026-04-15T15:20:00+00:00,36.115,36.115,36.115,36.115,0
2026-04-15T15:25:00+00:00,36.115,36.135,36.045,36.045,651
2026-04-15T15:30:00+00:00,36.045,36.045,36.045,36.045,36
2026-04-15T15:35:00+00:00,36.045,36.085,36.045,36.065,810
2026-04-15T15:40:00+00:00,36.065,36.194,36.065,36.185,1002
2026-04-15T15:45:00+00:00,36.185,36.185,36.185,36.185,20
2026-04-15T15:50:00+00:00,36.165,36.165,36.135,36.135,400
2026-04-15T15:55:00+00:00,36.135,36.155,36.135,36.155,100
2026-04-15T16:00:00+00:00,36.155,36.244,36.155,36.244,601
2026-04-15T16:05:00+00:00,36.244,36.244,36.244,36.244,0
2026-04-15T16:10:00+00:00,36.244,36.244,36.244,36.244,0
2026-04-15T16:15:00+00:00,36.244,36.264,36.244,36.264,302
2026-04-15T16:20:00+00:00,36.264,36.314,36.264,36.314,175
2026-04-15T16:25:00+00:00,36.314,36.314,36.314,36.314,0
2026-04-15T16:30:00+00:00,36.314,36.314,36.314,36.314,32
2026-04-15T16:35:00+00:00,36.314,36.314,36.314,36.314,104
2026-04-15T16:40:00+00:00,36.314,36.418,36.314,36.413,351
2026-04-15T16:45:00+00:00,36.413,36.413,36.413,36.413,0
2026-04-15T16:50:00+00:00,36.413,36.573,36.413,36.573,275
2026-04-15T16:55:00+00:00,36.573,36.612,36.523,36.523,1363
2026-04-15T17:00:00+00:00,36.523,36.523,36.523,36.523,1
2026-04-15T17:05:00+00:00,36.523,36.523,36.523,36.523,50
