ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,36.403,36.403,36.403,36.403,0
2026-04-15T08:05:00+00:00,36.403,36.403,36.403,36.403,0
2026-04-15T08:10:00+00:00,36.165,36.165,36.165,36.165,55
2026-04-15T08:15:00+00:00,36.165,36.165,36.165,36.165,20
2026-04-15T08:20:00+00:00,36.165,36.165,36.165,36.165,0
2026-04-15T08:25:00+00:00,36.165,36.165,36.165,36.165,0
2026-04-15T08:30:00+00:00,36.165,36.165,36.165,36.165,10
2026-04-15T08:35:00+00:00,36.165,36.165,36.165,36.165,0
2026-04-15T08:40:00+00:00,36.165,36.165,36.165,36.165,0
2026-04-15T08:45:00+00:00,36.165,36.165,36.165,36.165,0
2026-04-15T08:50:00+00:00,36.165,36.165,36.165,36.165,0
2026-04-15T08:55:00+00:00,36.165,36.165,36.165,36.165,0
2026-04-15T09:00:00+00:00,36.165,36.165,36.165,36.165,0
2026-04-15T09:05:00+00:00,36.165,36.165,36.165,36.165,0
2026-04-15T09:10:00+00:00,36.165,36.165,36.165,36.165,0
2026-04-15T09:15:00+00:00,36.165,36.165,36.165,36.165,0
2026-04-15T09:20:00+00:00,36.165,36.165,36.165,36.165,0
2026-04-15T09:25:00+00:00,36.165,36.165,36.165,36.165,0
2026-04-15T09:30:00+00:00,36.165,36.165,36.165,36.165,0
2026-04-15T09:35:00+00:00,36.165,36.165,36.165,36.165,0
2026-04-15T09:40:00+00:00,36.165,36.165,36.165,36.165,0
2026-04-15T09:45:00+00:00,36.165,36.165,36.165,36.165,0
2026-04-15T09:50:00+00:00,36.165,36.165,36.165,36.165,0
2026-04-15T09:55:00+00:00,36.165,36.165,36.165,36.165,0
2026-04-15T10:00:00+00:00,36.165,36.165,36.165,36.165,0
2026-04-15T10:05:00+00:00,36.165,36.165,36.165,36.165,0
2026-04-15T10:10:00+00:00,36.165,36.165,36.165,36.165,0
2026-04-15T10:15:00+00:00,36.165,36.165,36.165,36.165,61
2026-04-15T10:20:00+00:00,36.165,36.165,36.165,36.165,5
2026-04-15T10:25:00+00:00,36.165,36.185,36.165,36.185,649
2026-04-15T10:30:00+00:00,36.185,36.185,36.185,36.185,0
2026-04-15T10:35:00+00:00,36.185,36.185,36.185,36.185,0
2026-04-15T10:40:00+00:00,36.185,36.185,36.185,36.185,0
2026-04-15T10:45:00+00:00,36.185,36.185,36.185,36.185,0
2026-04-15T10:50:00+00:00,36.185,36.185,36.185,36.185,0
2026-04-15T10:55:00+00:00,36.185,36.185,36.185,36.185,0
2026-04-15T11:00:00+00:00,36.413,36.413,36.413,36.413,150
2026-04-15T11:05:00+00:00,36.453,36.453,36.453,36.453,100
2026-04-15T11:10:00+00:00,36.453,36.453,36.453,36.453,0
2026-04-15T11:15:00+00:00,36.453,36.453,36.453,36.453,0
2026-04-15T11:20:00+00:00,36.453,36.453,36.453,36.453,0
2026-04-15T11:25:00+00:00,36.453,36.453,36.453,36.453,0
2026-04-15T11:30:00+00:00,36.453,36.453,36.453,36.453,0
2026-04-15T11:35:00+00:00,36.453,36.453,36.453,36.453,0
2026-04-15T11:40:00+00:00,36.453,36.453,36.453,36.453,50
2026-04-15T11:45:00+00:00,36.453,36.453,36.453,36.453,11
2026-04-15T11:50:00+00:00,36.453,36.453,36.453,36.453,0
2026-04-15T11:55:00+00:00,36.453,36.453,36.364,36.364,184
2026-04-15T12:00:00+00:00,36.364,36.364,36.364,36.364,0
2026-04-15T12:05:00+00:00,36.364,36.364,36.364,36.364,0
2026-04-15T12:10:00+00:00,36.364,36.364,36.364,36.364,0
2026-04-15T12:15:00+00:00,36.364,36.364,36.364,36.364,0
2026-04-15T12:20:00+00:00,36.364,36.364,36.364,36.364,0
2026-04-15T12:25:00+00:00,36.364,36.364,36.364,36.364,12
