ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,10.354,10.354,10.344,10.344,15601
2026-04-15T08:05:00+00:00,10.344,10.344,10.334,10.334,600
2026-04-15T08:10:00+00:00,10.334,10.334,10.334,10.334,100
2026-04-15T08:15:00+00:00,10.334,10.334,10.314,10.314,6915
2026-04-15T08:20:00+00:00,10.314,10.324,10.314,10.314,9263
2026-04-15T08:25:00+00:00,10.324,10.324,10.314,10.314,18374
2026-04-15T08:30:00+00:00,10.314,10.314,10.314,10.314,4093
2026-04-15T08:35:00+00:00,10.314,10.314,10.314,10.314,50
2026-04-15T08:40:00+00:00,10.314,10.334,10.314,10.334,989
2026-04-15T08:45:00+00:00,10.334,10.334,10.334,10.334,0
2026-04-15T08:50:00+00:00,10.324,10.324,10.324,10.324,600
2026-04-15T08:55:00+00:00,10.324,10.324,10.324,10.324,71
2026-04-15T09:00:00+00:00,10.324,10.414,10.225,10.265,86992
2026-04-15T09:05:00+00:00,10.255,10.255,10.255,10.255,361
2026-04-15T09:10:00+00:00,10.265,10.275,10.245,10.275,14342
2026-04-15T09:15:00+00:00,10.285,10.285,10.265,10.265,19741
2026-04-15T09:20:00+00:00,10.295,10.304,10.295,10.304,1210
2026-04-15T09:25:00+00:00,10.265,10.265,10.255,10.265,7221
2026-04-15T09:30:00+00:00,10.295,10.295,10.285,10.295,905
2026-04-15T09:35:00+00:00,10.295,10.295,10.275,10.285,5302
2026-04-15T09:40:00+00:00,10.295,10.295,10.295,10.295,200
2026-04-15T09:45:00+00:00,10.285,10.285,10.285,10.285,220
2026-04-15T09:50:00+00:00,10.285,10.285,10.275,10.285,6111
2026-04-15T09:55:00+00:00,10.285,10.295,10.275,10.295,6326
2026-04-15T10:00:00+00:00,10.304,10.304,10.304,10.304,1700
2026-04-15T10:05:00+00:00,10.304,10.304,10.295,10.295,415
2026-04-15T10:10:00+00:00,10.295,10.295,10.295,10.295,31
2026-04-15T10:15:00+00:00,10.295,10.295,10.295,10.295,160
2026-04-15T10:20:00+00:00,10.295,10.295,10.265,10.265,7901
2026-04-15T10:25:00+00:00,10.265,10.265,10.265,10.265,592
2026-04-15T10:30:00+00:00,10.265,10.265,10.235,10.235,8991
2026-04-15T10:35:00+00:00,10.235,10.235,10.235,10.235,169
2026-04-15T10:40:00+00:00,10.235,10.255,10.235,10.255,140
2026-04-15T10:45:00+00:00,10.265,10.265,10.255,10.255,320
2026-04-15T10:50:00+00:00,10.255,10.255,10.255,10.255,3508
2026-04-15T10:55:00+00:00,10.255,10.255,10.255,10.255,111
2026-04-15T11:00:00+00:00,10.255,10.275,10.255,10.275,234
2026-04-15T11:05:00+00:00,10.275,10.275,10.275,10.275,40
2026-04-15T11:10:00+00:00,10.265,10.265,10.265,10.265,1957
2026-04-15T11:15:00+00:00,10.265,10.265,10.265,10.265,170
2026-04-15T11:20:00+00:00,10.275,10.275,10.265,10.265,4940
