ts,o,h,l,c,v
2026-04-15T13:30:00+00:00,196.304,198.432,196.034,197.782,3063933
2026-04-15T13:35:00+00:00,197.787,198.352,197.113,197.613,1154145
2026-04-15T13:40:00+00:00,197.608,197.782,196.524,196.664,865253
2026-04-15T13:45:00+00:00,196.654,197.872,196.584,197.832,599891
2026-04-15T13:50:00+00:00,197.842,198.252,197.623,197.663,803861
2026-04-15T13:55:00+00:00,197.668,198.412,197.443,198.302,605434
2026-04-15T14:00:00+00:00,198.312,198.556,197.992,198.382,565687
2026-04-15T14:05:00+00:00,198.372,198.531,198.032,198.462,448921
2026-04-15T14:10:00+00:00,198.472,198.681,198.282,198.641,467110
2026-04-15T14:15:00+00:00,198.641,198.841,198.312,198.337,684902
2026-04-15T14:20:00+00:00,198.332,199.091,198.317,199.001,530225
2026-04-15T14:25:00+00:00,199.001,199.341,198.891,199.001,526162
2026-04-15T14:30:00+00:00,199.021,199.48,198.861,199.37,555106
2026-04-15T14:35:00+00:00,199.37,199.63,198.921,198.991,527772
2026-04-15T14:40:00+00:00,199.011,199.211,198.841,198.981,298105
2026-04-15T14:45:00+00:00,199.001,199.161,198.791,199.136,301249
2026-04-15T14:50:00+00:00,199.136,199.331,199.031,199.191,245026
2026-04-15T14:55:00+00:00,199.161,199.4,199.071,199.121,248656
2026-04-15T15:00:00+00:00,199.136,199.53,199.091,199.37,337875
2026-04-15T15:05:00+00:00,199.37,199.375,199.151,199.241,219290
2026-04-15T15:10:00+00:00,199.231,199.62,199.206,199.48,333462
2026-04-15T15:15:00+00:00,199.485,199.55,199.341,199.44,229390
2026-04-15T15:20:00+00:00,199.45,199.61,199.35,199.545,227798
2026-04-15T15:25:00+00:00,199.54,199.7,199.48,199.575,381015
2026-04-15T15:30:00+00:00,199.555,199.575,199.206,199.316,329100
2026-04-15T15:35:00+00:00,199.311,199.45,199.191,199.281,242195
2026-04-15T15:40:00+00:00,199.291,199.735,199.281,199.63,342534
2026-04-15T15:45:00+00:00,199.635,200.16,199.44,199.69,2326917
2026-04-15T15:50:00+00:00,199.69,199.72,199.331,199.56,404816
2026-04-15T15:55:00+00:00,199.57,199.62,199.241,199.445,250997
2026-04-15T16:00:00+00:00,199.44,199.44,199.116,199.161,263278
2026-04-15T16:05:00+00:00,199.151,199.505,199.091,199.45,201287
2026-04-15T16:10:00+00:00,199.44,199.47,199.261,199.281,143948
2026-04-15T16:15:00+00:00,199.281,199.281,198.891,199.251,279670
2026-04-15T16:20:00+00:00,199.261,199.52,199.261,199.331,236708
2026-04-15T16:25:00+00:00,199.331,199.331,198.851,198.881,278597
2026-04-15T16:30:00+00:00,198.886,198.901,198.042,198.212,424287
2026-04-15T16:35:00+00:00,198.242,198.442,197.982,197.982,213407
2026-04-15T16:40:00+00:00,197.972,197.982,197.358,197.543,458987
2026-04-15T16:45:00+00:00,197.553,197.563,196.958,197.253,501810
2026-04-15T16:50:00+00:00,197.263,197.423,196.394,196.404,531132
2026-04-15T16:55:00+00:00,196.444,196.933,195.905,196.824,516446
2026-04-15T17:00:00+00:00,196.824,196.983,196.664,196.863,282156
2026-04-15T17:05:00+00:00,196.853,197.323,196.844,197.093,304135
2026-04-15T17:10:00+00:00,197.093,197.123,196.883,197.063,232347
2026-04-15T17:15:00+00:00,197.043,197.243,196.963,196.988,207228
2026-04-15T17:20:00+00:00,196.988,197.003,196.774,196.953,218169
2026-04-15T17:25:00+00:00,196.963,197.008,196.694,196.724,204376
2026-04-15T17:30:00+00:00,196.724,197.273,196.724,197.243,170535
2026-04-15T17:35:00+00:00,197.233,197.473,197.153,197.183,163653
2026-04-15T17:40:00+00:00,197.168,197.168,196.544,196.559,197000
2026-04-15T17:45:00+00:00,196.584,196.744,196.549,196.674,143835
2026-04-15T17:50:00+00:00,196.684,196.704,196.379,196.379,163762
2026-04-15T17:55:00+00:00,196.384,196.444,195.945,195.995,239468
2026-04-15T18:00:00+00:00,195.985,196.474,195.505,196.124,437481
2026-04-15T18:05:00+00:00,196.104,196.404,195.915,196.294,246202
2026-04-15T18:10:00+00:00,196.294,196.734,196.144,196.604,205421
2026-04-15T18:15:00+00:00,196.604,196.784,196.314,196.554,177737
2026-04-15T18:20:00+00:00,196.564,196.684,196.404,196.654,111235
2026-04-15T18:25:00+00:00,196.674,196.893,196.524,196.714,174616
2026-04-15T18:30:00+00:00,196.724,197.093,196.724,197.073,180685
2026-04-15T18:35:00+00:00,197.083,197.273,197.053,197.118,296139
2026-04-15T18:40:00+00:00,197.113,197.133,196.943,197.073,156802
2026-04-15T18:45:00+00:00,197.073,197.148,196.973,197.143,123879
2026-04-15T18:50:00+00:00,197.153,197.278,196.993,197.153,185033
2026-04-15T18:55:00+00:00,197.153,197.228,197.068,197.078,197265
2026-04-15T19:00:00+00:00,197.078,197.148,196.923,197.128,208058
2026-04-15T19:05:00+00:00,197.128,197.543,197.128,197.393,245388
2026-04-15T19:10:00+00:00,197.388,197.543,197.283,197.323,180284
2026-04-15T19:15:00+00:00,197.323,197.692,197.283,197.613,215526
2026-04-15T19:20:00+00:00,197.618,197.897,197.563,197.762,259443
2026-04-15T19:25:00+00:00,197.772,198.032,197.772,198.002,212174
2026-04-15T19:30:00+00:00,198.002,198.052,197.802,198.022,255447
2026-04-15T19:35:00+00:00,198.027,198.262,198.027,198.187,266310
2026-04-15T19:40:00+00:00,198.182,198.182,197.922,197.992,293669
2026-04-15T19:45:00+00:00,197.982,198.202,197.792,197.982,264519
2026-04-15T19:50:00+00:00,197.992,198.581,197.992,198.482,695549
2026-04-15T19:55:00+00:00,198.492,198.931,198.452,198.631,2979182
2026-04-16T13:30:00+00:00,197.518,197.563,195.58,197.163,2277593
2026-04-16T13:35:00+00:00,197.143,197.343,196.494,196.694,561589
2026-04-16T13:40:00+00:00,196.724,197.303,196.104,196.883,566980
2026-04-16T13:45:00+00:00,196.893,197.133,196.704,197.023,456594
2026-04-16T13:50:00+00:00,197.023,197.023,195.765,195.845,828720
2026-04-16T13:55:00+00:00,195.835,196.684,195.785,196.494,418845
2026-04-16T14:00:00+00:00,196.494,197.213,196.174,197.123,513454
2026-04-16T14:05:00+00:00,197.123,197.433,196.903,197.233,342652
2026-04-16T14:10:00+00:00,197.243,197.503,197.008,197.143,354717
2026-04-16T14:15:00+00:00,197.143,197.213,196.634,197.108,277677
2026-04-16T14:20:00+00:00,197.103,197.313,196.794,197.123,268894
2026-04-16T14:25:00+00:00,197.103,197.513,197.083,197.133,281834
2026-04-16T14:30:00+00:00,197.133,197.523,197.078,197.483,189828
2026-04-16T14:35:00+00:00,197.463,197.772,197.323,197.573,311642
2026-04-16T14:40:00+00:00,197.563,197.633,197.243,197.603,246919
2026-04-16T14:45:00+00:00,197.608,198.122,197.598,198.112,335648
2026-04-16T14:50:00+00:00,198.112,198.307,197.862,198.282,251107
2026-04-16T14:55:00+00:00,198.282,198.507,198.032,198.442,265301
2026-04-16T15:00:00+00:00,198.432,199.111,198.412,199.051,475022
2026-04-16T15:05:00+00:00,199.041,199.385,198.881,199.36,351120
2026-04-16T15:10:00+00:00,199.36,199.6,199.021,199.091,400890
2026-04-16T15:15:00+00:00,199.091,199.36,198.931,198.971,308731
2026-04-16T15:20:00+00:00,198.981,199.375,198.981,199.331,210966
2026-04-16T15:25:00+00:00,199.326,199.4,198.761,198.781,295064
2026-04-16T15:30:00+00:00,198.781,199.031,198.721,198.981,256838
2026-04-16T15:35:00+00:00,198.991,199.39,198.946,199.101,276699
2026-04-16T15:40:00+00:00,199.091,199.121,198.621,198.881,268692
2026-04-16T15:45:00+00:00,198.871,198.881,198.172,198.262,270150
2026-04-16T15:50:00+00:00,198.272,198.646,198.237,198.492,188975
2026-04-16T15:55:00+00:00,198.502,198.811,198.492,198.721,222848
2026-04-16T16:00:00+00:00,198.751,198.861,198.382,198.521,195788
2026-04-16T16:05:00+00:00,198.521,198.691,198.412,198.641,127030
2026-04-16T16:10:00+00:00,198.641,198.806,198.551,198.721,138358
2026-04-16T16:15:00+00:00,198.751,198.971,198.751,198.931,139610
2026-04-16T16:20:00+00:00,198.941,198.946,198.457,198.561,175593
2026-04-16T16:25:00+00:00,198.566,198.701,198.352,198.372,137155
2026-04-16T16:30:00+00:00,198.377,198.407,197.513,197.902,217760
2026-04-16T16:35:00+00:00,197.892,198.472,197.717,198.407,253169
2026-04-16T16:40:00+00:00,198.382,198.521,198.102,198.302,131295
2026-04-16T16:45:00+00:00,198.302,198.601,198.302,198.412,124384
2026-04-16T16:50:00+00:00,198.422,198.521,198.162,198.192,108202
2026-04-16T16:55:00+00:00,198.212,198.347,198.097,198.112,88982
2026-04-16T17:00:00+00:00,198.132,198.212,198.022,198.062,102274
2026-04-16T17:05:00+00:00,198.072,198.112,197.682,197.972,169398
2026-04-16T17:10:00+00:00,197.962,198.112,197.573,197.682,199566
2026-04-16T17:15:00+00:00,197.663,197.922,197.568,197.882,113532
2026-04-16T17:20:00+00:00,197.892,198.177,197.782,198.172,155457
2026-04-16T17:25:00+00:00,198.182,198.307,198.142,198.172,123311
2026-04-16T17:30:00+00:00,198.182,198.302,198.032,198.042,146571
2026-04-16T17:35:00+00:00,198.052,198.132,197.912,198.102,76737
2026-04-16T17:40:00+00:00,198.102,198.452,198.102,198.452,117525
2026-04-16T17:45:00+00:00,198.462,198.482,198.322,198.472,86409
2026-04-16T17:50:00+00:00,198.462,198.462,198.222,198.262,78525
2026-04-16T17:55:00+00:00,198.242,198.242,197.702,197.962,219168
2026-04-16T18:00:00+00:00,197.967,198.162,197.852,197.852,238417
2026-04-16T18:05:00+00:00,197.872,197.952,197.243,197.403,222841
2026-04-16T18:10:00+00:00,197.403,197.782,197.288,197.692,204644
2026-04-16T18:15:00+00:00,197.712,197.802,197.573,197.727,151621
2026-04-16T18:20:00+00:00,197.722,197.802,197.363,197.443,145458
2026-04-16T18:25:00+00:00,197.453,197.533,197.063,197.253,234806
2026-04-16T18:30:00+00:00,197.253,197.673,197.248,197.583,194468
2026-04-16T18:35:00+00:00,197.568,197.972,197.563,197.842,184957
2026-04-16T18:40:00+00:00,197.842,198.022,197.832,197.992,148284
2026-04-16T18:45:00+00:00,197.987,198.152,197.922,197.962,152055
2026-04-16T18:50:00+00:00,197.962,198.147,197.822,198.027,141320
2026-04-16T18:55:00+00:00,198.027,198.052,197.737,197.882,165294
2026-04-16T19:00:00+00:00,197.882,198.117,197.862,198.072,162842
2026-04-16T19:05:00+00:00,198.072,198.102,197.837,197.862,192063
2026-04-16T19:10:00+00:00,197.862,198.007,197.792,197.997,140345
2026-04-16T19:15:00+00:00,198.002,198.102,197.947,198.027,236710
2026-04-16T19:20:00+00:00,198.032,198.112,197.822,197.932,163776
2026-04-16T19:25:00+00:00,197.962,198.072,197.862,197.882,145045
2026-04-16T19:30:00+00:00,197.882,198.212,197.862,198.062,253250
2026-04-16T19:35:00+00:00,198.062,198.362,198.032,198.257,165855
2026-04-16T19:40:00+00:00,198.262,198.332,198.042,198.052,217292
2026-04-16T19:45:00+00:00,198.042,198.212,197.937,198.147,212239
2026-04-16T19:50:00+00:00,198.152,198.541,197.872,197.992,637884
2026-04-16T19:55:00+00:00,197.992,198.252,197.882,198.002,1837424
2026-04-17T13:30:00+00:00,199.64,200.649,199.031,199.6,8352319
2026-04-17T13:35:00+00:00,199.6,200.449,199.241,200.349,895419
2026-04-17T13:40:00+00:00,200.359,200.439,199.82,200.219,646802
2026-04-17T13:45:00+00:00,200.229,200.849,199.87,200.769,1209294
2026-04-17T13:50:00+00:00,200.809,201.158,200.669,200.939,672617
2026-04-17T13:55:00+00:00,200.949,200.989,200.219,200.909,479912
2026-04-17T14:00:00+00:00,200.939,201.158,200.829,201.018,502497
2026-04-17T14:05:00+00:00,201.038,201.188,200.779,200.789,569461
2026-04-17T14:10:00+00:00,200.789,201.438,200.649,201.248,656775
2026-04-17T14:15:00+00:00,201.208,201.218,200.669,200.809,343299
2026-04-17T14:20:00+00:00,200.814,200.814,199.78,199.97,549383
2026-04-17T14:25:00+00:00,199.97,200.189,199.56,200.13,656236
2026-04-17T14:30:00+00:00,200.14,200.484,200.11,200.389,458361
2026-04-17T14:35:00+00:00,200.379,200.484,200.0,200.469,290438
2026-04-17T14:40:00+00:00,200.469,200.659,200.314,200.389,281476
2026-04-17T14:45:00+00:00,200.399,200.609,200.289,200.549,215161
2026-04-17T14:50:00+00:00,200.549,200.629,200.05,200.12,313088
2026-04-17T14:55:00+00:00,200.11,200.429,199.79,200.075,335526
2026-04-17T15:00:00+00:00,200.065,200.379,199.89,200.279,337212
2026-04-17T15:05:00+00:00,200.289,200.679,200.249,200.639,265876
2026-04-17T15:10:00+00:00,200.629,200.749,200.344,200.479,293945
2026-04-17T15:15:00+00:00,200.489,200.629,200.095,200.279,207444
2026-04-17T15:20:00+00:00,200.299,200.549,200.14,200.429,200965
2026-04-17T15:25:00+00:00,200.419,200.604,200.334,200.399,190259
2026-04-17T15:30:00+00:00,200.394,200.659,200.389,200.624,147829
2026-04-17T15:35:00+00:00,200.634,200.969,200.559,200.969,466365
2026-04-17T15:40:00+00:00,200.969,201.058,200.649,200.669,255903
2026-04-17T15:45:00+00:00,200.694,201.108,200.689,200.999,233736
2026-04-17T15:50:00+00:00,200.999,201.158,200.734,200.769,264255
2026-04-17T15:55:00+00:00,200.769,200.809,200.12,200.16,239992
2026-04-17T16:00:00+00:00,200.17,200.489,199.99,200.389,232663
2026-04-17T16:05:00+00:00,200.389,200.709,200.389,200.649,224125
2026-04-17T16:10:00+00:00,200.639,200.849,200.609,200.659,260509
2026-04-17T16:15:00+00:00,200.659,200.819,200.329,200.359,173169
2026-04-17T16:20:00+00:00,200.344,200.499,200.344,200.459,166714
2026-04-17T16:25:00+00:00,200.449,200.579,200.389,200.449,127585
2026-04-17T16:30:00+00:00,200.459,200.509,200.15,200.239,176194
2026-04-17T16:35:00+00:00,200.239,200.469,200.194,200.389,186727
2026-04-17T16:40:00+00:00,200.399,200.414,200.239,200.349,125564
2026-04-17T16:45:00+00:00,200.349,200.629,200.304,200.494,195030
2026-04-17T16:50:00+00:00,200.499,200.539,200.414,200.464,88038
2026-04-17T16:55:00+00:00,200.469,200.559,200.394,200.499,149488
2026-04-17T17:00:00+00:00,200.499,200.609,200.349,200.419,183398
2026-04-17T17:05:00+00:00,200.449,200.454,199.93,200.14,238712
2026-04-17T17:10:00+00:00,200.12,200.184,199.89,200.06,163527
2026-04-17T17:15:00+00:00,200.09,200.239,199.9,199.92,143419
2026-04-17T17:20:00+00:00,199.92,200.01,199.241,199.46,437034
2026-04-17T17:25:00+00:00,199.49,199.69,199.36,199.64,215659
2026-04-17T17:30:00+00:00,199.62,199.88,199.61,199.78,165494
2026-04-17T17:35:00+00:00,199.76,200.03,199.67,199.93,143083
2026-04-17T17:40:00+00:00,199.94,200.1,199.935,200.08,128604
2026-04-17T17:45:00+00:00,200.08,200.374,200.075,200.199,185120
2026-04-17T17:50:00+00:00,200.189,200.289,200.115,200.15,122369
2026-04-17T17:55:00+00:00,200.15,200.299,200.06,200.075,90869
2026-04-17T18:00:00+00:00,200.075,200.319,200.075,200.179,133052
2026-04-17T18:05:00+00:00,200.179,200.279,200.06,200.14,115060
2026-04-17T18:10:00+00:00,200.16,200.309,200.13,200.219,114488
2026-04-17T18:15:00+00:00,200.229,200.539,200.179,200.429,180473
2026-04-17T18:20:00+00:00,200.419,200.509,200.14,200.449,147554
2026-04-17T18:25:00+00:00,200.419,200.644,200.309,200.409,254337
2026-04-17T18:30:00+00:00,200.419,200.559,200.354,200.549,113967
2026-04-17T18:35:00+00:00,200.549,200.689,200.489,200.609,103757
2026-04-17T18:40:00+00:00,200.599,200.714,200.539,200.709,134512
2026-04-17T18:45:00+00:00,200.699,200.749,200.559,200.589,144156
2026-04-17T18:50:00+00:00,200.589,200.589,200.309,200.479,181990
2026-04-17T18:55:00+00:00,200.469,200.749,200.459,200.619,190856
2026-04-17T19:00:00+00:00,200.629,200.719,200.599,200.679,117853
2026-04-17T19:05:00+00:00,200.679,200.679,200.499,200.619,137107
2026-04-17T19:10:00+00:00,200.629,200.714,200.504,200.659,174566
2026-04-17T19:15:00+00:00,200.649,201.128,200.649,201.038,450956
2026-04-17T19:20:00+00:00,201.048,201.208,201.033,201.118,172297
2026-04-17T19:25:00+00:00,201.118,201.238,201.018,201.028,211217
2026-04-17T19:30:00+00:00,201.038,201.153,200.984,201.048,183701
2026-04-17T19:35:00+00:00,201.038,201.108,200.879,201.078,199989
2026-04-17T19:40:00+00:00,201.088,201.213,200.969,201.148,276508
2026-04-17T19:45:00+00:00,201.138,201.228,201.023,201.208,188097
2026-04-17T19:50:00+00:00,201.228,201.358,201.088,201.228,671392
2026-04-17T19:55:00+00:00,201.248,201.458,201.178,201.408,1842113
2026-04-20T13:30:00+00:00,199.74,200.279,198.212,200.11,2840121
2026-04-20T13:35:00+00:00,200.1,200.209,199.141,199.341,810600
2026-04-20T13:40:00+00:00,199.341,199.66,199.151,199.66,479808
2026-04-20T13:45:00+00:00,199.645,199.75,199.211,199.35,379859
2026-04-20T13:50:00+00:00,199.35,200.07,199.111,199.73,510458
2026-04-20T13:55:00+00:00,199.72,200.189,199.615,200.02,460139
2026-04-20T14:00:00+00:00,200.005,200.09,199.345,199.46,355190
2026-04-20T14:05:00+00:00,199.46,199.74,199.36,199.59,238467
2026-04-20T14:10:00+00:00,199.6,199.77,199.161,199.301,390867
2026-04-20T14:15:00+00:00,199.345,199.345,198.661,198.861,431057
2026-04-20T14:20:00+00:00,198.841,199.191,198.741,199.191,225448
2026-04-20T14:25:00+00:00,199.171,199.331,198.876,198.891,254361
2026-04-20T14:30:00+00:00,198.871,198.981,198.591,198.866,277673
2026-04-20T14:35:00+00:00,198.861,199.171,198.811,199.066,225871
2026-04-20T14:40:00+00:00,199.111,199.126,198.631,198.851,231402
2026-04-20T14:45:00+00:00,198.831,199.171,198.721,199.101,224878
2026-04-20T14:50:00+00:00,199.111,199.131,198.277,198.751,517474
2026-04-20T14:55:00+00:00,198.751,198.766,198.142,198.302,307143
2026-04-20T15:00:00+00:00,198.312,198.611,198.027,198.132,302204
2026-04-20T15:05:00+00:00,198.132,198.242,197.603,198.142,460571
2026-04-20T15:10:00+00:00,198.162,198.497,198.062,198.192,300601
2026-04-20T15:15:00+00:00,198.192,198.422,198.092,198.362,169060
2026-04-20T15:20:00+00:00,198.362,198.841,198.302,198.751,326746
2026-04-20T15:25:00+00:00,198.741,199.101,198.651,199.031,348155
2026-04-20T15:30:00+00:00,199.021,199.031,198.556,198.651,216888
2026-04-20T15:35:00+00:00,198.651,198.891,198.616,198.871,167315
2026-04-20T15:40:00+00:00,198.886,199.061,198.507,198.541,234263
2026-04-20T15:45:00+00:00,198.531,198.651,198.342,198.342,177520
2026-04-20T15:50:00+00:00,198.312,198.432,198.187,198.382,179077
2026-04-20T15:55:00+00:00,198.387,198.507,198.367,198.412,131984
2026-04-20T16:00:00+00:00,198.412,198.591,198.342,198.472,138642
2026-04-20T16:05:00+00:00,198.472,198.881,198.462,198.761,201534
2026-04-20T16:10:00+00:00,198.811,199.001,198.811,198.886,91246
2026-04-20T16:15:00+00:00,198.891,199.071,198.651,198.991,131624
