ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,195.385,195.955,195.385,195.955,8444
2026-04-15T08:05:00+00:00,195.895,195.895,195.665,195.665,11210
2026-04-15T08:10:00+00:00,195.665,195.735,195.625,195.725,1249
2026-04-15T08:15:00+00:00,195.745,195.745,195.565,195.595,4903
2026-04-15T08:20:00+00:00,195.595,195.705,195.565,195.635,1536
2026-04-15T08:25:00+00:00,195.665,195.915,195.665,195.915,3258
2026-04-15T08:30:00+00:00,195.885,196.005,195.765,195.765,10288
2026-04-15T08:35:00+00:00,195.855,195.915,195.765,195.875,7539
2026-04-15T08:40:00+00:00,195.905,195.975,195.905,195.975,3845
2026-04-15T08:45:00+00:00,195.875,195.875,195.755,195.805,4496
2026-04-15T08:50:00+00:00,195.805,195.805,195.745,195.765,1518
2026-04-15T08:55:00+00:00,195.765,195.805,195.765,195.765,952
2026-04-15T09:00:00+00:00,195.765,195.775,195.565,195.585,6563
2026-04-15T09:05:00+00:00,195.565,195.565,195.455,195.515,3233
2026-04-15T09:10:00+00:00,195.545,195.605,195.505,195.505,3001
2026-04-15T09:15:00+00:00,195.525,195.525,195.465,195.465,2156
2026-04-15T09:20:00+00:00,195.495,195.495,195.465,195.475,2070
2026-04-15T09:25:00+00:00,195.465,195.465,195.146,195.195,8187
2026-04-15T09:30:00+00:00,195.195,195.215,194.986,195.036,9617
2026-04-15T09:35:00+00:00,194.986,194.986,194.816,194.826,10018
2026-04-15T09:40:00+00:00,194.826,194.996,194.806,194.806,3426
2026-04-15T09:45:00+00:00,194.776,194.796,194.676,194.686,5063
2026-04-15T09:50:00+00:00,194.676,194.746,194.676,194.746,1336
2026-04-15T09:55:00+00:00,194.776,194.926,194.776,194.856,6995
2026-04-15T10:00:00+00:00,194.766,194.946,194.716,194.946,6128
2026-04-15T10:05:00+00:00,194.906,195.156,194.906,195.056,3134
2026-04-15T10:10:00+00:00,194.976,195.086,194.976,195.086,2319
2026-04-15T10:15:00+00:00,194.976,194.986,194.796,194.926,3984
2026-04-15T10:20:00+00:00,194.916,194.996,194.716,194.736,9542
2026-04-15T10:25:00+00:00,194.716,194.766,194.516,194.766,7417
2026-04-15T10:30:00+00:00,194.766,195.116,194.676,194.686,16635
2026-04-15T10:35:00+00:00,194.686,194.796,194.666,194.746,10606
2026-04-15T10:40:00+00:00,194.766,195.066,194.766,195.056,5905
2026-04-15T10:45:00+00:00,195.066,195.365,195.066,195.345,16538
2026-04-15T10:50:00+00:00,195.325,195.515,195.285,195.435,5314
2026-04-15T10:55:00+00:00,195.385,195.565,195.385,195.545,9455
2026-04-15T11:00:00+00:00,195.565,195.985,195.565,195.865,18252
2026-04-15T11:05:00+00:00,195.845,196.015,195.835,195.985,9434
2026-04-15T11:10:00+00:00,195.975,196.384,195.965,196.274,29128
2026-04-15T11:15:00+00:00,196.274,196.294,196.064,196.114,13959
2026-04-15T11:20:00+00:00,196.015,196.015,195.905,195.905,5889
2026-04-15T11:25:00+00:00,195.925,196.114,195.835,195.835,9562
2026-04-15T11:30:00+00:00,195.765,196.034,195.735,195.765,10245
2026-04-15T11:35:00+00:00,195.615,195.805,195.485,195.795,9294
2026-04-15T11:40:00+00:00,195.895,195.975,195.805,195.805,4716
2026-04-15T11:45:00+00:00,195.835,196.264,195.815,196.064,14529
2026-04-15T11:50:00+00:00,196.034,196.184,195.985,195.985,8413
2026-04-15T11:55:00+00:00,196.064,196.094,195.825,195.825,11309
2026-04-15T12:00:00+00:00,195.845,195.845,195.665,195.715,9623
2026-04-15T12:05:00+00:00,195.635,195.725,195.565,195.565,6206
2026-04-15T12:10:00+00:00,195.555,195.565,195.265,195.305,20647
2026-04-15T12:15:00+00:00,195.265,195.385,195.185,195.375,10641
2026-04-15T12:20:00+00:00,195.315,195.335,195.285,195.305,4570
2026-04-15T12:25:00+00:00,195.325,195.375,195.166,195.215,9903
2026-04-15T12:30:00+00:00,195.225,195.445,195.215,195.445,8042
2026-04-15T12:35:00+00:00,195.445,195.595,195.35,195.595,9943
2026-04-15T12:40:00+00:00,195.525,195.585,195.445,195.445,7859
2026-04-15T12:45:00+00:00,195.365,195.405,195.265,195.375,6363
2026-04-15T12:50:00+00:00,195.385,195.415,195.166,195.375,16521
2026-04-15T12:55:00+00:00,195.395,195.415,195.305,195.365,8074
2026-04-15T13:00:00+00:00,195.355,195.405,195.255,195.265,18740
2026-04-15T13:05:00+00:00,195.255,195.315,195.195,195.225,15212
2026-04-15T13:10:00+00:00,195.255,195.415,195.166,195.415,18994
2026-04-15T13:15:00+00:00,195.395,195.665,195.335,195.665,23344
2026-04-15T13:20:00+00:00,195.635,195.725,195.166,195.265,33857
2026-04-15T13:25:00+00:00,195.405,196.424,195.405,196.274,125988
2026-04-15T13:30:00+00:00,196.304,198.432,196.034,197.782,3063933
2026-04-15T13:35:00+00:00,197.787,198.352,197.113,197.613,1154145
2026-04-15T13:40:00+00:00,197.608,197.782,196.524,196.664,865253
2026-04-15T13:45:00+00:00,196.654,197.872,196.584,197.832,599891
2026-04-15T13:50:00+00:00,197.842,198.252,197.623,197.663,803861
2026-04-15T13:55:00+00:00,197.668,198.412,197.443,198.302,605434
2026-04-15T14:00:00+00:00,198.312,198.556,197.992,198.382,565687
2026-04-15T14:05:00+00:00,198.372,198.531,198.032,198.462,448921
2026-04-15T14:10:00+00:00,198.472,198.681,198.282,198.641,467110
2026-04-15T14:15:00+00:00,198.641,198.841,198.312,198.337,684902
2026-04-15T14:20:00+00:00,198.332,199.091,198.317,199.001,530225
2026-04-15T14:25:00+00:00,199.001,199.341,198.891,199.001,526162
2026-04-15T14:30:00+00:00,199.021,199.48,198.861,199.37,555106
2026-04-15T14:35:00+00:00,199.37,199.63,198.921,198.991,527772
2026-04-15T14:40:00+00:00,199.011,199.211,198.841,198.981,298105
2026-04-15T14:45:00+00:00,199.001,199.161,198.791,199.136,301249
2026-04-15T14:50:00+00:00,199.136,199.331,199.031,199.191,245026
2026-04-15T14:55:00+00:00,199.161,199.4,199.071,199.121,248656
2026-04-15T15:00:00+00:00,199.136,199.53,199.091,199.37,337875
2026-04-15T15:05:00+00:00,199.37,199.375,199.151,199.241,219290
2026-04-15T15:10:00+00:00,199.231,199.62,199.206,199.48,333462
2026-04-15T15:15:00+00:00,199.485,199.55,199.341,199.44,229390
2026-04-15T15:20:00+00:00,199.45,199.61,199.35,199.545,227798
2026-04-15T15:25:00+00:00,199.54,199.7,199.48,199.575,381015
2026-04-15T15:30:00+00:00,199.555,199.575,199.206,199.316,329100
2026-04-15T15:35:00+00:00,199.311,199.45,199.191,199.281,242195
2026-04-15T15:40:00+00:00,199.291,199.735,199.281,199.63,342534
2026-04-15T15:45:00+00:00,199.635,200.16,199.44,199.69,2326917
2026-04-15T15:50:00+00:00,199.69,199.72,199.331,199.56,404816
2026-04-15T15:55:00+00:00,199.57,199.62,199.241,199.445,250997
2026-04-15T16:00:00+00:00,199.44,199.44,199.116,199.161,263278
2026-04-15T16:05:00+00:00,199.151,199.505,199.091,199.45,201287
2026-04-15T16:10:00+00:00,199.44,199.47,199.261,199.281,143948
2026-04-15T16:15:00+00:00,199.281,199.281,198.891,199.251,279670
2026-04-15T16:20:00+00:00,199.261,199.52,199.261,199.331,236708
2026-04-15T16:25:00+00:00,199.331,199.331,198.851,198.881,278597
2026-04-15T16:30:00+00:00,198.886,198.901,198.042,198.212,424287
2026-04-15T16:35:00+00:00,198.242,198.442,197.982,197.982,213407
2026-04-15T16:40:00+00:00,197.972,197.982,197.358,197.543,458987
2026-04-15T16:45:00+00:00,197.553,197.563,196.958,197.253,501810
2026-04-15T16:50:00+00:00,197.263,197.423,196.394,196.404,531132
2026-04-15T16:55:00+00:00,196.444,196.933,195.905,196.824,516446
2026-04-15T17:00:00+00:00,196.824,196.983,196.664,196.863,282156
2026-04-15T17:05:00+00:00,196.853,197.323,196.844,197.093,304135
2026-04-15T17:10:00+00:00,197.093,197.123,196.883,197.063,232347
2026-04-15T17:15:00+00:00,197.043,197.243,196.963,196.988,207228
2026-04-15T17:20:00+00:00,196.988,197.003,196.774,196.953,218169
2026-04-15T17:25:00+00:00,196.963,197.008,196.694,196.724,204376
2026-04-15T17:30:00+00:00,196.724,197.273,196.724,197.243,170535
2026-04-15T17:35:00+00:00,197.233,197.473,197.153,197.183,163653
2026-04-15T17:40:00+00:00,197.168,197.168,196.544,196.559,197000
2026-04-15T17:45:00+00:00,196.584,196.744,196.549,196.674,143835
2026-04-15T17:50:00+00:00,196.684,196.704,196.379,196.379,163762
2026-04-15T17:55:00+00:00,196.384,196.444,195.945,195.995,239468
2026-04-15T18:00:00+00:00,195.985,196.474,195.505,196.124,437481
2026-04-15T18:05:00+00:00,196.104,196.404,195.915,196.294,246202
2026-04-15T18:10:00+00:00,196.294,196.734,196.144,196.604,205421
2026-04-15T18:15:00+00:00,196.604,196.784,196.314,196.554,177737
2026-04-15T18:20:00+00:00,196.564,196.684,196.404,196.654,111235
2026-04-15T18:25:00+00:00,196.674,196.893,196.524,196.714,174616
2026-04-15T18:30:00+00:00,196.724,197.093,196.724,197.073,180685
2026-04-15T18:35:00+00:00,197.083,197.273,197.053,197.118,296139
2026-04-15T18:40:00+00:00,197.113,197.133,196.943,197.073,156802
2026-04-15T18:45:00+00:00,197.073,197.148,196.973,197.143,123879
2026-04-15T18:50:00+00:00,197.153,197.278,196.993,197.153,185033
2026-04-15T18:55:00+00:00,197.153,197.228,197.068,197.078,197265
