ts,o,h,l,c,v
2026-04-15T13:30:00+00:00,30.54,31.164,30.44,30.984,378045
2026-04-15T13:35:00+00:00,31.017,31.144,30.777,30.907,124125
2026-04-15T13:40:00+00:00,30.92,30.97,30.597,30.597,98163
2026-04-15T13:45:00+00:00,30.734,30.997,30.734,30.997,124707
2026-04-15T13:50:00+00:00,30.98,31.107,30.937,30.964,84663
2026-04-15T13:55:00+00:00,30.924,31.167,30.924,31.117,57285
2026-04-15T14:00:00+00:00,31.15,31.21,31.077,31.154,94023
2026-04-15T14:05:00+00:00,31.18,31.18,31.08,31.174,43398
2026-04-15T14:10:00+00:00,31.197,31.254,31.15,31.254,67695
2026-04-15T14:15:00+00:00,31.247,31.307,31.147,31.147,65493
2026-04-15T14:20:00+00:00,31.154,31.38,31.154,31.36,135897
2026-04-15T14:25:00+00:00,31.354,31.454,31.324,31.347,86163
2026-04-15T14:30:00+00:00,31.357,31.5,31.34,31.447,61776
2026-04-15T14:35:00+00:00,31.46,31.55,31.334,31.334,86559
2026-04-15T14:40:00+00:00,31.407,31.414,31.317,31.324,58206
2026-04-15T14:45:00+00:00,31.357,31.4,31.307,31.4,101754
2026-04-15T14:50:00+00:00,31.397,31.447,31.38,31.41,29025
2026-04-15T14:55:00+00:00,31.43,31.467,31.384,31.39,84225
2026-04-15T15:00:00+00:00,31.394,31.517,31.387,31.464,24519
2026-04-15T15:05:00+00:00,31.464,31.464,31.404,31.434,23067
2026-04-15T15:10:00+00:00,31.447,31.547,31.434,31.53,50847
2026-04-15T15:15:00+00:00,31.497,31.524,31.47,31.49,20676
2026-04-15T15:20:00+00:00,31.497,31.537,31.474,31.504,12852
2026-04-15T15:25:00+00:00,31.504,31.57,31.504,31.53,25374
2026-04-15T15:30:00+00:00,31.514,31.514,31.437,31.447,38334
2026-04-15T15:35:00+00:00,31.45,31.497,31.434,31.444,21408
2026-04-15T15:40:00+00:00,31.444,31.58,31.444,31.547,48303
2026-04-15T15:45:00+00:00,31.55,31.71,31.497,31.57,434319
2026-04-15T15:50:00+00:00,31.577,31.577,31.464,31.517,114471
2026-04-15T15:55:00+00:00,31.534,31.544,31.444,31.507,40407
2026-04-15T16:00:00+00:00,31.454,31.46,31.394,31.42,40779
2026-04-15T16:05:00+00:00,31.39,31.504,31.384,31.497,41985
2026-04-15T16:10:00+00:00,31.464,31.5,31.444,31.447,19668
2026-04-15T16:15:00+00:00,31.424,31.432,31.324,31.432,53376
2026-04-15T16:20:00+00:00,31.437,31.497,31.437,31.457,37098
2026-04-15T16:25:00+00:00,31.42,31.45,31.317,31.317,33828
2026-04-15T16:30:00+00:00,31.304,31.317,31.09,31.104,66195
2026-04-15T16:35:00+00:00,31.15,31.184,31.057,31.057,34287
2026-04-15T16:40:00+00:00,31.037,31.037,30.86,30.904,43584
2026-04-15T16:45:00+00:00,30.902,30.902,30.727,30.817,88017
2026-04-15T16:50:00+00:00,30.82,30.854,30.547,30.55,82038
2026-04-15T16:55:00+00:00,30.54,30.7,30.397,30.68,82614
2026-04-15T17:00:00+00:00,30.684,30.73,30.634,30.69,35472
2026-04-15T17:05:00+00:00,30.684,30.824,30.684,30.76,39231
2026-04-15T17:10:00+00:00,30.77,30.77,30.7,30.75,18147
2026-04-15T17:15:00+00:00,30.757,30.804,30.727,30.727,16239
2026-04-15T17:20:00+00:00,30.734,30.734,30.664,30.714,30318
2026-04-15T17:25:00+00:00,30.72,30.737,30.644,30.647,25365
2026-04-15T17:30:00+00:00,30.66,30.81,30.66,30.81,29268
2026-04-15T17:35:00+00:00,30.804,30.877,30.787,30.794,34353
2026-04-15T17:40:00+00:00,30.784,30.784,30.597,30.597,24183
2026-04-15T17:45:00+00:00,30.62,30.654,30.61,30.644,9705
2026-04-15T17:50:00+00:00,30.634,30.647,30.564,30.564,15123
2026-04-15T17:55:00+00:00,30.557,30.557,30.447,30.447,28230
2026-04-15T18:00:00+00:00,30.397,30.55,30.287,30.46,91494
2026-04-15T18:05:00+00:00,30.454,30.547,30.407,30.514,62352
2026-04-15T18:10:00+00:00,30.49,30.637,30.487,30.614,16923
2026-04-15T18:15:00+00:00,30.614,30.664,30.524,30.587,61308
2026-04-15T18:20:00+00:00,30.577,30.627,30.557,30.62,23469
2026-04-15T18:25:00+00:00,30.63,30.687,30.597,30.637,40941
2026-04-15T18:30:00+00:00,30.65,30.737,30.65,30.737,41607
2026-04-15T18:35:00+00:00,30.75,30.81,30.75,30.764,118356
2026-04-15T18:40:00+00:00,30.77,30.774,30.717,30.767,21390
2026-04-15T18:45:00+00:00,30.757,30.774,30.734,30.774,17784
2026-04-15T18:50:00+00:00,30.777,30.81,30.727,30.78,16365
2026-04-15T18:55:00+00:00,30.777,30.797,30.76,30.764,23433
2026-04-15T19:00:00+00:00,30.767,30.767,30.71,30.76,24021
2026-04-15T19:05:00+00:00,30.78,30.89,30.78,30.84,36348
2026-04-15T19:10:00+00:00,30.847,30.897,30.817,30.84,28743
2026-04-15T19:15:00+00:00,30.834,30.937,30.824,30.934,27939
2026-04-15T19:20:00+00:00,30.914,31.0,30.904,30.977,58608
2026-04-15T19:25:00+00:00,30.967,31.047,30.967,31.037,32037
2026-04-15T19:30:00+00:00,31.034,31.057,30.984,31.057,39138
2026-04-15T19:35:00+00:00,31.054,31.117,31.054,31.094,37539
2026-04-15T19:40:00+00:00,31.05,31.067,31.014,31.04,50502
2026-04-15T19:45:00+00:00,31.024,31.097,30.984,31.037,40674
2026-04-15T19:50:00+00:00,31.044,31.207,31.044,31.194,107541
2026-04-15T19:55:00+00:00,31.184,31.324,31.184,31.222,157776
2026-04-16T13:30:00+00:00,30.82,30.907,30.27,30.774,249690
2026-04-16T13:35:00+00:00,30.75,30.824,30.56,30.627,107874
2026-04-16T13:40:00+00:00,30.634,30.797,30.47,30.684,117171
2026-04-16T13:45:00+00:00,30.7,30.757,30.634,30.73,86775
2026-04-16T13:50:00+00:00,30.694,30.697,30.327,30.347,100551
2026-04-16T13:55:00+00:00,30.357,30.597,30.354,30.56,66687
2026-04-16T14:00:00+00:00,30.56,30.77,30.477,30.77,125793
2026-04-16T14:05:00+00:00,30.75,30.847,30.694,30.79,64509
2026-04-16T14:10:00+00:00,30.784,30.87,30.727,30.777,89175
2026-04-16T14:15:00+00:00,30.777,30.777,30.607,30.737,45309
2026-04-16T14:20:00+00:00,30.75,30.814,30.664,30.764,38175
2026-04-16T14:25:00+00:00,30.76,30.864,30.76,30.764,20559
2026-04-16T14:30:00+00:00,30.764,30.877,30.757,30.877,14748
2026-04-16T14:35:00+00:00,30.884,30.964,30.854,30.907,56949
2026-04-16T14:40:00+00:00,30.897,30.92,30.814,30.914,26100
2026-04-16T14:45:00+00:00,30.924,31.074,30.91,31.067,74772
2026-04-16T14:50:00+00:00,31.06,31.13,31.004,31.124,59046
2026-04-16T14:55:00+00:00,31.104,31.18,31.05,31.177,40608
2026-04-16T15:00:00+00:00,31.164,31.37,31.164,31.364,115956
2026-04-16T15:05:00+00:00,31.354,31.464,31.324,31.45,65433
2026-04-16T15:10:00+00:00,31.47,31.537,31.36,31.384,121797
2026-04-16T15:15:00+00:00,31.39,31.457,31.33,31.33,41301
2026-04-16T15:20:00+00:00,31.36,31.464,31.36,31.45,21090
2026-04-16T15:25:00+00:00,31.464,31.474,31.28,31.29,94131
2026-04-16T15:30:00+00:00,31.264,31.354,31.264,31.347,45483
2026-04-16T15:35:00+00:00,31.357,31.47,31.354,31.384,55476
2026-04-16T15:40:00+00:00,31.357,31.357,31.244,31.317,47943
2026-04-16T15:45:00+00:00,31.29,31.304,31.107,31.114,60939
2026-04-16T15:50:00+00:00,31.15,31.23,31.127,31.19,26127
2026-04-16T15:55:00+00:00,31.22,31.277,31.22,31.26,10437
2026-04-16T16:00:00+00:00,31.27,31.297,31.167,31.204,23091
2026-04-16T16:05:00+00:00,31.204,31.25,31.164,31.237,13746
2026-04-16T16:10:00+00:00,31.237,31.277,31.222,31.26,11196
2026-04-16T16:15:00+00:00,31.264,31.33,31.264,31.33,63603
2026-04-16T16:20:00+00:00,31.324,31.324,31.187,31.204,61551
2026-04-16T16:25:00+00:00,31.22,31.25,31.147,31.147,12516
2026-04-16T16:30:00+00:00,31.152,31.159,30.887,31.004,66180
2026-04-16T16:35:00+00:00,30.954,31.147,30.954,31.147,28854
2026-04-16T16:40:00+00:00,31.15,31.197,31.077,31.13,38682
2026-04-16T16:45:00+00:00,31.142,31.214,31.142,31.174,42387
2026-04-16T16:50:00+00:00,31.174,31.174,31.124,31.124,5256
2026-04-16T16:55:00+00:00,31.104,31.14,31.094,31.094,37422
2026-04-16T17:00:00+00:00,31.05,31.094,31.05,31.075,7443
2026-04-16T17:05:00+00:00,31.002,31.03,30.955,31.02,19494
2026-04-16T17:10:00+00:00,31.02,31.06,30.904,30.935,4965
2026-04-16T17:15:00+00:00,30.927,31.004,30.904,30.997,10107
2026-04-16T17:20:00+00:00,30.997,31.087,30.98,31.077,18027
2026-04-16T17:25:00+00:00,31.097,31.127,31.084,31.084,23619
2026-04-16T17:30:00+00:00,31.084,31.114,31.054,31.097,9777
2026-04-16T17:35:00+00:00,31.024,31.06,31.014,31.06,6312
2026-04-16T17:40:00+00:00,31.077,31.17,31.077,31.16,14121
2026-04-16T17:45:00+00:00,31.18,31.187,31.15,31.184,8622
2026-04-16T17:50:00+00:00,31.164,31.164,31.13,31.154,4395
2026-04-16T17:55:00+00:00,31.112,31.112,30.964,31.017,48999
2026-04-16T18:00:00+00:00,31.03,31.08,30.997,30.997,84822
2026-04-16T18:05:00+00:00,31.014,31.014,30.797,30.84,33792
2026-04-16T18:10:00+00:00,30.854,30.964,30.817,30.964,39273
2026-04-16T18:15:00+00:00,30.947,30.947,30.91,30.947,5508
2026-04-16T18:20:00+00:00,30.967,30.974,30.83,30.857,12492
2026-04-16T18:25:00+00:00,30.865,30.874,30.757,30.8,32766
2026-04-16T18:30:00+00:00,30.81,30.927,30.81,30.897,43518
2026-04-16T18:35:00+00:00,30.91,31.0,30.91,31.0,30426
2026-04-16T18:40:00+00:00,30.994,31.04,30.99,31.0,17133
2026-04-16T18:45:00+00:00,31.034,31.074,31.01,31.01,17121
2026-04-16T18:50:00+00:00,30.997,31.08,30.997,31.064,19338
2026-04-16T18:55:00+00:00,31.03,31.037,30.954,30.99,10854
2026-04-16T19:00:00+00:00,31.01,31.064,31.004,31.057,38739
2026-04-16T19:05:00+00:00,31.05,31.06,30.99,30.99,53043
2026-04-16T19:10:00+00:00,30.987,31.03,30.984,31.024,52236
2026-04-16T19:15:00+00:00,31.055,31.064,31.02,31.034,51663
2026-04-16T19:20:00+00:00,31.05,31.065,30.987,31.009,41055
2026-04-16T19:25:00+00:00,31.02,31.054,30.997,30.997,28347
2026-04-16T19:30:00+00:00,31.0,31.1,30.994,31.054,63858
2026-04-16T19:35:00+00:00,31.057,31.14,31.047,31.1,35595
2026-04-16T19:40:00+00:00,31.114,31.137,31.054,31.064,35484
