ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,30.074,30.317,30.074,30.317,4851
2026-04-15T08:05:00+00:00,30.317,30.317,30.317,30.317,1824
2026-04-15T08:10:00+00:00,30.317,30.317,30.317,30.317,411
2026-04-15T08:15:00+00:00,30.317,30.317,30.294,30.297,3837
2026-04-15T08:20:00+00:00,30.297,30.297,30.297,30.297,471
2026-04-15T08:25:00+00:00,30.31,30.31,30.31,30.31,2175
2026-04-15T08:30:00+00:00,30.31,30.31,30.31,30.31,969
2026-04-15T08:35:00+00:00,30.31,30.364,30.31,30.364,1425
2026-04-15T08:40:00+00:00,30.364,30.364,30.364,30.364,831
2026-04-15T08:45:00+00:00,30.364,30.364,30.364,30.364,684
2026-04-15T08:50:00+00:00,30.364,30.364,30.364,30.364,441
2026-04-15T08:55:00+00:00,30.364,30.364,30.357,30.357,993
2026-04-15T09:00:00+00:00,30.357,30.357,30.304,30.304,1533
2026-04-15T09:05:00+00:00,30.304,30.304,30.274,30.274,456
2026-04-15T09:10:00+00:00,30.28,30.287,30.28,30.287,1140
2026-04-15T09:15:00+00:00,30.287,30.287,30.287,30.287,465
2026-04-15T09:20:00+00:00,30.287,30.287,30.287,30.287,225
2026-04-15T09:25:00+00:00,30.287,30.287,30.287,30.287,777
2026-04-15T09:30:00+00:00,30.287,30.287,30.134,30.134,2595
2026-04-15T09:35:00+00:00,30.134,30.134,30.064,30.064,3231
2026-04-15T09:40:00+00:00,30.064,30.1,30.064,30.1,1143
2026-04-15T09:45:00+00:00,30.1,30.1,30.01,30.06,2367
2026-04-15T09:50:00+00:00,30.06,30.06,30.03,30.03,1149
2026-04-15T09:55:00+00:00,30.03,30.07,30.03,30.07,4125
2026-04-15T10:00:00+00:00,30.07,30.087,30.07,30.087,720
2026-04-15T10:05:00+00:00,30.087,30.087,30.087,30.087,393
2026-04-15T10:10:00+00:00,30.11,30.12,30.11,30.12,4446
2026-04-15T10:15:00+00:00,30.087,30.087,30.087,30.087,1077
2026-04-15T10:20:00+00:00,30.087,30.087,30.07,30.07,2889
2026-04-15T10:25:00+00:00,30.07,30.07,29.964,29.964,3993
2026-04-15T10:30:00+00:00,29.964,30.117,29.964,30.097,3213
2026-04-15T10:35:00+00:00,30.02,30.02,30.017,30.017,3252
2026-04-15T10:40:00+00:00,30.037,30.077,30.037,30.077,1962
2026-04-15T10:45:00+00:00,30.164,30.204,30.164,30.204,2988
2026-04-15T10:50:00+00:00,30.204,30.204,30.204,30.204,1197
2026-04-15T10:55:00+00:00,30.27,30.284,30.27,30.284,1146
2026-04-15T11:00:00+00:00,30.264,30.374,30.264,30.374,2820
2026-04-15T11:05:00+00:00,30.377,30.427,30.377,30.427,6129
2026-04-15T11:10:00+00:00,30.43,30.43,30.43,30.43,1971
2026-04-15T11:15:00+00:00,30.5,30.5,30.48,30.48,3300
2026-04-15T11:20:00+00:00,30.48,30.48,30.48,30.48,438
