ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,34.42,34.42,34.42,34.42,122
2026-04-15T08:05:00+00:00,34.42,34.42,34.42,34.42,21
2026-04-15T08:10:00+00:00,34.42,34.42,33.69,33.69,278
2026-04-15T08:15:00+00:00,33.63,33.63,33.63,33.63,281
2026-04-15T08:20:00+00:00,33.63,33.63,33.63,33.63,37
2026-04-15T08:25:00+00:00,33.7,33.7,33.7,33.7,360
2026-04-15T08:30:00+00:00,33.7,33.7,33.7,33.7,35
2026-04-15T08:35:00+00:00,33.7,33.7,33.7,33.7,54
2026-04-15T08:40:00+00:00,33.7,33.84,33.7,33.84,566
2026-04-15T08:45:00+00:00,33.84,33.84,33.84,33.84,26
2026-04-15T08:50:00+00:00,33.84,33.84,33.84,33.84,74
2026-04-15T08:55:00+00:00,33.84,33.84,33.84,33.84,156
2026-04-15T09:00:00+00:00,33.79,33.8,33.79,33.8,634
2026-04-15T09:05:00+00:00,33.8,33.8,33.8,33.8,72
2026-04-15T09:10:00+00:00,33.8,33.8,33.68,33.68,171
2026-04-15T09:15:00+00:00,33.65,33.65,33.65,33.65,999
2026-04-15T09:20:00+00:00,33.65,33.65,33.65,33.65,114
2026-04-15T09:25:00+00:00,33.65,33.65,33.65,33.65,60
2026-04-15T09:30:00+00:00,33.65,33.65,33.65,33.65,60
2026-04-15T09:35:00+00:00,33.65,33.65,33.65,33.65,73
2026-04-15T09:40:00+00:00,33.65,33.65,33.65,33.65,0
2026-04-15T09:45:00+00:00,33.65,33.65,33.65,33.65,33
2026-04-15T09:50:00+00:00,33.65,33.65,33.65,33.65,0
2026-04-15T09:55:00+00:00,33.65,33.65,33.65,33.65,73
2026-04-15T10:00:00+00:00,33.65,33.65,33.65,33.65,0
2026-04-15T10:05:00+00:00,33.6,33.6,33.6,33.6,481
2026-04-15T10:10:00+00:00,33.6,33.6,33.6,33.6,58
2026-04-15T10:15:00+00:00,33.6,33.6,33.6,33.6,164
2026-04-15T10:20:00+00:00,33.6,33.6,33.55,33.55,253
2026-04-15T10:25:00+00:00,33.55,33.55,33.55,33.55,16
2026-04-15T10:30:00+00:00,33.55,33.55,33.5,33.5,423
2026-04-15T10:35:00+00:00,33.5,33.5,33.34,33.34,263
2026-04-15T10:40:00+00:00,33.34,33.34,33.34,33.34,55
2026-04-15T10:45:00+00:00,33.34,33.34,33.34,33.34,10
2026-04-15T10:50:00+00:00,33.34,33.34,33.34,33.34,189
2026-04-15T10:55:00+00:00,33.34,33.34,33.34,33.34,55
2026-04-15T11:00:00+00:00,33.34,33.6,33.34,33.6,871
2026-04-15T11:05:00+00:00,33.55,33.55,33.53,33.53,269
2026-04-15T11:10:00+00:00,33.53,33.53,33.53,33.53,40
2026-04-15T11:15:00+00:00,33.53,33.59,33.53,33.59,197
2026-04-15T11:20:00+00:00,33.59,33.59,33.59,33.59,100
2026-04-15T11:25:00+00:00,33.59,33.59,33.59,33.59,0
2026-04-15T11:30:00+00:00,33.59,33.7,33.59,33.67,828
2026-04-15T11:35:00+00:00,33.75,33.85,33.72,33.85,1453
2026-04-15T11:40:00+00:00,33.85,33.85,33.77,33.77,258
2026-04-15T11:45:00+00:00,33.77,33.77,33.77,33.77,231
2026-04-15T11:50:00+00:00,33.77,33.77,33.77,33.77,0
2026-04-15T11:55:00+00:00,33.85,33.9,33.8,33.9,5397
2026-04-15T12:00:00+00:00,33.9,33.9,33.88,33.88,211
