ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,132.807,132.807,132.807,132.807,0
2026-04-15T08:05:00+00:00,132.946,132.946,132.946,132.946,25
2026-04-15T08:10:00+00:00,132.946,132.946,132.946,132.946,11
2026-04-15T08:15:00+00:00,132.946,132.946,132.946,132.946,5
2026-04-15T08:20:00+00:00,132.946,132.946,132.946,132.946,0
2026-04-15T08:25:00+00:00,132.946,132.946,132.946,132.946,0
2026-04-15T08:30:00+00:00,132.946,132.946,132.946,132.946,23
2026-04-15T08:35:00+00:00,132.946,132.946,132.946,132.946,38
2026-04-15T08:40:00+00:00,132.946,132.946,132.946,132.946,381
2026-04-15T08:45:00+00:00,132.946,132.946,132.946,132.946,0
2026-04-15T08:50:00+00:00,132.946,132.946,132.946,132.946,0
2026-04-15T08:55:00+00:00,132.946,132.946,132.946,132.946,36
2026-04-15T09:00:00+00:00,132.946,132.946,132.558,132.558,7019
2026-04-15T09:05:00+00:00,132.558,132.558,132.558,132.558,29
2026-04-15T09:10:00+00:00,132.558,132.558,132.558,132.558,0
2026-04-15T09:15:00+00:00,132.558,132.558,132.558,132.558,1
2026-04-15T09:20:00+00:00,132.558,132.558,132.558,132.558,0
2026-04-15T09:25:00+00:00,132.558,132.558,132.558,132.558,0
2026-04-15T09:30:00+00:00,132.757,132.767,132.757,132.767,550
2026-04-15T09:35:00+00:00,132.767,132.767,132.767,132.767,0
2026-04-15T09:40:00+00:00,132.767,132.767,132.767,132.767,216
2026-04-15T09:45:00+00:00,132.508,132.508,132.508,132.508,620
2026-04-15T09:50:00+00:00,132.647,132.707,132.647,132.707,760
2026-04-15T09:55:00+00:00,132.707,132.707,132.707,132.707,0
2026-04-15T10:00:00+00:00,132.707,132.707,132.707,132.707,0
2026-04-15T10:05:00+00:00,132.707,132.707,132.707,132.707,100
2026-04-15T10:10:00+00:00,132.707,132.707,132.707,132.707,0
2026-04-15T10:15:00+00:00,132.707,132.707,132.707,132.707,0
2026-04-15T10:20:00+00:00,132.707,132.707,132.707,132.707,69
2026-04-15T10:25:00+00:00,132.707,132.707,132.707,132.707,25
2026-04-15T10:30:00+00:00,132.707,132.707,132.707,132.707,205
2026-04-15T10:35:00+00:00,132.707,132.707,132.707,132.707,61
2026-04-15T10:40:00+00:00,132.707,132.707,132.707,132.707,1
2026-04-15T10:45:00+00:00,132.707,132.707,132.707,132.707,16
2026-04-15T10:50:00+00:00,132.707,132.707,132.707,132.707,1
2026-04-15T10:55:00+00:00,132.707,132.707,132.707,132.707,20
2026-04-15T11:00:00+00:00,132.707,132.707,132.707,132.707,16
2026-04-15T11:05:00+00:00,132.707,132.707,132.707,132.707,114
2026-04-15T11:10:00+00:00,132.707,132.707,132.707,132.707,0
2026-04-15T11:15:00+00:00,132.707,132.707,132.707,132.707,55
2026-04-15T11:20:00+00:00,132.707,132.707,132.707,132.707,0
2026-04-15T11:25:00+00:00,132.707,132.707,132.707,132.707,0
2026-04-15T11:30:00+00:00,132.707,132.707,132.707,132.707,1
2026-04-15T11:35:00+00:00,132.707,132.707,132.707,132.707,0
2026-04-15T11:40:00+00:00,132.438,132.438,132.438,132.438,129
2026-04-15T11:45:00+00:00,132.438,132.438,132.438,132.438,203
2026-04-15T11:50:00+00:00,132.438,132.438,132.438,132.438,4
2026-04-15T11:55:00+00:00,132.438,132.438,132.438,132.438,25
2026-04-15T12:00:00+00:00,132.438,132.438,132.438,132.438,299
2026-04-15T12:05:00+00:00,132.438,132.438,132.438,132.438,5
2026-04-15T12:10:00+00:00,132.518,132.518,132.01,132.01,1636
2026-04-15T12:15:00+00:00,132.01,132.01,132.01,132.01,0
2026-04-15T12:20:00+00:00,132.309,132.309,132.309,132.309,103
2026-04-15T12:25:00+00:00,132.309,132.309,132.309,132.309,25
2026-04-15T12:30:00+00:00,132.309,132.309,132.309,132.309,57
2026-04-15T12:35:00+00:00,132.309,132.309,132.309,132.309,0
2026-04-15T12:40:00+00:00,132.309,132.309,132.309,132.309,228
2026-04-15T12:45:00+00:00,132.309,132.309,132.309,132.309,2
2026-04-15T12:50:00+00:00,132.309,132.309,132.309,132.309,40
