ts,o,h,l,c,v
2026-04-15T08:00:00+00:00,280.534,280.534,280.534,280.534,0
2026-04-15T08:05:00+00:00,280.534,280.534,280.534,280.534,0
2026-04-15T08:10:00+00:00,280.598,280.598,280.598,280.598,5
2026-04-15T08:15:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T08:20:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T08:25:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T08:30:00+00:00,280.598,280.598,280.598,280.598,2
2026-04-15T08:35:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T08:40:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T08:45:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T08:50:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T08:55:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T09:00:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T09:05:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T09:10:00+00:00,280.598,280.598,280.598,280.598,100
2026-04-15T09:15:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T09:20:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T09:25:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T09:30:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T09:35:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T09:40:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T09:45:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T09:50:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T09:55:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T10:00:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T10:05:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T10:10:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T10:15:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T10:20:00+00:00,280.598,280.598,280.598,280.598,8
2026-04-15T10:25:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T10:30:00+00:00,280.598,280.598,280.598,280.598,11
2026-04-15T10:35:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T10:40:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T10:45:00+00:00,280.598,280.598,280.598,280.598,6
2026-04-15T10:50:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T10:55:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T11:00:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T11:05:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T11:10:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T11:15:00+00:00,280.598,280.598,280.598,280.598,20
2026-04-15T11:20:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T11:25:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T11:30:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T11:35:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T11:40:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T11:45:00+00:00,280.598,280.598,280.598,280.598,15
2026-04-15T11:50:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T11:55:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T12:00:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T12:05:00+00:00,280.598,280.598,280.598,280.598,20
2026-04-15T12:10:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T12:15:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T12:20:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T12:25:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T12:30:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T12:35:00+00:00,280.598,280.598,280.598,280.598,4
2026-04-15T12:40:00+00:00,280.598,280.598,280.598,280.598,30
2026-04-15T12:45:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T12:50:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T12:55:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T13:00:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T13:05:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T13:10:00+00:00,280.598,280.598,280.598,280.598,0
2026-04-15T13:15:00+00:00,280.598,280.733,280.598,280.733,71
2026-04-15T13:20:00+00:00,280.733,280.733,280.166,280.166,162
2026-04-15T13:25:00+00:00,280.166,280.166,279.539,279.539,129
2026-04-15T13:30:00+00:00,279.559,281.439,278.544,279.509,3362
2026-04-15T13:35:00+00:00,280.364,281.573,280.265,281.155,2576
2026-04-15T13:40:00+00:00,280.573,280.573,278.176,278.176,5703
2026-04-15T13:45:00+00:00,278.405,280.414,278.305,278.773,7209
2026-04-15T13:50:00+00:00,278.813,278.882,277.778,278.226,4658
2026-04-15T13:55:00+00:00,278.584,279.181,278.514,278.942,6988
2026-04-15T14:00:00+00:00,279.022,279.051,277.281,277.549,4301
