ts,o,h,l,c,v
2026-04-15T13:30:00+00:00,107.0,108.12,106.74,108.12,37962
2026-04-15T13:35:00+00:00,108.19,109.38,108.18,109.11,22680
2026-04-15T13:40:00+00:00,109.06,109.3,108.3,108.32,4023
2026-04-15T13:45:00+00:00,108.32,108.71,108.28,108.385,3459
2026-04-15T13:50:00+00:00,108.52,108.8,108.48,108.76,9938
2026-04-15T13:55:00+00:00,108.76,108.76,108.44,108.76,16960
2026-04-15T14:00:00+00:00,108.78,108.78,108.57,108.57,4291
2026-04-15T14:05:00+00:00,108.53,108.54,108.485,108.505,1396
2026-04-15T14:10:00+00:00,108.6,108.69,108.6,108.685,1636
2026-04-15T14:15:00+00:00,108.68,108.68,108.05,108.45,6221
2026-04-15T14:20:00+00:00,108.62,108.62,108.41,108.51,2334
2026-04-15T14:25:00+00:00,108.51,108.87,108.51,108.87,2800
2026-04-15T14:30:00+00:00,108.97,109.0,108.75,108.76,4687
2026-04-15T14:35:00+00:00,108.69,108.69,108.65,108.65,1042
2026-04-15T14:40:00+00:00,108.67,108.67,108.57,108.635,1612
2026-04-15T14:45:00+00:00,108.58,109.0,108.54,108.97,1991
2026-04-15T14:50:00+00:00,108.99,109.02,108.715,108.73,2175
2026-04-15T14:55:00+00:00,108.64,108.83,108.64,108.78,2271
2026-04-15T15:00:00+00:00,108.75,108.85,108.545,108.61,2908
2026-04-15T15:05:00+00:00,108.61,108.61,108.52,108.59,1866
2026-04-15T15:10:00+00:00,108.59,108.74,108.59,108.73,1382
2026-04-15T15:15:00+00:00,108.73,109.24,108.73,109.1,2661
2026-04-15T15:20:00+00:00,109.08,109.12,109.07,109.12,1338
2026-04-15T15:25:00+00:00,109.12,109.41,109.12,109.39,2700
2026-04-15T15:30:00+00:00,109.32,109.32,108.99,109.22,5177
2026-04-15T15:35:00+00:00,109.17,109.19,109.0,109.05,2354
2026-04-15T15:40:00+00:00,109.05,109.06,109.01,109.06,747
2026-04-15T15:45:00+00:00,109.0,109.13,108.84,108.84,4319
2026-04-15T15:50:00+00:00,108.91,108.94,108.53,108.53,5385
2026-04-15T15:55:00+00:00,108.48,108.48,108.1,108.13,4701
2026-04-15T16:00:00+00:00,108.13,108.25,107.95,108.0,8754
2026-04-15T16:05:00+00:00,108.06,108.08,107.99,107.99,2774
2026-04-15T16:10:00+00:00,107.94,108.05,107.79,107.89,4438
2026-04-15T16:15:00+00:00,107.87,107.92,107.78,107.87,7834
2026-04-15T16:20:00+00:00,107.93,108.36,107.92,108.21,5262
2026-04-15T16:25:00+00:00,108.2,108.23,108.18,108.21,1904
2026-04-15T16:30:00+00:00,108.18,108.31,108.06,108.1,3820
2026-04-15T16:35:00+00:00,108.12,108.17,108.07,108.1,2938
2026-04-15T16:40:00+00:00,108.01,108.12,107.8,108.06,6296
2026-04-15T16:45:00+00:00,107.99,108.24,107.91,108.24,7186
2026-04-15T16:50:00+00:00,108.45,108.55,108.38,108.38,4296
2026-04-15T16:55:00+00:00,108.3,108.315,108.05,108.15,3285
2026-04-15T17:00:00+00:00,108.25,108.3,108.15,108.25,3548
2026-04-15T17:05:00+00:00,108.25,108.55,108.25,108.38,2884
2026-04-15T17:10:00+00:00,108.32,108.41,108.26,108.26,2382
2026-04-15T17:15:00+00:00,108.26,108.35,108.22,108.35,733
2026-04-15T17:20:00+00:00,108.315,108.5,108.28,108.49,2921
2026-04-15T17:25:00+00:00,108.49,108.66,108.49,108.63,1330
2026-04-15T17:30:00+00:00,108.68,108.69,108.62,108.69,1253
2026-04-15T17:35:00+00:00,108.69,108.69,108.34,108.37,3011
2026-04-15T17:40:00+00:00,108.34,108.36,108.12,108.12,2728
2026-04-15T17:45:00+00:00,108.25,108.285,108.15,108.26,1602
2026-04-15T17:50:00+00:00,108.31,108.35,108.24,108.25,2237
2026-04-15T17:55:00+00:00,108.25,108.3,108.14,108.14,4178
2026-04-15T18:00:00+00:00,108.12,108.42,108.12,108.42,3986
2026-04-15T18:05:00+00:00,108.53,108.8,108.47,108.8,4073
2026-04-15T18:10:00+00:00,108.81,108.89,108.76,108.89,3880
2026-04-15T18:15:00+00:00,108.89,109.02,108.89,108.92,7341
2026-04-15T18:20:00+00:00,108.94,109.15,108.935,109.03,3976
2026-04-15T18:25:00+00:00,109.03,109.03,108.97,109.02,1546
2026-04-15T18:30:00+00:00,108.99,109.2,108.99,109.2,3687
2026-04-15T18:35:00+00:00,109.33,109.4,109.21,109.34,4334
2026-04-15T18:40:00+00:00,109.4,109.51,109.36,109.48,6682
2026-04-15T18:45:00+00:00,109.48,109.67,109.48,109.67,7257
2026-04-15T18:50:00+00:00,109.67,109.67,109.56,109.635,2630
2026-04-15T18:55:00+00:00,109.635,109.635,109.47,109.47,2952
2026-04-15T19:00:00+00:00,109.5,109.77,109.5,109.77,5644
2026-04-15T19:05:00+00:00,109.85,109.88,109.75,109.88,3325
2026-04-15T19:10:00+00:00,109.855,109.855,109.66,109.66,2941
2026-04-15T19:15:00+00:00,109.66,109.66,109.46,109.46,3928
2026-04-15T19:20:00+00:00,109.51,109.51,109.23,109.24,14765
2026-04-15T19:25:00+00:00,109.3,109.3,108.96,109.14,5323
2026-04-15T19:30:00+00:00,109.12,109.22,109.07,109.07,4576
2026-04-15T19:35:00+00:00,109.07,109.09,108.96,109.07,27925
2026-04-15T19:40:00+00:00,109.04,109.27,108.94,109.27,6906
2026-04-15T19:45:00+00:00,109.28,109.45,109.23,109.29,16208
2026-04-15T19:50:00+00:00,109.33,109.645,109.19,109.59,23335
2026-04-15T19:55:00+00:00,109.56,109.56,109.23,109.315,69512
2026-04-16T13:30:00+00:00,110.17,110.72,109.56,110.0,107921
2026-04-16T13:35:00+00:00,110.245,110.94,110.245,110.36,4328
2026-04-16T13:40:00+00:00,109.99,110.0,109.44,110.0,3163
2026-04-16T13:45:00+00:00,109.69,109.78,109.205,109.37,6314
2026-04-16T13:50:00+00:00,109.35,109.36,108.75,108.75,7263
2026-04-16T13:55:00+00:00,108.76,109.3,108.76,109.3,2316
2026-04-16T14:00:00+00:00,109.3,109.59,109.05,109.59,5947
2026-04-16T14:05:00+00:00,109.52,110.15,109.52,110.15,10845
2026-04-16T14:10:00+00:00,110.15,110.15,109.91,110.08,4063
2026-04-16T14:15:00+00:00,110.06,110.14,109.82,110.11,4043
2026-04-16T14:20:00+00:00,110.11,110.19,109.81,109.875,4848
2026-04-16T14:25:00+00:00,109.78,110.17,109.76,110.02,11347
2026-04-16T14:30:00+00:00,110.0,110.65,110.0,110.65,19225
2026-04-16T14:35:00+00:00,110.7,110.87,110.67,110.67,3210
2026-04-16T14:40:00+00:00,110.66,110.7,109.985,110.175,8192
2026-04-16T14:45:00+00:00,110.175,110.38,110.175,110.37,5215
2026-04-16T14:50:00+00:00,110.45,110.61,110.45,110.54,3930
2026-04-16T14:55:00+00:00,110.62,110.63,110.1,110.19,6957
2026-04-16T15:00:00+00:00,110.19,110.51,110.19,110.44,2671
2026-04-16T15:05:00+00:00,110.44,110.44,110.285,110.285,4877
2026-04-16T15:10:00+00:00,110.51,110.95,110.48,110.95,19494
2026-04-16T15:15:00+00:00,110.93,111.005,110.7,110.835,8731
2026-04-16T15:20:00+00:00,110.9,111.22,110.9,111.12,4110
2026-04-16T15:25:00+00:00,111.1,111.1,110.76,110.76,3972
2026-04-16T15:30:00+00:00,110.76,110.79,110.47,110.47,5561
