ts,o,h,l,c,v
2026-04-15T13:30:00+00:00,84.66,85.97,83.975,84.58,536053
2026-04-15T13:35:00+00:00,84.59,85.02,83.86,84.485,546729
2026-04-15T13:40:00+00:00,84.43,84.45,82.96,83.04,442070
2026-04-15T13:45:00+00:00,83.05,84.63,83.04,84.04,282263
2026-04-15T13:50:00+00:00,84.07,84.27,83.14,83.95,331498
2026-04-15T13:55:00+00:00,83.9,84.33,83.73,84.3,148193
2026-04-15T14:00:00+00:00,84.34,84.8,83.72,84.75,212783
2026-04-15T14:05:00+00:00,84.77,84.78,83.58,83.79,210484
2026-04-15T14:10:00+00:00,83.8,83.93,83.44,83.83,191594
2026-04-15T14:15:00+00:00,83.8,83.98,83.06,83.16,198701
2026-04-15T14:20:00+00:00,83.12,84.39,83.12,84.3,177156
2026-04-15T14:25:00+00:00,84.25,84.56,84.09,84.42,142481
2026-04-15T14:30:00+00:00,84.44,84.75,84.21,84.63,110106
2026-04-15T14:35:00+00:00,84.63,85.24,84.5,84.68,169874
2026-04-15T14:40:00+00:00,84.77,85.47,84.77,85.4,149874
2026-04-15T14:45:00+00:00,85.41,85.47,85.16,85.32,119760
2026-04-15T14:50:00+00:00,85.31,85.39,84.79,84.9,70573
2026-04-15T14:55:00+00:00,84.88,84.93,84.44,84.49,106479
2026-04-15T15:00:00+00:00,84.495,84.54,84.08,84.45,150071
2026-04-15T15:05:00+00:00,84.41,84.45,83.98,84.44,100910
2026-04-15T15:10:00+00:00,84.42,84.91,84.38,84.87,128108
2026-04-15T15:15:00+00:00,84.84,84.88,84.53,84.64,66716
2026-04-15T15:20:00+00:00,84.65,84.78,84.45,84.49,55614
2026-04-15T15:25:00+00:00,84.46,84.71,84.38,84.4,47430
2026-04-15T15:30:00+00:00,84.37,84.37,83.79,83.95,106680
2026-04-15T15:35:00+00:00,83.93,84.03,83.71,83.78,97748
2026-04-15T15:40:00+00:00,83.81,84.25,83.79,84.13,61442
2026-04-15T15:45:00+00:00,84.17,84.29,83.94,83.94,68855
2026-04-15T15:50:00+00:00,83.96,83.98,83.67,83.69,48215
2026-04-15T15:55:00+00:00,83.73,83.73,83.4,83.57,80450
2026-04-15T16:00:00+00:00,83.58,83.71,83.36,83.44,53107
2026-04-15T16:05:00+00:00,83.44,83.85,83.37,83.79,75252
2026-04-15T16:10:00+00:00,83.78,83.84,83.62,83.75,52423
2026-04-15T16:15:00+00:00,83.76,84.0,83.57,83.96,53431
2026-04-15T16:20:00+00:00,84.0,84.13,83.88,83.92,37388
2026-04-15T16:25:00+00:00,83.86,83.86,83.18,83.22,83577
2026-04-15T16:30:00+00:00,83.25,83.3,82.62,82.75,180596
2026-04-15T16:35:00+00:00,82.76,82.94,82.38,82.38,84598
2026-04-15T16:40:00+00:00,82.375,82.38,81.29,81.48,221032
2026-04-15T16:45:00+00:00,81.48,81.59,80.77,81.28,194337
2026-04-15T16:50:00+00:00,81.32,81.55,80.05,80.145,256060
2026-04-15T16:55:00+00:00,80.17,81.1,79.76,80.99,245204
2026-04-15T17:00:00+00:00,80.98,81.37,80.77,81.32,121468
2026-04-15T17:05:00+00:00,81.3,81.83,81.28,81.71,104724
2026-04-15T17:10:00+00:00,81.76,81.89,81.48,81.73,66045
2026-04-15T17:15:00+00:00,81.7,81.87,81.6,81.63,48229
2026-04-15T17:20:00+00:00,81.64,81.7,81.48,81.56,41717
2026-04-15T17:25:00+00:00,81.62,81.8,81.52,81.59,40802
2026-04-15T17:30:00+00:00,81.585,82.13,81.58,82.11,48474
2026-04-15T17:35:00+00:00,82.07,82.31,81.9,81.9,63182
2026-04-15T17:40:00+00:00,81.88,81.95,81.45,81.46,80696
2026-04-15T17:45:00+00:00,81.53,81.85,81.53,81.76,39976
2026-04-15T17:50:00+00:00,81.81,82.05,81.81,82.01,20611
2026-04-15T17:55:00+00:00,81.99,82.06,81.75,81.76,44420
2026-04-15T18:00:00+00:00,81.74,82.42,81.53,81.9,162969
2026-04-15T18:05:00+00:00,81.86,82.26,81.82,81.94,54378
2026-04-15T18:10:00+00:00,81.965,82.34,81.87,82.18,95821
2026-04-15T18:15:00+00:00,82.17,82.56,82.17,82.37,55647
2026-04-15T18:20:00+00:00,82.38,82.58,82.165,82.58,49300
2026-04-15T18:25:00+00:00,82.56,82.7,82.39,82.62,36554
2026-04-15T18:30:00+00:00,82.61,82.82,82.61,82.8,63868
2026-04-15T18:35:00+00:00,82.79,83.05,82.74,82.92,74949
2026-04-15T18:40:00+00:00,82.9,82.9,82.66,82.69,55128
2026-04-15T18:45:00+00:00,82.71,82.75,82.55,82.7,18576
2026-04-15T18:50:00+00:00,82.73,82.925,82.73,82.925,20932
2026-04-15T18:55:00+00:00,82.9,83.11,82.9,83.03,30727
2026-04-15T19:00:00+00:00,83.03,83.23,82.93,83.22,60594
2026-04-15T19:05:00+00:00,83.23,83.78,83.23,83.74,99945
2026-04-15T19:10:00+00:00,83.77,83.9,83.67,83.76,71355
2026-04-15T19:15:00+00:00,83.78,83.94,83.78,83.94,46449
2026-04-15T19:20:00+00:00,83.955,84.075,83.89,84.0,85492
2026-04-15T19:25:00+00:00,83.98,84.4,83.98,84.4,85606
2026-04-15T19:30:00+00:00,84.405,84.92,84.395,84.89,210194
2026-04-15T19:35:00+00:00,84.9,84.96,84.59,84.6,144319
2026-04-15T19:40:00+00:00,84.59,84.7,84.38,84.57,142645
2026-04-15T19:45:00+00:00,84.54,84.875,84.475,84.805,155545
2026-04-15T19:50:00+00:00,84.83,85.295,84.83,85.29,371166
2026-04-15T19:55:00+00:00,85.28,85.975,85.28,85.88,348717
2026-04-16T13:30:00+00:00,85.0,85.83,83.35,85.57,522038
2026-04-16T13:35:00+00:00,85.54,85.82,83.98,84.64,815682
2026-04-16T13:40:00+00:00,84.9,86.24,84.65,85.31,466955
2026-04-16T13:45:00+00:00,85.3,85.64,84.89,85.57,203126
2026-04-16T13:50:00+00:00,85.53,85.53,83.4,83.47,223820
2026-04-16T13:55:00+00:00,83.47,84.865,83.32,84.79,239069
2026-04-16T14:00:00+00:00,84.79,85.46,84.51,85.44,176865
2026-04-16T14:05:00+00:00,85.42,85.9,85.11,85.32,162651
2026-04-16T14:10:00+00:00,85.4,86.1,85.2,85.73,169580
2026-04-16T14:15:00+00:00,85.81,85.84,84.96,85.12,114142
2026-04-16T14:20:00+00:00,85.14,85.6,84.95,85.53,106597
2026-04-16T14:25:00+00:00,85.47,86.08,85.25,85.82,110985
2026-04-16T14:30:00+00:00,85.8,86.15,85.58,86.15,86117
2026-04-16T14:35:00+00:00,86.13,86.25,85.84,85.96,68443
2026-04-16T14:40:00+00:00,85.96,86.265,85.81,86.24,55142
2026-04-16T14:45:00+00:00,86.24,87.0,86.24,86.99,112188
2026-04-16T14:50:00+00:00,86.99,87.38,86.79,87.22,100540
2026-04-16T14:55:00+00:00,87.22,87.28,86.93,87.16,70086
2026-04-16T15:00:00+00:00,87.17,88.22,87.14,88.03,182729
2026-04-16T15:05:00+00:00,88.01,88.55,87.95,88.51,126017
2026-04-16T15:10:00+00:00,88.49,88.89,88.37,88.37,131951
2026-04-16T15:15:00+00:00,88.36,88.75,88.21,88.3,83294
2026-04-16T15:20:00+00:00,88.33,88.67,88.31,88.54,62325
2026-04-16T15:25:00+00:00,88.51,88.77,88.26,88.28,125056
2026-04-16T15:30:00+00:00,88.3,88.64,88.2,88.64,81594
2026-04-16T15:35:00+00:00,88.645,89.38,88.645,89.11,161696
2026-04-16T15:40:00+00:00,89.08,89.16,88.58,88.97,55762
2026-04-16T15:45:00+00:00,88.98,89.02,88.1,88.3,92166
2026-04-16T15:50:00+00:00,88.29,88.6,88.2,88.35,51169
2026-04-16T15:55:00+00:00,88.4,88.97,88.4,88.831,60753
2026-04-16T16:00:00+00:00,88.84,88.92,88.44,88.6,41900
2026-04-16T16:05:00+00:00,88.59,88.67,88.47,88.65,33895
2026-04-16T16:10:00+00:00,88.685,88.94,88.64,88.89,41610
2026-04-16T16:15:00+00:00,88.89,89.23,88.88,89.2,67539
2026-04-16T16:20:00+00:00,89.21,89.26,88.59,88.67,72003
2026-04-16T16:25:00+00:00,88.71,88.82,88.4,88.43,30584
2026-04-16T16:30:00+00:00,88.42,88.44,86.98,87.43,213041
2026-04-16T16:35:00+00:00,87.41,88.115,87.28,88.1,79525
2026-04-16T16:40:00+00:00,88.11,88.27,87.68,87.86,53014
2026-04-16T16:45:00+00:00,87.88,88.3,87.87,88.19,34290
2026-04-16T16:50:00+00:00,88.21,88.56,88.05,88.06,37467
2026-04-16T16:55:00+00:00,88.05,88.3,87.98,87.99,25804
2026-04-16T17:00:00+00:00,88.0,88.15,87.82,87.9,43823
2026-04-16T17:05:00+00:00,87.93,87.94,87.5,87.86,52721
2026-04-16T17:10:00+00:00,87.91,88.03,87.48,87.49,31383
2026-04-16T17:15:00+00:00,87.45,87.62,87.32,87.5,78341
2026-04-16T17:20:00+00:00,87.58,88.02,87.4,88.02,46530
2026-04-16T17:25:00+00:00,88.03,88.16,87.88,87.99,28838
2026-04-16T17:30:00+00:00,88.01,88.34,87.94,88.11,46759
2026-04-16T17:35:00+00:00,88.04,88.2,87.95,88.12,29449
2026-04-16T17:40:00+00:00,88.16,88.28,88.14,88.21,17061
2026-04-16T17:45:00+00:00,88.16,88.19,87.99,88.13,17940
2026-04-16T17:50:00+00:00,88.13,88.14,87.76,87.84,20688
2026-04-16T17:55:00+00:00,87.78,87.8,87.19,87.56,79389
2026-04-16T18:00:00+00:00,87.59,87.89,87.36,87.36,47335
2026-04-16T18:05:00+00:00,87.4,87.47,86.66,86.79,104443
2026-04-16T18:10:00+00:00,86.89,87.23,86.64,87.19,38199
2026-04-16T18:15:00+00:00,87.17,87.33,86.97,87.18,28941
2026-04-16T18:20:00+00:00,87.14,87.38,86.7,86.79,32997
2026-04-16T18:25:00+00:00,86.86,86.87,86.38,86.6,52347
2026-04-16T18:30:00+00:00,86.61,87.15,86.61,87.03,132564
2026-04-16T18:35:00+00:00,87.03,87.46,86.98,87.3,42474
2026-04-16T18:40:00+00:00,87.31,87.585,87.31,87.57,42565
2026-04-16T18:45:00+00:00,87.59,87.88,87.58,87.58,35134
2026-04-16T18:50:00+00:00,87.6,87.69,87.43,87.55,24568
2026-04-16T18:55:00+00:00,87.54,87.6,87.39,87.59,30990
2026-04-16T19:00:00+00:00,87.66,88.16,87.59,88.15,80702
2026-04-16T19:05:00+00:00,88.06,88.25,87.91,87.92,51468
2026-04-16T19:10:00+00:00,87.91,88.115,87.9,88.105,33779
2026-04-16T19:15:00+00:00,88.11,88.37,88.1,88.28,41486
2026-04-16T19:20:00+00:00,88.275,88.42,88.17,88.22,45972
2026-04-16T19:25:00+00:00,88.3,88.3,88.12,88.13,27968
2026-04-16T19:30:00+00:00,88.12,88.21,88.02,88.12,100743
2026-04-16T19:35:00+00:00,88.13,88.275,87.91,88.26,108536
2026-04-16T19:40:00+00:00,88.255,88.425,88.165,88.18,132967
2026-04-16T19:45:00+00:00,88.17,88.35,88.07,88.3,136410
2026-04-16T19:50:00+00:00,88.305,88.64,87.84,88.03,353613
2026-04-16T19:55:00+00:00,88.03,88.48,87.77,88.42,374304
2026-04-17T13:30:00+00:00,93.195,93.42,91.23,92.4,667676
2026-04-17T13:35:00+00:00,92.38,93.14,92.25,92.77,420501
2026-04-17T13:40:00+00:00,92.74,92.81,91.48,92.23,398473
2026-04-17T13:45:00+00:00,92.3,92.3,90.9,91.78,449603
2026-04-17T13:50:00+00:00,91.88,92.31,91.4,91.6,240059
2026-04-17T13:55:00+00:00,91.57,92.07,90.66,91.9,300077
2026-04-17T14:00:00+00:00,91.97,92.35,91.85,92.12,210386
2026-04-17T14:05:00+00:00,92.19,93.54,92.06,93.34,297564
2026-04-17T14:10:00+00:00,93.38,93.76,93.2,93.345,160797
2026-04-17T14:15:00+00:00,93.33,93.38,92.72,92.74,109736
2026-04-17T14:20:00+00:00,92.75,92.8,92.12,92.54,135365
2026-04-17T14:25:00+00:00,92.55,92.93,92.47,92.62,85321
2026-04-17T14:30:00+00:00,92.62,93.37,92.59,93.32,169068
2026-04-17T14:35:00+00:00,93.32,93.32,92.78,93.26,98611
2026-04-17T14:40:00+00:00,93.25,93.9,93.22,93.74,174023
2026-04-17T14:45:00+00:00,93.73,94.21,93.59,94.13,108460
2026-04-17T14:50:00+00:00,94.11,94.195,93.27,93.35,133448
2026-04-17T14:55:00+00:00,93.3,93.46,92.83,93.04,126712
2026-04-17T15:00:00+00:00,93.06,93.33,92.68,92.98,116405
2026-04-17T15:05:00+00:00,93.01,93.47,92.95,93.47,93001
2026-04-17T15:10:00+00:00,93.41,93.55,93.29,93.38,145196
2026-04-17T15:15:00+00:00,93.405,93.98,93.4,93.68,135298
2026-04-17T15:20:00+00:00,93.7,93.8,93.45,93.67,52492
2026-04-17T15:25:00+00:00,93.73,93.75,93.53,93.75,38487
2026-04-17T15:30:00+00:00,93.73,94.17,93.7,94.13,96261
2026-04-17T15:35:00+00:00,94.12,94.18,93.79,94.09,51714
2026-04-17T15:40:00+00:00,94.08,94.09,93.49,93.55,73852
2026-04-17T15:45:00+00:00,93.55,94.09,93.55,93.9,104398
2026-04-17T15:50:00+00:00,93.91,94.1,93.69,93.81,41856
2026-04-17T15:55:00+00:00,93.76,93.86,92.87,92.92,85758
2026-04-17T16:00:00+00:00,92.94,93.52,92.68,93.44,95791
2026-04-17T16:05:00+00:00,93.39,93.9,93.38,93.78,63303
2026-04-17T16:10:00+00:00,93.73,94.26,93.69,94.16,89413
2026-04-17T16:15:00+00:00,94.13,94.34,93.97,94.08,58234
